title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[10] Number of Jobs Ended","[8] Number of Jobs Ended","[12] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[16] Number of Jobs Ended","[20] Number of Jobs Ended","[5] Number of Jobs Ended","[32] Number of Jobs Ended","[13] Number of Jobs Ended","[30] Number of Jobs Ended","[72] Number of Jobs Ended","[24] Number of Jobs Ended","[40] Number of Jobs Ended","[64] Number of Jobs Ended","[60] Number of Jobs Ended","[7] Number of Jobs Ended","[25] Number of Jobs Ended","[9] Number of Jobs Ended","[43] Number of Jobs Ended","[50] Number of Jobs Ended","[70] Number of Jobs Ended","[45] Number of Jobs Ended","[22] Number of Jobs Ended","[28] Number of Jobs Ended","[15] Number of Jobs Ended","[33] Number of Jobs Ended","[48] Number of Jobs Ended","[62] Number of Jobs Ended","[36] Number of Jobs Ended","[14] Number of Jobs Ended","[58] Number of Jobs Ended","[11] Number of Jobs Ended","[34] Number of Jobs Ended","[53] Number of Jobs Ended","[21] Number of Jobs Ended","[29] Number of Jobs Ended","[23] Number of Jobs Ended","[41] Number of Jobs Ended","[57] Number of Jobs Ended","[61] Number of Jobs Ended","[65] Number of Jobs Ended","[49] Number of Jobs Ended","[69] Number of Jobs Ended","[37] Number of Jobs Ended","[31] Number of Jobs Ended","[17] Number of Jobs Ended","[54] Number of Jobs Ended","[59] Number of Jobs Ended","[27] Number of Jobs Ended","[56] Number of Jobs Ended","[18] Number of Jobs Ended","[52] Number of Jobs Ended","[55] Number of Jobs Ended","[68] Number of Jobs Ended","[67] Number of Jobs Ended","[19] Number of Jobs Ended","[42] Number of Jobs Ended","[44] Number of Jobs Ended","[39] Number of Jobs Ended","[35] Number of Jobs Ended","[63] Number of Jobs Ended","[47] Number of Jobs Ended","[66] Number of Jobs Ended","[26] Number of Jobs Ended","[46] Number of Jobs Ended","[51] Number of Jobs Ended","[71] Number of Jobs Ended","[38] Number of Jobs Ended"
2015-06-02,772,231,81,19,21,268,68,4,7,16,4,4,0,0,0,1,5,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-03,1222,348,51,38,58,198,34,14,19,13,4,6,0,0,0,2,5,6,0,4,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-04,726,332,124,34,38,51,34,5,18,13,3,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-05,1018,334,142,52,24,4,21,14,11,11,5,1,0,0,0,0,2,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-06,464,221,82,26,41,7,46,17,7,3,20,3,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,614,150,91,27,27,4,17,32,7,0,36,3,0,0,2,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,668,140,98,35,36,7,51,60,38,0,109,3,2,0,2,5,1,0,0,5,0,22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,673,96,143,20,50,9,3,49,26,1,14,4,0,2,12,3,4,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-10,591,104,236,26,120,9,5,59,40,3,22,11,42,4,16,1,7,1,0,7,0,0,0,0,0,0,0,0,4,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-11,940,122,277,26,29,10,33,61,3,7,46,0,1,4,0,2,12,0,0,21,0,3,0,0,0,0,4,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-12,466,130,189,44,27,11,43,12,20,11,7,1,39,9,3,0,10,5,0,4,0,4,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-13,483,17,164,40,9,2,3,7,4,4,1,3,50,7,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,459,145,152,17,11,7,9,1,12,0,24,1,22,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-15,762,79,645,394,18,8,12,25,10,4,42,2,18,3,8,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-16,581,50,356,87,32,17,6,17,12,9,6,2,2,0,4,0,0,2,0,3,8,0,1,0,8,1,0,0,0,8,0,8,0,2,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-17,496,42,158,34,34,33,9,22,15,2,0,1,21,4,6,5,1,16,5,5,6,3,1,2,7,2,2,0,0,11,4,4,3,3,11,5,8,8,2,1,9,3,7,6,2,3,4,3,3,2,2,8,2,0,4,1,4,0,4,4,5,2,0,4,3,3,2,4,1,2,2,1
2015-06-18,453,38,198,44,27,30,35,38,10,5,6,8,1,4,7,10,3,25,3,5,5,7,8,5,2,8,1,9,7,2,7,2,4,6,6,3,5,4,4,5,5,6,2,3,4,5,4,4,0,1,1,4,2,3,3,1,4,2,4,6,4,2,10,2,5,4,4,2,5,4,1,2
2015-06-19,576,120,222,46,40,16,20,24,16,4,0,9,37,1,3,57,0,2,0,0,1,0,0,0,2,4,1,1,1,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-20,591,56,126,28,18,9,19,10,7,1,4,4,0,0,1,3,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2015-06-21,420,14,134,29,47,3,6,24,6,2,6,0,17,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-06-22,603,60,103,54,18,14,21,13,8,7,4,2,4,1,6,0,4,2,0,0,1,0,0,2,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-23,764,71,118,63,31,16,7,13,11,7,19,3,1,1,14,2,1,0,4,0,3,0,0,5,6,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-24,985,95,93,68,27,16,3,21,20,58,6,12,0,1,5,0,1,2,2,0,11,0,0,5,5,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-25,606,102,72,42,43,14,5,24,9,33,4,19,15,0,11,6,1,1,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-26,2222,84,57,96,16,15,4,14,13,28,7,5,0,0,2,0,0,3,0,1,1,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-27,1362,44,50,32,24,10,34,16,11,13,1,4,0,0,1,3,0,1,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-28,3746,14,32,89,28,4,4,8,15,21,8,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-29,3799,65,87,32,38,5,5,8,8,23,6,12,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,743,52,154,86,43,16,20,9,7,30,16,5,14,0,2,2,0,0,0,1,14,14,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,14,14,14,0,14,14,14,14,14,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,10549,74,513,19,21,69,2,18,6,38,0,2,0,8,6,1,1,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-02,3626,185,323,8,34,5,25,10,11,32,2,13,0,1,7,3,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-03,340,246,142,5,8,46,2,21,4,25,1,9,10,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-04,389,60,80,11,39,0,8,6,25,15,0,35,2,2,3,2,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-05,1362,32,89,15,61,2,3,21,4,9,4,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-06,9959,29,333,7,21,3,7,20,4,7,1,5,5,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-07,9764,52,447,7,43,3,12,31,2,16,1,0,0,1,1,1,1,2,3,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-08,3122,149,342,21,101,13,32,35,5,12,15,3,2,0,1,0,4,1,0,13,0,7,0,0,2,1,4,2,1,0,1,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-09,825,155,389,19,49,10,34,6,7,15,3,1,1,0,13,0,8,1,0,5,0,2,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-10,702,158,508,17,33,12,18,14,16,18,0,1,1,18,2,1,3,0,0,0,0,0,0,0,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-11,311,135,128,48,33,3,5,5,3,26,3,1,0,22,1,4,3,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,284,196,306,60,23,6,9,5,19,11,2,6,0,11,1,13,5,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-13,1174,87,407,40,34,13,19,18,15,12,6,13,0,7,5,3,0,5,0,0,2,2,6,0,0,0,1,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-14,1736,149,97,44,29,23,9,15,11,7,0,11,0,7,3,7,14,0,0,0,3,0,5,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-15,1870,160,486,7,16,7,10,10,29,2,0,11,0,3,1,0,14,0,0,2,1,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-16,886,248,713,12,39,26,19,8,8,14,2,2,0,6,0,3,7,0,0,0,3,9,5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-17,1205,177,88,32,13,61,7,11,9,5,2,9,0,8,1,1,5,2,0,1,0,1,3,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-18,674,89,34,43,21,8,3,14,2,3,2,4,0,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-19,284,298,43,39,12,12,7,11,8,6,0,16,0,4,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-20,1562,243,65,44,27,14,2,18,9,0,3,8,0,11,1,1,2,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-21,2113,262,24,14,29,49,6,8,10,6,1,4,0,7,1,0,0,0,1,5,4,0,1,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-22,2934,276,25,31,15,18,11,24,4,0,1,6,0,11,1,1,2,1,0,0,6,0,8,0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-23,2036,196,18,19,17,7,29,0,7,1,5,1,0,15,2,1,2,4,0,0,5,0,3,2,4,0,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-24,1081,182,397,19,33,10,12,18,9,9,1,0,0,15,1,6,1,2,1,2,0,8,6,0,0,1,6,0,7,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-25,984,108,49,66,24,7,15,6,17,3,11,11,0,3,4,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-26,1390,135,58,75,24,21,13,13,4,5,5,1,0,3,3,0,3,2,0,1,0,0,2,0,0,0,2,1,0,0,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27,815,257,87,34,41,16,12,17,10,7,12,7,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
