title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[10] Number of Jobs Ended","[6] Number of Jobs Ended","[12] Number of Jobs Ended","[16] Number of Jobs Ended","[5] Number of Jobs Ended","[20] Number of Jobs Ended","[7] Number of Jobs Ended","[32] Number of Jobs Ended","[24] Number of Jobs Ended","[40] Number of Jobs Ended","[72] Number of Jobs Ended","[18] Number of Jobs Ended","[9] Number of Jobs Ended","[15] Number of Jobs Ended","[30] Number of Jobs Ended","[64] Number of Jobs Ended","[25] Number of Jobs Ended","[11] Number of Jobs Ended","[42] Number of Jobs Ended","[22] Number of Jobs Ended","[14] Number of Jobs Ended","[48] Number of Jobs Ended","[21] Number of Jobs Ended","[36] Number of Jobs Ended","[50] Number of Jobs Ended","[17] Number of Jobs Ended","[13] Number of Jobs Ended","[60] Number of Jobs Ended","[70] Number of Jobs Ended","[26] Number of Jobs Ended","[19] Number of Jobs Ended","[54] Number of Jobs Ended","[43] Number of Jobs Ended","[71] Number of Jobs Ended","[33] Number of Jobs Ended","[56] Number of Jobs Ended","[28] Number of Jobs Ended","[29] Number of Jobs Ended","[51] Number of Jobs Ended","[65] Number of Jobs Ended","[35] Number of Jobs Ended","[27] Number of Jobs Ended","[41] Number of Jobs Ended","[58] Number of Jobs Ended","[52] Number of Jobs Ended","[55] Number of Jobs Ended","[67] Number of Jobs Ended","[44] Number of Jobs Ended","[45] Number of Jobs Ended","[34] Number of Jobs Ended","[49] Number of Jobs Ended","[68] Number of Jobs Ended","[23] Number of Jobs Ended","[31] Number of Jobs Ended","[38] Number of Jobs Ended","[46] Number of Jobs Ended","[37] Number of Jobs Ended","[39] Number of Jobs Ended","[57] Number of Jobs Ended","[63] Number of Jobs Ended","[66] Number of Jobs Ended"
2015-08-11,1294,236,64,16,36,8,8,15,8,7,21,0,3,0,25,3,0,1,0,1,0,0,0,0,9,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,21377,233,31,18,32,11,13,7,27,10,9,1,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,7200,168,78,15,37,10,37,17,27,5,6,0,8,3,0,1,19,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,1901,72,77,24,40,30,12,9,10,8,5,2,3,1,0,1,2,0,1,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,987,81,52,17,36,21,21,1,17,6,6,17,6,2,0,2,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-16,601,148,51,28,43,18,36,3,12,8,4,6,4,0,0,1,0,0,1,1,3,0,0,0,0,0,2,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,894,421,177,51,92,25,74,8,22,33,1,2,1,4,12,8,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,2622,166,148,28,59,20,31,10,9,9,0,11,12,0,0,8,0,0,2,1,6,1,0,0,0,0,0,7,1,0,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,8941,386,164,31,54,21,98,17,15,17,7,0,4,0,3,5,2,1,5,1,0,0,1,0,0,0,8,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,2092,322,202,22,32,15,29,6,17,11,10,0,0,0,3,8,3,1,11,0,0,0,0,2,1,0,21,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-08-21,1690,268,169,42,25,8,60,4,11,3,9,1,0,0,0,4,0,4,0,2,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,709,175,157,29,23,4,7,13,7,3,11,1,0,4,3,1,0,17,2,9,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,833,175,159,18,9,0,32,15,10,2,1,1,0,1,1,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,1581,333,98,48,16,4,71,12,20,35,5,7,0,2,2,2,7,6,8,14,0,1,1,0,0,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,1408,850,74,30,17,0,12,25,6,18,3,13,2,3,2,7,2,0,0,7,0,2,0,0,2,1,0,0,1,0,6,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,2022,252,81,43,12,21,4,8,38,11,1,5,4,10,3,3,0,3,5,45,3,0,0,0,2,3,0,3,0,7,3,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,18313,224,66,65,19,5,57,16,26,29,27,2,7,9,7,3,0,2,0,2,0,1,1,0,1,6,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,3585,219,87,54,5,9,60,7,10,52,16,0,15,5,4,6,0,1,0,0,0,1,3,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,31881,131,61,48,26,32,10,9,17,19,8,7,20,6,0,4,0,1,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-30,7131,160,30,34,23,15,2,12,9,19,9,0,2,4,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-31,6656,255,105,23,8,17,8,7,33,21,21,0,33,0,11,2,1,0,5,3,0,1,0,0,0,0,0,0,0,1,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-09-01,6008,319,192,82,9,2,12,6,6,2,5,8,3,0,6,2,1,1,1,3,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,9359,236,61,14,24,7,4,3,17,4,10,2,7,0,6,1,1,0,0,11,0,0,1,0,1,0,4,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,5783,320,57,17,21,8,2,4,1,9,18,0,4,1,1,2,2,12,0,16,0,1,0,5,0,0,8,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,5246,283,15,25,5,13,1,3,1,4,20,0,3,0,0,3,1,0,3,8,0,2,0,1,1,0,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-05,5017,165,2704,24,2,4,2,2,3,1,13,1,3,1,2,3,0,5,0,2,4,1,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-06,4834,209,1463,22,5,13,2,1,3,1,11,0,0,0,0,1,1,4,0,0,4,0,5,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,6984,332,13,28,0,9,0,2,3,0,1,0,1,2,1,5,8,4,0,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-09-08,2201,298,49,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,1277,299,29,48,5,7,2,9,3,0,23,0,0,1,0,6,2,3,3,2,6,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-10,1134,270,122,42,7,7,7,14,5,4,5,0,1,0,1,2,0,2,0,4,2,0,1,0,0,0,0,4,0,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,3761,256,258,28,3,14,3,2,6,11,2,0,2,3,0,2,0,5,8,0,2,0,5,7,0,0,2,1,0,0,2,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,887,157,269,25,5,6,11,14,1,1,4,0,0,0,0,5,0,4,2,0,4,0,2,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-13,12824,171,107,5,0,1,1,2,13,3,1,0,0,0,1,3,0,5,1,0,3,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,6438,357,57,15,14,26,8,18,13,2,2,0,0,0,2,1,1,3,2,2,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,6040,409,146,26,3,6,0,8,22,6,10,0,0,1,0,3,0,3,2,9,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-16,7174,288,151,17,17,26,14,100,21,18,19,0,0,1,0,7,1,4,2,1,4,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,7253,231,111,26,12,14,14,7,7,6,13,0,4,2,19,0,2,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,3815,394,172,54,9,13,14,4,47,17,6,0,37,0,3,5,1,4,1,3,3,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2015-09-19,1050,168,54,7,5,3,2,3,7,4,3,0,0,0,0,1,0,2,1,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-20,728,155,260,46,8,4,3,8,0,8,1,0,0,0,0,4,0,0,0,1,5,0,3,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-21,1527,205,198,347,2,5,10,6,6,6,4,0,0,1,4,5,2,3,2,0,0,0,0,3,0,0,0,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015-09-22,1440,282,25,76,8,2,29,9,9,7,10,0,4,2,0,3,0,4,0,0,6,0,1,2,0,0,0,6,0,1,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-23,913,295,100,45,7,13,21,8,11,1,8,2,0,1,0,4,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-24,895,305,117,29,7,8,17,7,13,6,31,1,14,1,10,0,0,0,0,1,3,4,2,6,1,3,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-09-25,1345,235,63,9,8,6,10,11,1,4,9,0,1,1,13,3,0,0,0,0,6,4,2,9,1,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-26,343,117,19,5,8,3,4,9,1,11,2,0,0,0,0,3,0,12,0,1,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-27,418,116,86,10,10,4,3,8,7,3,5,0,11,0,0,0,0,9,0,0,17,0,2,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-28,981,278,66,17,10,4,21,9,6,7,2,0,2,2,16,2,0,0,0,0,17,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-29,905,276,75,23,13,23,12,13,6,4,3,0,8,0,4,3,0,0,0,0,5,0,1,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-30,741,271,47,72,8,10,10,11,10,3,9,1,2,0,0,0,0,0,0,1,2,0,1,0,4,3,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,1689,302,90,63,22,24,22,13,14,21,9,0,6,0,1,5,0,0,1,0,9,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-02,8627,187,140,53,41,19,16,13,14,6,5,1,5,4,13,5,0,3,0,3,9,0,0,2,6,14,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-03,3838,115,18,14,36,19,8,8,18,0,5,0,2,0,2,2,0,5,1,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-04,8417,186,89,7,24,5,19,6,3,0,0,0,15,2,3,1,0,0,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-05,2139,220,69,25,32,17,25,8,7,1,0,0,5,43,0,3,0,11,0,0,4,0,3,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-06,1755,453,134,17,32,83,35,11,5,3,0,0,2,4,5,1,0,5,2,0,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-07,1984,314,87,61,39,82,19,26,16,14,7,0,3,12,4,3,0,17,7,0,4,0,0,0,0,0,1,3,7,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08,6522,346,51,132,30,70,31,216,31,4,7,0,8,26,3,0,0,3,3,3,11,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2015-10-09,2795,372,59,83,47,9,15,24,10,8,3,0,8,24,3,1,0,2,0,0,10,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-10,2706,134,41,44,32,19,37,70,7,4,5,0,9,1,2,1,0,5,0,3,6,0,0,0,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-10-11,4766,221,60,41,26,24,4,18,13,12,2,0,6,2,0,1,0,1,1,2,3,18,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-12,1612,413,217,28,69,12,15,47,14,9,6,0,7,5,7,0,0,0,1,5,6,0,0,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-13,2499,425,242,66,38,15,48,136,13,14,2,0,10,23,1,8,0,2,0,0,4,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-14,4305,509,372,114,19,5,45,169,8,15,4,0,4,1,5,2,0,0,0,2,1,7,0,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-15,4746,378,310,82,21,6,30,35,17,6,5,1,4,5,1,1,2,4,2,1,1,8,0,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-16,2014,370,214,49,18,7,99,17,12,15,3,0,5,1,0,2,9,3,1,1,4,2,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-17,2034,182,166,86,20,9,15,7,2,10,2,2,0,6,0,0,13,1,1,0,1,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-18,1311,152,213,45,38,8,84,65,12,1,1,8,3,1,0,0,0,3,0,1,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-19,6032,278,75,68,23,7,57,181,9,7,0,36,2,1,0,0,1,1,0,0,2,7,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-20,7059,330,33,77,53,28,44,174,34,2,6,22,23,0,2,2,0,5,0,1,17,21,1,0,0,7,16,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-21,2673,269,68,79,74,33,29,23,14,15,41,7,0,24,5,0,1,2,0,2,1,9,2,0,2,7,15,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-10-22,2944,311,49,74,66,27,15,13,26,12,28,6,4,3,1,0,0,15,0,2,1,0,4,10,0,6,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-23,2262,329,48,58,96,29,31,63,25,6,11,28,5,25,2,0,5,3,0,1,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-24,3133,141,31,52,38,23,16,42,13,9,11,57,4,4,3,1,0,1,1,1,3,0,1,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
