title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[10] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[12] Number of Jobs Ended","[16] Number of Jobs Ended","[5] Number of Jobs Ended","[22] Number of Jobs Ended","[64] Number of Jobs Ended","[24] Number of Jobs Ended","[20] Number of Jobs Ended","[32] Number of Jobs Ended","[9] Number of Jobs Ended","[60] Number of Jobs Ended","[25] Number of Jobs Ended","[15] Number of Jobs Ended","[7] Number of Jobs Ended","[18] Number of Jobs Ended","[72] Number of Jobs Ended","[30] Number of Jobs Ended","[11] Number of Jobs Ended","[40] Number of Jobs Ended","[48] Number of Jobs Ended","[36] Number of Jobs Ended","[50] Number of Jobs Ended","[43] Number of Jobs Ended","[14] Number of Jobs Ended","[13] Number of Jobs Ended","[17] Number of Jobs Ended","[42] Number of Jobs Ended","[70] Number of Jobs Ended","[21] Number of Jobs Ended","[62] Number of Jobs Ended","[34] Number of Jobs Ended","[35] Number of Jobs Ended","[45] Number of Jobs Ended","[26] Number of Jobs Ended","[54] Number of Jobs Ended","[28] Number of Jobs Ended","[38] Number of Jobs Ended","[56] Number of Jobs Ended","[46] Number of Jobs Ended","[33] Number of Jobs Ended","[27] Number of Jobs Ended","[19] Number of Jobs Ended","[31] Number of Jobs Ended","[65] Number of Jobs Ended","[23] Number of Jobs Ended","[41] Number of Jobs Ended","[44] Number of Jobs Ended","[52] Number of Jobs Ended","[53] Number of Jobs Ended","[55] Number of Jobs Ended","[49] Number of Jobs Ended","[63] Number of Jobs Ended","[37] Number of Jobs Ended","[39] Number of Jobs Ended","[61] Number of Jobs Ended","[29] Number of Jobs Ended","[47] Number of Jobs Ended","[67] Number of Jobs Ended","[68] Number of Jobs Ended","[66] Number of Jobs Ended","[57] Number of Jobs Ended","[58] Number of Jobs Ended","[59] Number of Jobs Ended"
2016-02-11,1312,818,13,31,28,18,7,84,3,19,2,0,6,5,0,3,0,1,6,1,1,2,0,1,4,0,0,2,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,1917,887,22,75,18,48,8,25,6,8,0,1,3,9,1,6,0,1,9,0,9,2,1,0,6,0,0,1,0,2,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-13,694,494,6,7,2,11,2,13,1,0,0,1,1,2,2,0,0,0,2,0,2,2,0,0,5,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,1070,1144,10,13,4,31,10,7,1,2,0,0,0,2,3,0,1,0,1,0,0,4,0,0,3,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-15,2050,348,18,63,24,22,10,10,7,4,3,1,31,4,4,0,8,0,6,0,8,21,1,0,12,2,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-16,1572,334,20,35,27,16,6,22,6,3,1,1,36,1,3,0,1,8,5,0,2,15,0,0,2,1,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-17,1639,395,33,45,6,21,3,8,3,23,1,1,0,8,2,1,0,6,5,0,5,10,0,0,5,40,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-18,2041,430,23,69,26,12,13,73,10,12,0,1,1,4,0,1,0,0,3,0,2,3,0,0,6,32,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-19,1949,314,18,1017,14,25,3,113,7,14,2,1,0,20,0,1,0,17,4,1,12,2,1,0,1,46,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-20,1246,202,10,74,20,38,1,15,5,0,1,1,2,8,0,1,0,2,3,1,4,2,0,0,0,15,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,1265,161,36,1775,5,8,4,11,50,12,3,0,4,8,0,0,0,0,2,0,0,2,1,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-22,1605,371,34,1035,23,36,4,3,15,4,1,2,2,9,11,4,0,0,3,0,0,6,3,4,1,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-23,5089,409,39,191,10,31,8,12,8,18,4,0,2,8,2,1,0,5,5,0,0,0,5,1,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-24,6686,461,28,93,61,24,11,16,21,15,6,2,30,6,25,2,9,22,3,1,0,0,2,1,1,12,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-25,3272,413,8,44,9,13,7,80,15,20,8,1,0,1,0,2,0,3,1,1,0,9,1,1,4,27,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-26,1775,409,31,90,31,33,12,17,23,13,2,0,2,2,14,1,1,2,0,1,0,3,1,0,1,19,0,1,4,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-27,998,279,3,39,32,41,6,13,10,25,7,1,2,4,1,0,0,4,3,2,0,11,1,1,3,42,4,3,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-28,1257,381,8,57,25,37,19,16,13,23,0,4,31,2,0,0,0,2,1,3,0,18,0,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-29,2419,569,24,43,35,50,12,51,25,20,4,1,59,1,4,0,1,7,1,3,0,10,2,3,3,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,1721,443,20,91,76,46,5,26,33,17,3,0,62,9,33,11,0,1,15,0,0,27,0,2,1,0,0,2,1,1,0,2,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-02,2095,327,15,72,31,72,3,14,15,4,1,1,39,13,8,0,1,1,10,1,0,11,0,5,2,0,0,4,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-03,3174,288,9,123,42,54,10,23,27,17,5,2,3,15,2,5,1,3,0,0,0,11,2,17,5,2,0,5,1,0,0,1,0,1,0,0,3,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-04,2409,372,8,92,45,36,9,6,34,20,2,0,0,3,37,3,0,2,0,0,0,16,0,4,1,4,0,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-05,1295,311,7,107,14,50,28,18,31,11,3,0,4,4,0,1,4,1,0,0,0,0,0,2,6,7,19,5,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-06,1104,275,5,63,49,141,16,15,20,18,6,1,3,10,0,5,2,0,0,0,0,0,0,1,4,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-07,2055,358,48,168,87,223,25,23,37,16,7,0,4,35,38,2,6,3,0,0,0,0,0,1,11,6,6,5,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-08,1913,305,35,40,102,34,6,84,22,15,8,4,3,10,2,10,12,8,1,0,0,2,2,2,1,5,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-03-09,5325,332,5,81,24,225,30,81,46,5,14,1,4,6,6,8,1,14,9,0,9,9,1,2,9,5,8,2,0,1,0,2,0,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-03-10,2063,628,9,34,74,86,5,18,15,13,13,1,3,17,12,17,1,9,4,0,3,2,0,0,6,4,7,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-11,2447,198,0,39,42,26,3,31,21,21,8,0,1,21,0,32,1,4,2,0,0,8,2,0,2,3,11,0,0,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-12,1003,222,4,47,122,95,2,42,6,7,9,0,1,0,0,11,0,11,4,0,0,3,3,1,2,0,10,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-03-13,157,22,0,8,6,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-14,5275,281,22,59,9,54,4,13,25,10,15,0,3,0,9,0,0,0,25,0,6,1,1,3,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-15,7804,481,19,91,35,20,7,20,25,3,12,0,5,6,5,4,2,9,8,1,1,4,2,1,1,1,0,1,0,1,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-16,15568,567,29,63,23,111,4,50,24,1,13,3,7,5,5,5,2,10,8,1,11,2,3,1,6,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-17,10678,434,17,32,33,117,6,78,19,6,6,10,0,17,16,8,12,0,18,1,3,8,8,4,5,1,10,5,2,0,0,0,0,5,2,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-18,1985,898,5,24,14,176,7,39,20,6,6,0,6,7,12,10,3,0,16,6,3,3,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,11,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-19,1576,648,5,30,21,185,5,5,18,9,2,0,2,3,0,8,0,0,17,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-20,2289,240,1,11,4,294,2,3,19,41,0,0,5,5,0,3,0,2,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-21,10605,324,7,54,17,585,6,13,25,7,1,5,9,5,1,7,0,11,5,1,4,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-22,8219,462,14,732,21,118,12,20,43,36,3,4,14,14,5,1,1,2,8,12,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-23,4267,465,4,131,25,340,8,14,31,3,0,1,3,3,4,2,10,9,1,12,0,1,2,1,1,1,0,3,1,0,0,0,0,1,0,0,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-24,5954,327,10,2072,16,404,4,7,29,22,0,2,0,4,4,1,14,2,7,0,0,6,0,2,8,0,0,0,1,0,0,0,0,0,1,0,14,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-25,12835,241,12,5073,35,37,3,8,35,10,0,0,5,1,8,4,1,2,8,2,3,1,0,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-26,22908,280,3,1176,10,15,2,14,9,1,0,0,1,1,10,6,1,2,0,6,4,0,1,0,8,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-27,8125,227,1,63,26,34,0,8,6,5,0,1,0,1,18,5,1,0,2,11,0,0,0,0,5,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-28,11000,399,7,1111,46,83,5,11,22,11,2,3,1,1,25,5,6,1,2,1,6,1,1,0,5,8,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-29,13616,431,9,75,42,148,21,13,16,13,3,0,4,5,20,4,3,0,1,2,12,1,1,1,14,4,0,0,5,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-30,23211,386,9,100,13,252,22,7,22,18,0,0,9,10,7,1,0,0,7,4,36,1,0,1,11,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,10450,354,27,71,69,81,21,10,18,19,0,0,8,4,3,11,17,0,14,12,22,4,0,7,3,0,0,0,1,8,7,5,0,2,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,14341,311,5,129,22,63,13,34,15,15,0,0,7,4,10,1,16,0,5,20,3,4,2,0,4,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-02,22356,197,8,147,21,44,10,5,11,14,0,0,2,7,3,0,7,4,5,0,27,2,5,0,6,1,1,2,0,0,0,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-04-03,8312,200,4,54,9,20,2,8,8,4,0,0,2,6,1,0,2,0,10,5,17,0,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-04,6110,300,10,41,37,47,19,33,24,38,8,7,9,9,14,11,30,0,9,7,20,0,2,9,1,0,0,3,1,7,7,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-05,5616,408,8,49,30,122,42,34,29,11,5,6,0,2,4,4,20,10,3,2,35,0,3,1,4,6,0,0,4,2,2,1,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-04-06,7512,485,4,57,32,49,12,83,16,8,7,13,1,1,4,0,21,14,7,0,9,4,2,0,1,3,0,0,1,1,0,5,19,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
2016-04-07,20745,627,7,37,26,27,20,12,12,7,3,25,2,7,4,3,3,0,8,2,31,2,1,2,0,4,0,0,0,0,2,2,10,3,0,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-04-08,26454,482,7,80,149,146,17,6,9,8,8,17,2,1,2,7,2,1,7,10,15,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-09,15084,271,16,49,92,46,7,5,7,7,14,21,0,3,2,124,4,0,6,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-10,14569,296,4,92,44,43,7,9,15,3,5,22,10,2,4,14,6,1,9,6,3,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-11,19429,389,7,69,22,130,6,13,26,2,6,18,5,1,14,13,24,1,5,0,2,5,0,1,5,0,0,1,0,0,0,0,11,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-12,12388,397,19,53,49,30,6,9,15,9,2,11,4,3,6,11,7,1,6,0,2,8,0,5,2,0,4,0,3,3,0,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-13,6787,486,60,70,29,109,7,62,26,24,2,7,2,7,12,23,5,2,3,11,9,7,0,3,1,0,10,0,1,11,0,0,3,3,3,0,0,0,1,2,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-14,9471,338,29,104,38,28,20,43,25,7,6,11,4,1,4,6,8,0,0,0,38,3,0,1,0,0,13,0,1,1,0,0,3,0,2,0,0,0,2,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-15,5240,266,37,118,23,27,21,20,16,11,2,7,9,10,7,2,22,1,11,2,66,5,0,3,1,0,7,1,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-16,5512,174,5,67,23,18,19,15,6,16,0,0,1,6,8,19,2,1,35,7,102,0,1,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-17,22264,277,23,327,15,22,13,135,4,4,5,0,1,4,6,83,3,0,25,4,3,0,0,0,2,0,5,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-18,12854,560,22,80,78,18,21,42,11,6,0,2,1,3,7,0,8,6,29,2,0,1,1,1,2,1,4,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-19,6326,705,21,42,21,36,24,132,16,23,0,5,2,13,12,5,4,8,5,8,5,1,2,0,1,0,3,0,3,3,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-20,8569,884,50,61,73,18,25,190,9,22,1,1,7,9,4,3,3,8,1,0,11,5,0,1,4,2,10,0,4,0,0,1,0,0,1,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-21,15125,683,22,100,70,108,20,27,19,18,0,3,4,4,4,4,4,2,0,4,8,7,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
