title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2011-02-01,2011-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[8] Number of Jobs Ended","[4] Number of Jobs Ended","[32] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[16] Number of Jobs Ended","[20] Number of Jobs Ended","[5] Number of Jobs Ended","[12] Number of Jobs Ended","[10] Number of Jobs Ended","[24] Number of Jobs Ended","[7] Number of Jobs Ended","[9] Number of Jobs Ended","[18] Number of Jobs Ended","[28] Number of Jobs Ended","[15] Number of Jobs Ended","[13] Number of Jobs Ended","[23] Number of Jobs Ended","[14] Number of Jobs Ended","[25] Number of Jobs Ended","[26] Number of Jobs Ended","[30] Number of Jobs Ended","[11] Number of Jobs Ended","[22] Number of Jobs Ended"
2011-03-07,30,58,2,3,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-08,29,62,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-09,47,56,2,3,10,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-10,33,53,4,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-11,36,28,4,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-12,37,25,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-14,27,11,8,3,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-15,46,60,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-16,80,47,2,12,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-17,30,27,29,26,2,3,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-18,50,25,2,16,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-19,57,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-20,61,15,18,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-21,127,76,3,5,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-22,70,39,1,5,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-23,60,42,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-24,35,33,4,7,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-25,53,36,33,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-26,20,15,1,13,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-27,12,21,0,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-28,32,26,0,7,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-29,102,52,3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-30,86,51,1,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-31,107,34,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,80,22,1,0,2,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-02,28,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-03,11,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-04,10,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-05,13,1,11,1,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-06,25,32,6,0,5,1,5,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-07,43,49,8,0,2,6,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-08,47,34,2,1,1,6,0,0,2,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2011-04-09,44,19,1,2,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-10,57,17,8,1,0,8,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-11,81,24,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-12,143,36,3,5,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-13,149,39,11,10,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-04-14,144,49,7,3,0,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-04-15,90,54,6,8,0,5,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1
2011-04-16,63,11,2,0,5,7,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-04-17,46,12,1,0,3,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-04-18,71,48,5,7,5,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2011-04-19,71,34,2,1,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2011-04-20,121,54,5,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-21,253,46,4,0,9,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-04-22,68,41,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-23,249,19,4,5,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-24,251,21,15,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-25,157,28,54,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-04-26,194,36,10,2,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-27,406,99,19,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-28,567,71,12,0,5,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-29,895,111,16,1,12,16,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-30,780,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,914,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-02,570,65,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-03,868,97,6,6,15,41,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-04,504,75,15,5,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-05,338,86,6,2,4,14,1,0,0,8,1,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0
2011-05-06,581,80,3,13,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-07,1185,60,1,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-08,607,39,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-09,196,64,0,13,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-10,393,58,5,11,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-11,266,114,5,15,3,8,1,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2011-05-12,370,80,2,9,0,6,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-13,405,98,4,6,0,2,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
2011-05-14,1212,36,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-15,298,72,10,18,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-16,146,89,5,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-17,356,46,9,17,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-18,325,45,18,12,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-19,238,23,17,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-20,447,65,6,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-21,308,82,10,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-22,317,10,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-23,32,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-24,1117,31,1,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-25,4000,97,20,10,15,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2011-05-26,3179,97,28,11,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-27,5080,91,18,7,0,16,0,0,1,7,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-28,4269,41,23,14,0,1,0,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-29,2646,47,5,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-30,3765,72,29,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-31,1691,81,17,7,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,325,9,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-02,407,7,1,3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-03,2536,17,12,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-04,294,34,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-05,692,58,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-06,1032,134,22,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-07,5343,91,46,35,36,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-08,1059,81,52,2,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-09,482,83,62,5,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,4640,53,59,2,20,3,1,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-11,9713,28,23,0,14,2,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-12,7611,39,26,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-13,5174,79,79,6,25,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-14,6243,139,8,16,13,1,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-15,6841,202,14,5,17,2,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-06-16,5025,225,22,12,9,3,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-17,2048,162,2,10,8,4,3,1,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-18,491,38,23,3,11,1,2,7,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-19,313,54,17,21,20,1,5,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-20,321,42,12,20,24,3,0,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-21,401,93,9,8,21,3,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-22,605,116,51,5,14,13,3,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-23,757,98,12,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-24,1222,85,15,1,0,2,2,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-25,953,61,2,3,0,1,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-26,4097,81,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-27,626,36,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,1263,45,12,4,0,4,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-29,172,31,25,2,6,1,6,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,304,61,26,3,10,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,176,117,18,1,1,0,36,5,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-02,228,28,2,2,12,1,25,1,4,2,1,0,14,0,0,0,6,0,0,0,0,0,1,0,0,0
2011-07-03,217,80,40,47,42,0,5,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-04,228,47,1,6,1,1,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-05,190,97,0,3,4,0,45,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,259,105,12,0,9,0,22,9,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2011-07-07,304,97,5,5,7,2,27,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-07-08,294,57,6,2,2,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-09,122,26,0,1,4,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-10,152,35,13,1,0,0,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-11,192,78,4,8,2,5,14,13,19,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2011-07-12,319,60,2,3,6,1,0,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-13,1161,80,7,8,0,2,6,1,9,29,3,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0
2011-07-14,4477,119,0,16,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-15,391,116,2,21,1,3,28,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-16,2836,39,0,5,3,1,12,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-17,438,1687,0,8,0,1,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-18,511,171,0,3,9,1,0,17,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2011-07-19,572,79,0,8,16,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-07-20,1819,62,0,1,8,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-07-21,3298,74,0,15,7,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-22,2464,75,0,12,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-23,2716,22,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-24,1784,16,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-25,5025,82,0,50,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-26,5222,76,0,47,10,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-27,3242,78,0,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-28,522,62,0,13,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-29,229,18,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-30,172,64,6,18,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-07-31,190,36,22,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
