title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[16] Number of Jobs Ended","[32] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[12] Number of Jobs Ended","[18] Number of Jobs Ended","[10] Number of Jobs Ended","[5] Number of Jobs Ended","[9] Number of Jobs Ended","[14] Number of Jobs Ended","[24] Number of Jobs Ended","[28] Number of Jobs Ended","[17] Number of Jobs Ended","[13] Number of Jobs Ended","[7] Number of Jobs Ended","[15] Number of Jobs Ended","[20] Number of Jobs Ended","[22] Number of Jobs Ended","[19] Number of Jobs Ended","[30] Number of Jobs Ended","[21] Number of Jobs Ended","[26] Number of Jobs Ended","[11] Number of Jobs Ended","[25] Number of Jobs Ended"
2012-08-22,333,37,56,19,3,6,9,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-23,502,147,51,3,6,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-24,323,149,16,26,2,1,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-25,1832,49,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-26,395,35,7,6,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-27,465,90,33,3,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-28,577,93,7,10,2,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-29,786,203,24,14,0,0,11,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-08-30,408,147,15,12,1,0,10,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-31,1256,86,8,18,1,0,13,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,1369,30,31,4,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-02,706,15,20,3,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-03,376,58,2,6,1,191,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-04,682,81,8,3,0,9,8,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-05,1205,113,18,6,10,117,13,9,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-06,2679,94,26,70,1,17,18,9,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-07,3700,98,35,306,2,1,12,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-08,368,28,15,56,1,1,3,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-09,199,61,5,115,4,31,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-10,2563,109,32,36,11,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-11,3106,119,28,158,2,6,3,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-12,3108,86,35,165,0,13,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-09-13,3113,116,29,22,2,21,6,5,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-14,3085,78,31,7,5,20,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-15,5120,42,135,6,3,8,2,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2012-09-16,1536,65,8,3,1,1,1,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-17,3200,66,13,19,1,0,6,2,2,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-09-18,3411,104,19,84,1,4,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-19,4631,133,43,6,0,1,7,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-20,2614,102,96,7,0,2,14,1,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-09-21,1727,60,45,10,2,2,6,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-22,377,34,53,81,0,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-23,555,92,30,64,0,2,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-24,368,224,79,0,2,1,3,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-25,2740,73,50,28,0,1,12,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0
2012-09-26,690,91,68,109,4,1,4,1,3,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-27,518,102,23,3,4,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-09-28,887,156,46,9,5,3,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-29,281,62,21,13,4,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-30,287,34,11,3,0,0,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,494,91,47,7,16,0,8,3,3,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-02,1026,85,30,8,11,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-03,837,74,9,11,14,0,3,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-10-04,1919,285,46,51,36,0,11,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-10-05,370,45,50,42,22,0,9,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-10-06,777,24,3,40,14,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-07,849,57,4,39,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-08,4212,90,10,55,9,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-09,4546,127,12,37,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-10,2910,177,17,21,3,0,4,0,1,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-11,1688,80,32,15,7,3,9,1,0,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-10-12,598,101,43,18,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2012-10-13,567,33,11,12,2,0,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2012-10-14,389,35,13,16,3,3,0,0,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-15,968,65,7,24,4,6,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-16,884,107,8,10,2,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-17,1014,155,14,16,5,0,5,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-18,1050,133,18,14,8,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-19,1335,96,15,18,0,2,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-20,1318,59,16,6,2,0,0,1,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-21,531,27,20,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-22,316,50,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-23,2703,124,11,12,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-24,2444,113,11,11,4,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-10-25,2816,76,7,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
2012-10-26,1273,85,6,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-27,788,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-28,898,35,31,0,2,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-29,1785,66,40,1,2,1,5,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-10-30,1497,148,23,2,1,1,5,0,3,16,2,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2012-10-31,2102,171,10,4,2,0,3,4,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2012-11-01,1467,156,24,15,12,0,14,3,4,6,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0
2012-11-02,3627,88,44,18,7,0,0,1,7,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
2012-11-03,2857,33,41,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-11-04,4623,197,426,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-11-05,929,62,41,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-11-06,4310,96,16,5,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-07,2818,77,28,3,3,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-08,925,104,23,8,2,0,2,2,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2012-11-09,2408,77,49,0,1,5,4,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,1
2012-11-10,1188,60,25,0,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-11,859,53,54,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-12,1182,82,38,13,2,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-13,3021,119,36,8,7,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-14,3272,107,40,25,7,0,4,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-15,1480,126,28,14,13,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-16,738,72,31,9,7,2,6,1,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-17,1027,30,16,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-11-18,674,48,11,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-19,1135,130,41,1,1,1,4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-20,1513,104,41,7,7,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-21,2148,114,43,4,3,2,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-22,1877,69,28,1,1,10,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-23,541,64,34,2,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-24,785,51,255,3,0,2,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-25,785,52,238,9,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-26,1485,256,126,2,1,1,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-27,2019,166,25,3,3,1,10,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-28,2287,98,12,5,1,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-29,3181,103,13,2,4,15,13,0,1,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0
2012-11-30,500,108,13,7,9,2,7,0,1,3,0,1,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0
2012-12-01,824,83,16,14,3,3,16,0,1,3,2,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-12-02,919,90,5,4,0,13,9,5,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2012-12-03,1213,160,6,1,2,6,11,3,0,0,0,4,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
2012-12-04,1849,130,11,1,11,1,8,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-05,2543,145,8,17,3,5,7,8,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-06,937,161,10,4,2,0,13,6,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07,3873,137,13,2,11,2,9,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-08,3658,118,11,0,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-09,1668,73,4,2,8,74,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-10,3843,139,31,0,4,29,0,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-11,7450,128,14,1,3,4,9,3,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-12,6269,108,13,8,1,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-13,2712,88,10,8,9,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-14,3377,133,8,6,11,0,3,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-15,257,75,3,2,93,0,6,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-16,4286,57,2,1,7,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-17,1464,108,7,7,4,0,1,6,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-18,1046,115,10,1,2,6,0,4,19,1,4,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2012-12-19,648,97,2,5,4,1,1,5,0,5,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2012-12-20,419,86,2,131,7,12,0,8,0,2,2,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2012-12-21,451,61,8,118,15,24,0,2,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-22,377,64,2,5,0,0,1,3,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-12-23,1199,107,2,29,0,7,8,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-12-24,919,74,3,2,0,5,4,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-25,241,46,2,3,1,1,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2012-12-26,579,52,2,70,0,1,0,4,4,0,1,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2012-12-27,688,52,2,85,1,2,2,3,1,0,2,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2012-12-28,575,70,6,16,3,2,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-29,352,52,4,28,2,6,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-30,140,62,4,53,2,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-31,319,61,6,36,2,1,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,574,39,4,1,0,0,2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-02,2332,109,12,8,4,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-03,1112,137,8,9,3,10,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-04,525,103,5,13,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-05,292,50,4,11,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-06,1334,88,1,3,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-01-07,2868,117,15,4,13,0,3,4,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013-01-08,1976,109,21,1,2,0,8,7,1,0,2,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0
2013-01-09,2795,137,8,38,14,2,6,9,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,1053,91,13,100,19,0,8,5,4,0,16,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2013-01-11,1936,144,9,2,10,0,4,9,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-12,561,35,5,1,9,0,32,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-13,739,52,10,4,8,2,7,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,844,101,5,1,3,1,12,16,0,0,0,0,3,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-01-15,970,124,10,0,4,2,3,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,937,97,12,7,5,1,2,6,0,0,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-17,975,137,18,2,10,0,2,13,0,0,4,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-18,522,88,20,5,5,0,4,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-19,745,51,4,5,1,1,4,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,703,53,19,2,2,0,1,5,0,5,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-21,785,103,10,1,15,1,4,5,0,7,1,0,2,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0
2013-01-22,1034,77,34,4,3,0,1,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
2013-01-23,1567,133,24,11,6,0,3,3,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013-01-24,2202,104,24,26,5,1,1,7,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-25,1361,71,16,10,20,0,5,11,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-26,818,54,18,3,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-27,1009,96,7,3,3,1,5,6,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-28,694,159,20,1,3,0,0,6,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-29,1073,114,9,11,9,3,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-30,1786,140,7,32,34,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-01-31,486,212,8,6,12,0,4,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
