title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[32] Number of Jobs Ended","[16] Number of Jobs Ended","[3] Number of Jobs Ended","[6] Number of Jobs Ended","[12] Number of Jobs Ended","[9] Number of Jobs Ended","[10] Number of Jobs Ended","[24] Number of Jobs Ended","[5] Number of Jobs Ended","[20] Number of Jobs Ended","[31] Number of Jobs Ended","[22] Number of Jobs Ended","[11] Number of Jobs Ended","[18] Number of Jobs Ended","[7] Number of Jobs Ended","[17] Number of Jobs Ended","[15] Number of Jobs Ended","[30] Number of Jobs Ended","[14] Number of Jobs Ended","[25] Number of Jobs Ended","[28] Number of Jobs Ended","[13] Number of Jobs Ended","[26] Number of Jobs Ended"
2014-08-23,269,109,6,4,1,3,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-08-24,229,63,5,8,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-25,307,175,7,1,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-08-26,424,204,5,5,4,8,6,1,1,0,4,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2014-08-27,546,117,48,5,2,4,8,0,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-08-28,430,156,7,2,0,7,6,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-08-29,299,117,18,7,2,0,3,0,2,6,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-30,539,45,15,5,128,3,2,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2014-08-31,218,48,12,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-09-01,397,88,13,2,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-09-02,535,148,16,3,5,0,3,0,0,0,0,4,0,1,0,3,0,1,0,0,2,2,0,0,1,0,1
2014-09-03,558,196,51,5,0,3,7,0,6,16,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2014-09-04,663,126,12,4,1,0,10,1,2,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-05,459,111,18,3,0,2,1,0,5,8,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-06,349,93,13,3,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-07,530,88,16,4,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-08,546,173,65,6,1,2,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-09,531,113,35,1,3,1,5,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-10,500,191,8,5,0,0,0,0,3,2,6,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-09-11,602,206,11,10,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-12,745,147,27,7,0,1,2,0,20,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-13,551,129,22,10,0,0,7,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-09-14,280,111,7,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-15,132,178,7,4,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-16,535,80,11,5,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-17,1623,278,6,0,0,0,2,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-18,303,254,7,6,0,0,4,3,4,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-19,557,190,15,13,0,0,3,2,7,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-20,245,78,5,2,0,2,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-21,470,142,7,5,0,0,15,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-22,572,183,11,1,0,0,3,1,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-23,403,216,30,6,0,4,10,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-24,323,153,24,6,0,3,2,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-25,511,174,17,4,0,15,2,7,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-26,577,207,6,10,0,2,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-27,184,145,4,2,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-28,412,213,8,10,4,3,0,0,4,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-29,506,236,17,8,0,1,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-30,1006,250,13,11,0,3,3,2,7,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,857,159,13,13,1,4,31,1,5,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-02,1384,165,6,6,1,9,7,7,4,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-03,841,195,36,13,4,6,8,17,18,33,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-04,950,53,6,2,5,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-05,481,95,9,8,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-06,500,129,15,7,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-07,478,134,14,9,2,7,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-08,585,153,30,10,8,3,6,14,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-09,230,156,20,12,0,1,4,35,1,0,5,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0
2014-10-10,273,97,39,12,1,1,7,5,0,1,3,0,8,5,0,0,0,0,2,1,0,2,0,0,0,0,0
2014-10-11,167,93,18,20,0,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-12,202,81,49,2,0,0,8,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-13,597,159,6,14,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-14,1247,182,13,10,0,1,14,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-15,828,182,15,10,1,0,4,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-16,2607,138,16,12,3,0,11,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-17,727,123,28,8,7,0,3,1,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
2014-10-18,527,50,14,2,6,0,3,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-10-19,263,64,8,2,18,0,2,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-20,630,166,18,12,5,4,4,0,37,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-21,380,224,29,8,9,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-22,432,181,29,7,4,0,3,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-23,705,179,21,11,0,0,4,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-24,586,173,10,4,1,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2014-10-25,279,64,19,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-26,262,55,16,9,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-27,635,127,16,7,9,0,7,4,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-28,1358,276,15,40,11,4,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-29,445,233,16,23,4,3,0,2,0,0,0,0,6,0,4,0,0,0,2,0,0,0,0,0,0,0,0
2014-10-30,828,265,14,10,10,0,0,5,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-31,677,153,103,15,5,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,142,65,40,21,2,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-02,1720,21,7,1,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-03,512,228,44,7,2,1,6,3,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-04,2254,254,23,17,2,0,0,3,8,0,8,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2014-11-05,1180,193,20,16,14,0,3,1,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-06,690,155,16,11,5,0,1,0,1,0,8,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0
2014-11-07,457,156,11,24,3,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-08,262,62,16,7,0,38,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-09,249,87,36,3,1,40,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-10,364,178,72,8,2,1,1,6,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2014-11-11,413,178,23,11,1,0,3,3,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0
2014-11-12,542,220,17,20,0,0,3,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-13,1290,347,9,11,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-14,325,137,11,58,9,0,3,1,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0
2014-11-15,260,55,11,7,4,1,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-16,169,98,6,3,5,0,1,0,0,0,25,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
2014-11-17,706,145,30,10,0,0,1,7,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2014-11-18,620,245,8,25,4,0,0,9,0,2,3,0,0,1,2,0,0,5,2,0,0,0,0,0,0,0,0
2014-11-19,938,235,25,21,4,0,0,3,0,3,0,0,0,17,0,0,0,6,1,0,0,0,0,0,0,0,0
2014-11-20,1428,208,6,13,0,0,9,9,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-21,1281,183,5,18,4,0,11,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-22,713,63,6,312,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-23,454,63,10,5,4,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-24,1314,148,14,23,3,1,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-25,2428,78,11,4,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-26,731,260,13,7,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-27,584,132,14,6,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-28,756,120,6,3,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-29,431,54,12,34,0,1,3,0,0,0,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-30,174,109,18,3,40,2,3,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-12-01,653,78,16,75,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-02,1877,108,4,36,5,7,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-03,3746,339,6,16,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-04,598,205,5,32,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-05,2383,209,16,22,2,5,2,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-06,3067,156,3,1,4,2,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,2817,200,9,4,0,2,3,4,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-08,1713,265,11,11,1,3,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-09,2792,257,14,28,5,6,2,4,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,3481,293,26,13,1,1,2,2,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-12-11,3013,274,20,93,4,3,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-12,408,298,20,16,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-13,134,194,49,2,2,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-14,159,149,15,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-15,2028,266,9,6,2,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-16,2792,310,310,7,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-17,1005,243,15,12,1,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-18,597,190,19,26,1,0,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-19,1451,155,23,12,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-20,1983,66,31,10,0,3,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-21,1139,55,40,8,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-22,4269,126,46,8,0,2,3,0,0,0,0,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-23,2411,147,32,7,3,0,6,0,0,0,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-24,1293,115,27,28,1,23,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-25,652,78,18,11,11,7,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-26,156,78,6,11,5,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-27,286,79,6,6,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-28,193,96,3,8,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-29,500,157,5,10,0,5,16,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-30,89,143,7,7,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-31,68,35,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,90,47,4,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,436,64,6,1,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-03,677,58,7,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-04,140,99,6,8,4,5,5,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
2015-01-05,1688,241,112,101,97,95,3,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2015-01-06,289,161,82,41,30,31,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,337,214,103,79,69,69,5,4,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0
2015-01-08,547,198,621,20,1,0,4,1,1,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
2015-01-09,150,154,22,18,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-01-10,161,61,44,8,0,0,7,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,114,83,20,18,12,12,4,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-01-12,186,239,82,52,45,43,4,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,417,242,288,55,43,44,8,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,420,282,120,16,15,11,15,1,0,0,7,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,378,205,36,13,3,1,6,1,0,0,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,518,138,24,28,19,18,3,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,959,113,42,35,35,29,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,330,91,39,36,35,36,4,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0
2015-01-19,383,143,10,6,0,0,7,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,847,204,12,13,2,0,3,1,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,2556,175,13,26,1,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,646,204,19,18,0,0,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,1020,105,9,18,0,0,28,0,1,0,1,0,2,0,0,2,1,0,0,0,0,0,2,0,0,0,0
2015-01-24,303,54,1,221,0,0,12,0,0,0,0,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0
2015-01-25,312,44,13,15,0,0,29,0,1,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2015-01-26,313,99,1,12,0,0,10,2,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0
2015-01-27,482,203,1,4,0,1,6,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,568,242,8,10,1,0,4,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0
2015-01-29,692,239,10,6,1,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-01-30,951,224,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-01-31,377,80,6,6,0,1,7,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
---------
