title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[32] Number of Jobs Ended","[10] Number of Jobs Ended","[16] Number of Jobs Ended","[24] Number of Jobs Ended","[5] Number of Jobs Ended","[6] Number of Jobs Ended","[9] Number of Jobs Ended","[12] Number of Jobs Ended","[7] Number of Jobs Ended","[20] Number of Jobs Ended","[21] Number of Jobs Ended","[13] Number of Jobs Ended","[11] Number of Jobs Ended","[14] Number of Jobs Ended","[17] Number of Jobs Ended","[18] Number of Jobs Ended","[19] Number of Jobs Ended","[15] Number of Jobs Ended","[22] Number of Jobs Ended","[28] Number of Jobs Ended"
2014-04-02,1317,281,22,16,4,4,0,10,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-03,1606,224,10,5,16,0,0,6,3,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2014-04-04,1215,142,17,19,9,0,0,6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2014-04-05,87,3,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-04-06,974,41,12,21,9,0,0,5,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-07,2199,156,10,21,22,1,1,2,0,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-08,1874,182,6,7,9,2,0,3,1,18,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-09,1093,109,6,8,14,3,0,8,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-10,379,181,20,20,3,12,0,19,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-11,581,148,24,42,4,43,0,41,28,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-04-12,733,76,10,13,1,47,0,16,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-13,458,61,8,4,7,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-14,800,149,11,6,8,7,1,1,0,3,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0
2014-04-15,534,115,13,6,6,2,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2014-04-16,327,159,13,7,3,3,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-17,465,177,22,17,8,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-18,293,166,9,14,1,3,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-04-19,179,83,2,4,0,2,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
2014-04-20,235,86,8,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-04-21,375,196,46,54,4,1,1,0,0,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-22,539,207,27,33,2,1,6,3,0,0,1,1,3,1,0,0,3,0,0,0,0,0,0,0,0
2014-04-23,490,220,31,119,2,0,0,2,0,2,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0
2014-04-24,789,198,26,74,5,2,0,4,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-04-25,304,204,50,71,8,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-26,187,106,12,9,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-27,182,92,13,9,10,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2014-04-28,1035,185,16,21,2,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-29,737,213,17,15,3,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-30,1279,229,18,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,2982,185,28,37,6,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-02,3487,187,12,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-03,678,89,27,10,0,0,0,0,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-04,193,75,8,12,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-05,870,154,41,12,0,4,3,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-06,480,217,9,27,2,1,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-07,2431,226,12,31,0,6,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-08,4095,152,22,21,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2014-05-09,625,170,20,17,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-10,372,114,10,8,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-11,638,113,20,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-12,928,280,32,13,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-13,626,221,41,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-14,1022,277,22,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-15,1206,285,17,6,1,3,0,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-16,451,229,14,56,0,1,0,0,0,8,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-17,208,57,15,12,0,0,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-18,412,131,11,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-19,407,223,12,25,14,0,1,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-20,1042,187,7,10,4,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-21,818,178,24,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-22,1407,200,16,16,3,0,2,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-23,2321,201,71,43,7,0,1,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-24,326,152,58,31,19,0,1,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-25,168,87,11,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-26,823,215,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-27,1095,175,35,4,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-28,449,217,28,4,0,0,0,1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2014-05-29,602,213,38,13,19,0,0,0,0,0,1,0,10,3,0,0,0,0,0,0,0,0,0,0,0
2014-05-30,1453,172,25,13,19,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-31,215,83,25,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,289,56,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-02,446,210,15,10,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-03,559,172,25,28,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-04,3256,254,27,38,14,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-06-05,631,169,25,14,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2014-06-06,2104,131,28,17,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-07,1303,106,18,8,1,9,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-08,272,91,22,11,0,5,0,5,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-09,3170,152,12,2,10,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-10,6156,196,28,10,11,11,2,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-11,2533,176,16,6,1,9,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-12,1565,200,30,13,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-13,2191,178,9,15,6,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-14,2210,114,14,13,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-15,1956,64,9,15,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-16,2663,140,11,13,2,0,4,0,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-17,4454,79,25,25,7,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-18,8041,184,23,12,16,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-19,4455,178,22,15,12,1,0,0,9,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-20,908,139,9,11,6,8,1,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-21,1698,59,10,14,2,14,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2014-06-22,300,58,26,7,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-23,321,224,16,3,13,1,7,1,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-24,888,286,32,15,11,3,3,3,4,1,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0
2014-06-25,1240,346,46,10,5,1,7,3,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-26,379,116,27,30,8,3,11,10,6,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0
2014-06-27,1460,169,31,16,3,1,8,1,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-06-28,1436,78,24,5,7,0,0,1,10,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-06-29,1686,59,21,5,2,16,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-06-30,542,117,18,4,9,4,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,463,147,23,7,7,5,3,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-07-02,400,133,14,4,6,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-03,467,145,13,3,4,3,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-04,403,152,24,22,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-05,179,54,7,6,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-06,474,81,8,6,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-07,1466,217,35,38,1,3,23,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-07-08,719,258,6,17,2,2,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-09,530,195,7,7,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-10,1179,208,9,9,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-11,1726,108,5,6,5,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-12,613,83,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-13,554,58,7,5,7,5,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-14,846,183,14,6,7,6,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-15,934,161,18,10,0,6,0,2,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-16,875,124,22,9,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-17,899,150,7,6,1,1,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-07-18,721,158,19,5,4,0,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19,882,112,9,4,0,2,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-20,674,64,6,4,5,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-21,700,142,8,8,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-22,776,158,15,7,1,7,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2014-07-23,826,166,17,4,0,4,6,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
2014-07-24,778,186,43,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-25,681,230,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-26,895,146,18,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-27,566,146,9,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-28,438,156,18,2,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
2014-07-29,639,199,12,5,1,2,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
2014-07-30,799,178,26,10,2,0,2,1,0,3,0,1,0,0,5,0,1,0,0,1,1,0,0,0,0
2014-07-31,801,195,19,2,1,2,1,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
---------
