title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[8] Number of Jobs Ended","[3] Number of Jobs Ended","[4] Number of Jobs Ended","[5] Number of Jobs Ended","[32] Number of Jobs Ended","[10] Number of Jobs Ended","[6] Number of Jobs Ended","[16] Number of Jobs Ended","[20] Number of Jobs Ended","[24] Number of Jobs Ended","[12] Number of Jobs Ended","[9] Number of Jobs Ended","[7] Number of Jobs Ended","[22] Number of Jobs Ended","[11] Number of Jobs Ended","[14] Number of Jobs Ended","[28] Number of Jobs Ended","[31] Number of Jobs Ended","[13] Number of Jobs Ended","[15] Number of Jobs Ended","[18] Number of Jobs Ended","[25] Number of Jobs Ended"
2015-03-13,454,157,8,1,1,4,2,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2015-03-14,476,76,7,5,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03-15,555,131,1,2,11,1,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2015-03-16,525,160,2,4,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,503,159,16,1,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03-18,461,217,6,1,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
2015-03-19,591,164,9,19,3,1,0,0,4,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0
2015-03-20,403,157,8,19,1,9,0,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-21,440,84,3,25,17,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-22,464,68,0,13,16,4,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-23,221,235,3,15,17,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,317,164,3,15,8,3,0,4,7,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
2015-03-25,527,269,21,19,9,5,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-26,278,195,2,20,8,4,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-27,349,160,9,19,4,2,0,5,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-28,1040,95,13,22,13,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,159,112,20,30,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,363,232,3,27,4,5,0,5,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,286,235,8,16,4,2,0,3,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,447,201,1,3,14,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-02,174,183,6,16,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-03,3985,149,8,6,7,9,0,3,4,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0
2015-04-04,6415,104,4,4,10,1,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,491,82,5,3,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-06,194,205,4,28,11,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,251,207,6,22,11,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,315,157,1,33,5,0,18,2,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-04-09,279,156,3,11,5,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2015-04-10,520,232,17,42,8,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,250,90,1,10,7,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,319,92,3,20,13,0,7,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2015-04-13,1400,193,3,14,9,0,3,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2015-04-14,620,198,15,23,13,0,3,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-04-15,534,205,14,9,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-16,393,178,7,19,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,358,166,12,6,15,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,241,95,4,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,136,89,9,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,144,261,4,1,1,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2015-04-21,238,232,24,2,4,1,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-22,211,198,7,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23,521,343,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-24,632,292,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-25,751,203,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-26,447,121,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,114,232,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-28,106,247,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-29,74,201,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-30,24,224,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
---------
