title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Ended","[2] Number of Jobs Ended","[4] Number of Jobs Ended","[8] Number of Jobs Ended","[16] Number of Jobs Ended","[10] Number of Jobs Ended","[256] Number of Jobs Ended","[3] Number of Jobs Ended","[32] Number of Jobs Ended","[12] Number of Jobs Ended","[6] Number of Jobs Ended","[64] Number of Jobs Ended","[5] Number of Jobs Ended","[20] Number of Jobs Ended","[128] Number of Jobs Ended","[15] Number of Jobs Ended","[200] Number of Jobs Ended","[7] Number of Jobs Ended","[30] Number of Jobs Ended","[9] Number of Jobs Ended","[14] Number of Jobs Ended","[45] Number of Jobs Ended","[1024] Number of Jobs Ended","[11] Number of Jobs Ended","[36] Number of Jobs Ended","[106] Number of Jobs Ended","[13] Number of Jobs Ended","[100] Number of Jobs Ended","[50] Number of Jobs Ended","[35] Number of Jobs Ended","[22] Number of Jobs Ended","[48] Number of Jobs Ended","[136] Number of Jobs Ended","[23] Number of Jobs Ended","[160] Number of Jobs Ended","[24] Number of Jobs Ended","[25] Number of Jobs Ended","[68] Number of Jobs Ended","[80] Number of Jobs Ended","[192] Number of Jobs Ended","[208] Number of Jobs Ended","[28] Number of Jobs Ended","[75] Number of Jobs Ended","[230] Number of Jobs Ended","[17] Number of Jobs Ended","[40] Number of Jobs Ended","[132] Number of Jobs Ended","[181] Number of Jobs Ended","[46] Number of Jobs Ended","[150] Number of Jobs Ended","[39] Number of Jobs Ended","[250] Number of Jobs Ended","[18] Number of Jobs Ended","[34] Number of Jobs Ended","[512] Number of Jobs Ended","[21] Number of Jobs Ended","[51] Number of Jobs Ended","[54] Number of Jobs Ended","[70] Number of Jobs Ended","[232] Number of Jobs Ended","[19] Number of Jobs Ended","[66] Number of Jobs Ended","[71] Number of Jobs Ended","[152] Number of Jobs Ended","[168] Number of Jobs Ended","[216] Number of Jobs Ended","[85] Number of Jobs Ended","[120] Number of Jobs Ended","[129] Number of Jobs Ended","[86] Number of Jobs Ended","[175] Number of Jobs Ended","[213] Number of Jobs Ended","[224] Number of Jobs Ended","[31] Number of Jobs Ended","[110] Number of Jobs Ended","[49] Number of Jobs Ended","[60] Number of Jobs Ended","[63] Number of Jobs Ended","[65] Number of Jobs Ended","[67] Number of Jobs Ended","[90] Number of Jobs Ended","[113] Number of Jobs Ended","[165] Number of Jobs Ended","[210] Number of Jobs Ended","[27] Number of Jobs Ended","[72] Number of Jobs Ended","[84] Number of Jobs Ended","[96] Number of Jobs Ended","[140] Number of Jobs Ended","[183] Number of Jobs Ended","[194] Number of Jobs Ended","[225] Number of Jobs Ended"
2013-01-17,3110,68,69,26,14,40,14,6,3,14,5,2,5,13,0,4,0,4,0,5,5,1,1,4,2,0,4,1,0,1,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-18,2897,110,79,26,32,8,20,22,1,17,6,4,53,21,1,4,0,5,0,5,10,1,3,4,2,0,4,1,0,2,4,0,0,4,0,4,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-19,1729,69,161,29,79,4,23,1,19,6,3,2,6,11,3,1,0,0,0,0,2,4,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,2043,64,87,121,41,9,5,7,9,15,4,0,1,0,1,0,0,6,3,2,3,2,5,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-21,1651,36,85,68,61,9,2,18,0,9,5,0,0,2,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-23,1005,11,14,3,6,4,2,2,4,3,2,0,3,0,0,3,0,3,0,2,2,1,0,2,1,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-24,3784,169,177,185,91,9,20,48,41,16,14,24,5,15,0,3,0,11,29,9,7,4,0,3,1,9,2,0,0,2,3,1,1,4,1,2,2,0,2,3,0,0,3,2,3,0,0,1,0,0,0,2,2,0,0,5,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2013-01-25,4104,197,141,61,37,16,39,79,34,27,26,57,30,18,45,4,0,1,48,1,7,3,0,3,1,8,6,0,1,2,3,2,7,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0
2013-01-26,2557,99,104,60,13,3,0,20,8,13,16,14,3,7,1,3,0,9,1,1,7,0,0,0,0,0,0,10,1,0,0,1,7,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-01-27,1727,52,63,20,18,1,3,14,9,8,19,12,17,3,3,2,0,0,0,1,0,0,2,0,0,1,0,1,3,0,0,5,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-01-28,1998,42,91,42,34,58,2,5,7,10,2,7,29,5,2,9,14,1,1,1,2,0,1,0,0,0,0,0,2,0,0,10,3,0,4,0,0,6,1,3,6,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,2,2,0,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-29,1342,78,12,108,13,124,0,15,3,5,15,1,8,0,0,20,28,2,0,0,8,0,0,0,0,0,1,2,1,0,9,3,4,0,4,0,0,6,0,2,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,5,0,0,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-30,5773,259,168,118,63,5,1,27,12,45,55,10,14,10,17,16,57,4,4,1,5,9,0,0,0,19,1,1,16,0,7,4,4,0,10,3,0,12,1,10,12,0,0,0,2,0,0,8,0,4,6,1,2,0,0,0,4,4,5,4,0,0,4,4,4,4,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-01-31,4616,127,283,92,81,3,24,23,51,74,6,40,0,23,27,17,6,6,2,13,3,2,0,11,1,3,1,0,8,0,5,1,1,0,0,2,0,0,1,2,0,0,0,0,2,0,0,5,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
---------
