title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2012-08-01,2013-01-31
---------
Day,"[256] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[1] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[75] XSEDE Utilization (%)","[200] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[100] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[230] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[45] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[136] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[150] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[181] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[250] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[106] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[113] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[216] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[39] XSEDE Utilization (%)","[168] XSEDE Utilization (%)","[152] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[210] XSEDE Utilization (%)","[70] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[232] XSEDE Utilization (%)","[120] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[66] XSEDE Utilization (%)","[132] XSEDE Utilization (%)","[175] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[213] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[49] XSEDE Utilization (%)","[129] XSEDE Utilization (%)","[110] XSEDE Utilization (%)","[67] XSEDE Utilization (%)","[84] XSEDE Utilization (%)","[165] XSEDE Utilization (%)","[85] XSEDE Utilization (%)","[63] XSEDE Utilization (%)","[90] XSEDE Utilization (%)","[71] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[140] XSEDE Utilization (%)","[86] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[183] XSEDE Utilization (%)","[72] XSEDE Utilization (%)","[225] XSEDE Utilization (%)","[194] XSEDE Utilization (%)"
2013-01-17,54.256738688,0.823260670,0.573484126,0.063503088,1.614307825,1.598287195,0.397403063,0,0.229333849,0.774453243,0,0.001974022,0.612939661,0,2.011580101,0.868176120,0,0,0,0.091075507,0.191426342,0.129322193,0.038102815,1.084165220,0.007132523,0.102044755,0.091438400,0,0.300701678,0,0,0,0,0.168724279,0.076643880,0,0,0,0,0,0.004014757,0,0,0,0,0.002285681,0,0,0.003704106,0.002734375,0,0,0,0,0,0,0.213210522,0,0,0,0,0,0,0,0,0,0.001644482,0,0,0,0.003384011,0,0,0,0,0,0,0,0,0,0,0,0.017328961,0,0,0,0,0,0,0,0,0
2013-01-18,41.542438273,1.208201520,0.387548218,0.132008744,2.113479976,2.164721580,0.680979940,0,0.518161657,0.598069178,0,0.014088221,0.615838804,0,0.258957854,0.859837158,0,0,0,0.533397230,3.668636872,0.002206308,0.194458912,0,0,0.182478538,0.093317179,0,0.361747685,0,0.007315778,0,0,0.398148148,0.101251447,0.016538068,0,0.007292874,0.007152615,0,0.005793064,0,0.006158976,0,0,0.003685217,0,0,0.005263590,0.006456159,0,0,0,0,0,0,0.180622269,0,0,0,0,0,0,0,0,0,0.007718461,0,0.006051071,0,0.004948920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006624950,0.006215441,0,0,0,0
2013-01-19,20.450514413,1.260879612,5.778975369,0.015547838,1.669659641,1.109744728,0.620138884,0,0.264731228,0.665057147,0,4.073926179,1.234609705,0,0.032783162,0,0,0,0,0.709184914,0.022847742,0.135850694,0.308122346,0,0,0.017584757,0.496953767,0,0.109440104,0.005720726,0.169159917,0,0,0.531481481,0,0.133487653,0,0,0,0,0.000795718,0.153931568,0,0,0,0.092566470,0,0,0,0,0,0,0,0,0,0.470473253,0,0,0,0,0,0,0,0,0,0.095605469,0.033605808,0,0,0.117699892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,4.767644034,1.384727851,6.814766588,0,1.722713917,0,0.988008780,0,0.068113426,0,0,1.843248454,0.508520612,0,0.144207741,0,0,0,0,0.863356400,0.000980582,0.254448785,0.358197098,0,0,0.167576918,0,0,0,0.304494597,0.456052278,0,0,0.510082307,0.112550637,0.008899179,0,0.015482331,0,0,0,0,0,0,0,0,0,0,0,0.000533090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-21,0.002983539,1.078856423,2.012573943,0,0.726288818,0.173711579,0.282937880,0,0.223109574,0,0,0,0.050487892,0,0.169489859,0,0,0,0,0.476532358,0,0,0.112667584,0,0,0.025842742,0,0,0,0,0.208400847,0,0,0,0.094525825,0,0,0,0,0,0,0,0,0,0,0.286701470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-23,0.432355966,0.960057396,0.225943608,0.359645060,0.451413402,0.506534528,0.235491414,0.281751542,0.184230324,0.106969763,0,0.190451384,0.106016909,0,0.001914949,0,0,0,0,0.394878065,0.000122572,0.400381583,0.101279175,0,0,0.019976128,0,0,0.125166377,0.116066262,0.001470870,0,0,0,0.103003834,0,0,0,0,1.995171441,0.001733096,0,0,0,0,0.005809141,0,0,0.001496795,0.066817776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147505145,0,0,0,0,0,0.001361563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-24,2.445833333,4.764756926,1.343934855,2.245164605,2.264156340,1.889214405,0.956276521,2.020833333,1.226556071,1.738507306,0,0.866634517,0.550478226,0.587030608,0.359429253,0,1.079089509,0.457167892,0.001552856,0.686910446,0.064494317,0.893527561,0.211517406,0.001979248,0.847185253,0.741239873,0,0,0.126374421,1.063337918,0.258169366,0.475463967,0,0,0.454186560,0,0,0.004871157,0.002877848,0.499985930,0.085036291,0.207116446,0.011033547,0.708066488,0,0.140108584,0,0,0.370823292,0.373695105,0,0,0,0,0,0,0,0,0.416992188,0,0,0,0,0,0.184861070,0.096679688,0,0,0.002426939,0,0.054418240,0,0,0,0,0,0,0,0.026419633,0,0,0.001820507,0,0,0,0,0.004380068,0.002512135,0,0,0,0
2013-01-25,1.087448563,4.183597769,1.634674000,5.141512343,1.514036386,1.903175637,0.912102150,4.123379630,1.172588732,0,0,1.422865230,1.060572609,2.141911006,0.192445109,0,1.384998711,0,0.004118440,0.397817799,0.472647203,0.259611907,0.638480175,0,0.752494855,1.092484086,0.317930171,0,0.064178241,0.360544465,0.502705440,0,0,0,0.154231771,0.682458849,0.001597462,0,0.295321741,0,0.155092593,0.258192677,0,0.721508486,0,0.221731929,0,0,0.438920835,0.095338822,0,0,0.000689620,0.312934028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163565,0,0,0,0.036551771,0.033825231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-26,0,2.343848859,2.956949259,2.989390431,1.349647750,0.445015114,0.787526521,0,1.669036142,0,0,1.362075616,0.809106147,0.188496654,0.119341566,0.109149948,0.288033696,0,0.005989583,0.445185511,0.098893030,0,0.605283086,0,0.591425542,0.114431424,0.272504743,0,0,0.117705924,0.497593556,0,0,0,0.097356047,0.147427983,0.000864036,0,0,0,0.174343533,0,0,0,0,0,0,0,0,0.177170338,0,0.488888889,0.688634499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011631944,0,0,0,0,0,0
2013-01-27,0.110236622,2.858334929,0.861361884,2.074086932,1.198545003,0.221205471,0.971882238,1.341473764,1.787268509,0,0,0.926761827,0.306144296,0,0.019756302,0.066952804,0.637088478,0,2.228655477,0.221886655,0.584994091,0,0.266485826,0,0.639631560,0.074096983,0,0.213276426,0,0.017849392,0,0,0,0.072222222,0.072916667,0.571322017,0.576654130,0,0,0,0.212091896,0.076997735,0.188280852,0.494606604,0,0,0,0,0,0,0,0.448752170,0.198383852,0,0,0.022839505,0,0,0,0,0,0,0,0.276331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-28,0.125668724,1.767524274,0.649019414,1.617631171,1.055748277,0.450054656,0.591792055,2.853317898,1.043823947,0,2.818327225,0.300643008,0.155557970,0.636252573,0.186692220,0,1.204346707,0,2.651138120,0.077324865,0.372796708,0,0.007937889,0,0.662832750,0.096288461,0,0.436439042,0,0.503014083,0,0,1.258497296,0.034362142,0.064402488,0.004578188,0.001999340,0,0,0,0.397557387,0,0.389904433,0,0,0,0,0.020294818,0,0.001023985,0.433376736,0.005002170,0,0,0.299623843,0.010185185,0.018637474,0.004457827,0,0,0,0,0,0,0,0.095618729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007261728,0,0,0,0,0,0,0,0,0,0,0
2013-01-29,0,0.982991744,1.600266855,0.624472738,0.425290966,0.510183580,0.440101757,2.153587963,0.725742667,0,3.149635091,0.344129376,0.126805632,1.148019549,0.129908931,0.006349664,0.408146864,0,0.736246143,0.112500398,0.135282037,0.229582610,0.471867762,0,0.477168534,0.147321682,0,0,0,0,0,0.520453559,0.638798869,0,0.045916522,0,0.485015991,0,0.633205539,0.015723461,0.460072456,0,0.173462416,0,0,0,0,0,0.049749430,0.139678177,0.220529514,0.003059896,0.000752315,0.179422259,0.161357060,0,0.012775689,0.002910396,0,0,0,0,0.033238489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005858371,0,0,0.003966128,0,0,0,0.005529835,0,0,0,0,0,0,0
2013-01-30,0.026491772,3.482425080,3.021561537,3.843377057,2.025062884,1.947932748,3.360698785,3.781481481,2.601498196,0,7.137024179,1.449922843,0.372565027,2.433159727,0.127666459,0.069323880,1.353861238,0,1.061072528,0.368397954,0.084051685,0.352412471,0.375877699,0,0.300850373,0.282949336,0,0.683563608,0,0.435010371,0.503399880,0.944563201,1.401604293,0,0.107826968,0.716203704,1.121981902,0,0.672527249,0.017984022,0.728271480,0.891022452,0.590240203,0,0,0,0,0,0.185346336,0.142373169,0.485807292,0.005566406,0.021472322,0.374575620,0.336305619,0,0.022722964,0.005472367,0,0.147000787,0,0.252191840,0.319005597,0,0,0,0,0,0.088288484,0,0,0,0.031701511,0,0,0,0,0.010247880,0,0,0.008303191,0,0,0,0.010575810,0,0,0,0.010443192,0,0,0
2013-01-31,0.187757202,3.249712244,2.001642867,5.906687251,1.485388740,4.835824969,6.057120456,1.309413583,2.775459748,0,2.360427920,1.443280603,0.434283388,0,0.008656440,0,1.388856739,0,0.191502699,0.354875176,0,1.141366464,0.113111260,0,0.013581855,0.110190615,0,0,0.180591725,0.609200182,0.561506560,1.390567537,0,0,0.113563368,0.337268514,0.378729420,0,0.937952117,0,0.020167223,0.756622541,0.555376921,0,0,0,0,0,0.083687188,0.001306704,0,0,0,0,0,0,0,0.418041689,0,0.231029369,0,0.111382378,0,0,0,0,0,0,0.085713252,0,0.018204251,0,0.015474899,0,0,0,0.033154898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
