title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[72] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[43] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[70] XSEDE Utilization (%)","[45] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[33] XSEDE Utilization (%)","[58] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[29] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[67] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[23] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[56] XSEDE Utilization (%)","[52] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[62] XSEDE Utilization (%)","[69] XSEDE Utilization (%)","[44] XSEDE Utilization (%)","[61] XSEDE Utilization (%)","[21] XSEDE Utilization (%)","[57] XSEDE Utilization (%)","[53] XSEDE Utilization (%)","[59] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[49] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[55] XSEDE Utilization (%)","[41] XSEDE Utilization (%)","[66] XSEDE Utilization (%)","[37] XSEDE Utilization (%)","[63] XSEDE Utilization (%)","[71] XSEDE Utilization (%)","[42] XSEDE Utilization (%)","[39] XSEDE Utilization (%)","[47] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[38] XSEDE Utilization (%)"
2015-06-02,11.162229254,9.402933244,8.757493396,2.192195224,2.418980240,4.188430304,2.419115075,1.431566007,0,0.244053865,2.978107630,2.747901364,3.509950303,0,0,0,1.588813105,0,1.101902863,0.042877509,0,0,0,0.806101465,0,0,0,0,0,0,0.234362849,0,0,0,0,0.001839950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-03,17.259059831,8.881286180,9.214456787,4.485290111,4.257974343,5.048035444,3.484464274,1.042856868,0,0.728416113,2.463711088,5.249701236,3.840960927,0.006373632,0,0,1.324384983,0,2.326260156,0.403222281,0,0,0,0,0,0,0,0,0,0,0.181926100,0,0.000360703,0,0,0.000683150,0,0.000316981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-04,16.903438156,11.097346100,8.347542856,2.266861966,4.329325504,3.663926781,7.450924948,3.062210955,0,0.579416608,1.823493564,1.773026699,2.843544144,0,0,0,0.012358634,0,0,0.790458858,0,0,0,0.183843173,0,0,0,0.014384400,0,0,0,0,0,0,0,0.039522487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-05,14.090730305,11.820129443,9.928041556,2.550542148,3.463039470,2.640686329,1.309918004,2.376000741,0,0.964979014,3.105106681,2.913802903,2.684519646,1.038241800,0,0,0,0,0.816408227,0.886415586,0,0,0.001578832,0.046089833,0,0.575173793,0,0,0,0,0.081664626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-06,9.644176786,10.400854019,9.221555468,5.005552668,3.063936728,5.053670673,0.030274772,0.910356185,0,1.941464090,0.013590125,2.185700128,3.275813950,3.357817419,0,0,0,0,2.734209222,1.974320858,0,0,0.024897008,0,0,2.081732030,0,0,0.022543940,0,0.365956309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060122038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,8.142595359,16.923518804,7.187408913,3.201075560,2.147611353,2.399090591,0.600977414,0,0.826600210,3.854184884,0,1.093950391,1.863206104,2.480587618,0,0,0,0,0,4.912162123,0,0.002951207,0,0,0,2.258083027,0,0,0,0.127567431,0.925604697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,8.898458905,15.602315786,8.455225458,3.960033593,3.259905379,1.960903188,1.638500250,1.241134238,0.232117873,4.705411274,0,2.155291769,1.461419348,0,0,0,0.034948117,0,0,2.522261581,0,0,0,0,0,0.692418678,0,1.843651626,0,3.042916375,0.168213318,0,0,0,0,0,0,0.030654293,0.036644751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,9.852801378,18.657740168,6.179857222,5.077251179,6.233657857,6.756033578,3.884643050,1.951755667,4.412513116,4.606483910,0.244658680,3.270549143,0.880893305,0,1.015816282,0,0.012766702,0,0.003332559,1.242637176,0,0,0,0,0,0,0,1.609872333,0,3.043022036,1.364061097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-10,9.808886867,20.435352760,6.864403592,3.887557804,2.464630471,5.145777470,9.247813912,1.973324981,0.807756208,3.759870147,0.682190260,3.460606856,0.902376997,0.001709997,1.559075143,0,0.000247756,0,0,0.793589205,0,0,0,0,0,0,0,0.950572753,0,1.222069197,0.659956615,0,0.345339762,0,0.031965340,0.035651306,0,0,0.227162761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-11,11.654147447,16.917558131,6.507568698,2.259633303,2.413717901,3.727119039,11.080272823,1.917847158,0.094700944,3.296537979,0.899328637,0.970626385,1.065872027,0,1.572483094,0,0.751719716,0,0,0.692185496,0,0,0,0,0.021094451,0,0.004109829,0.603882476,0,0,0.013436498,0,0.577372014,0,0.000314549,0.000337021,0,0.000672219,0.000299976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-12,9.872728463,19.496752452,7.053268671,2.279157430,2.071758045,6.458551941,9.855650768,1.684495353,2.134312697,1.537130553,1.163904920,1.054090883,1.720216495,0.765108238,1.307676052,0,0,0,0,0.316286170,0,0,0,0,0.033598824,0,0.239681707,0,0,0,0.001551506,0,0.519425744,0,0.409368806,0,0,0.001945610,0.277156567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-13,8.558894728,19.829483384,7.672949212,1.634166958,1.536297411,5.533597612,9.938721772,2.098635887,0,1.964924362,0.432819359,0.796614492,1.054344103,1.613462358,2.907448700,0,0.553573511,0,0,0.024556955,0,0,0,0,0,0,0,0,0,0,0,0,0.577124869,0,0.045610107,0,0,0,0.303973071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,9.436293977,19.236856810,5.620913253,2.444211244,0.355625273,4.538999650,3.572840163,1.583984302,0.004372158,1.119935584,0,2.115986067,0.513553690,2.266215852,1.619538446,0,0.001399091,0.540168592,0,0.524944373,0,0,0,0,0,0,0.002535852,0,0,0,0,0,0.289651220,0,0,0,0,0,0.109871122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-15,10.318086589,20.843428164,7.858869150,2.102468812,0.399238744,4.211087793,0.530984018,0,2.695697796,1.388732220,0.561105773,2.268261047,0.365022371,6.715634837,0.986923604,0,0,2.221879737,0,0.533020715,0,1.115747420,0,0,0,0,0,0,0,0,0.175052703,0,0.191052378,0,0.404233952,0,0,0,0.101605921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-16,12.285848399,17.117086385,7.866975860,2.820484034,0.705600744,1.671233140,2.822538967,0,6.874693949,2.377725312,0.165947693,2.992764078,0.443704821,7.447864447,0,0,0,2.248487352,0,0.264108708,0.068011351,1.245545864,0,0.011841262,0,0,0,0,0.019077183,0.053288109,0.033810144,0,0.577124869,0,0.701520054,0,0,0,0.019790692,0,0.010684461,0,0,0,0,0,0,0.054440655,0,0,0,0,0,0,0.047113037,0.020068206,0,0,0,0.040946472,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-17,11.374072939,13.583981861,8.063686549,2.864822563,0.950818085,4.055108621,3.849898958,0.003716334,2.937827912,1.587242771,0.036896159,5.327496502,0.574736577,8.810850722,0.009181532,0.037418386,0.007957328,2.260185307,0,0.524658972,0.068861490,3.682094920,0.010900036,0.010338332,0.002858909,0.003869360,0.020257666,0.009203393,0.029497493,0.078223984,0.001721537,0.002183647,0.388236709,0.012395068,0.736885958,0.216576673,0.036332024,0.001164087,0.054185613,0.017090884,0.013477788,0.011859479,0.004262854,0.393733477,0,0.005778536,0,0.031211133,0.038045062,0.008843901,0.045857863,0.002818220,0.047350472,0.047696601,0.058398670,0.022380595,0.007492176,0.015770128,0.002085273,0.026150971,0.011701598,0.017594293,0.009728662,0.024292803,0.019918824,0.020428909,0,0.014755423,0.011210942,0.004581047,0.007246852,0.003576671
2015-06-18,9.358904856,18.301304852,13.038522356,3.253721189,0.798528523,6.823306517,5.086811631,0.011683381,0.705272823,2.657131719,0.358322649,6.274505946,0.633886411,5.655784857,0.011258307,0.022042964,1.949487000,0.036869435,0.041078857,0.646803105,0.019468245,5.324468783,0.027386716,0.010399060,0.001563047,0.004771118,0.721406086,0.013247639,0.005691092,0.046314517,0.002414406,0.013366052,0.228605573,0.006033578,0.246022557,0.319987321,0.036860936,0.003738195,0.000734158,0.033984421,0.007960971,0.006439825,0.003454005,0.755911522,0.019995336,0.005683806,0.017879695,0.015662045,0.040391454,0.010821091,0.022188092,0.005598184,0.013741329,0.023944853,0.029414304,0.015773772,0,0.028505259,0.001156190,0.025483005,0.024747626,0.035990148,0.014379545,0.039786639,0.009916300,0.016807304,0.036518451,0.019692929,0.022328976,0.026508640,0.003883934,0.006968737
2015-06-19,10.672883356,18.036322888,15.562028782,3.228474381,3.378242675,4.479285690,3.461126660,0,2.946747114,3.835770811,1.774877580,3.612801679,2.435951527,0.350161278,0.106261659,0,2.977935175,0,0.339393636,0.647941688,0.744129166,2.910682275,1.166242813,0.048002652,0.043083975,0,2.123090824,0,0,0,0,0,0.372940231,0,0,0.114960432,0,0,0.102040095,0,0,0,0,0.414881979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-20,10.811608799,15.090486667,7.847647287,2.687759897,1.007455750,1.684058146,3.334674119,0,0.629940539,4.709874519,1.049281509,1.807938382,3.060341247,0,0,0,0.722819750,0,2.228357817,0.908953451,3.664578961,3.734834077,4.081197051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787422640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-21,10.654162759,12.576498211,4.939536688,1.634895651,1.080544862,0,2.970832860,0,0,2.833344264,1.017668383,0.651794042,0.649349277,0,0,0,0.205214527,0,1.444357001,0.557043301,1.510744579,3.973717865,3.184752827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030676765,0,0,1.050116472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-22,10.374838977,10.839439772,7.555301734,3.011207299,4.034462325,1.378279119,3.155435066,0.076002682,4.556706891,3.067797598,3.075533895,1.216808033,0.462465023,0.014807042,0.001402734,0,0.566223621,0,0.877873473,1.052099119,0,4.409266789,2.065176735,1.487277630,0,0,0,0,0,0,0,0,0,0,0,0.029502958,0,0,0.007728400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-23,12.981354822,10.243740518,10.211739973,4.493009411,2.249792313,1.782635728,3.979810339,0.558203134,5.402019937,3.439267081,3.076299014,2.233954180,0.067629999,0.139287238,0.001931036,0.005501632,1.117377871,0,1.816090025,1.644204714,8.876161063,2.682537601,0.059540286,2.448742522,0.218920031,0,0,0,0,0,0,0,0.001783476,0,0.001989332,0.002659730,0,0,0.001847237,0,0,0,0.001453743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002611754,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-24,13.045146813,8.207796542,9.760842952,3.584309791,4.344082794,3.696630523,3.556731174,2.109566282,2.461044071,2.862335315,1.542242334,2.568810482,0.299848068,0.312463565,0.001001953,0.004772939,0.593578757,0,0,1.187220063,3.513551267,5.598630421,0.492626847,0.630501632,2.308499475,0,0,0,0.022042964,0,0,0,0.000287223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074078932,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-25,8.944814675,7.074076518,10.187638433,4.675513009,4.850786752,8.790097554,3.020665734,1.221240919,2.512548094,4.223920077,2.175816619,2.623112685,0.361541040,0.000855003,0,0,1.248775796,0,0,0.335010539,1.371363822,4.182351784,0,0,1.297048065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097248337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-26,10.502759132,4.213142698,10.447326407,5.557838797,3.310900528,8.915879687,3.931153084,0,1.545251836,4.423130174,2.308875964,2.241649178,0.313729669,1.042322490,0,0,3.196936575,0,0,0.782294472,1.914817007,2.962519675,0,0.682254021,0,0,0,0,0,0,0.006779878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
