Day,[976] XSEDE Utilization (%),[96] XSEDE Utilization (%),[32] XSEDE Utilization (%),[16] XSEDE Utilization (%),[256] XSEDE Utilization (%),[128] XSEDE Utilization (%),[512] XSEDE Utilization (%),[64] XSEDE Utilization (%),[48] XSEDE Utilization (%),[112] XSEDE Utilization (%),[768] XSEDE Utilization (%),[384] XSEDE Utilization (%),[1904] XSEDE Utilization (%),[176] XSEDE Utilization (%),[576] XSEDE Utilization (%),[224] XSEDE Utilization (%),[1872] XSEDE Utilization (%),[80] XSEDE Utilization (%),[400] XSEDE Utilization (%),[1840] XSEDE Utilization (%),[192] XSEDE Utilization (%),[160] XSEDE Utilization (%),[1360] XSEDE Utilization (%),[144] XSEDE Utilization (%),[240] XSEDE Utilization (%),[416] XSEDE Utilization (%),[912] XSEDE Utilization (%),[1680] XSEDE Utilization (%),[480] XSEDE Utilization (%),[208] XSEDE Utilization (%),[880] XSEDE Utilization (%),[800] XSEDE Utilization (%),[1312] XSEDE Utilization (%),[640] XSEDE Utilization (%),[1024] XSEDE Utilization (%),[320] XSEDE Utilization (%),[1520] XSEDE Utilization (%),[448] XSEDE Utilization (%),[848] XSEDE Utilization (%),[496] XSEDE Utilization (%),[1856] XSEDE Utilization (%),[336] XSEDE Utilization (%),[960] XSEDE Utilization (%),[1600] XSEDE Utilization (%),[304] XSEDE Utilization (%),[368] XSEDE Utilization (%),[688] XSEDE Utilization (%),[272] XSEDE Utilization (%),[352] XSEDE Utilization (%),[672] XSEDE Utilization (%),[288] XSEDE Utilization (%),[1776] XSEDE Utilization (%),[1760] XSEDE Utilization (%)
2014-02-13,0,2.980794271,8.187617493,12.045731099,6.963758647,6.004159444,0,6.684895833,5.764621480,0,4.370659790,0,0,0,10.057128906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,0,4.687500000,7.668230998,10.319227397,6.250000000,1.646448161,0,4.096770121,5.442599894,0,5.881727498,0,0,0,8.577311198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-15,0,4.687500000,9.520209351,10.807563171,2.678674723,2.812536011,0,8.419541931,10.798339844,0,18.749565938,0,0,0,13.861816406,0,0,0.863963928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-16,0,3.518825989,11.407741903,8.932454631,0,1.359555868,4.581597188,4.252025350,6.295654297,0,18.749348958,0,0,0,8.906901042,0,0,3.858054810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-17,0,1.144341329,2.522578634,7.915215352,0,12.349464620,10.098669027,8.911711528,3.521742147,0,10.320095520,6.833550415,0,0,6.087727865,0,0,3.978813985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-18,0,0.820556641,3.713333639,7.453382874,0,10.732168681,12.500000000,4.376862691,5.070977071,0,0,18.750000000,0,0,14.062500000,0,0,2.252219950,0,0,0,0,0,0.006429036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-19,0,1.002197266,2.346390177,11.206570028,0.089409688,18.342158610,10.242187500,1.256347656,3.903767904,0.019210205,0,18.750000000,0,0,4.239095052,0,0,2.954847514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-20,0,0,2.975983785,11.263522237,0,8.103117778,5.563512777,1.095558573,4.946953634,1.462890625,0,18.750000000,0,0,0,0,0,1.485007935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-21,0,0,5.109845276,7.200159200,5.104745382,0,10.804687500,0.686107483,4.718790690,2.734375000,0,18.750000000,0,0,0,0,0,0.395123494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-22,0,0,6.217683105,9.116667582,6.250000000,0,24.998553263,2.511772970,5.864583333,2.734375000,0,17.352756042,0,0,0,0,0,1.830331319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-23,0,0.010389506,5.225839132,8.555275472,1.228949687,2.260814616,23.026620382,2.000434163,4.922783712,2.746369527,0,9.375000000,0,0,0,0,0,1.835259298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261479085,0,0,0,0,0,0
2014-02-24,0,0,1.829734497,10.007116089,4.792173055,3.148726807,24.997395833,1.181043803,3.761081238,0.637672729,0,9.375000000,0,0,0,0,0,1.207727458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-25,0,0,4.965585225,12.410906982,1.529296875,1.775318502,18.544994202,4.493435160,2.313951314,0,0,13.307617188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-26,0,0.489691874,2.865062764,11.432612610,0,1.049515483,12.501591390,5.049605611,1.193440755,0,0,15.976888021,0,0,0,0,0,0.120171407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-27,0,2.047173360,5.862060343,7.982702128,0.080439860,0.921477153,7.547887777,1.948079427,2.612358907,0,0,18.750000000,0,0,0,0,0,0.624389648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025942179,0,0,0,0,0,0,0,0
2014-02-28,0,0,7.943296102,8.474894307,5.410083822,0.376193339,0,2.908926493,3.064208984,2.979550985,0,3.393663228,0,0,0,0,0,0,0,0,0.123318176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,8.643183594,7.311753743,1.268373820,3.425311178,0,4.858253784,4.592285156,5.468750000,0,0,0,0,0,0,0,0.377445984,0,0,4.687500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-02,0,0.511583150,5.294569397,6.420794373,9.728153890,3.096969401,0,5.606445109,5.609822591,5.468750000,0,0,0,0,0,0,0,2.135959167,0,0,1.053114115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-03,0,0,4.705774638,11.174953715,2.957826945,7.365523783,0,7.162633769,3.587551473,10.005597127,0,0,0,0,0,0,0,1.200312805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-04,0,0.762695313,3.611843567,10.018862305,1.979528402,13.455620728,0,7.407551982,1.610310872,20.439358215,0,0,0,0,0,0,0,1.953125000,0,0,2.697265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-05,0,1.988878072,3.928430583,9.317772217,0,13.429181315,0,5.751899109,1.454481405,21.605676676,0,0,0,0,0,0,0,1.953125000,0,0,4.687500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-06,0,2.646538595,7.903935445,6.327039490,0,12.262514445,0,10.071614583,2.406534729,15.622997131,0,0,0,0,0,0,0,1.953125000,0,0,2.008192240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023451029,0,0,0,0,0,0,0,0
2014-03-07,8.106250916,4.076307475,6.236545207,6.682576599,0.064163818,9.791377055,0,11.934136047,1.374443868,5.243353984,0,0,0,0,0,0,0,0.081606242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015977681,0,0,0,0,0,0,0,0
2014-03-08,11.562156372,2.019558411,4.309380391,6.444584656,0.035662638,9.796875000,0,7.085376892,2.386406759,6.958667806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005126953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020788167,0,0,0,0,0,0,0,0
2014-03-09,23.828125000,0,1.934961893,5.749792480,5.141077934,9.381604747,0,5.465164530,2.783995733,14.433305876,0,0,0,0.050337763,0,0,0,0.009223102,0,0,0.062896251,0.039298361,0,0.092476223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-10,22.581009420,0,1.206606038,5.980197144,4.517939860,8.234338684,0,5.362955627,1.876247762,10.347678833,0,0,0,0,0,0.043800659,0,0.131383870,0,0,0,0,0,0.232625326,0.054321289,0,0,0,0,0.065004679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-11,18.749479980,0,0.909234009,6.759195658,6.315899862,9.616861979,0.002893473,8.458640849,3.898451131,5.679777934,0,0,0,0,0,0,0,0.129869283,0,0,0,0,0,0.468709310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-12,19.755280660,0.371419271,0.737087708,6.984958394,6.558593750,11.056532084,0,3.246365051,2.778822123,4.077225342,0,0,0,0,0,0,0,0.430297852,0,0,0,0.004430745,0,0.460530599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-13,19.347941081,0.100016276,2.243182068,5.808552958,8.087239583,5.490451355,12.049189860,0.641402588,2.798272095,2.262094014,0,0,0,0,0,0,0,0.078418884,0,0,0,0,0,0.154866536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-14,5.687310079,0,3.967393494,5.816447042,8.486183472,0,26.604166667,0,3.907321472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-15,11.791612447,0.000651042,2.995668742,7.087840780,12.632016805,0.071578369,19.094762777,0.254213765,2.492187500,0.110514323,0,0,0,0,0,0,0,0.061735942,0,0,0,0,0,0.112548828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-16,22.548742269,0,1.511709798,8.031625163,8.605396423,0,12.632089132,0.229853821,2.394070129,0.117255351,0,0,0,0,0,0,0,0.121188761,0,0,0,0,0,0.275716146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-17,22.657678731,0,7.322265727,10.232955322,4.135633647,0,4.833767395,0.240397135,1.839504598,0.187102153,3.116319478,0,0,0,0,0,0,0.130434367,0,0,0,0,0,0.292602539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-18,23.828125000,2.204996745,25.253200887,9.756469930,0.046151632,0.022894999,0,0.424913127,5.404663188,0.028356527,18.750000000,0,0,0,0,0,0,0.028053589,0,0,0,0,0,0.092732747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-19,20.595056661,5.475097656,18.653148499,7.792227071,0.066623230,0.058159688,0,1.559100138,2.630384725,0.074119263,18.750000000,0,0,0,0,0.075891520,0,0.050026245,0,0,0,0,0,0.081868490,0,3.672824402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-20,22.714491069,4.435872396,9.975332845,7.666774902,0.044343160,0.266420695,11.835214132,0.801703491,1.602566223,0,7.045572917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406837769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-21,23.828125000,3.265272319,1.878390910,7.560447388,0,1.765625000,25.000000000,0.991355591,1.502265116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-22,23.828125000,4.247612813,1.165653890,6.508676046,0,0,12.156394653,0,1.769666850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.757821554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-23,23.828125000,5.734564921,0.903908081,4.100034281,0.115957743,0.081199443,4.255208333,0.780399984,2.167304179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.195678711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-24,23.828125000,4.285780131,0.541576131,7.758477071,6.430772603,0.370298055,25.000000000,1.658022257,3.069756368,0.888671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-25,23.828125000,5.137993774,1.011149089,7.838438110,7.739655762,0.381980591,19.747540487,0.431604411,3.571207682,3.959811707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-26,23.828125000,6.564154765,2.530183004,5.942228902,7.653790487,6.274377950,0,0.738588765,4.879516602,8.203125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.635461833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-27,23.828125000,4.881564738,0.995216675,6.213473714,8.875361735,8.421440938,0,2.329806925,4.752753398,8.203125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.220635274,0.925464783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-28,23.828125000,6.344997762,1.594798889,6.717276204,6.441695658,9.375000000,0,3.969636230,5.586452942,5.466028239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098849792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-29,23.828125000,4.687500000,0.748634644,3.902212830,6.346715902,5.086733195,0,8.858253886,7.406860352,2.734375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.220242004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-30,23.828125000,4.714843750,0.962149048,3.463627625,6.398582153,2.498770243,0,1.249909363,3.870849711,0.007342326,0,0,0,0,0,0,0,0.005696615,0,0,0,0,0,0,8.253784281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-31,23.828125000,5.687147420,0.360134379,3.063720805,7.171296285,0.075339864,0,4.518807882,4.042928162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.723293660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,23.828125000,4.687500000,0.316632284,2.813006185,8.144965210,0,0,5.759729513,2.734578451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.655779826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-02,23.828125000,4.955837708,1.384603068,5.266547445,6.250000000,0,0,4.864004618,4.233276367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.094373881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-03,23.828125000,4.138861694,7.841498515,4.938381958,6.140335693,0.082537638,0,8.721281738,4.534762675,0,0,1.347764791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-04,23.828125000,4.638346354,15.672507935,5.397176107,0.718388367,0.052336528,7.997829895,9.011863607,1.732543945,0,5.587890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-05,23.828125000,4.129584351,14.269838765,5.518165894,6.026837463,0,0.001446737,6.257053121,2.533528646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-06,23.828125000,5.836018778,6.061831055,3.108891398,0,0.600983785,0.001302083,4.749457499,0,0,0,0,0,0,0,0,0,0,0,0,0,3.797381287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-07,23.828125000,2.928900757,11.053855591,4.158976034,0,9.375000000,0,4.241699117,0.919202983,0.432088216,2.246093750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-08,23.828125000,2.343750000,15.027768555,4.203029887,3.395833333,9.533926493,0,4.795175069,2.906561890,1.540554504,2.825520833,1.482638855,0,0,0,0.958487040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-09,23.828125000,6.171875000,11.037742310,6.093989665,1.671658020,9.385091146,0,7.856626180,3.975274048,1.409722188,0,2.374674479,0,0,0,5.468750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-10,23.828125000,7.320963542,4.557743632,3.872599386,1.394241943,2.900860799,3.162471110,13.881637065,2.882961629,0.190298564,0,0,0,0,0,5.468750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-11,23.828125000,9.499132080,2.957564799,2.445018717,0.236255798,2.834671631,0,12.636827393,2.883205872,0,0,0,0,0,0,5.468750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002531840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-12,23.828125000,8.023898621,1.562500000,1.737792969,0,3.125000000,0,7.812500000,2.546332499,0,0,0,0,0,0,5.468750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-13,23.828125000,11.157796224,0.844645182,2.456579081,0.674623820,1.753544617,3.049768473,8.662850850,1.650485636,0,0,0,0,0,0,5.468750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001175537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-14,23.828125000,15.921468099,4.632866618,4.870478923,3.022424723,0,0,12.863335470,0.939860026,0,0,0,0,0,0,4.140552673,0,0.013992920,0,0,0,0.106336772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127857361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-15,23.828125000,8.873263855,2.761248474,4.262686462,6.250000000,0,2.555700277,12.951768697,2.489474792,0,0,0,0,0,0,0,0,0.011415812,0,0,0,0.007595520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-16,23.828125000,5.339084167,2.225423075,1.921517537,5.186197917,0.749819132,2.314236145,5.368489583,3.509711405,0,0,0,0,0,0,0,0,0,0,0,0,1.467918091,0,0,0,0,0,0,0,0,0,0,0,0.020254618,0,0.003707275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-17,23.828125000,6.263292135,3.525833740,2.422761027,1.046947327,3.765371806,2.042390035,3.611834615,1.811591288,0,0,0,0,0,0,0,0,0.008996989,0,0,0,0,0,0,0,0,0,0,0,0,0,2.640335693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-18,23.828125000,10.853976746,6.705159505,2.094442037,0,4.346245626,0,8.619538472,3.696451823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-19,23.828125000,13.316569010,6.795862223,2.117065328,0,6.321361389,0,9.783257446,5.094672241,0,0,0,0,0,0,0,0,0,0,0,0,0.012252197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-20,23.828125000,10.000569661,7.278510335,4.604040019,0.065393473,5.896701355,2.665509237,7.779170329,2.189195455,0,0,0,0,0,0,0,0,0,0,0,0,1.314335531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-21,23.828125000,12.816921692,4.044921875,4.947242940,2.292824097,3.125000000,1.866464132,3.406376444,3.422960002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.974975586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-22,23.828125000,10.779703776,3.667471415,5.561989034,0,3.193757222,6.978443298,2.641601563,4.335652771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.515625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
