title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2012-08-01,2013-01-31
---------
Day,"[32] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[1024] XSEDE Utilization (%)","[512] XSEDE Utilization (%)","[848] XSEDE Utilization (%)","[160] XSEDE Utilization (%)","[1312] XSEDE Utilization (%)","[192] XSEDE Utilization (%)","[384] XSEDE Utilization (%)","[144] XSEDE Utilization (%)","[1296] XSEDE Utilization (%)","[1440] XSEDE Utilization (%)","[304] XSEDE Utilization (%)","[720] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[224] XSEDE Utilization (%)","[1040] XSEDE Utilization (%)","[608] XSEDE Utilization (%)","[800] XSEDE Utilization (%)","[480] XSEDE Utilization (%)","[912] XSEDE Utilization (%)","[80] XSEDE Utilization (%)","[272] XSEDE Utilization (%)","[176] XSEDE Utilization (%)","[656] XSEDE Utilization (%)","[496] XSEDE Utilization (%)","[544] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[1968] XSEDE Utilization (%)","[688] XSEDE Utilization (%)","[208] XSEDE Utilization (%)","[320] XSEDE Utilization (%)","[336] XSEDE Utilization (%)","[672] XSEDE Utilization (%)","[976] XSEDE Utilization (%)","[640] XSEDE Utilization (%)","[240] XSEDE Utilization (%)","[1008] XSEDE Utilization (%)","[576] XSEDE Utilization (%)","[1200] XSEDE Utilization (%)","[400] XSEDE Utilization (%)","[368] XSEDE Utilization (%)","[560] XSEDE Utilization (%)","[464] XSEDE Utilization (%)","[448] XSEDE Utilization (%)"
2012-08-23,19.775607503,12.612521667,8.549406942,11.068938090,13.661444702,5.371640930,2.359293620,0,0,0,0.556324158,0,0,0,0,0,0,0,0,2.734375000,0,0,0,0,0,0,0,0,0,0,0,0,0.104842529,0,0,0,0,0,0,0,0,0,0,0,0,0.004973246,0,0,0,0
2012-08-24,22.902723897,10.855758057,9.768482361,10.153862915,5.018785197,5.883092855,7.026150208,0,2.358362325,0,0,0,0,0,0,0,0,0,0,0.011962891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-25,39.910436605,7.517976074,5.759403890,5.415147603,2.920098063,5.302585246,6.801676432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170175069,0,0,0,0,0,0,0,0,0.023622843,0,0,0,0
2012-08-26,35.588378703,4.854962463,4.311632080,4.320023092,11.829589945,4.915396118,7.591525675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613267721,0,0,0,0,0,0,0,0
2012-08-27,32.489655558,4.801142985,3.973777568,7.897424723,9.662014567,5.102335409,6.930528463,0,0,0,0,0,0,0,0,0,0,5.487978312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059999797,0,0,0,0,0,0,0,0,1.012776693,0,0,0,0,0,0,0,0
2012-08-28,32.933059998,0.073603923,5.259801737,7.362991943,13.592502238,4.622730408,7.362277629,0,0,0,0,0,0,0,0,0,0,7.421875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102778727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-29,26.465386353,2.602900798,4.316966960,10.677517395,12.256673075,4.507441813,8.576036275,0,0,0,0,0,0,0,0,0,0,7.421875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063392843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-30,28.830638936,2.088180033,2.801956889,8.184100138,14.021606344,4.042778829,5.126871745,0,0.305989583,0,0,0,0.116373698,0,0,0,0,7.421875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111748556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-31,34.600088399,3.558268229,4.012984721,3.733651632,8.185479024,4.171011556,4.711073100,0,0,0,0,0,0,0,0,0,0,0.721227620,0,0,2.552906189,0,0,0,0,0,0,0,0,0,0,0,0.164984843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,26.753924357,8.891999512,7.011320801,5.654152120,7.732014872,2.818291524,3.804416199,0,0,0,0.004340312,0,0,0,0,0,0,1.757197673,0,0.022659912,0,0,0,0,0,0,0,0,0,0,0,0,0.048947856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-02,20.153519185,7.646773783,8.191460470,2.604600728,4.371202291,0.943495076,0.483208516,0,1.582754618,0,0,0,0,0,0,0,0,7.421875000,0,0.268057353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-03,26.970694173,4.108145345,7.454517619,2.736979167,6.208970744,0.952356262,0,0,3.603443298,0,0,0,0,0,0,0,0,7.421875000,0,0.434493408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-04,15.166458842,5.149739583,5.160264689,5.229745382,5.882514140,0.621509501,0,0,0,0,0,0,0.125162760,0,0,0,0,7.421875000,0,0,0,0,0,0,0,0,0.036621094,0,0,0,3.086068624,0,0.020598246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-05,5.936541646,2.570348816,2.008572184,4.169343160,1.747992554,1.242205709,0.606201172,0.008391215,2.163483785,0,0,0,0,0,0,0,0,5.946090088,0,0,0,0,0,0,0,0,0,0,0,0,4.514105937,0,0.007432760,0,0,0,0,0,0,0,0,0,0.124186198,0,0,0,0,0,0,0
2012-09-06,16.677426860,6.771375834,4.682852376,7.918692118,4.819837850,3.188738912,3.125542603,0,0,0,0,0,0,0,0,0,0,2.559000651,0,0,0,0,0,0,0,0,0,0,0,0,4.144938151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-07,11.461588542,4.305808716,3.346408488,6.458767395,1.941040039,2.135547485,6.145941874,4.723668925,0.656683960,0,0,0,0,0,0,0,0,1.603949687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-08,12.594147847,3.369755452,4.867223511,9.757161458,5.130289714,2.479370117,3.650037944,0,7.343026632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-09,12.426423136,3.125000000,7.607584635,14.395254618,3.084621887,2.257649638,2.070719503,0,12.500000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006709391
2012-09-10,9.987349955,3.256908264,8.312771301,17.552372843,2.786580404,2.037742513,6.731309713,0,5.163194478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003074341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007342326,0
2012-09-11,10.959264730,7.266022847,5.379520976,18.308376770,2.695787252,2.184511617,3.541151326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-12,23.397840678,9.221896769,7.817147725,20.432508647,7.919976196,4.015462341,5.471110026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-13,20.940194804,9.375000000,8.507921041,18.383463542,4.803426107,3.423240662,6.323513489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015464478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-14,23.890037130,5.822265828,11.752658285,9.710648193,8.544582926,5.297647909,5.552652995,0,2.239149272,0,0,0,0.042046407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709499817,0,0,0,0,0,0.027974447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-15,24.399884440,4.994574585,14.388635661,16.864655762,10.158040263,5.798647257,2.137261251,0,0,0,0,0,0.007432760,0,0,0,0,0,0,0,0,0,0,0,0,0,1.729984945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-16,27.789234314,6.307183126,11.123010763,10.628616842,5.598022461,5.105636292,0.676703593,0,7.519097188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906801554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-17,28.803873698,5.070167745,4.355703939,1.985532430,7.419230042,5.388138428,3.989312032,0,24.906105347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.706882019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-18,28.785463460,3.769061076,2.249059652,4.053819478,8.921617228,5.120067240,6.146077474,0,25.000000000,0,0,0,0.013563334,0,0,0,0,0,0,0,0,0,0,0,0,0,1.332465312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-19,33.107937419,1.231011251,5.069751790,7.321687012,9.663072408,4.944353739,3.089490967,0,17.146412048,0,0,0,0.036512553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-20,41.578929749,1.834526978,4.108705851,1.318937988,9.773586629,7.098198853,0.998969218,0,10.308593750,0,0,0,0.005316874,4.818793437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-21,39.482910258,2.540581563,5.615903422,2.917245280,6.779419047,7.386145020,2.304361877,0,3.265190938,0,0,0,0,11.101888021,0,0,0,0,0,0,1.009693298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-22,35.553511963,2.204246216,3.402325643,1.928313090,11.949490051,5.312852783,2.343750000,0,0,0,0,0,0,18.750000000,0,0,0,0,0,0,2.372513428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-23,36.877414551,3.377821147,1.910319010,0.366030172,6.361924947,4.805926005,1.844238281,0,8.084201355,0,0,0,0,18.750000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-24,30.600676270,3.695601908,3.180844727,5.084852498,6.172376709,5.271628723,0,0,12.500000000,0,0,0,0,18.750000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-25,24.542037659,2.986979268,6.268211161,3.135127258,5.935302734,6.074751994,0.292100728,0,12.500000000,0,0,0,0,18.750000000,0,0,0,0,0,0.172164307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-26,27.063214315,10.032515971,4.338179932,0,6.106892904,5.886425273,1.945583700,0,12.500000000,0,0,0,0.690429688,13.115559896,0,0,0,0,0,0.808507894,0,0,0,0,0,0,0.032213033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-27,35.055908305,10.434027710,7.339753418,1.949725138,5.915378215,5.771958923,1.681152344,0,10.419849548,0,0,0,1.464897970,6.201171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-28,29.903302104,11.355938924,14.957410889,0.030164897,8.952297668,6.295012207,2.209228516,0,0,0,1.081090902,0,3.274848124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-29,13.102430522,9.393229167,10.190122172,0.019748230,6.054511210,5.409523214,1.057861430,0,0,0,5.647560425,0,1.273817240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-30,7.711751302,10.418511149,7.098289185,0,8.453301493,4.790133972,3.798773804,0,0,0,0.954273376,0,2.117241720,0,0,0,0,0,0,1.381682231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,11.156566366,13.524486287,5.842483927,0.026548055,3.810546875,5.024757792,3.579318441,0,1.749131877,0,1.411630147,0,6.526367188,0,0,0,0,0,0,0.216977743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-02,15.088930766,10.285156352,4.528446859,0,3.056803385,5.809290161,4.384765625,0,12.500000000,0,0,0,0.550835470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-03,18.254584351,9.593569132,4.464445801,2.358217570,1.409138896,6.656051331,5.198648987,0,1.936487325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-04,18.228343913,9.511791077,5.612033386,5.363570658,2.239624023,5.024603678,7.138346456,0,7.952112325,0,0,0,0.001247864,0,2.693155924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-05,24.605378316,9.440393575,4.067563782,8.217375590,2.038099467,5.034523519,4.764323018,0,18.218605347,0,0,0,0,0,2.225097656,0,0,0,0,0,0.030381978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.377346497,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-06,22.752785034,9.461009827,8.551938680,5.476490173,1.646321513,4.581696472,6.309733073,0,0.297887777,0,0,0,0,0,2.948852539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.108357747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-07,16.457329508,9.470992533,9.688458455,8.801360067,1.020629883,3.680451762,12.307779948,0,2.486979167,0,0,0,0,0,0.469767253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.234406637,0,0,1.359497070,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-08,7.371473592,9.025716146,3.852104899,17.937210490,2.148125610,2.910047709,5.582926331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143111572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231029358,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-09,5.652479451,4.382993266,3.394929097,3.080584412,0.870483398,2.383784587,8.113525289,0,0,0,0,0,0.005479635,0,0,0,0,0,0,0,0.054750773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-10,5.676377767,0.947627360,0.685601196,6.842664897,0.332356771,1.679578654,4.473280233,0,0,0,1.101119385,0,0.015190938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-11,15.979844666,3.268156840,4.529875590,25.163122152,1.657118022,5.347972514,10.938720703,0,0,0,0.450846354,0,0,0,0,0,0,0,0,0,3.659062195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-12,16.688928731,10.459382121,3.667805990,22.425708720,1.236667175,5.369190470,9.962185364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904748942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-13,19.606282450,10.517107951,5.912995504,5.605758057,1.071248372,4.361409302,9.893581848,0,0,0,0,0,0.529947917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-14,21.185474752,9.796115417,4.256998494,9.177517293,0.759182434,3.285278219,6.988118490,0,0,0,0,0,0,0,0,0,0,0,0,0.401168213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.395616353,0,0,0,0,0,0,0,0,0,0,0
2012-10-15,17.416368510,13.339554443,5.357801819,16.573929240,1.563910624,4.715883382,5.963270467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-16,16.973849996,11.875976461,7.729745483,14.354817708,1.314005534,4.880253296,4.319417318,0,0,0,0.008183187,0,0,0,0,0,0,0,0,0,2.583541260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-17,19.665645040,8.946650798,9.295120748,6.404513855,3.829210002,4.484469604,5.637342733,0,0,0,3.163429565,0,0,0,0,0,0,0,0,0,2.371310730,0,0,0,4.055175781,0,0.239167379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-18,16.765145874,8.068106181,5.511519979,9.435619202,4.678426107,4.372676290,11.528293152,0,0,0,8.220757446,0,0,0,0,0,0,0,0,0,5.468750000,0,0,0,5.050048828,0,1.954436137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-19,15.415943095,7.835178019,5.484447225,14.402777812,4.775973612,3.789197795,7.705674947,0,0,0,8.411820068,0,0,0,0,0,0,0,0,0,4.699896952,0,0,0,0,0,1.427702738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-20,22.082844849,8.907335103,8.488823751,13.390914408,3.293484192,5.004701843,5.798719584,0,0,0,5.140561727,0,0,0,0,0,0,0,0,0,5.468750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-21,24.612521566,9.630244548,8.461787415,8.476128438,1.010959167,5.308643392,7.149576925,0,0,0,6.950095825,0,0,0,0,0,0,0,0,0,0.980893758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-22,16.196460978,7.604564616,7.947916565,0.902343750,1.545993551,4.941578267,4.775336304,12.135127360,0,0,9.596128133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069399211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
