title
"XSEDE Utilization (%): by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] XSEDE Utilization (%)","[8] XSEDE Utilization (%)","[4] XSEDE Utilization (%)","[2] XSEDE Utilization (%)","[32] XSEDE Utilization (%)","[16] XSEDE Utilization (%)","[64] XSEDE Utilization (%)","[12] XSEDE Utilization (%)","[60] XSEDE Utilization (%)","[3] XSEDE Utilization (%)","[6] XSEDE Utilization (%)","[5] XSEDE Utilization (%)","[40] XSEDE Utilization (%)","[7] XSEDE Utilization (%)","[17] XSEDE Utilization (%)","[42] XSEDE Utilization (%)","[128] XSEDE Utilization (%)","[96] XSEDE Utilization (%)","[30] XSEDE Utilization (%)","[25] XSEDE Utilization (%)","[10] XSEDE Utilization (%)","[28] XSEDE Utilization (%)","[20] XSEDE Utilization (%)","[26] XSEDE Utilization (%)","[38] XSEDE Utilization (%)","[24] XSEDE Utilization (%)","[50] XSEDE Utilization (%)","[18] XSEDE Utilization (%)","[22] XSEDE Utilization (%)","[14] XSEDE Utilization (%)","[19] XSEDE Utilization (%)","[9] XSEDE Utilization (%)","[112] XSEDE Utilization (%)","[46] XSEDE Utilization (%)","[52] XSEDE Utilization (%)","[43] XSEDE Utilization (%)","[126] XSEDE Utilization (%)","[31] XSEDE Utilization (%)","[49] XSEDE Utilization (%)","[74] XSEDE Utilization (%)","[34] XSEDE Utilization (%)","[93] XSEDE Utilization (%)","[76] XSEDE Utilization (%)","[11] XSEDE Utilization (%)","[68] XSEDE Utilization (%)","[13] XSEDE Utilization (%)","[27] XSEDE Utilization (%)","[36] XSEDE Utilization (%)","[15] XSEDE Utilization (%)","[94] XSEDE Utilization (%)","[33] XSEDE Utilization (%)","[48] XSEDE Utilization (%)","[65] XSEDE Utilization (%)","[41] XSEDE Utilization (%)","[39] XSEDE Utilization (%)","[44] XSEDE Utilization (%)","[256] XSEDE Utilization (%)","[29] XSEDE Utilization (%)","[56] XSEDE Utilization (%)","[55] XSEDE Utilization (%)","[100] XSEDE Utilization (%)","[35] XSEDE Utilization (%)","[53] XSEDE Utilization (%)","[51] XSEDE Utilization (%)","[54] XSEDE Utilization (%)","[86] XSEDE Utilization (%)","[103] XSEDE Utilization (%)"
2014-08-11,28.285749435,21.808300974,20.442487617,3.745797277,0,0.129507682,0.616676348,0,15.034226959,4.813008249,0.452224797,0,0,0,1.972695067,0,0,0,0,0,0,0,0,0,0,0,0,0.852957754,0,0.402115154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.436595582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-12,37.209994529,20.040696586,20.866605761,6.023996830,0,1.336195004,0,0,7.950647748,1.295580875,1.533651190,0,0,0,2.164355766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.782410631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296966752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-13,41.364101832,17.872061642,18.293321199,5.238604475,2.216790699,5.318868952,0,0.299667787,0,1.472995319,1.161617166,0,0,0.517270418,1.412116878,0,0,0,0,0,0,0,0,0,0,0,0,0,1.264503637,0.689549490,0,0,0,0,0,2.620305722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-14,38.686207404,18.521698429,17.256540578,4.207355494,1.050679213,5.961503412,0,1.095210004,0,2.266176868,2.535390731,0.000515759,0,7.864546506,1.465374087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257253012,0,0,0,0,0,0,0,0,0
2014-08-15,40.270316696,17.961913008,19.292060548,2.663866929,12.416281870,6.108717334,2.101264099,0,0,1.927156332,2.181163142,0.293399279,0,0,1.164468493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-16,28.683788584,17.630280922,45.654320489,1.305624639,0,6.108670155,0,0,0,2.948483824,0.891019648,0.189977919,0,0,2.165382840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001472080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-17,26.517357251,18.436550624,38.417397336,1.858021644,0,6.109330336,0,0,0,2.341593361,1.527780541,0.498466384,0,0,1.796139735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032757100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-18,28.759887373,19.250942529,29.132275723,3.842332750,1.503873560,5.476810360,0,0,0,2.846994271,0.686015901,0,0,0,2.037876226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545014489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-19,45.127501475,9.998769586,23.396503113,3.036537561,1.670986393,4.522489739,3.159016359,0,0,2.926468930,0.811465416,0,0,0,1.634639738,0,0,0,0,0,0,1.140619036,0,0,0,0,0,0,0,0,0,0.620011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-20,43.558213213,12.175797907,17.856536301,2.142220023,4.970945215,4.927917438,5.549898579,0,0,3.276956640,0.644824179,0.008870808,0,0.009830081,0.705369578,0,0.187860411,0,0,0,0,0.392749242,0,0,0,0,0,0,0,0,0,1.103370533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-21,33.264237502,17.992067875,14.800332677,4.638426001,6.415452300,5.207892638,0.481628107,0,0,7.839587453,0.293973987,0.013534584,0,0,0.312378636,0,0,0,0,0,0.526854423,0,0.635632132,0,0,0,0,0,0,4.195947270,0,0.351402786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-22,37.600918028,17.436007646,15.851129822,10.138126446,3.758010039,2.749486264,0.094024515,0,1.496482259,5.615141638,0.591590576,0.004545910,0,0,0.376708144,0,0.245010742,0,0,0.623607956,0.974446378,0,0.946109929,0,0,0,0,0,0,5.486874714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-23,36.113672177,12.782701632,12.800496297,14.374363657,2.533805162,2.886349937,0,0,4.271419762,1.145437546,0,0,0,0,2.108819020,0,0,0,0,3.180592114,1.272782066,0,0.339801501,0,0,0,0,0.278979092,0,5.394494652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-24,22.035058087,8.844175403,5.707168036,9.865191934,0.103785335,3.177170523,0.093647278,0.779663179,7.249354042,3.403745615,0,0,0,0,1.846591272,0,0.252366700,0,0,2.979783564,1.272826261,0,0,0,0,0,0,2.290636376,0,4.676847461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-25,30.255746517,8.218834537,4.890471464,22.976448905,0.049039866,3.074163235,0.848955586,1.527780541,8.265222006,6.761728567,0.048812953,0,0,0,1.025188188,0,0.247462717,0,0,0,1.051321656,0,0,0,0,0,0,2.278090540,0,2.723313009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-26,39.114955606,10.422445742,9.018744322,8.392145093,2.887882459,3.003031822,3.867076628,1.688002977,13.920308739,3.063796807,0.470216900,0,0,0,1.899547833,0,0.252743938,0,0,0,0.732090984,0,0.484976029,0,0,0,0,2.033963941,0,2.027100135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-27,35.867071522,18.813957210,8.717367165,4.460128940,5.593044222,4.659895728,3.889050243,3.718872466,14.178652185,0.089036550,0.160576101,0.018404683,0,0,1.117273535,0,0,0,0,0,1.124896192,0,0,0,0,0,0,0.912901921,0.001491244,0.938447453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-28,39.853835100,23.093416619,5.321368073,8.218601656,9.687401745,6.704292374,0,2.052141678,3.791335946,0.761587095,0.497023779,0.383219778,0,0,2.162351748,0,0,0,0,0,1.845876584,0,0,0,0,0,0,2.287718740,0,0.380536414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-29,29.473620256,16.369142878,4.290593640,20.843642006,11.171140763,8.322985306,3.322545439,3.288423813,0,0.713454946,0,1.674981201,0,0,1.267275392,0,0,0,0,0,2.044084326,0,0,0,0,0,0,2.288700127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-30,22.924929877,12.601808205,3.310975121,21.783884203,24.035995975,8.232520871,0,2.125701526,0,0.608689716,0.928736730,0.635440596,0,0.123489692,0.020441127,0,0,0,1.759511594,0,1.271264298,0,0,0,0,0,0,2.288647079,0.060103311,0,1.112733494,0.430192232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-31,41.241091163,9.929005683,2.773281214,5.125190873,26.330684617,9.507628194,0,1.530026226,0,0.446942118,0,0.577021557,0,0.310323062,0.743045383,0,0,0,0,0,1.286486105,0,0,0,0,0,0,2.288540983,0,0,0,0.146677541,0,0,0,0,0,0,0,0,0,0,0,0.122621762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,66.372887167,9.630569768,3.985774301,1.942476908,1.900012002,8.521030953,0,1.614001107,0,0.345589595,0,0.636575225,0,0,0.009218538,0,0,0,0,0,3.815708521,0,0,0,0,0,0,2.284986771,0,0,0,0.527588242,0,0,0,0,0,0,0,0,0,0,0,1.400465496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-02,55.482254305,7.134239956,6.992154111,1.816042989,1.056762020,6.959394027,5.982581114,1.669931336,3.909367602,0.037960207,0.045577029,0.302925826,0,0,0.001252528,0,0,0,0,0,3.395067868,0,0,0,0,0,0,2.117090056,0,0,0,1.145835406,0,0,0,0,0,0,0,0,0,0,0,1.279383583,0,0,0,0,0,0,0.002188227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-03,42.473300212,13.270047180,9.779086282,2.386137381,2.445156160,5.508521222,5.994086614,3.387252150,8.082913923,0.035970910,0.031536998,0,0,0,0.808652417,0,0.252932556,0,0.765879568,0,0.989933425,0,0,0,0,0,0,2.274828092,0.453595224,0,0,0.620793464,3.602284907,0,0,0,0,0,0,0,0,0,0,0.214138303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-04,30.968730795,13.375199924,8.770173533,2.894203983,1.183228298,7.695416459,0.004809691,0.949628764,11.950815711,0.294641495,0,0,0,0,2.161900840,0,0,0,3.813262415,0,1.034346317,0.674716691,0,0,0,0,0,1.124112276,2.623635972,0,0,0.810771383,14.259285046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027523026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-05,24.752621927,13.512476145,6.796631091,4.627468685,4.989900999,5.426049288,4.234969928,1.977520937,12.422058194,0.094115890,0,0.067216144,0,0,2.129786184,0,0,0,3.594086050,0,2.411544424,3.491090533,0,0,0,0,0,0,2.033171172,0,0,1.302552269,10.665252044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007730278,0
2014-09-06,22.707515931,23.703409026,7.323579840,6.788458792,3.479755946,8.370398390,0,0.194385307,16.386595682,0,0,0,0,0,1.846365819,0,0,0,3.814146558,0,1.532967435,3.560076422,0,0,0,0,0,0,2.797008395,0,0,1.482252150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-07,20.101555167,25.404220162,6.677674047,10.763455609,0.044796031,12.621589184,0,2.817658796,15.226702573,0,0,0,0,0,0,0,0,0,3.814323374,0,1.470886630,3.561025383,0,0,0,0,0,0,2.798369970,0,0,2.126890662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-08,21.285931920,23.442094896,7.124001737,13.287667880,0.919874774,16.101415883,0.004338128,0.525262985,10.286171530,0,0,0.034363292,0,0,0,0,0,0,3.323629971,0,2.528087788,3.102260936,0,0,0,0,0,0,2.187903148,0,0,1.896848290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-09,18.545324653,20.509074479,8.464281366,5.196826308,8.816331105,10.400649008,0.197574085,0.251341118,15.963980452,0.007687541,0.027744070,0.583947231,0,0.006756251,0,0,0.331584973,0,3.815605376,0,1.223344341,3.543778903,0,0,0,0,0,0,2.784397707,0,0,1.165158116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007437022
2014-09-10,18.081660699,13.070834411,8.478999284,4.881412037,12.731268741,8.909483247,2.866380340,1.961040701,19.597410366,0.129476715,0.281958629,0.636575225,0,0,0,0,0,0,3.792264285,0,0,3.097062238,0,0,0,0,0,0,2.375798968,0,0,0.395419311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005702653,0
2014-09-11,19.000593872,11.413734840,10.218352696,6.244216383,11.703647742,15.618019522,10.520372264,3.397136738,7.424765860,0,0.585145252,0.288322923,0,0,0,0,0,0,3.816003236,0,0.166555796,3.262842938,0.010344347,0,0,0,0,0,2.206251832,0,0,1.137798643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-12,19.888008514,5.619992640,10.962391335,4.234860915,16.264025509,17.146978920,10.151441544,4.114167976,6.049321318,0.114481887,0.056823191,0,0,0,0,0.372944658,0,0,3.391354513,2.343687263,0,3.638304455,0,0,0,0,0,0,2.154901430,0,0,0.313128701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-13,20.763698701,4.546903559,11.868255452,8.379401752,13.137498060,14.210386587,8.137883387,6.858373086,0,0.617398397,0.002776164,0,0,0,0,5.233850783,0,0,0.484946554,3.165340866,0.013173560,4.494026570,1.939078856,0,0,0,0,0,3.092273203,0,0,0.400631270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-14,26.527549981,3.137679319,6.009494088,13.718346330,7.094418694,14.164741855,7.940969451,8.896103430,1.239111348,0.389336470,0,0.026722897,0,0,0,4.645593374,0,0,0,3.180518444,0,3.383774560,1.992893069,0,0,0,0,0,2.421994868,0.049243205,0,1.145835406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-15,25.592432745,3.132421638,4.525884873,6.782968330,3.613248158,11.397172015,5.801982368,2.900272103,6.147106335,0.087661713,0,0,0,0,0,5.298772603,0,0,0,2.967037339,0,3.488656229,1.555424417,0,0,0,0,0,2.795971009,0,0,0.746357928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-16,13.111899348,3.332082198,4.613785235,1.590966500,3.320753579,4.587609030,12.723582692,1.107746988,0,0,0.300047942,0.055383503,0,0,0,1.871345495,0.751630296,0,0,0.189020105,0,0.819001174,0.690772544,0,0,0.048945573,0,0,1.513637364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486626383,0,0,0,0,0,0,0,0,0,0
2014-09-17,18.122180403,9.916120936,5.783551195,3.642680910,13.399672761,9.599908061,22.515241302,5.692733096,0,0.001025582,0.768699961,0,0,0,0,5.288746544,0,0,0,0.223096043,0,2.831722367,0.448697110,0,0.982992965,0,0,0,1.312579787,0,0.004535598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-18,25.824533609,7.654380897,4.200070322,4.409194202,21.543780428,9.141597472,6.367638372,4.328605436,0,0,0.090208014,0,0,0,0,5.343085301,0,0,0,1.892043042,0.886578342,0,1.149843475,0,4.806894474,2.588031955,0,0,2.620880397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-19,25.661901337,7.387302214,5.342640395,4.460812661,17.034800208,13.439022426,10.626279516,2.246208730,0,0.000959272,0.091207073,0.001819843,0,0,0,5.340981088,0,0,0,2.294544219,0.625980359,0,0,0,4.766802005,0.216506296,0,0,2.149098583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001329149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-20,24.023195773,12.236944505,6.221479507,7.775109212,12.102851094,7.132165251,8.686752671,5.499320323,0,0,0.033128436,0.624352086,0,0,0,5.341042956,0,0,0,5.531315589,1.108245042,0,0,0,4.807118436,0,0,0,2.799180409,0,0,0,0,0,0,0,0,2.457044799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-21,25.981741829,12.799028692,6.454448434,7.298222994,14.755200720,7.333087290,1.576820406,2.887699709,0,0.000296173,0,0.569977952,0,0,0,5.344384975,0,0,0,6.241384319,1.687852686,0,0,0,4.737852586,0,0,0,2.798629308,0,0,0,0,0,0,0,0,3.946766397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-22,35.691019913,12.382213292,4.900079041,5.192411493,12.241577347,8.069156836,0,2.958854728,0,0,0.139966978,0.080279198,2.014465874,0,0,5.344013640,0,0,0,3.797863793,1.764094372,0,0,0,4.833044156,0,0,0,2.799796362,0,0,0,0,0,0,0,0,3.647606974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-23,24.394330303,7.048160928,9.136758340,6.304909255,16.141567268,6.074695936,1.601528974,0.737490103,0,0.002241275,0.068767829,0.009850703,14.539849675,0,0,5.341414291,0,0,0,2.724600914,0.611392210,0,0,0,4.831140332,2.217792709,0,0,0.853116898,0,0,0.025025364,0,0,0,0,0,3.772039759,0,0,0,0,0,0,0,0,0.477988422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-24,20.771729694,5.491145040,12.520185170,4.871680658,16.576277427,5.482940281,2.115315900,1.821895966,0,0.859694842,0,0,21.737924035,0,0,5.336772597,0,0,0,1.543547548,0,0,0,0,4.791775813,0.963279788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.722890847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-25,17.694651508,3.366881677,13.020061668,4.209716160,14.794715564,2.569264756,1.296821600,2.523543337,0,0.125100294,0.008814810,0,24.709197849,0,0,5.341785627,0,0,0,2.390214712,0,0,0,0,4.826380738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.332062404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-26,23.490802483,4.752635223,17.522410996,3.811662191,12.373183373,4.066607585,0,0.540788325,0,0.024782238,0.318941893,0,19.195749070,0,0,5.341042956,0,0,0,2.824692057,0.868041039,0,0,0,4.219114497,0.029530028,0,0,0,0,0,0,0,0,0,0,0,0,0,3.361140763,0,0,1.349256566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-27,20.446894773,2.404769009,17.797623585,2.398385586,16.514553137,6.611399570,0,4.150152214,0,0,0.559399332,0,13.949661886,0,0,4.643736697,0,0,0,0,0.268054169,0,0,0,4.672114391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.402273535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
