title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-GORDON"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[16] Number of Jobs Running","[10] Number of Jobs Running","[6] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[9] Number of Jobs Running","[5] Number of Jobs Running","[12] Number of Jobs Running","[15] Number of Jobs Running","[17] Number of Jobs Running","[20] Number of Jobs Running","[33] Number of Jobs Running","[18] Number of Jobs Running","[100] Number of Jobs Running","[21] Number of Jobs Running","[24] Number of Jobs Running","[19] Number of Jobs Running","[128] Number of Jobs Running","[40] Number of Jobs Running","[48] Number of Jobs Running","[96] Number of Jobs Running","[60] Number of Jobs Running","[28] Number of Jobs Running","[7] Number of Jobs Running","[30] Number of Jobs Running","[26] Number of Jobs Running","[56] Number of Jobs Running","[11] Number of Jobs Running","[59] Number of Jobs Running","[36] Number of Jobs Running","[43] Number of Jobs Running","[25] Number of Jobs Running","[38] Number of Jobs Running","[22] Number of Jobs Running","[34] Number of Jobs Running","[29] Number of Jobs Running","[45] Number of Jobs Running","[50] Number of Jobs Running","[52] Number of Jobs Running","[57] Number of Jobs Running","[13] Number of Jobs Running","[47] Number of Jobs Running","[14] Number of Jobs Running","[27] Number of Jobs Running","[120] Number of Jobs Running","[126] Number of Jobs Running","[23] Number of Jobs Running","[35] Number of Jobs Running","[55] Number of Jobs Running","[62] Number of Jobs Running","[63] Number of Jobs Running","[65] Number of Jobs Running","[99] Number of Jobs Running","[114] Number of Jobs Running"
2015-08-11,1641,60,131,10,62,5,0,0,7,4,0,3,2,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,1577,82,116,15,43,6,2,1,5,3,0,9,3,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-08-13,1296,60,46,11,23,6,2,2,18,7,6,10,3,1,0,0,0,0,0,0,1,4,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,1489,48,73,13,12,7,2,14,8,0,13,17,0,1,0,0,0,0,0,0,1,3,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,519,22,69,18,3,6,4,6,2,0,10,9,0,1,0,0,0,0,0,0,1,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-16,747,35,92,18,11,3,1,7,0,0,17,12,1,1,1,1,0,0,0,0,0,4,0,1,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2015-08-17,1972,41,63,18,9,3,1,9,0,0,10,10,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2015-08-18,1947,37,30,24,17,1,11,7,0,3,8,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,2764,25,24,27,24,6,22,8,0,4,1,9,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,2161,34,38,84,9,5,20,5,1,7,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,1918,52,49,63,10,7,4,2,2,3,0,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,1737,26,31,77,26,13,17,3,3,3,0,3,7,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,852,35,24,115,30,9,14,1,3,1,0,2,5,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-08-24,1467,59,26,39,78,8,19,2,5,2,2,1,5,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-08-25,1696,47,21,63,92,10,13,10,8,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,1512,31,34,26,43,6,9,0,28,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,873,45,44,36,13,8,6,14,26,8,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,801,50,28,21,5,6,4,0,35,4,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,789,138,46,25,2,6,10,16,36,0,0,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-30,1163,61,21,25,2,3,6,1,36,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-31,1410,79,40,48,3,3,15,0,35,2,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,1773,101,44,91,2,3,31,2,0,2,0,1,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,1645,88,49,26,9,5,15,1,1,0,0,3,1,1,3,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,1212,75,37,21,6,6,11,0,1,0,0,1,0,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,894,56,28,28,2,4,9,2,0,0,0,1,0,1,0,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-05,624,44,45,22,0,8,5,3,2,0,0,1,0,0,0,0,0,0,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-06,1022,59,636,44,2,5,5,0,6,0,1,0,0,0,0,0,0,0,19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
2015-09-07,2764,73,168,36,4,7,4,5,1,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-08,2155,131,801,50,10,5,17,9,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,1388,80,358,52,7,6,18,6,4,0,1,6,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-10,1980,93,567,35,11,4,13,8,3,0,2,4,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,1448,65,53,57,5,5,16,1,3,1,2,1,1,1,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,1313,85,37,65,4,7,9,0,2,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-13,993,64,31,47,7,12,23,1,3,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,1350,197,778,36,18,10,19,7,3,6,1,0,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,1445,114,34,37,12,10,13,3,4,8,5,1,0,1,9,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-16,1197,120,43,42,16,7,9,3,4,2,7,0,0,0,6,1,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,1000,84,27,28,5,12,11,6,4,2,4,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,859,136,32,15,15,8,9,4,9,4,5,1,0,0,3,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-19,1240,107,17,22,20,6,5,4,7,4,2,1,0,0,4,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-20,670,78,17,31,13,5,4,2,1,1,4,0,0,0,4,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-21,1117,110,16,38,3,8,6,2,1,3,2,0,0,0,4,0,6,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-22,1414,131,19,37,5,8,5,3,4,2,2,0,0,0,5,2,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-23,1690,253,22,28,1,7,15,5,2,2,1,0,1,1,5,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-24,1383,171,23,27,6,6,22,19,3,0,1,22,0,1,4,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-25,1214,171,33,31,5,6,19,4,2,1,0,2,0,1,5,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-26,1408,68,38,16,2,8,9,4,3,6,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-27,1531,76,38,24,7,7,11,2,1,3,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-09-28,3436,83,34,49,8,10,17,15,1,9,0,5,0,0,3,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-29,974,128,61,16,8,8,7,4,2,4,0,4,0,0,2,3,0,0,0,0,0,0,0,7,1,0,0,0,3,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-30,673,119,53,64,5,19,6,17,0,1,0,1,0,1,1,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,605,118,49,40,5,7,8,8,0,13,0,4,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-02,699,97,37,40,3,14,10,14,1,6,0,3,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-03,524,107,25,10,8,18,10,8,1,6,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-04,521,78,34,11,4,11,7,4,2,7,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-05,596,81,71,29,7,14,7,13,1,5,0,24,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-06,1484,126,62,30,10,19,6,6,2,6,0,4,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-10-07,1631,70,65,22,10,11,7,8,0,6,0,4,0,1,0,0,2,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08,1514,35,38,17,6,11,11,6,5,6,1,3,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-09,1130,31,46,18,3,8,15,6,4,6,3,3,0,0,1,0,2,0,15,0,3,0,6,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-10-10,552,25,38,22,9,7,14,9,32,3,2,1,0,0,1,0,0,0,36,0,6,0,5,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-11,376,38,91,28,2,7,12,13,6,2,2,1,0,0,5,0,0,0,0,0,5,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-12,568,29,51,31,2,15,17,14,0,10,1,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-13,2046,32,147,27,12,8,12,10,2,4,0,0,0,0,3,0,2,0,0,0,4,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-14,643,53,40,27,14,7,9,10,2,2,0,0,0,1,3,0,4,0,0,0,3,0,0,0,1,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-15,1167,44,43,15,34,3,8,9,1,4,1,1,0,2,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-16,1636,50,30,16,12,11,7,9,2,4,1,4,0,1,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-17,1857,53,25,15,6,11,8,7,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-18,2729,35,76,21,0,12,0,6,2,2,0,22,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-19,2883,16,43,20,4,23,0,6,8,2,0,17,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-20,1837,36,66,15,2,14,0,21,5,2,0,40,3,1,4,2,2,0,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-21,2697,74,44,19,3,19,0,43,7,7,0,2,1,1,3,2,1,0,0,0,0,0,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-22,3417,33,36,9,0,14,0,17,1,0,0,3,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-23,3056,21,39,9,2,11,1,13,0,2,1,4,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-24,2901,56,93,8,0,9,1,12,0,0,1,2,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-25,2937,36,17,8,0,8,0,6,0,0,0,5,1,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-26,2508,21,18,14,2,13,0,8,2,0,0,8,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-27,2951,24,32,12,3,9,5,3,2,0,0,8,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-28,1955,25,49,25,11,8,12,3,3,0,0,1,0,1,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-29,617,51,27,32,0,10,8,10,1,1,0,0,0,1,2,2,4,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-30,424,62,28,30,10,10,9,3,2,2,0,1,0,1,1,4,3,0,0,0,2,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-31,253,19,32,30,0,13,0,1,4,1,0,2,0,13,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,227,35,32,27,1,18,8,0,4,1,0,1,1,23,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-02,408,64,29,28,2,14,10,6,8,3,0,0,1,21,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-03,377,147,31,36,5,8,9,6,6,2,0,0,2,14,1,1,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-04,660,131,27,25,2,8,7,6,8,3,0,3,3,14,2,4,0,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-05,622,42,20,29,2,15,9,10,4,5,0,1,3,19,0,9,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-06,540,59,22,27,1,23,7,10,5,6,0,1,6,15,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
