title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[16] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[9] Number of Jobs Running","[24] Number of Jobs Running","[10] Number of Jobs Running","[5] Number of Jobs Running","[20] Number of Jobs Running","[31] Number of Jobs Running","[22] Number of Jobs Running","[7] Number of Jobs Running","[17] Number of Jobs Running","[11] Number of Jobs Running","[18] Number of Jobs Running","[15] Number of Jobs Running","[14] Number of Jobs Running","[30] Number of Jobs Running","[28] Number of Jobs Running","[25] Number of Jobs Running","[13] Number of Jobs Running","[26] Number of Jobs Running"
2014-09-01,577,103,20,3,3,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2014-09-02,668,166,22,5,6,5,1,1,0,0,4,0,0,1,0,4,0,0,0,1,2,0,2,1,0,0,1
2014-09-03,723,226,68,8,12,0,3,1,8,16,2,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2014-09-04,850,146,21,7,12,3,1,1,3,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-05,658,158,27,6,2,2,2,0,5,8,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-06,567,136,28,9,1,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-07,634,119,28,6,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-08,757,199,91,7,9,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-09,788,135,46,6,5,3,1,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-10,719,210,23,10,0,0,0,0,3,2,6,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2014-09-11,816,237,23,14,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-12,925,170,34,12,3,0,1,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-13,660,202,31,13,7,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-09-14,326,169,9,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-15,158,208,7,9,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-16,659,133,15,7,4,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-17,1752,345,9,3,6,0,0,1,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-18,449,288,15,9,4,0,0,5,7,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-19,644,228,26,17,12,0,1,2,8,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-20,360,117,11,6,19,0,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-21,651,169,12,10,18,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-22,711,195,20,6,8,0,2,1,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-23,556,232,44,12,11,0,4,2,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-24,487,164,31,14,2,0,5,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-25,634,199,19,11,2,0,16,7,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-26,679,226,8,16,4,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-27,261,171,6,10,0,2,4,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-28,498,231,9,19,0,4,4,0,4,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-29,765,263,19,20,0,0,2,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-30,1220,274,17,16,3,1,3,3,8,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,1065,184,14,16,33,1,5,2,8,14,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-02,1856,182,11,9,7,1,10,7,7,14,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-03,995,216,38,22,8,4,7,19,22,33,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-04,1003,68,8,11,0,5,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-05,535,113,11,12,0,8,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-06,581,139,22,19,0,5,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-07,542,148,21,15,3,4,8,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-08,655,175,37,11,8,8,4,18,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-10-09,314,173,29,17,6,0,3,35,2,0,0,7,3,2,0,0,0,1,0,0,0,0,4,0,0,0,0
2014-10-10,367,135,41,20,11,1,2,8,1,1,0,3,8,5,0,0,2,2,0,0,0,0,2,0,0,0,0
2014-10-11,226,124,42,23,12,0,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-10-12,273,97,56,11,23,0,1,5,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2014-10-13,1143,172,14,20,20,0,3,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2014-10-14,1581,215,22,14,24,0,1,7,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2014-10-15,933,217,29,13,14,1,0,6,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2014-10-16,2791,163,32,14,13,3,0,5,5,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2014-10-17,896,136,39,10,6,9,0,1,1,0,0,1,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0
2014-10-18,613,65,21,4,4,8,0,0,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2014-10-19,373,81,22,2,2,22,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-10-20,769,175,55,13,5,5,4,0,37,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-10-21,503,233,48,16,6,11,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-10-22,685,198,37,10,4,4,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-10-23,906,213,28,13,4,0,0,17,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-10-24,810,194,21,6,6,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-10-25,454,84,30,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-26,400,76,28,10,2,5,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-10-27,792,164,22,15,9,10,0,5,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-10-28,1439,381,16,42,2,13,4,5,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-10-29,527,323,25,24,0,6,3,2,0,0,0,0,7,0,4,0,2,0,0,0,0,0,0,0,0,0,0
2014-10-30,913,292,34,11,0,12,0,5,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-31,741,163,114,18,0,6,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,180,75,49,23,2,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-02,1811,30,13,4,0,0,0,4,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-03,666,247,56,8,9,2,1,4,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-04,2424,275,34,17,3,3,0,3,8,0,0,9,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0
2014-11-05,1359,203,26,17,4,15,0,1,1,0,0,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-06,828,176,28,14,1,5,0,1,1,0,0,9,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0
2014-11-07,587,191,20,26,5,3,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-08,356,88,45,9,1,0,38,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-09,375,110,66,3,0,1,40,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-10,450,224,91,9,3,2,1,6,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-11-11,481,230,27,13,5,1,0,4,0,0,0,0,0,6,1,0,0,0,0,10,0,0,0,0,0,0,0
2014-11-12,626,263,20,20,4,0,0,7,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-13,1388,384,13,11,1,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-14,400,163,13,58,4,9,0,1,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0
2014-11-15,334,74,34,8,4,4,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-16,248,113,27,3,2,5,0,0,0,0,0,25,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
2014-11-17,820,164,45,10,1,0,0,7,0,6,0,4,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
2014-11-18,740,256,25,26,0,4,0,9,0,3,0,3,0,1,2,0,2,0,0,5,0,0,0,0,0,0,0
2014-11-19,1035,246,31,24,5,5,0,4,0,3,0,0,0,18,0,0,1,0,0,6,0,0,0,0,0,0,0
2014-11-20,1531,232,12,15,19,1,0,9,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-21,1390,207,8,21,14,5,0,0,0,0,0,3,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-22,812,83,16,312,5,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-23,572,75,11,5,2,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-24,1559,161,24,28,9,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-25,2501,95,19,9,5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-26,807,276,22,10,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-27,666,143,22,10,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-28,842,131,15,6,6,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-29,482,60,17,36,5,0,2,0,0,0,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-30,228,115,25,7,4,41,2,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-12-01,725,86,20,87,2,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-02,1974,111,8,39,2,5,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-03,3831,368,11,21,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-04,698,235,9,38,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-05,2708,265,18,23,6,2,6,0,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-06,3557,207,5,2,8,4,3,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,3212,240,14,7,5,1,4,5,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-08,2272,299,23,17,4,1,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-09,3280,280,29,31,3,5,7,5,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,3638,306,41,14,2,2,2,4,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-12-11,3116,292,38,97,3,5,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-12,502,332,37,17,1,3,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-13,197,221,65,3,0,3,2,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-14,212,165,23,5,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-15,2180,279,16,10,1,3,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-16,2901,330,317,9,1,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-17,1138,256,26,16,6,2,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-18,708,213,31,29,7,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-19,1547,169,39,13,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-20,2100,78,37,14,4,0,3,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-21,1279,59,45,9,3,3,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-22,4375,130,67,10,6,0,2,0,0,0,6,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-23,2672,156,41,11,8,4,1,0,0,0,8,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-24,1420,127,34,31,5,1,26,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-25,796,89,18,14,7,12,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-26,246,86,7,16,16,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-27,387,89,9,12,15,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-28,291,102,5,14,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-29,620,166,8,15,18,0,5,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-30,204,144,7,7,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-31,177,36,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,182,47,5,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,613,64,8,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-01-03,801,58,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-01-04,254,100,6,11,5,4,5,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
2015-01-05,1778,245,120,105,3,97,95,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
2015-01-06,383,171,85,47,0,32,33,0,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-07,441,221,112,81,5,70,69,4,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0
2015-01-08,649,207,625,24,8,1,0,1,1,0,0,4,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
2015-01-09,208,163,25,23,4,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-10,224,69,46,13,8,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0
2015-01-11,167,99,25,22,10,15,15,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-12,234,258,87,57,8,48,46,0,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,523,255,306,56,12,44,45,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,480,298,126,17,20,15,11,1,0,0,0,7,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,1236,217,42,14,10,5,1,1,0,0,0,13,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,1139,154,31,29,10,21,18,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,1026,128,45,36,10,36,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,485,101,43,40,8,36,36,1,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0
2015-01-19,553,155,15,8,11,1,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,1061,211,17,25,7,2,0,1,5,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,2770,183,21,35,9,1,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,809,215,25,28,11,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,1304,116,9,28,34,0,0,0,2,0,0,2,2,0,0,3,0,0,1,0,0,2,0,0,0,0,0
2015-01-24,492,63,1,231,26,0,0,0,1,0,0,1,0,0,4,7,0,0,9,0,0,1,0,0,0,0,0
2015-01-25,471,47,13,25,34,0,0,0,2,0,0,5,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0
2015-01-26,540,110,2,17,14,0,1,2,1,0,0,1,1,0,1,3,0,0,0,0,0,2,0,0,0,0,0
2015-01-27,690,218,8,8,8,0,3,0,1,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0
2015-01-28,744,257,13,15,6,1,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,3,0,0,0,0,0
2015-01-29,982,251,13,10,4,1,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2015-01-30,1111,237,11,6,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
2015-01-31,455,91,11,7,9,2,2,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0
---------
