title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2011-02-01,2011-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[8] Number of Jobs Running","[4] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[6] Number of Jobs Running","[16] Number of Jobs Running","[5] Number of Jobs Running","[20] Number of Jobs Running","[12] Number of Jobs Running","[10] Number of Jobs Running","[7] Number of Jobs Running","[24] Number of Jobs Running","[28] Number of Jobs Running","[9] Number of Jobs Running","[18] Number of Jobs Running","[15] Number of Jobs Running","[13] Number of Jobs Running","[23] Number of Jobs Running","[26] Number of Jobs Running","[14] Number of Jobs Running","[25] Number of Jobs Running","[30] Number of Jobs Running","[11] Number of Jobs Running","[22] Number of Jobs Running"
2011-02-16,43,64,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-17,29,6,2,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-18,14,5,4,34,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-19,3,6,5,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-20,2,1,5,8,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-21,17,1,2,8,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-22,5,5,1,11,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-23,51,22,4,6,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-24,59,73,7,6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-25,31,92,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-26,11,61,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-27,36,86,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-28,149,91,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,183,79,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-02,106,58,10,1,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-03,254,89,5,0,2,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-04,284,69,2,0,2,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-05,45,35,4,2,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-06,28,45,1,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-07,54,72,2,3,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-08,48,70,1,0,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-09,50,57,3,3,10,10,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-10,55,57,5,0,3,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-11,68,35,4,0,3,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-12,48,28,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-13,17,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-14,53,16,10,5,7,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-15,114,77,4,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-16,106,59,7,13,26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-17,37,36,31,28,23,3,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-18,91,33,4,16,23,2,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-19,68,32,2,0,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-20,82,30,20,0,25,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-21,159,87,3,5,22,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-22,97,55,6,9,23,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-23,89,60,18,4,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-24,53,47,5,7,22,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-25,64,44,34,7,18,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-26,26,19,1,14,18,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-27,12,21,0,9,18,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-28,74,37,3,7,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-29,131,58,4,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-30,126,61,2,0,19,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-31,148,43,1,0,17,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,104,31,2,0,15,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-02,42,10,1,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-03,21,5,2,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-04,16,1,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-05,17,1,15,1,15,7,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-06,40,40,8,0,15,5,5,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-07,53,59,8,0,17,3,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-08,60,41,4,1,16,1,0,0,0,5,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2011-04-09,90,23,9,4,10,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-10,120,19,12,3,8,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-11,153,32,10,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-12,213,46,7,7,0,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-13,227,49,15,11,0,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-04-14,196,57,12,5,4,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-04-15,173,65,8,9,6,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1
2011-04-16,130,19,4,4,8,6,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2011-04-17,109,17,5,4,6,4,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-04-18,121,51,8,9,7,5,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0
2011-04-19,110,37,6,2,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2011-04-20,156,60,8,2,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-21,361,51,7,0,8,9,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2011-04-22,177,44,6,4,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-04-23,330,21,6,6,5,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-04-24,262,21,16,1,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-04-25,283,33,56,0,5,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-04-26,308,51,14,2,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-27,615,118,26,5,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-28,867,84,22,0,5,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-29,1186,121,19,1,16,12,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-30,1036,27,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,1087,51,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-02,813,79,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-03,1079,124,12,9,41,15,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-04,716,95,21,6,8,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-05,553,104,10,2,14,4,2,0,8,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,1,0
2011-05-06,752,110,5,16,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-07,1284,86,2,16,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-08,653,72,2,5,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-09,270,88,3,13,7,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-10,596,106,10,12,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-11,497,153,8,15,9,3,3,3,0,4,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-05-12,573,112,5,17,6,0,2,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-13,859,117,6,17,2,0,0,1,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-05-14,1386,52,4,12,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-15,376,90,15,27,1,0,1,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-16,281,104,8,35,0,0,2,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-17,488,57,13,24,0,0,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-18,457,59,23,18,1,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-19,392,34,22,14,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-20,539,70,9,26,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-21,346,84,14,13,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-22,333,10,8,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-23,32,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-24,1241,54,3,4,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-25,4274,127,22,12,3,15,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2011-05-26,3413,133,28,12,2,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-27,5304,131,20,9,16,0,2,0,8,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-28,4380,75,25,16,2,0,2,0,4,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-29,2712,76,6,9,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-30,3854,93,31,8,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-31,1770,93,20,10,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,434,20,7,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-02,521,18,4,4,1,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-03,2644,22,14,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-04,383,37,17,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-05,895,71,6,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-06,1374,145,23,9,2,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-07,6334,98,46,35,4,36,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-08,1380,94,53,2,3,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-09,742,91,63,5,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,5596,61,62,2,4,20,2,1,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-11,10591,34,27,0,2,16,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-12,7849,44,30,0,2,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-13,5753,93,83,6,5,26,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-14,7149,162,11,17,2,15,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-15,7017,227,19,5,2,20,1,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-06-16,5581,246,24,12,4,11,4,0,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-17,2292,185,4,10,5,9,5,1,3,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-18,616,59,28,4,1,15,4,8,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-19,475,63,18,23,1,26,7,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-20,509,55,14,21,4,24,2,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-21,559,101,10,9,4,22,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-22,794,128,52,6,14,14,5,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-23,1056,119,13,4,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-24,1372,99,15,2,3,0,4,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-25,1034,76,2,4,1,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-26,4159,87,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-27,826,45,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,1343,54,12,6,4,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-29,370,45,25,5,1,6,6,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,356,77,31,5,1,11,15,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,303,130,18,3,0,1,37,5,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-02,300,42,2,3,2,12,25,1,5,4,1,0,0,14,6,0,0,0,0,0,1,0,0,0,0,0
2011-07-03,279,88,40,48,1,42,6,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-04,299,62,1,6,1,1,20,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-05,255,112,2,3,1,8,47,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,344,119,13,0,1,9,25,9,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2011-07-07,380,109,6,5,3,7,28,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-07-08,408,74,19,3,1,2,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-09,206,39,13,2,3,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-10,195,52,13,2,1,0,8,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-11,278,101,4,9,5,2,14,14,3,22,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2011-07-12,490,82,2,4,1,6,0,5,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-13,1779,99,7,9,3,0,6,1,30,9,3,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2011-07-14,4614,143,0,20,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-15,589,137,2,24,3,1,31,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-16,3007,45,0,6,1,3,13,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-17,545,1734,0,9,2,0,6,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-18,684,185,0,7,2,11,0,17,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2011-07-19,681,93,0,8,2,20,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-07-20,1997,80,0,1,2,10,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-07-21,3585,92,0,15,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-22,2708,88,0,12,1,8,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-23,3017,29,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-24,2120,25,0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-25,5550,100,0,51,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-26,5456,103,0,48,5,11,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-27,3390,99,0,44,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-28,592,79,0,13,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-29,291,21,0,21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-07-30,257,66,6,22,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-07-31,269,42,25,32,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
