title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[3] Number of Jobs Running","[8] Number of Jobs Running","[4] Number of Jobs Running","[5] Number of Jobs Running","[32] Number of Jobs Running","[10] Number of Jobs Running","[6] Number of Jobs Running","[16] Number of Jobs Running","[20] Number of Jobs Running","[24] Number of Jobs Running","[12] Number of Jobs Running","[9] Number of Jobs Running","[11] Number of Jobs Running","[7] Number of Jobs Running","[14] Number of Jobs Running","[22] Number of Jobs Running","[28] Number of Jobs Running","[31] Number of Jobs Running","[13] Number of Jobs Running","[15] Number of Jobs Running","[18] Number of Jobs Running","[25] Number of Jobs Running"
2015-02-28,797,143,6,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,756,144,9,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,1443,197,6,3,1,2,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2015-03-03,1378,288,12,188,10,2,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-04,493,209,16,9,7,2,3,10,1,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-05,321,185,11,12,3,3,1,13,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-06,754,183,8,2,54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-07,276,86,4,0,20,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,93,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-09,350,205,6,11,5,8,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,526,191,11,16,5,9,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-11,599,192,7,10,3,7,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-12,579,194,6,7,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2015-03-13,635,189,5,16,1,4,4,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2015-03-14,583,107,7,8,2,0,2,1,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
2015-03-15,758,156,3,1,12,1,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-03-16,714,198,4,10,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,714,198,1,23,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-03-18,681,244,7,16,2,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
2015-03-19,705,176,39,14,3,4,0,1,4,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0
2015-03-20,623,173,38,11,3,11,0,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-21,626,108,43,6,22,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-22,498,89,31,3,22,4,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-23,329,267,31,7,23,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,416,189,33,6,10,5,0,5,7,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-03-25,637,284,40,22,10,7,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-26,368,214,37,4,10,4,0,8,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-27,530,181,37,11,6,2,0,5,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-28,1164,103,39,15,14,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,261,127,46,26,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,436,246,39,11,6,6,0,5,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,350,252,19,12,4,2,0,3,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,576,213,4,5,16,3,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-02,298,197,17,6,11,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-03,4265,171,7,8,9,10,0,6,4,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0
2015-04-04,6634,124,13,7,12,1,3,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,535,105,18,7,9,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-06,263,229,31,4,13,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,309,226,29,7,14,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,371,178,62,2,7,0,18,3,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-04-09,330,180,40,4,7,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2015-04-10,586,263,65,17,10,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,307,119,31,1,9,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,361,122,24,3,15,0,10,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2015-04-13,1511,226,18,3,10,0,4,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2015-04-14,687,211,27,22,17,0,4,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-04-15,606,218,12,14,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-16,463,191,23,8,8,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,401,175,7,15,15,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,271,101,1,7,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,168,96,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,192,273,3,12,2,1,2,0,1,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2015-04-21,247,243,2,25,4,1,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-22,241,206,4,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23,578,354,2,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-24,785,305,1,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-25,771,212,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-26,478,130,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,200,244,0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-28,111,253,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-29,82,212,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-30,24,224,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
---------
