title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[10] Number of Jobs Running","[16] Number of Jobs Running","[5] Number of Jobs Running","[20] Number of Jobs Running","[7] Number of Jobs Running","[40] Number of Jobs Running","[32] Number of Jobs Running","[24] Number of Jobs Running","[18] Number of Jobs Running","[72] Number of Jobs Running","[9] Number of Jobs Running","[15] Number of Jobs Running","[30] Number of Jobs Running","[64] Number of Jobs Running","[11] Number of Jobs Running","[25] Number of Jobs Running","[22] Number of Jobs Running","[42] Number of Jobs Running","[14] Number of Jobs Running","[21] Number of Jobs Running","[48] Number of Jobs Running","[17] Number of Jobs Running","[36] Number of Jobs Running","[50] Number of Jobs Running","[13] Number of Jobs Running","[60] Number of Jobs Running","[70] Number of Jobs Running","[26] Number of Jobs Running","[19] Number of Jobs Running","[54] Number of Jobs Running","[43] Number of Jobs Running","[71] Number of Jobs Running","[28] Number of Jobs Running","[33] Number of Jobs Running","[56] Number of Jobs Running","[55] Number of Jobs Running","[67] Number of Jobs Running","[29] Number of Jobs Running","[51] Number of Jobs Running","[27] Number of Jobs Running","[65] Number of Jobs Running","[35] Number of Jobs Running","[41] Number of Jobs Running","[52] Number of Jobs Running","[58] Number of Jobs Running","[44] Number of Jobs Running","[45] Number of Jobs Running","[49] Number of Jobs Running","[34] Number of Jobs Running","[68] Number of Jobs Running","[23] Number of Jobs Running","[31] Number of Jobs Running","[37] Number of Jobs Running","[38] Number of Jobs Running","[46] Number of Jobs Running","[39] Number of Jobs Running","[57] Number of Jobs Running","[63] Number of Jobs Running","[66] Number of Jobs Running"
2015-08-30,8198,224,55,36,32,2,16,23,10,20,16,0,3,2,4,3,4,0,1,2,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-31,7090,304,147,31,13,11,11,18,35,21,23,1,12,33,0,1,4,1,6,5,0,0,2,0,0,0,0,0,0,0,1,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-09-01,6580,382,203,91,14,14,9,3,7,3,7,8,7,3,0,2,3,1,1,6,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,10106,288,68,23,32,6,6,13,17,7,14,2,7,7,0,2,3,0,0,12,0,1,1,1,0,0,0,6,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,6236,372,62,26,24,3,7,12,1,11,20,1,2,5,1,3,4,12,0,16,0,0,2,0,5,0,1,8,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,5485,342,19,41,9,4,5,16,1,5,25,1,1,4,0,1,5,2,3,10,0,0,3,1,1,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-05,5631,212,2724,33,6,4,3,7,6,2,13,1,2,3,1,1,3,7,0,2,5,10,1,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-06,5373,221,1490,30,5,2,2,14,3,1,12,0,0,0,0,2,1,6,0,0,5,5,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-09-07,7038,340,38,38,0,0,2,9,3,0,2,0,1,1,2,8,5,4,0,0,7,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-09-08,2555,373,76,31,4,1,3,2,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,1933,372,62,69,10,2,11,9,3,2,25,0,1,0,1,2,8,5,4,3,7,5,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-10,1668,320,128,47,12,8,15,8,6,7,5,0,1,1,0,0,2,7,4,4,2,4,0,0,0,0,4,0,9,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,4039,319,268,46,8,4,4,15,7,12,2,0,0,2,3,0,4,9,10,0,2,6,0,0,7,0,1,2,2,0,0,8,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,2770,236,287,26,9,11,15,18,3,1,4,0,0,0,0,0,7,9,3,1,5,5,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-13,13090,232,127,6,4,2,5,14,16,3,1,0,1,0,0,0,4,8,2,1,3,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,6737,408,69,22,22,9,23,29,18,2,2,0,2,0,0,1,3,6,4,3,0,4,3,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,6395,471,162,36,12,9,13,11,29,14,13,0,0,0,1,0,4,7,3,10,3,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-16,7649,337,159,20,30,21,104,29,24,20,20,0,0,0,1,1,7,8,3,2,5,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,7933,281,128,39,20,15,11,19,10,7,14,0,19,5,2,2,2,6,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,4224,450,197,59,17,15,12,16,49,26,7,0,3,37,0,1,6,6,2,3,4,6,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2015-09-19,1710,240,57,21,9,3,9,6,8,11,4,0,0,0,0,0,3,2,1,1,1,4,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-20,1272,195,270,57,12,4,13,7,2,15,2,0,0,0,0,0,5,2,0,1,6,4,0,0,4,0,1,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-21,1812,286,207,356,6,13,11,5,8,8,5,0,4,0,1,2,8,5,2,0,1,1,0,0,3,0,1,0,1,0,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015-09-22,1643,362,45,93,12,35,13,4,11,9,13,0,0,4,2,0,5,7,0,0,7,1,0,0,2,0,6,0,0,0,1,0,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-23,1074,392,123,55,12,23,15,14,16,4,10,3,0,1,1,0,5,8,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-24,1036,386,123,36,15,19,13,11,14,6,33,1,10,14,1,0,2,0,0,1,4,7,4,1,6,3,0,0,0,0,1,0,0,2,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-09-25,1580,309,81,14,15,12,17,7,2,6,11,0,13,1,1,0,6,2,0,0,6,7,4,1,9,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-26,510,170,25,9,15,5,17,3,3,12,5,0,0,0,0,0,4,14,0,1,2,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-27,639,155,140,14,18,4,12,4,10,4,6,0,0,11,0,0,1,9,0,0,18,2,0,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-28,1233,332,104,22,21,28,17,4,11,8,3,0,16,2,2,0,5,0,0,0,18,1,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-29,1089,341,90,29,21,20,20,27,9,15,6,0,4,9,0,0,4,0,0,0,6,2,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-30,1028,337,49,77,16,21,15,17,12,16,10,1,0,2,0,0,2,0,1,1,3,1,0,5,0,3,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,2163,376,95,70,32,26,19,25,21,23,15,1,2,6,0,0,7,0,2,0,10,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-02,9165,269,143,59,54,20,19,24,23,6,9,1,15,5,4,0,7,8,1,3,9,3,0,6,2,18,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-03,4439,191,48,16,53,28,15,21,19,0,5,0,5,2,0,0,3,5,1,0,5,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-04,9058,246,112,10,38,27,9,8,7,0,0,0,3,15,2,0,1,4,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-05,2852,295,104,30,46,54,13,19,9,1,1,0,1,5,44,0,3,12,1,0,5,3,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-06,2354,522,176,21,57,63,23,88,8,3,1,0,6,2,5,0,1,10,8,0,3,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-07,2481,407,111,73,66,45,38,83,19,14,7,0,5,3,15,0,3,20,10,0,5,0,0,0,0,0,3,1,1,7,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08,7424,413,72,159,61,60,226,73,33,8,8,0,4,8,28,0,0,6,3,3,13,0,0,0,4,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2015-10-09,3998,440,82,98,69,37,26,16,11,11,6,0,4,8,26,0,2,4,0,0,12,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-10,3183,202,64,49,53,38,83,25,8,8,6,0,4,9,2,0,2,6,0,3,7,0,0,0,0,3,0,0,0,0,1,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-10-11,5313,283,95,46,68,6,24,33,15,19,3,0,3,6,3,0,1,1,1,3,4,0,18,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-12,2260,601,244,36,96,20,54,20,17,13,7,0,11,7,6,0,1,0,1,6,7,0,0,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-13,3065,613,280,79,57,56,146,19,16,22,3,0,5,12,23,0,8,2,0,1,5,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-14,4931,597,410,120,43,49,178,11,16,21,7,0,6,4,1,0,2,0,0,3,2,0,10,0,1,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-15,5384,491,400,99,38,38,43,9,21,8,8,1,1,4,5,2,2,5,3,2,2,0,8,1,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-16,2509,459,294,64,39,106,27,9,12,26,5,2,0,5,1,11,2,5,1,2,5,0,2,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-17,2869,228,231,108,40,39,17,12,3,12,3,6,0,0,6,13,0,2,1,1,2,0,6,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-18,2022,185,244,46,65,110,77,10,13,2,1,20,0,3,1,0,0,4,0,2,4,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-19,6784,351,99,70,50,80,197,11,22,8,1,50,0,3,2,1,0,1,0,1,4,0,10,0,0,9,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-20,8333,383,58,91,77,53,184,31,47,3,12,26,2,23,1,0,2,6,0,2,18,2,21,0,0,9,6,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-21,3641,325,112,100,131,35,36,36,22,19,46,13,5,0,25,3,0,6,0,3,2,3,9,2,0,8,0,15,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-10-22,3851,382,78,77,121,47,34,28,29,15,30,7,1,4,4,2,0,15,1,2,1,5,0,0,11,8,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-23,2748,367,70,83,139,45,99,31,31,13,13,40,3,5,25,8,0,5,1,2,1,1,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-24,3655,191,71,60,102,21,46,24,18,11,13,57,4,5,5,6,1,3,1,2,3,1,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-25,3434,187,68,50,91,6,42,1,20,10,7,1,2,1,2,6,0,2,0,8,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
