title
"Number of Jobs Ended: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2011-02-01,2011-07-31
---------
Day,"[16] Number of Jobs Ended","[32] Number of Jobs Ended","[64] Number of Jobs Ended","[128] Number of Jobs Ended","[48] Number of Jobs Ended","[96] Number of Jobs Ended","[112] Number of Jobs Ended","[256] Number of Jobs Ended","[160] Number of Jobs Ended","[224] Number of Jobs Ended","[480] Number of Jobs Ended","[80] Number of Jobs Ended","[1024] Number of Jobs Ended","[144] Number of Jobs Ended","[208] Number of Jobs Ended","[400] Number of Jobs Ended","[512] Number of Jobs Ended","[240] Number of Jobs Ended","[288] Number of Jobs Ended","[1008] Number of Jobs Ended","[192] Number of Jobs Ended","[384] Number of Jobs Ended","[800] Number of Jobs Ended","[320] Number of Jobs Ended","[768] Number of Jobs Ended","[1440] Number of Jobs Ended"
2011-04-17,11,9,34,12,6,0,8,0,16,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2011-04-18,44,8,66,10,12,1,10,1,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2011-04-19,138,31,34,1,11,1,1,1,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
2011-04-20,232,17,10,1,5,0,1,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2011-04-21,264,49,69,7,16,3,0,2,7,0,0,0,1,0,5,0,0,5,0,0,0,0,0,0,0,1
2011-04-22,95,19,17,10,1,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-23,45,18,6,4,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011-04-24,30,3,9,9,4,0,12,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
2011-04-25,43,10,27,18,0,0,13,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2011-04-26,79,41,23,8,0,0,9,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0
2011-04-27,114,20,16,7,0,0,14,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-28,65,39,18,23,0,1,27,8,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-04-29,26,14,17,3,0,0,18,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-30,12,11,6,1,0,1,13,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,31,2,3,6,0,0,13,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2011-05-02,37,8,13,4,0,1,5,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2011-05-03,33,17,52,14,0,0,2,0,3,3,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2011-05-04,38,4,17,15,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-05,47,1,11,9,0,2,2,0,1,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2011-05-06,84,16,24,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-07,14,20,2,12,0,3,1,2,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-05-08,14,2,1,4,0,2,1,1,1,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2011-05-09,45,15,2,8,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0
2011-05-10,373,32,6,4,3,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2011-05-11,79,7,4,13,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-05-12,343,32,4,1,4,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-13,204,34,2,2,2,2,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-14,541,32,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-15,281,13,3,8,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-16,72,20,0,1,0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-17,78,12,7,4,0,2,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-18,52,5,3,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2011-05-19,67,7,2,7,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-20,62,19,2,4,0,1,1,0,0,8,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
2011-05-21,44,31,3,0,0,0,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-22,67,14,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-23,50,21,5,3,0,8,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-24,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-25,16,19,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-26,27,68,1,3,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-27,28,130,1,2,0,3,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-05-28,5,45,2,8,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-29,9,41,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-30,24,8,0,14,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-31,32,17,20,5,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-06-01,52,4,11,5,3,1,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-02,131,8,0,5,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-03,429,14,6,2,2,3,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-04,118,3,6,1,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-05,45,5,6,1,5,5,0,0,0,0,19,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-06,118,44,4,3,2,15,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-07,73,40,8,1,6,7,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-08,39,321,9,8,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-09,79,286,9,10,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,79,208,37,2,0,11,2,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-11,66,10,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-12,55,61,17,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-13,76,347,6,14,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-14,65,175,10,3,7,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-15,46,96,9,6,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-06-16,47,150,19,8,4,2,0,0,6,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2011-06-17,26,116,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2011-06-18,14,45,10,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-19,27,83,5,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2011-06-20,51,75,10,3,0,6,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
2011-06-21,81,46,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2011-06-22,72,22,11,1,2,7,1,0,1,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
2011-06-23,69,20,5,1,2,2,0,0,1,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
2011-06-24,37,4,8,2,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
2011-06-25,17,12,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-26,30,7,10,0,8,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-27,161,18,4,2,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
2011-06-28,62,3,15,1,4,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-29,108,18,15,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-06-30,52,11,17,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,64,7,22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-02,44,5,10,3,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-03,26,5,9,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-04,30,0,3,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-05,68,485,21,31,9,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,102,47,23,6,12,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-07,80,20,25,9,19,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-08,66,6,25,4,5,27,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-09,43,4,13,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-10,31,7,6,3,0,12,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011-07-11,101,162,8,12,1,15,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,5,0,0,0,0
2011-07-12,104,96,7,11,6,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-13,46,46,5,6,1,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
2011-07-14,103,282,9,25,3,7,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
2011-07-15,100,156,19,8,1,5,0,1,0,17,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
2011-07-16,37,93,5,5,12,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-07-17,72,98,20,12,29,0,6,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-18,110,142,16,5,1,6,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011-07-19,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-20,59,45,24,0,9,0,0,0,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011-07-21,46,23,12,1,3,2,1,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
2011-07-22,60,8,24,1,1,1,0,0,2,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0
2011-07-23,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-24,8,1,6,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-25,103,33,33,1,4,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-26,129,46,19,0,18,8,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011-07-27,73,88,26,7,5,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-28,99,215,10,4,1,8,0,2,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-29,19,3,1,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-31,30,26,14,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
