title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2011-02-01,2011-07-31
---------
Day,"[16] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[128] Number of Jobs Running","[48] Number of Jobs Running","[96] Number of Jobs Running","[112] Number of Jobs Running","[256] Number of Jobs Running","[160] Number of Jobs Running","[224] Number of Jobs Running","[480] Number of Jobs Running","[144] Number of Jobs Running","[1024] Number of Jobs Running","[80] Number of Jobs Running","[208] Number of Jobs Running","[400] Number of Jobs Running","[512] Number of Jobs Running","[1008] Number of Jobs Running","[192] Number of Jobs Running","[240] Number of Jobs Running","[288] Number of Jobs Running","[384] Number of Jobs Running","[320] Number of Jobs Running","[800] Number of Jobs Running","[1440] Number of Jobs Running","[768] Number of Jobs Running"
2011-02-14,34,76,4,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-02-15,252,142,6,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2011-02-16,315,311,6,2,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-02-17,311,95,17,34,0,0,0,2,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0
2011-02-18,152,38,4,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-19,84,7,3,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-20,39,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-21,28,5,28,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0
2011-02-22,57,3,22,0,13,2,0,0,0,0,0,9,2,0,0,0,0,0,0,2,4,0,0,0,0,0
2011-02-23,21,0,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-24,37,0,37,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0
2011-02-25,24,10,14,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-02-26,38,8,12,7,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-27,56,20,26,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-28,86,47,20,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,119,41,17,12,8,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-02,10,7,11,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-03,14,14,23,12,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-04,40,11,27,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
2011-03-05,33,16,14,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-06,42,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-07,52,12,19,13,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-08,34,4,3,10,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-03-09,27,250,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-10,83,121,13,25,0,1,0,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-03-11,46,7,8,13,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-12,15,4,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-13,69,229,7,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-14,165,30,16,20,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-15,123,173,19,12,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-16,57,6,9,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-17,75,165,21,23,0,0,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-18,66,177,27,24,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-19,67,22,10,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-20,46,12,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-21,44,204,20,18,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-22,25,295,26,15,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-23,14,33,6,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-24,31,63,12,8,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-25,65,73,14,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-26,65,286,13,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-27,69,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-28,108,209,53,5,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-29,56,272,44,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-30,77,82,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-31,78,64,18,5,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,49,7,13,6,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-02,32,2,8,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-03,23,9,6,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-04,29,3,7,8,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-05,23,8,7,8,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-06,13,5,9,12,0,0,0,3,0,0,0,1,1,0,0,38,0,0,0,0,0,0,0,0,0,0
2011-04-07,15,1,49,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-08,38,1,45,3,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0
2011-04-09,8,1,13,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-10,19,0,3,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-11,49,0,15,8,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-12,107,65,22,23,3,0,6,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0
2011-04-13,64,47,17,9,6,0,9,1,19,0,0,0,1,12,0,0,0,0,0,1,0,0,0,2,0,0
2011-04-14,69,24,26,12,3,0,7,0,14,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0
2011-04-15,84,34,60,13,2,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-16,53,46,69,11,0,0,5,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-17,26,9,42,19,7,0,13,0,19,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
2011-04-18,54,9,68,11,12,1,10,1,6,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0
2011-04-19,151,34,41,3,13,1,2,1,3,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
2011-04-20,241,18,14,2,9,0,1,0,7,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,1,0
2011-04-21,275,59,76,10,16,3,1,3,7,0,0,0,2,0,5,0,0,0,0,5,0,0,0,0,1,0
2011-04-22,105,36,23,12,1,0,2,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2011-04-23,56,18,8,10,7,0,4,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0
2011-04-24,41,5,15,17,4,0,12,1,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0
2011-04-25,51,13,30,22,0,0,22,1,0,2,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0
2011-04-26,89,45,38,15,0,0,9,3,0,1,0,0,1,6,1,0,0,0,0,0,0,0,2,0,0,0
2011-04-27,135,22,19,15,0,1,20,4,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-28,74,42,26,28,0,2,34,8,0,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2011-04-29,39,16,22,10,0,1,25,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-30,20,15,8,9,0,1,24,2,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,40,6,12,10,0,0,19,2,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2011-05-02,62,20,24,6,0,1,6,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2011-05-03,56,19,61,22,0,0,3,1,3,6,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0
2011-05-04,74,5,25,20,0,1,7,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2011-05-05,67,12,24,12,0,4,4,0,1,11,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2011-05-06,103,28,26,8,0,3,2,1,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-05-07,26,21,3,16,0,5,2,3,4,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2011-05-08,14,11,1,5,0,2,1,1,1,8,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,1
2011-05-09,51,17,3,13,0,0,1,1,0,0,0,0,4,0,3,0,2,0,0,0,0,0,0,0,0,3
2011-05-10,380,33,8,10,3,0,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
2011-05-11,88,9,6,18,6,1,0,0,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-05-12,357,33,6,8,5,2,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-13,238,37,5,10,2,2,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-14,573,33,4,9,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-15,315,14,4,15,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-16,108,22,6,9,0,6,0,0,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-17,97,14,12,11,0,3,0,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0
2011-05-18,75,6,7,11,2,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
2011-05-19,83,9,6,10,0,3,0,0,4,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-05-20,89,22,6,4,0,4,1,0,0,13,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-05-21,66,34,4,0,0,3,1,2,1,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-22,78,16,2,5,0,3,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-23,59,21,5,6,0,9,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-24,9,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-25,19,20,1,5,1,4,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-26,35,71,3,9,0,3,0,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-27,42,133,2,10,0,4,0,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-05-28,20,46,2,13,2,1,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-29,23,42,0,14,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-30,38,19,1,22,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-31,57,20,28,8,9,1,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-06-01,82,8,14,8,3,2,0,0,4,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-02,151,10,7,7,0,7,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-03,459,15,11,3,4,6,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-04,145,5,8,1,3,4,0,0,0,0,2,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-05,70,6,7,2,8,9,0,0,0,0,19,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-06,138,44,10,4,4,19,0,0,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-07,75,40,8,1,7,9,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-08,56,323,12,9,2,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-09,102,288,14,10,0,9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,80,208,38,2,0,11,2,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-11,78,10,6,1,2,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-12,63,61,23,2,0,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-13,86,348,10,16,10,4,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-14,79,175,15,8,8,5,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-15,59,100,12,10,1,4,0,1,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2011-06-16,55,150,24,10,4,6,0,0,6,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
2011-06-17,32,125,17,6,0,4,0,0,0,0,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
2011-06-18,18,51,19,2,0,6,1,0,0,0,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
2011-06-19,28,95,9,5,0,10,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2011-06-20,71,92,18,3,0,11,1,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2011-06-21,113,52,11,1,0,6,1,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2011-06-22,82,29,20,3,2,9,1,0,1,0,4,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2011-06-23,91,30,13,2,3,2,0,1,1,0,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2011-06-24,57,17,12,2,4,0,0,1,0,0,4,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2011-06-25,36,24,6,1,7,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-06-26,45,20,15,1,12,0,0,0,0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011-06-27,176,26,11,3,15,1,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2011-06-28,71,13,21,3,14,1,0,0,2,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2011-06-29,125,25,29,2,10,0,0,0,2,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2011-06-30,76,18,39,3,9,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,75,16,40,4,7,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-02,50,10,20,5,13,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-03,31,5,19,4,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-04,34,0,13,10,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-05,80,499,40,36,19,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,112,61,40,11,22,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-07,89,20,46,13,24,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-08,74,6,39,8,6,27,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-09,49,5,24,6,1,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-10,39,8,20,7,0,15,0,2,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2011-07-11,124,162,15,14,1,16,0,2,0,0,0,4,0,0,0,0,1,0,1,0,0,5,0,0,0,0
2011-07-12,119,97,8,13,7,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-13,64,54,18,10,2,5,0,1,2,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-07-14,119,300,27,27,4,9,0,1,2,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-07-15,115,165,32,13,3,5,0,1,1,17,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-07-16,50,95,29,14,15,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-07-17,79,99,33,13,30,0,6,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-18,122,153,25,5,1,6,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011-07-19,17,18,22,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-07-20,77,56,50,1,10,1,0,0,7,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2011-07-21,67,28,28,2,3,3,1,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-07-22,60,8,24,1,1,1,0,0,2,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2011-07-23,2,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-24,9,1,7,0,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-25,126,41,48,2,4,5,2,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-26,157,53,34,1,22,11,1,0,12,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2011-07-27,104,94,33,10,6,5,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-28,118,218,11,6,2,10,0,2,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-29,47,7,14,2,1,5,15,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-30,28,4,13,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-31,31,27,14,0,0,6,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
