title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[16] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[6] Number of Jobs Running","[9] Number of Jobs Running","[12] Number of Jobs Running","[7] Number of Jobs Running","[5] Number of Jobs Running","[10] Number of Jobs Running","[15] Number of Jobs Running","[20] Number of Jobs Running","[14] Number of Jobs Running","[30] Number of Jobs Running","[24] Number of Jobs Running","[21] Number of Jobs Running","[18] Number of Jobs Running","[13] Number of Jobs Running","[26] Number of Jobs Running","[11] Number of Jobs Running","[27] Number of Jobs Running","[23] Number of Jobs Running"
2013-02-12,2416,125,18,3,0,12,7,2,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2013-02-13,1945,75,19,6,4,14,13,11,0,0,0,1,1,0,0,0,0,3,1,0,0,3,0,1,0
2013-02-14,1801,146,24,3,2,4,4,26,5,14,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0
2013-02-15,1752,100,13,3,0,7,2,58,3,6,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0
2013-02-16,1213,41,17,1,0,2,1,19,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
2013-02-17,932,38,25,1,0,2,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-18,1241,130,35,3,0,3,3,1,4,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2013-02-19,1159,145,10,1,0,8,3,26,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2013-02-20,1064,126,11,1,0,34,2,35,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
2013-02-21,1700,190,8,2,0,14,2,29,2,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0
2013-02-22,1403,134,13,3,0,6,0,15,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-23,1667,52,13,5,0,4,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-24,1205,73,5,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-25,688,119,17,3,0,6,4,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-26,950,104,19,3,0,3,1,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-27,1402,130,47,9,0,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-28,1838,102,27,3,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,1798,80,19,11,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-02,1434,71,25,6,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-03,883,101,25,4,0,1,2,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-04,651,167,50,29,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-05,540,143,46,20,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-06,415,170,18,10,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-07,708,116,11,7,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-08,740,131,10,14,3,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-09,476,64,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-10,104,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-11,959,117,6,6,3,3,4,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0
2013-03-12,550,155,17,10,0,3,0,0,0,0,0,3,1,0,0,0,0,5,0,0,0,0,0,0,0
2013-03-13,1303,117,36,10,0,2,0,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0,0,0
2013-03-14,1872,209,34,18,2,4,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-15,1657,142,33,24,2,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-16,892,66,20,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-17,2736,74,12,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-18,3249,116,22,14,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2013-03-19,1287,137,31,23,3,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-20,1778,167,11,11,2,8,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
2013-03-21,1659,128,6,7,2,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-22,3793,146,3,9,3,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-23,2707,101,1,13,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-24,2576,97,0,13,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-03-25,2042,151,15,7,1,8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0
2013-03-26,1336,124,18,13,2,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0
2013-03-27,1201,111,34,21,6,3,1,1,0,1,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0
2013-03-28,668,157,22,8,0,10,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0
2013-03-29,615,89,20,25,8,6,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-30,801,269,220,223,72,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-31,482,63,21,25,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,888,133,60,17,5,3,1,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0
2013-04-02,902,133,60,4,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-03,1010,175,35,3,0,2,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0
2013-04-04,759,180,9,7,0,6,1,0,0,0,0,5,1,0,0,7,0,0,0,0,0,0,0,0,0
2013-04-05,1777,177,26,6,2,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-06,529,139,26,3,1,3,3,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0
2013-04-07,785,97,22,5,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-08,1087,146,23,9,13,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-09,1314,169,43,14,7,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-10,1107,148,21,14,7,4,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-11,2521,180,10,5,2,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-12,2798,189,13,12,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2013-04-13,2571,57,16,6,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2013-04-14,4208,268,12,9,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-15,657,174,32,13,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-16,803,244,23,9,5,8,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2013-04-17,2669,202,6,7,3,8,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2013-04-18,1646,191,4,7,2,19,0,1,25,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0
2013-04-19,1101,117,15,7,4,8,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0
2013-04-20,1793,142,13,5,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-04-21,896,61,13,2,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-22,1310,177,16,12,3,7,0,6,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-23,1335,247,23,33,5,8,2,0,1,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0
2013-04-24,1298,221,11,7,0,1,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-25,1120,137,13,39,2,14,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-26,844,184,14,26,1,6,14,1,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-27,1455,285,12,10,1,2,3,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-28,1681,59,19,8,107,6,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-29,886,342,16,15,21,14,0,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-30,633,197,17,25,11,2,0,1,5,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2013-05-01,607,145,12,28,4,2,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-02,491,158,5,23,4,3,3,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-03,557,153,54,20,4,3,5,1,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,1
2013-05-04,646,234,8,15,1,1,5,1,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-05,605,67,8,19,2,2,3,1,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-06,442,174,9,19,0,2,3,2,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-07,1580,532,8,28,0,2,2,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-08,1331,382,9,17,0,7,4,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-09,1439,138,19,12,4,4,3,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-10,1076,101,130,26,3,5,10,1,0,7,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2013-05-11,783,79,40,21,2,0,8,2,0,6,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0
2013-05-12,299,83,19,17,3,0,17,2,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2013-05-13,835,122,25,12,5,4,6,3,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-05-14,879,113,29,24,24,14,10,4,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-05-15,1632,123,24,24,37,8,1,3,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2013-05-16,3076,195,14,18,5,20,0,1,19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-17,906,114,17,46,5,12,2,2,12,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2013-05-18,369,53,13,42,2,5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-19,307,50,5,57,3,4,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-20,871,154,30,63,14,2,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-21,563,151,16,41,9,5,5,4,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-22,843,208,15,30,10,7,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-23,727,154,16,33,4,13,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-24,592,171,29,41,5,6,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-05-25,389,97,15,72,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-26,510,98,15,82,30,0,15,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-27,448,121,58,58,49,1,27,2,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2013-05-28,690,118,23,112,44,1,16,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-05-29,783,136,17,13,109,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-30,1290,153,19,8,71,5,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-31,942,113,29,9,125,2,47,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2013-06-01,902,79,17,12,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-02,989,57,16,12,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-03,2469,101,32,10,8,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-04,1609,91,9,4,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-05,2301,478,42,22,19,3,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-06,1970,335,16,17,8,1,6,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
2013-06-07,2461,275,30,15,25,3,17,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
2013-06-08,575,233,11,6,1,5,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2013-06-09,447,78,23,6,1,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-10,847,170,37,15,2,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2013-06-11,1114,185,44,15,2,5,8,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2013-06-12,811,371,32,15,3,5,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
2013-06-13,959,211,19,7,2,4,26,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
2013-06-14,1374,335,23,3,2,2,10,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
2013-06-15,1242,122,20,3,1,1,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2013-06-16,908,67,10,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013-06-17,807,203,25,18,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2013-06-18,860,368,43,7,2,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013-06-19,615,796,39,9,2,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013-06-20,856,886,21,10,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-21,559,149,31,9,3,6,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-22,887,59,24,6,2,3,44,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-23,731,245,26,3,1,3,78,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2013-06-24,528,251,35,9,5,26,16,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013-06-25,856,203,28,70,7,18,2,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2013-06-26,1333,176,10,14,2,5,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013-06-27,1790,175,21,5,1,14,10,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013-06-28,1662,186,15,3,2,12,12,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-29,438,76,6,3,1,2,16,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-30,613,59,10,1,1,5,17,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,742,269,25,76,2,13,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-02,907,238,19,7,7,13,0,1,0,6,2,2,0,0,0,0,0,5,0,0,0,3,0,0,0
2013-07-03,1168,185,6,3,17,11,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013-07-04,746,144,9,11,19,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-05,650,108,13,9,17,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-06,417,53,11,8,8,3,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-07,261,53,11,2,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-08,461,110,18,1,5,3,3,0,0,0,1,1,12,0,3,0,0,0,0,0,0,0,0,0,0
2013-07-09,622,195,17,10,1,8,0,0,0,24,4,2,2,1,2,0,0,0,0,0,0,0,0,0,0
2013-07-10,798,213,15,7,4,3,0,1,0,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-11,1017,238,34,49,1,7,4,0,0,2,3,4,0,0,0,0,0,0,0,6,0,0,0,0,0
2013-07-12,807,237,23,21,0,2,0,1,0,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-13,255,97,16,12,0,1,0,0,0,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2013-07-14,423,77,19,8,0,2,0,0,0,0,2,4,0,0,12,0,0,0,0,0,0,0,0,0,0
2013-07-15,1202,230,30,14,0,0,0,1,0,1,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0
2013-07-16,934,695,75,13,0,7,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-17,969,1171,29,20,2,9,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-18,941,194,43,9,0,2,1,0,0,2,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0
2013-07-19,949,130,24,16,0,4,0,0,0,5,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0
2013-07-20,928,85,15,5,0,5,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-07-21,1195,88,8,9,1,4,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0
2013-07-22,1744,198,21,10,1,3,2,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2013-07-23,664,116,37,16,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-24,719,37,67,10,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-25,1126,28,199,13,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-26,952,12,31,3,3,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
2013-07-27,908,11,14,7,6,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2013-07-28,403,35,21,3,3,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0
2013-07-29,604,258,43,8,6,4,5,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0
2013-07-30,3726,177,53,6,5,5,4,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-07-31,1326,360,48,17,11,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
