title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  PSC-BLACKLIGHT"
start,end
2014-08-01,2015-01-31
---------
Day,"[16] Number of Jobs Running","[32] Number of Jobs Running","[64] Number of Jobs Running","[48] Number of Jobs Running","[128] Number of Jobs Running","[96] Number of Jobs Running","[256] Number of Jobs Running","[192] Number of Jobs Running","[80] Number of Jobs Running","[320] Number of Jobs Running","[976] Number of Jobs Running","[1024] Number of Jobs Running","[112] Number of Jobs Running","[160] Number of Jobs Running","[512] Number of Jobs Running","[224] Number of Jobs Running","[144] Number of Jobs Running","[176] Number of Jobs Running","[384] Number of Jobs Running","[208] Number of Jobs Running","[768] Number of Jobs Running","[1104] Number of Jobs Running","[240] Number of Jobs Running","[368] Number of Jobs Running","[480] Number of Jobs Running","[752] Number of Jobs Running","[960] Number of Jobs Running","[800] Number of Jobs Running"
2014-08-27,118,46,22,6,2,0,2,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-28,87,40,17,6,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-29,73,33,14,5,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-30,51,25,8,7,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-31,38,27,7,14,2,0,2,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-09-01,48,36,6,15,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2014-09-02,78,27,7,10,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-03,93,40,17,13,0,1,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-04,72,43,39,11,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-05,93,40,26,12,0,1,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-06,37,21,15,12,3,4,5,0,3,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-07,70,19,10,9,10,4,2,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-08,46,47,5,10,7,3,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-09,75,56,11,16,2,5,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-10,86,53,10,26,5,5,9,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-11,122,57,13,14,0,2,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-12,59,25,8,17,3,2,1,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-13,44,42,23,15,2,3,4,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-14,44,34,11,7,7,1,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-15,96,36,19,10,7,3,7,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-16,81,42,7,6,5,6,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-17,79,14,9,14,2,4,5,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-18,90,16,8,6,4,6,4,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-19,167,29,15,8,7,11,14,1,3,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-20,94,22,8,8,2,9,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-21,98,23,5,14,3,6,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-22,118,29,11,14,5,2,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-23,79,32,12,10,10,1,8,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-24,88,25,11,12,10,4,9,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-25,86,21,23,7,13,7,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-26,78,15,19,4,6,6,7,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-27,41,9,14,1,7,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-28,330,14,7,0,9,2,9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-29,127,20,6,1,7,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-30,69,10,9,0,4,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,39,13,9,1,3,1,7,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-02,38,18,12,0,5,1,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-03,31,9,12,0,4,0,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-04,70,17,15,0,6,0,2,1,4,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-05,31,10,19,1,10,0,2,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-06,53,28,16,3,6,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-07,48,17,6,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-08,45,29,20,5,3,6,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-09,70,12,23,4,4,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-10,43,18,11,5,5,2,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-11,26,12,15,12,2,1,3,1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-12,30,13,14,11,4,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-13,28,10,7,21,5,2,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-14,59,19,16,20,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-15,40,31,10,15,3,1,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-16,55,17,6,17,4,1,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-17,59,25,5,10,3,1,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-18,34,15,5,5,3,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-19,42,16,3,5,2,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-20,82,18,3,6,1,0,1,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-21,65,11,5,6,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-22,34,22,3,8,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-23,45,6,6,7,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-24,67,16,5,6,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-25,27,22,6,6,4,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-26,49,28,8,5,4,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-27,33,28,2,6,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-28,34,26,1,5,2,0,3,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-29,65,14,3,6,3,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-30,73,35,1,5,6,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-31,48,14,2,3,5,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,25,24,2,11,4,0,1,1,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-02,13,14,3,13,3,0,2,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-03,53,41,13,7,25,0,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-04,29,91,28,3,26,0,3,1,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-11-05,36,74,46,4,13,1,2,2,0,0,1,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0
2014-11-06,31,94,25,5,4,0,2,2,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
2014-11-07,31,131,190,10,98,0,1,2,1,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
2014-11-08,24,208,165,8,63,1,3,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-11-09,11,32,21,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-10,50,491,266,30,10,4,6,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-11,32,465,240,20,7,2,8,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-12,36,123,63,6,5,5,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-13,34,158,163,9,3,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-14,22,70,120,15,4,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-15,36,62,22,9,4,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-16,28,101,141,6,3,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-17,39,207,246,17,9,9,16,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-11-18,72,174,121,5,5,3,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-19,42,53,8,1,2,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-20,24,50,12,6,1,3,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-11-21,52,35,16,8,20,1,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-22,38,23,20,6,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-11-23,30,32,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-11-24,32,50,12,10,2,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-25,22,37,12,20,3,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-26,36,21,3,12,4,0,7,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2014-11-27,25,40,2,20,7,0,5,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2014-11-28,24,25,6,9,2,9,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-11-29,10,13,3,6,2,11,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-11-30,29,18,2,7,6,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,75,32,6,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-02,62,44,10,8,8,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-03,44,33,15,12,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-04,46,45,12,9,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-05,140,43,5,8,4,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-06,2,16,2,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,85,34,2,4,29,1,3,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-12-08,67,39,5,5,7,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-12-09,148,50,13,6,26,12,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,71,23,38,7,3,10,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-11,74,52,104,7,7,15,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-12,67,22,18,6,7,9,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-12-13,62,44,32,8,9,9,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-14,48,41,27,15,33,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-12-15,58,67,15,3,7,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-12-16,82,31,19,2,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-17,71,96,30,5,0,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-18,88,55,22,2,14,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-19,100,37,16,0,15,3,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-20,51,31,6,1,10,2,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-21,24,34,3,1,5,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-22,45,42,4,0,6,0,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-23,47,47,3,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-24,40,17,1,3,7,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-25,14,15,103,11,10,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-26,32,31,105,10,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-27,31,28,4,7,2,102,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-28,28,26,2,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-29,21,16,3,3,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-30,51,15,9,11,12,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-12-31,54,7,5,11,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,30,5,3,7,3,99,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,42,10,104,14,19,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,38,3,8,13,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,47,4,7,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,61,13,9,11,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,47,11,6,8,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,92,24,3,6,9,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,66,3,3,1,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,38,13,3,1,13,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,24,4,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,57,29,2,1,11,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,56,22,13,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,61,17,7,4,10,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,74,27,17,3,11,13,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,96,30,12,0,0,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,130,33,14,0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,34,15,13,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,38,21,25,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,89,10,14,2,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,61,31,4,1,4,1,4,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-01-21,28,33,3,1,0,3,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-01-22,83,36,3,1,0,10,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-01-23,76,14,7,1,0,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-24,50,14,6,1,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,43,21,11,1,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-26,114,30,9,2,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-27,83,20,16,2,0,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-01-28,65,39,16,3,1,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-29,93,30,21,6,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-30,113,92,9,2,2,10,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-31,56,19,2,0,1,16,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
