title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Running","[4] Number of Jobs Running","[2] Number of Jobs Running","[10] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[16] Number of Jobs Running","[20] Number of Jobs Running","[5] Number of Jobs Running","[32] Number of Jobs Running","[30] Number of Jobs Running","[72] Number of Jobs Running","[40] Number of Jobs Running","[13] Number of Jobs Running","[24] Number of Jobs Running","[64] Number of Jobs Running","[60] Number of Jobs Running","[7] Number of Jobs Running","[25] Number of Jobs Running","[43] Number of Jobs Running","[28] Number of Jobs Running","[9] Number of Jobs Running","[70] Number of Jobs Running","[50] Number of Jobs Running","[22] Number of Jobs Running","[45] Number of Jobs Running","[15] Number of Jobs Running","[33] Number of Jobs Running","[48] Number of Jobs Running","[36] Number of Jobs Running","[11] Number of Jobs Running","[14] Number of Jobs Running","[62] Number of Jobs Running","[27] Number of Jobs Running","[58] Number of Jobs Running","[29] Number of Jobs Running","[34] Number of Jobs Running","[53] Number of Jobs Running","[23] Number of Jobs Running","[21] Number of Jobs Running","[65] Number of Jobs Running","[41] Number of Jobs Running","[54] Number of Jobs Running","[57] Number of Jobs Running","[61] Number of Jobs Running","[49] Number of Jobs Running","[69] Number of Jobs Running","[37] Number of Jobs Running","[18] Number of Jobs Running","[31] Number of Jobs Running","[17] Number of Jobs Running","[59] Number of Jobs Running","[56] Number of Jobs Running","[67] Number of Jobs Running","[52] Number of Jobs Running","[55] Number of Jobs Running","[68] Number of Jobs Running","[19] Number of Jobs Running","[42] Number of Jobs Running","[44] Number of Jobs Running","[35] Number of Jobs Running","[39] Number of Jobs Running","[63] Number of Jobs Running","[47] Number of Jobs Running","[66] Number of Jobs Running","[26] Number of Jobs Running","[46] Number of Jobs Running","[51] Number of Jobs Running","[71] Number of Jobs Running","[38] Number of Jobs Running"
2015-05-31,714,69,173,41,24,21,2,14,3,1,4,7,3,16,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-06-01,922,132,247,31,27,53,1,13,6,9,1,4,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-02,1118,126,256,37,28,97,5,272,9,20,4,7,0,0,5,0,3,0,0,5,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-03,1564,98,396,54,63,56,17,201,30,16,7,9,0,0,5,0,2,6,0,4,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-04,1093,202,366,50,45,53,8,57,24,15,6,4,0,0,4,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-05,1210,186,361,72,33,44,17,8,11,11,16,4,0,0,3,0,0,5,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-06,624,168,252,41,47,62,34,9,7,3,38,6,0,0,1,0,0,1,0,4,0,0,2,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,766,162,175,41,33,29,43,6,8,0,59,3,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,855,187,197,51,54,56,89,12,43,0,118,7,0,2,2,2,5,0,0,5,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,862,251,132,32,63,11,60,16,39,2,18,8,3,12,5,0,3,0,0,8,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-10,863,312,125,40,125,10,73,14,53,4,25,12,5,16,8,42,1,1,0,8,0,0,0,0,0,0,0,0,4,0,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-11,1159,362,147,39,35,39,69,11,16,7,49,4,5,1,13,1,2,0,0,21,0,0,0,3,0,0,4,0,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-12,680,285,149,63,32,50,19,12,33,12,7,5,11,3,11,39,0,6,0,4,0,0,0,4,0,0,5,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-13,671,257,28,50,14,8,8,4,15,4,2,5,9,0,1,50,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,683,277,147,29,14,11,7,11,12,0,26,4,6,1,4,22,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-15,1000,736,87,414,25,15,32,14,13,5,43,4,3,10,0,18,0,2,0,5,0,4,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-16,901,417,56,103,38,12,20,24,16,9,8,2,0,5,0,2,0,5,0,3,8,2,0,0,8,0,0,1,0,8,0,0,1,3,8,0,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-17,680,232,50,56,43,12,31,43,21,2,2,5,4,6,1,21,5,20,5,5,6,2,0,3,7,2,2,5,1,11,4,3,5,4,4,2,11,1,8,8,9,2,2,3,2,7,6,3,4,3,4,3,2,8,0,4,1,4,0,5,5,2,4,0,3,3,2,4,1,2,2,1
2015-06-18,652,286,55,73,32,44,46,35,16,6,8,13,4,8,3,1,14,25,3,5,5,8,10,7,2,5,1,10,8,2,8,4,4,6,2,2,6,5,5,4,5,4,4,6,1,2,3,5,4,4,3,0,1,4,3,4,1,4,2,7,4,2,2,10,5,4,4,2,5,4,1,2
2015-06-19,824,290,132,66,47,45,36,22,20,5,5,10,1,3,0,37,60,2,0,0,1,0,3,0,3,2,1,6,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-20,808,201,60,37,23,26,28,11,10,2,6,4,0,1,0,0,3,0,0,0,0,0,3,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2015-06-21,628,189,54,38,51,9,37,4,10,6,9,0,0,0,0,17,1,0,0,0,0,0,2,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-06-22,854,154,70,84,27,21,24,17,13,11,10,3,1,8,4,4,1,2,0,0,4,0,2,0,0,2,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-23,1158,159,108,84,39,8,23,20,16,8,25,4,1,14,2,1,2,1,4,0,3,0,2,0,9,5,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-24,1188,126,139,88,36,5,33,21,23,59,10,17,1,5,2,0,1,2,2,0,11,0,0,0,5,5,2,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-25,839,109,149,59,56,8,39,17,13,36,5,27,0,12,1,15,8,1,0,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-26,2499,71,102,115,36,5,28,19,19,31,14,9,0,3,0,0,3,4,0,1,3,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-27,1458,83,53,52,40,34,26,12,17,16,7,10,0,1,1,0,3,1,0,0,2,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-28,3798,64,22,109,41,5,18,5,18,26,14,8,0,0,2,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-29,3933,147,74,47,56,8,23,5,12,30,6,18,0,1,2,0,2,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,915,207,63,91,56,33,27,16,11,38,16,6,0,5,1,14,3,0,0,3,14,0,0,14,1,0,0,14,0,14,0,0,0,0,0,0,0,14,0,14,0,14,14,14,0,14,14,14,14,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,10725,524,86,27,34,14,33,71,11,45,1,2,8,8,2,0,2,8,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-02,3796,337,201,10,40,33,30,5,13,39,3,19,2,9,1,1,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-03,476,166,256,10,13,13,28,46,7,31,1,10,1,5,0,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-04,442,90,68,13,42,14,20,1,26,19,0,36,4,3,0,2,3,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-05,1430,106,41,16,64,11,25,2,6,11,5,6,3,1,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-06,10091,360,38,10,39,19,37,5,6,12,1,5,0,2,3,5,3,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-07,10078,461,130,11,76,22,38,5,4,19,1,0,1,1,5,1,1,3,3,1,0,0,2,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-08,3360,371,229,26,117,42,37,15,8,15,15,3,0,3,9,3,0,1,0,13,0,0,4,7,2,0,9,1,1,0,1,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-09,1027,409,188,20,61,38,14,11,9,18,3,1,1,14,13,2,0,1,0,5,0,0,2,2,2,0,5,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-10,835,536,180,20,44,22,17,16,17,24,0,1,18,3,7,1,2,0,0,0,1,0,2,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-11,438,138,182,51,35,12,12,6,4,29,3,1,22,1,5,0,4,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,364,312,218,61,32,16,14,7,26,12,2,6,13,1,6,0,13,8,0,0,13,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-13,2323,427,175,43,38,24,25,15,18,13,6,13,10,6,1,0,7,5,0,0,2,7,2,2,0,0,1,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-14,2913,117,256,44,35,15,19,27,17,9,0,12,10,4,17,0,7,0,0,0,3,6,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-15,2129,530,200,16,22,17,23,13,33,4,0,13,7,1,17,0,0,0,0,2,1,5,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-16,1138,746,293,18,41,25,19,40,12,16,5,4,10,1,12,0,3,0,0,0,3,6,0,9,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-17,1436,111,210,39,17,15,24,67,12,7,4,12,9,1,7,0,3,2,0,1,0,4,0,1,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-18,844,44,119,49,24,11,22,11,6,9,4,12,3,0,6,0,3,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-19,416,56,388,48,22,15,24,12,13,7,2,19,4,1,7,0,2,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-20,2232,75,262,50,41,11,26,19,13,1,3,15,12,2,3,0,1,0,0,2,0,2,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-21,3989,32,279,14,32,12,21,61,12,6,1,8,9,2,3,0,0,0,1,5,7,2,3,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-22,4736,29,278,32,16,28,24,18,4,0,1,6,11,1,3,0,2,1,0,0,6,8,2,0,0,0,5,0,2,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-23,2320,52,220,26,27,44,17,12,9,3,7,2,18,3,2,0,1,4,0,0,5,4,2,0,4,2,9,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-24,2416,435,200,28,44,32,19,17,10,11,3,1,17,2,4,0,6,4,1,3,0,6,0,8,0,0,6,1,7,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-25,2131,76,124,78,35,32,20,16,19,5,15,12,6,4,5,0,0,3,0,1,0,1,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-26,1709,103,153,83,36,20,23,24,7,6,17,2,3,3,3,0,0,4,0,1,0,3,1,0,0,0,2,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27,1196,156,275,42,49,14,39,21,14,8,24,10,4,1,0,0,2,2,0,0,0,2,3,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28,1702,385,290,24,78,21,45,78,14,5,23,17,3,2,4,0,2,5,1,2,0,2,4,1,0,2,12,0,5,0,1,1,1,0,7,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,1,0,1,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0
