title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[16] Number of Jobs Running","[10] Number of Jobs Running","[24] Number of Jobs Running","[5] Number of Jobs Running","[6] Number of Jobs Running","[9] Number of Jobs Running","[12] Number of Jobs Running","[7] Number of Jobs Running","[21] Number of Jobs Running","[20] Number of Jobs Running","[13] Number of Jobs Running","[11] Number of Jobs Running","[14] Number of Jobs Running","[17] Number of Jobs Running","[18] Number of Jobs Running","[15] Number of Jobs Running","[19] Number of Jobs Running","[22] Number of Jobs Running","[28] Number of Jobs Running"
2014-02-23,2633,81,7,8,4,0,0,1,0,0,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0
2014-02-24,4400,207,7,14,4,1,2,3,0,0,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0
2014-02-25,1610,153,4,10,2,1,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-02-26,1829,200,7,19,4,1,3,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-02-27,1640,129,7,8,6,0,6,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0
2014-02-28,1406,175,4,10,10,0,5,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0
2014-03-01,1333,97,4,6,3,0,4,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0
2014-03-02,2184,83,3,4,2,2,1,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0
2014-03-03,1582,162,7,10,2,1,3,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-04,1242,244,7,99,6,2,4,0,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-03-05,752,155,8,6,9,3,2,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-03-06,760,204,5,6,12,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-03-07,1101,160,3,23,19,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-03-08,331,47,3,3,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-09,23,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-11,336,123,7,8,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-12,821,326,19,17,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-03-13,1684,212,11,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-14,1404,163,24,16,3,13,9,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-15,691,169,29,14,0,25,9,0,8,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-03-16,687,129,25,23,0,13,4,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-17,684,209,55,14,6,3,1,0,8,0,6,0,7,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-18,1256,224,9,16,5,70,12,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-19,1488,207,4,6,0,36,13,0,14,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-20,1464,207,26,18,5,10,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-03-21,1539,193,35,12,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-22,1835,79,30,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-23,1007,110,27,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-24,1502,255,20,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-25,1549,233,3,13,1,13,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
2014-03-26,4312,212,10,8,1,5,0,1,4,1,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0
2014-03-27,2502,317,9,8,0,6,1,0,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-03-28,1335,258,8,5,5,9,1,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-29,2776,158,17,5,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-30,616,154,12,7,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-31,933,194,78,18,2,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,1760,204,70,31,4,7,25,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-02,1527,287,25,19,5,4,15,0,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-03,1785,236,13,8,22,0,7,0,4,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2014-04-04,1334,150,17,19,9,0,6,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2014-04-05,229,12,3,4,8,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-04-06,1478,50,14,24,18,0,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-07,2967,163,10,24,30,2,3,1,0,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-08,2379,201,8,12,15,3,6,0,1,18,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-09,1394,139,9,11,16,3,10,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-10,628,207,20,21,5,13,21,0,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-11,715,188,24,44,5,44,45,0,28,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-04-12,886,93,12,14,2,48,19,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-13,558,78,8,5,8,14,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-14,944,162,17,8,12,8,3,1,0,5,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0
2014-04-15,624,139,16,7,8,2,3,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
2014-04-16,419,183,16,10,5,3,8,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-04-17,549,198,23,21,8,2,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-04-18,371,196,10,17,2,5,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-04-19,296,110,3,7,1,4,1,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0
2014-04-20,314,111,8,12,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-04-21,577,232,47,57,8,1,0,1,0,9,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-04-22,658,271,28,39,5,1,3,6,0,3,1,1,3,1,0,0,4,0,0,0,0,0,0,0,0
2014-04-23,604,268,35,127,5,0,2,0,0,4,0,1,0,2,0,1,2,0,3,0,0,0,0,0,0
2014-04-24,914,244,29,79,7,2,4,0,0,4,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
2014-04-25,391,237,57,77,13,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-04-26,264,119,15,15,8,2,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-27,301,96,17,11,12,1,0,1,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0
2014-04-28,1271,228,20,25,5,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-29,879,245,21,29,7,1,2,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-04-30,1414,267,21,27,10,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,3101,231,34,41,6,0,0,1,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-05-02,3665,219,21,16,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-03,798,115,31,12,0,0,0,0,0,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-05-04,297,101,11,15,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-05,1081,184,45,16,0,4,2,3,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-05-06,754,232,13,30,2,1,6,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-05-07,2673,239,17,38,1,6,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-08,4275,177,30,29,5,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0
2014-05-09,818,196,28,22,8,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-10,587,124,19,12,1,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-05-11,806,124,29,10,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-12,1186,299,46,18,1,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-05-13,1051,231,47,11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-14,1329,293,32,8,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-05-15,1544,313,20,11,1,3,0,0,0,1,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-16,592,246,20,59,0,1,0,0,0,9,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-17,306,72,18,13,0,0,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-18,470,143,14,6,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-19,510,243,17,27,15,0,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-20,1423,200,12,16,4,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-21,1063,199,30,19,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-22,2089,213,20,20,8,0,0,2,0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-23,2494,216,84,49,8,0,43,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-24,392,165,66,32,21,0,26,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-25,279,90,13,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-26,1003,229,8,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-27,1283,200,53,6,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-28,615,245,39,8,2,0,1,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2014-05-29,1214,229,43,22,26,0,0,1,0,0,1,0,10,3,0,0,0,0,0,0,0,0,0,0,0
2014-05-30,1650,183,35,17,22,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-31,380,88,35,8,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,343,66,15,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-02,535,227,24,13,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-03,754,191,34,34,24,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-04,3545,271,33,44,14,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-06-05,1018,185,35,18,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2014-06-06,2536,152,36,21,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-07,1504,119,20,13,1,10,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-08,421,106,26,12,2,5,5,0,4,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-06-09,3291,175,20,4,17,13,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-10,6340,227,33,17,13,11,1,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-11,2797,195,20,9,8,9,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-12,1726,226,36,19,7,0,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-13,2567,215,19,23,6,0,3,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-14,2322,136,17,16,8,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-15,2044,77,18,18,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-16,3005,152,19,17,13,0,0,5,4,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-17,4561,91,34,29,15,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-18,8376,217,29,15,22,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-06-19,4738,201,29,16,18,1,0,0,9,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-20,1273,166,19,16,8,10,1,1,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-21,1870,81,22,15,6,16,2,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2014-06-22,352,75,34,7,5,2,0,3,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-23,474,246,29,4,17,2,1,7,6,2,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2014-06-24,1103,341,44,16,14,3,3,3,5,1,1,2,3,0,0,2,0,1,0,0,0,0,0,0,0
2014-06-25,1432,358,60,13,7,1,4,7,7,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-06-26,489,129,44,37,10,3,12,18,8,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0
2014-06-27,1611,184,53,17,8,1,2,8,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-06-28,1591,84,37,8,9,0,2,0,12,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0
2014-06-29,1781,65,30,6,10,18,1,1,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-06-30,581,135,27,8,13,7,1,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,543,164,35,8,12,8,0,3,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-07-02,521,148,22,6,10,4,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-03,658,167,15,5,5,7,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-04,487,162,24,24,5,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-05,230,70,9,8,1,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-06,603,92,8,7,2,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-07,1633,239,36,39,2,7,0,28,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-07-08,902,276,12,19,6,5,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-09,824,223,12,8,7,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-10,1474,227,10,12,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-11,1915,130,5,6,8,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-12,712,95,6,4,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-13,787,70,10,6,10,8,0,31,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-14,1146,195,23,7,9,8,0,57,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-15,1173,174,24,12,4,7,2,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-16,1159,143,25,10,8,2,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-17,1250,168,14,8,4,1,0,19,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0
2014-07-18,1084,174,24,6,7,1,0,23,0,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0
2014-07-19,1044,123,12,5,5,5,0,25,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
2014-07-20,786,80,6,5,6,7,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
2014-07-21,914,161,10,9,3,8,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-22,1008,181,20,8,2,10,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2014-07-23,1004,200,24,5,3,6,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
2014-07-24,998,226,50,11,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-25,861,259,17,6,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-26,1109,173,21,7,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-27,704,168,20,5,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-28,617,186,23,3,3,2,0,0,0,1,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0
2014-07-29,806,229,17,5,1,2,1,1,0,0,0,1,1,0,0,2,1,1,1,1,1,0,1,0,0
2014-07-30,976,214,30,12,3,2,1,2,0,3,0,1,0,0,0,5,1,0,0,1,1,0,0,0,0
2014-07-31,974,242,23,5,1,3,1,2,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
---------
