title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[10] Number of Jobs Running","[8] Number of Jobs Running","[3] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[5] Number of Jobs Running","[16] Number of Jobs Running","[22] Number of Jobs Running","[24] Number of Jobs Running","[20] Number of Jobs Running","[64] Number of Jobs Running","[32] Number of Jobs Running","[60] Number of Jobs Running","[15] Number of Jobs Running","[9] Number of Jobs Running","[25] Number of Jobs Running","[7] Number of Jobs Running","[18] Number of Jobs Running","[30] Number of Jobs Running","[40] Number of Jobs Running","[72] Number of Jobs Running","[11] Number of Jobs Running","[48] Number of Jobs Running","[36] Number of Jobs Running","[50] Number of Jobs Running","[43] Number of Jobs Running","[14] Number of Jobs Running","[13] Number of Jobs Running","[17] Number of Jobs Running","[42] Number of Jobs Running","[70] Number of Jobs Running","[21] Number of Jobs Running","[62] Number of Jobs Running","[35] Number of Jobs Running","[45] Number of Jobs Running","[34] Number of Jobs Running","[28] Number of Jobs Running","[26] Number of Jobs Running","[54] Number of Jobs Running","[46] Number of Jobs Running","[38] Number of Jobs Running","[56] Number of Jobs Running","[19] Number of Jobs Running","[27] Number of Jobs Running","[33] Number of Jobs Running","[65] Number of Jobs Running","[55] Number of Jobs Running","[23] Number of Jobs Running","[31] Number of Jobs Running","[41] Number of Jobs Running","[53] Number of Jobs Running","[44] Number of Jobs Running","[52] Number of Jobs Running","[63] Number of Jobs Running","[49] Number of Jobs Running","[37] Number of Jobs Running","[39] Number of Jobs Running","[61] Number of Jobs Running","[67] Number of Jobs Running","[29] Number of Jobs Running","[47] Number of Jobs Running","[68] Number of Jobs Running","[58] Number of Jobs Running","[66] Number of Jobs Running","[57] Number of Jobs Running","[59] Number of Jobs Running"
2016-02-11,1810,850,67,20,33,21,15,102,21,3,2,7,6,0,1,0,9,3,1,1,6,0,7,2,1,0,0,2,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,2085,917,77,25,19,51,8,31,8,6,0,3,9,1,1,0,10,6,1,0,9,1,6,3,0,0,0,1,0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-13,1414,570,31,12,13,17,5,22,1,3,0,1,4,1,4,1,2,0,0,0,6,1,12,2,0,1,0,0,1,3,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,1799,1187,37,16,11,37,13,17,4,4,0,0,4,1,3,2,2,0,0,0,5,1,9,5,0,1,0,0,0,2,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-15,2724,413,79,24,26,30,11,25,6,8,3,31,7,2,5,9,9,0,0,0,14,1,16,22,0,3,0,0,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-16,2331,418,63,27,35,25,6,29,4,6,1,37,6,1,3,1,7,1,8,0,8,0,6,16,0,3,0,0,0,0,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-17,2394,423,68,40,15,31,5,14,26,5,1,1,10,2,2,0,6,1,6,0,9,1,8,11,0,41,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-18,2978,491,96,29,28,22,15,96,24,11,0,2,8,1,0,0,3,1,0,0,9,1,7,3,0,34,0,0,3,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-19,2724,361,1054,22,17,31,5,119,14,10,4,1,26,1,0,0,6,2,19,2,15,2,2,2,0,51,0,0,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-20,1837,239,113,19,21,43,4,22,1,9,4,2,16,1,1,0,4,1,2,1,4,1,2,3,0,18,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,1931,193,1836,42,7,11,6,16,12,52,7,4,12,1,1,0,3,0,0,0,0,1,7,3,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-22,2275,414,1056,38,29,53,8,10,10,16,5,2,11,2,11,0,4,4,0,0,0,5,5,6,4,6,0,1,1,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-23,5749,481,207,42,13,34,18,14,19,10,8,2,12,1,2,0,5,2,5,0,0,7,6,0,2,5,1,1,0,6,0,0,1,0,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-24,7200,578,119,33,65,32,17,27,21,23,11,30,7,2,25,10,3,2,23,2,0,4,2,0,2,15,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-25,3785,493,64,16,10,26,8,87,23,17,12,0,1,1,0,1,2,2,4,2,0,3,7,11,2,29,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-26,2464,471,108,33,37,52,18,22,14,28,6,2,3,1,14,1,4,1,4,2,0,2,5,5,1,23,0,2,4,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-27,1580,377,61,7,40,58,26,21,36,13,8,2,7,1,1,0,5,0,7,3,0,3,4,11,3,46,4,3,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-28,2000,431,83,13,29,51,21,23,30,16,4,31,3,4,0,0,2,0,3,3,0,2,1,18,2,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-29,3309,612,62,27,39,69,12,59,23,29,6,66,4,1,4,2,1,0,7,3,0,2,4,10,5,3,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,2400,481,102,23,81,64,5,35,18,37,8,63,12,1,33,1,15,11,1,0,0,0,2,28,5,0,0,4,1,1,0,2,0,7,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-02,2635,363,101,16,37,117,13,29,11,19,6,40,14,1,8,2,10,0,2,1,0,0,4,11,8,0,0,5,2,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-03,4109,332,155,14,49,79,17,29,26,33,9,4,16,2,2,1,0,5,5,0,0,2,7,11,19,2,0,7,1,0,0,1,0,1,0,0,0,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-04,3266,414,108,11,46,56,21,15,29,38,5,2,6,0,37,1,0,3,3,0,0,0,5,16,5,5,0,20,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-05,2034,357,118,8,24,76,44,24,20,35,5,4,5,1,0,5,0,3,1,0,0,0,11,0,3,9,19,6,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-06,1873,304,76,7,57,177,20,19,22,24,13,3,11,1,0,5,0,6,1,0,0,0,6,0,2,8,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-07,2786,408,190,53,100,238,31,27,21,43,16,4,37,0,38,8,0,4,3,0,0,0,11,0,2,8,6,7,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-08,2651,348,61,40,105,54,8,86,17,32,18,3,11,4,2,13,3,13,9,0,1,2,1,3,2,5,4,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2016-03-09,6021,379,105,6,33,236,34,85,7,54,21,5,7,1,6,1,12,9,14,0,9,1,13,12,2,6,8,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-03-10,2827,658,45,11,79,92,7,21,17,21,21,4,19,1,12,2,6,18,9,0,3,0,8,8,0,5,7,0,0,1,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-11,3030,212,43,4,50,32,3,44,23,22,15,2,21,0,0,1,4,40,4,0,0,3,3,11,0,3,11,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-03-12,1341,230,56,4,123,95,2,42,7,8,9,1,0,0,0,0,4,11,11,0,0,3,3,3,1,0,10,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-03-13,730,43,20,0,10,7,0,0,1,6,5,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-14,5931,323,74,28,15,63,6,17,11,40,23,4,0,0,9,2,30,0,0,0,6,2,4,3,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-15,8631,522,119,22,41,38,9,21,5,32,15,6,11,0,5,3,9,4,9,2,9,3,1,4,1,1,0,1,0,1,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-16,16575,599,71,30,34,139,7,63,3,29,18,7,8,3,5,3,9,6,10,3,14,5,6,2,1,0,11,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-17,11313,460,43,19,45,131,14,91,9,25,13,1,20,10,16,13,19,11,0,3,6,9,5,8,4,1,11,5,2,0,0,0,0,5,2,0,0,2,0,2,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-18,2853,917,35,10,23,240,11,41,12,25,8,7,10,0,12,3,17,15,0,7,9,1,0,4,3,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,15,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-19,2249,666,40,6,26,248,6,7,32,22,3,3,3,0,0,0,17,10,0,2,9,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-20,2930,256,18,4,11,352,3,4,45,27,1,8,8,0,0,0,7,6,2,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-21,11497,367,95,10,21,646,8,17,13,31,2,11,7,5,2,1,6,8,13,2,4,1,0,2,0,0,0,0,2,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-22,9404,490,769,15,31,134,15,22,37,47,3,15,16,4,6,3,8,2,4,13,0,1,4,3,5,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-23,6306,516,139,4,36,398,9,15,4,38,0,3,4,1,4,12,1,3,9,13,0,2,4,3,2,1,0,3,2,0,0,0,0,1,1,0,0,0,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-24,7315,369,2124,13,30,415,6,11,25,32,0,1,4,2,4,15,10,4,3,1,0,0,9,7,2,0,0,0,2,0,0,0,0,0,1,0,0,0,14,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-25,14403,351,5159,14,42,47,5,10,10,36,0,6,1,0,9,2,8,9,3,3,3,1,9,1,0,4,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-26,23712,319,1214,6,16,26,2,19,2,10,0,1,2,1,13,2,2,11,2,8,4,1,13,1,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-27,10223,311,110,3,32,83,1,11,7,7,0,0,1,1,19,1,2,10,0,12,0,1,11,1,0,1,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-28,12385,444,1147,8,56,116,11,13,17,25,3,3,2,3,27,7,3,8,1,2,6,2,11,1,1,9,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-29,14922,461,111,10,46,225,24,15,21,18,3,5,5,0,26,3,2,5,0,3,12,1,15,2,1,4,0,0,5,1,0,0,0,3,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-30,24224,415,111,13,16,287,25,8,29,25,0,10,11,0,10,2,8,2,0,5,36,0,12,1,1,4,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,10945,388,115,29,72,108,30,11,32,21,0,9,5,0,5,19,15,11,0,12,22,0,5,4,7,0,0,0,2,8,7,5,0,2,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,16694,346,218,9,26,89,23,36,16,16,0,8,5,0,13,17,5,1,0,20,3,4,5,4,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-02,24597,216,192,11,24,62,13,7,15,12,0,4,7,0,4,8,10,0,4,0,27,5,7,2,0,1,1,2,1,0,0,0,1,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-04-03,10389,221,63,7,20,37,5,8,4,8,1,2,6,0,2,4,12,1,0,5,19,1,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-04,8249,330,45,13,45,69,28,37,39,24,10,10,9,7,15,34,10,12,0,7,20,4,2,0,9,0,0,3,1,8,7,5,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-05,7869,448,60,10,39,149,46,40,12,32,6,1,2,6,5,23,6,4,10,3,35,4,5,1,1,7,0,0,4,3,2,2,0,0,0,0,0,2,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-04-06,9737,532,64,7,45,67,14,85,8,20,8,1,1,15,5,22,10,1,14,1,9,2,4,6,0,4,0,0,1,1,0,6,19,1,0,0,0,2,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0
2016-04-07,22893,675,54,11,32,51,21,13,8,13,3,3,8,27,4,5,9,5,0,5,32,1,3,3,2,4,0,0,1,0,2,2,11,3,0,0,0,1,0,1,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-04-08,28133,525,91,11,161,182,19,8,8,12,10,2,3,18,2,4,7,8,1,17,17,2,3,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-09,16346,290,73,18,104,71,9,7,7,12,17,0,4,23,3,6,9,126,0,7,2,1,1,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-10,16074,319,103,4,54,65,9,12,4,18,6,10,2,23,4,10,10,14,1,6,4,2,3,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-11,21065,409,85,14,51,148,7,14,3,29,7,5,3,18,14,29,7,14,1,8,2,0,7,7,2,0,0,1,0,0,0,0,11,6,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-12,13003,441,102,26,71,46,11,10,18,17,3,6,4,11,6,10,8,12,1,9,2,0,3,10,6,0,4,0,3,3,0,0,5,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-13,7391,506,112,64,53,131,8,64,26,28,3,4,7,8,13,8,5,23,2,12,9,0,1,9,4,0,11,0,1,11,0,0,4,4,3,0,0,2,0,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-14,9983,358,149,36,47,48,32,45,11,26,7,8,3,12,4,13,2,6,0,8,39,0,1,3,2,0,14,0,1,1,0,0,5,1,2,0,0,2,0,5,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-15,6027,294,149,42,34,57,33,25,17,20,3,10,10,7,8,25,13,3,2,11,66,0,4,5,3,0,7,1,0,3,0,0,5,2,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-16,6082,197,79,7,32,42,28,32,21,8,1,2,8,0,10,5,43,20,1,11,104,1,4,0,0,0,1,0,0,2,2,0,6,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-17,22845,292,330,27,43,44,22,153,5,7,5,1,5,0,7,5,35,83,0,14,3,1,4,0,0,0,6,0,0,4,1,0,1,1,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-18,13778,584,98,29,91,53,33,49,9,14,1,2,3,2,7,11,30,0,7,10,0,1,4,3,1,1,4,0,4,2,1,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-19,8748,738,68,29,31,56,42,149,28,16,1,3,16,5,13,5,6,5,10,9,5,2,2,3,0,0,4,0,4,3,0,1,0,0,2,0,2,2,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-20,10315,932,115,59,87,38,42,199,27,9,2,8,12,1,4,5,2,4,10,8,11,0,5,5,2,2,10,0,4,0,0,1,0,0,1,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-21,16960,725,148,33,82,127,35,30,37,19,1,6,7,3,5,5,1,4,2,11,8,1,1,8,1,2,11,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-22,21761,630,144,33,57,47,33,20,35,33,7,10,6,1,7,5,1,11,1,17,0,0,1,1,1,0,2,0,4,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
