title
"Number of Jobs Running: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Running","[2] Number of Jobs Running","[4] Number of Jobs Running","[8] Number of Jobs Running","[16] Number of Jobs Running","[3] Number of Jobs Running","[32] Number of Jobs Running","[6] Number of Jobs Running","[12] Number of Jobs Running","[10] Number of Jobs Running","[14] Number of Jobs Running","[18] Number of Jobs Running","[5] Number of Jobs Running","[9] Number of Jobs Running","[24] Number of Jobs Running","[7] Number of Jobs Running","[17] Number of Jobs Running","[28] Number of Jobs Running","[13] Number of Jobs Running","[15] Number of Jobs Running","[20] Number of Jobs Running","[22] Number of Jobs Running","[21] Number of Jobs Running","[30] Number of Jobs Running","[19] Number of Jobs Running","[26] Number of Jobs Running","[11] Number of Jobs Running","[25] Number of Jobs Running"
2012-08-11,248,114,8,2,4,4,3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-12,196,132,3,1,5,3,3,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-13,535,222,16,6,11,7,1,7,5,1,2,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0
2012-08-14,592,150,15,4,9,4,1,5,2,2,1,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0
2012-08-15,672,90,10,7,7,7,4,7,5,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2012-08-16,1057,104,23,9,15,6,5,6,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-17,1210,126,16,9,8,7,2,6,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-18,1068,55,23,3,9,7,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-19,688,63,38,3,14,11,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-20,674,128,23,8,6,15,9,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-21,627,108,52,2,6,8,2,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-22,551,44,85,20,5,11,8,15,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-23,736,170,54,7,8,11,4,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-24,571,166,16,26,2,6,2,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-25,1971,65,2,0,0,7,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-26,490,56,7,7,3,3,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-27,691,113,35,4,0,5,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-28,930,115,12,12,3,3,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-29,900,219,29,19,1,16,0,15,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-30,1329,165,16,14,2,16,0,5,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-31,1900,97,11,19,1,21,0,6,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,1678,38,42,5,3,8,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-02,789,18,21,5,2,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-03,470,65,5,8,1,2,193,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-04,811,104,12,5,1,11,10,0,1,0,2,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-05,1353,131,22,8,11,23,120,10,0,0,1,0,3,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-06,2947,106,32,86,3,25,17,10,2,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-07,3910,108,45,307,2,15,2,14,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-08,464,40,16,74,3,3,1,10,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-09,312,67,7,116,5,0,32,9,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-10,2854,124,43,49,12,1,4,8,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-11,3490,129,40,164,2,4,9,16,4,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-12,3371,97,46,167,0,6,16,3,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-13,3381,122,39,27,2,9,24,8,0,0,2,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-14,3351,86,38,10,5,4,22,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-15,5497,45,136,8,5,2,9,3,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2012-09-16,1751,69,15,5,2,1,1,12,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-17,3754,75,20,30,1,11,0,4,2,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-09-18,3763,152,30,87,1,11,4,3,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-19,4767,154,61,8,0,11,2,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-09-20,3090,117,104,7,0,21,2,5,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-09-21,2103,75,48,13,2,9,3,6,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-22,629,45,58,91,0,3,2,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-23,783,108,41,64,0,9,2,6,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-24,632,229,112,0,2,12,2,2,1,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2012-09-25,3113,81,63,39,0,15,2,0,1,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
2012-09-26,891,97,78,113,4,5,1,1,3,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2012-09-27,719,105,28,6,4,1,1,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-28,1079,161,54,13,9,5,3,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-29,419,66,25,15,4,10,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-30,412,35,14,6,0,11,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,738,96,53,11,16,11,0,5,3,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-02,1332,98,33,9,13,8,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-03,1092,80,14,11,18,13,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-04,2136,292,52,56,36,13,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-05,639,51,54,47,26,14,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-06,908,26,6,43,19,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-07,1063,60,8,43,11,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-08,4528,96,13,61,10,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-09,4934,135,21,46,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-10,3240,186,37,23,4,10,2,0,1,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-11,1956,86,44,22,10,11,3,1,0,0,4,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-10-12,873,102,53,29,4,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2012-10-13,807,40,16,24,6,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2012-10-14,513,39,15,24,6,0,6,0,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-15,1570,73,18,30,5,1,8,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-16,1472,111,15,14,4,0,5,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-17,1581,160,18,22,7,5,2,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-18,1781,141,23,20,8,2,2,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-19,2048,107,20,23,2,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-20,1764,66,18,6,2,0,0,1,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-21,603,29,21,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-22,755,60,13,6,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-23,3433,141,20,13,3,2,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-24,3250,121,15,13,5,4,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2012-10-25,3468,87,10,2,9,2,0,0,1,0,1,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0
2012-10-26,1904,91,9,3,4,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-27,992,42,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-28,1282,35,36,0,3,4,5,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-29,2465,66,46,1,2,7,1,0,4,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2012-10-30,1693,157,25,2,2,5,1,1,5,2,1,16,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2012-10-31,2655,182,13,4,4,4,0,6,4,2,0,2,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0
2012-11-01,1951,161,28,15,15,14,0,4,5,1,0,6,1,0,0,7,0,0,0,2,0,0,0,0,0,0,1,0
2012-11-02,4258,91,52,18,9,0,0,1,8,3,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0
2012-11-03,3059,37,66,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2012-11-04,4722,199,455,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-11-05,2164,66,53,12,4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-06,5277,103,27,7,3,0,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-07,3473,80,44,6,3,3,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-08,1734,108,34,8,2,2,3,3,2,1,0,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
2012-11-09,3172,83,59,0,3,5,5,1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,1,0,0,1
2012-11-10,1829,72,37,0,5,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-11,1422,59,68,0,8,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-12,2083,86,58,15,3,6,2,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-13,3605,122,58,9,8,4,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-14,3803,111,60,26,9,7,0,2,2,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-15,1719,128,46,15,16,4,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-16,894,76,50,11,8,9,2,2,1,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-17,1338,35,29,6,1,3,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-18,919,55,29,2,1,3,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-19,1797,137,63,5,1,5,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-20,2210,113,60,9,7,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-21,2904,118,60,5,4,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-22,2517,71,46,1,1,0,11,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-23,1173,69,45,2,0,0,4,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-24,966,67,281,3,0,1,3,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-25,1290,65,259,10,0,3,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-26,1734,266,138,2,1,7,2,3,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-27,2380,185,35,4,3,12,2,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-28,2494,110,20,5,1,10,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-29,3438,107,19,2,4,16,15,0,2,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0
2012-11-30,690,128,17,7,9,11,4,0,1,0,0,3,1,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0
2012-12-01,1133,104,19,14,3,20,5,0,1,2,0,3,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-12-02,1061,117,7,4,0,13,13,6,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2012-12-03,1415,180,7,1,4,15,7,3,1,0,0,0,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
2012-12-04,2075,152,12,2,12,10,5,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-05,2707,182,9,19,3,9,6,9,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-06,1140,200,11,4,4,14,1,7,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07,4372,163,13,2,12,16,2,4,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-08,3867,136,12,0,4,7,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-09,1777,92,4,2,8,1,74,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-10,4056,159,34,0,4,0,31,5,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-11,7708,146,16,4,3,9,6,4,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-12,6979,125,17,11,2,1,2,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-13,3442,100,14,10,10,1,2,3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-14,4027,143,8,8,12,3,0,4,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-15,866,84,3,3,96,7,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-16,4356,61,2,2,9,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-17,1536,116,7,7,5,1,0,8,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-18,1110,125,11,2,3,1,6,4,19,4,0,2,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2012-12-19,749,103,4,8,7,1,3,7,0,3,0,6,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0
2012-12-20,612,98,5,133,9,0,14,9,0,4,3,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2012-12-21,580,72,8,119,15,1,26,3,0,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-22,516,95,3,7,0,1,2,6,0,1,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-12-23,1421,127,4,30,0,10,8,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-12-24,1343,88,4,5,0,4,6,3,4,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-25,629,53,4,4,1,0,2,1,1,1,1,2,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2012-12-26,982,65,4,82,0,0,1,5,5,2,3,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2012-12-27,1261,60,5,87,3,2,3,4,1,3,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2012-12-28,812,76,9,22,3,10,6,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-29,407,57,8,30,3,9,7,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-30,160,64,8,57,3,5,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-31,413,65,10,37,2,9,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,799,43,6,2,0,2,1,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-02,2677,116,12,10,4,1,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-03,1225,155,8,10,3,2,11,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-04,618,117,7,14,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-05,452,60,4,12,3,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-06,1433,90,1,4,11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2013-01-07,2941,125,16,5,13,3,0,6,1,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2013-01-08,2084,115,22,2,3,11,0,13,1,2,0,0,0,4,0,1,5,0,0,0,1,0,0,0,0,0,0,0
2013-01-09,2951,140,12,39,15,6,2,9,2,1,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,1225,97,14,101,20,9,0,5,5,20,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-11,2138,156,16,3,11,8,0,11,2,11,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-12,742,37,10,2,11,36,0,4,1,4,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-01-13,970,57,14,4,9,16,3,2,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-01-14,990,108,7,2,3,13,1,17,0,3,0,1,0,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0
2013-01-15,1175,136,15,2,4,7,3,3,0,7,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,1508,112,20,8,6,4,1,14,0,2,0,1,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-17,1257,151,33,5,11,2,0,15,0,6,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-18,1176,103,25,5,5,8,0,11,0,4,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-19,1289,57,16,6,1,4,1,7,0,5,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,1148,55,27,3,2,5,0,7,0,3,1,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-21,1477,109,14,3,15,5,1,8,0,1,0,8,0,3,3,0,0,0,0,0,0,4,2,0,0,1,0,0
2013-01-22,1710,89,46,6,5,5,0,8,0,0,0,13,2,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0
2013-01-23,2355,151,26,14,8,4,0,10,0,0,0,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-24,2890,115,33,28,8,6,1,11,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-25,2028,81,25,13,22,5,1,12,2,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-26,1457,70,19,5,10,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-27,1392,111,9,4,7,5,1,7,1,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-28,1529,165,23,3,5,5,0,6,1,1,0,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-29,1845,120,12,12,11,5,3,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-30,2135,149,11,34,40,7,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-31,811,227,12,8,13,10,0,0,0,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
