title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[16] Number of Jobs Submitted","[10] Number of Jobs Submitted","[256] Number of Jobs Submitted","[3] Number of Jobs Submitted","[32] Number of Jobs Submitted","[12] Number of Jobs Submitted","[6] Number of Jobs Submitted","[64] Number of Jobs Submitted","[5] Number of Jobs Submitted","[20] Number of Jobs Submitted","[128] Number of Jobs Submitted","[15] Number of Jobs Submitted","[200] Number of Jobs Submitted","[7] Number of Jobs Submitted","[30] Number of Jobs Submitted","[9] Number of Jobs Submitted","[14] Number of Jobs Submitted","[45] Number of Jobs Submitted","[1024] Number of Jobs Submitted","[11] Number of Jobs Submitted","[106] Number of Jobs Submitted","[36] Number of Jobs Submitted","[13] Number of Jobs Submitted","[50] Number of Jobs Submitted","[100] Number of Jobs Submitted","[35] Number of Jobs Submitted","[23] Number of Jobs Submitted","[136] Number of Jobs Submitted","[24] Number of Jobs Submitted","[68] Number of Jobs Submitted","[160] Number of Jobs Submitted","[208] Number of Jobs Submitted","[22] Number of Jobs Submitted","[192] Number of Jobs Submitted","[28] Number of Jobs Submitted","[80] Number of Jobs Submitted","[230] Number of Jobs Submitted","[25] Number of Jobs Submitted","[75] Number of Jobs Submitted","[181] Number of Jobs Submitted","[40] Number of Jobs Submitted","[132] Number of Jobs Submitted","[46] Number of Jobs Submitted","[150] Number of Jobs Submitted","[17] Number of Jobs Submitted","[250] Number of Jobs Submitted","[18] Number of Jobs Submitted","[39] Number of Jobs Submitted","[512] Number of Jobs Submitted","[21] Number of Jobs Submitted","[51] Number of Jobs Submitted","[54] Number of Jobs Submitted","[70] Number of Jobs Submitted","[232] Number of Jobs Submitted","[19] Number of Jobs Submitted","[34] Number of Jobs Submitted","[48] Number of Jobs Submitted","[66] Number of Jobs Submitted","[71] Number of Jobs Submitted","[152] Number of Jobs Submitted","[168] Number of Jobs Submitted","[216] Number of Jobs Submitted","[85] Number of Jobs Submitted","[129] Number of Jobs Submitted","[86] Number of Jobs Submitted","[120] Number of Jobs Submitted","[175] Number of Jobs Submitted","[213] Number of Jobs Submitted","[224] Number of Jobs Submitted","[31] Number of Jobs Submitted","[110] Number of Jobs Submitted","[49] Number of Jobs Submitted","[60] Number of Jobs Submitted","[63] Number of Jobs Submitted","[65] Number of Jobs Submitted","[67] Number of Jobs Submitted","[90] Number of Jobs Submitted","[113] Number of Jobs Submitted","[165] Number of Jobs Submitted","[210] Number of Jobs Submitted","[27] Number of Jobs Submitted","[72] Number of Jobs Submitted","[84] Number of Jobs Submitted","[96] Number of Jobs Submitted","[140] Number of Jobs Submitted","[183] Number of Jobs Submitted","[194] Number of Jobs Submitted","[225] Number of Jobs Submitted"
2013-01-17,3176,63,57,15,13,7,8,10,3,12,4,2,54,10,0,4,0,4,0,5,5,1,1,4,0,3,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-18,2846,122,76,19,32,8,9,14,1,18,9,4,5,18,1,4,0,5,0,4,7,1,2,4,0,1,4,0,0,1,4,0,4,0,0,0,4,0,0,0,0,0,1,0,0,4,0,0,4,0,4,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-19,1649,58,163,67,78,3,21,0,28,4,3,2,5,6,3,1,0,0,1,0,4,4,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,2096,53,93,64,41,10,3,9,0,15,4,0,1,0,1,0,0,6,2,4,5,2,5,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-21,1555,29,63,53,61,8,2,16,0,7,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-23,1081,14,15,6,6,4,3,6,4,2,2,1,3,2,0,3,0,9,3,6,2,0,0,2,0,1,2,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-24,3749,171,200,176,91,12,20,59,41,17,11,24,9,10,0,4,0,5,27,5,4,4,0,3,9,1,5,0,0,2,4,2,4,0,1,0,3,4,0,3,2,2,2,1,0,0,0,0,3,2,2,0,0,5,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0
2013-01-25,4100,215,126,58,43,13,38,69,37,23,34,58,26,23,46,4,0,3,47,1,7,2,0,3,8,1,3,1,0,2,0,6,5,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-26,2509,88,67,43,10,4,0,15,4,14,10,6,3,0,0,1,0,7,1,1,5,0,0,0,0,0,0,1,10,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-01-27,1740,32,84,13,20,0,3,14,4,12,14,8,39,5,3,3,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-01-28,1905,38,29,31,26,58,2,6,3,3,0,2,7,3,2,6,14,1,0,0,2,0,1,0,0,0,0,2,0,0,0,2,0,6,4,6,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-29,1328,70,6,95,9,124,0,4,2,3,6,1,8,0,0,24,27,2,0,0,8,0,0,0,0,0,1,2,1,0,0,3,0,6,4,6,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,5,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-30,5803,256,160,59,62,3,1,22,12,43,41,11,8,7,17,9,58,0,6,1,5,8,0,0,19,0,1,14,1,0,0,4,5,12,9,12,10,10,0,1,0,0,0,7,0,0,0,4,0,1,2,6,0,0,4,4,6,4,0,0,0,0,4,4,4,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2013-01-31,4628,139,295,95,82,3,24,21,49,77,8,40,0,35,27,17,6,6,0,13,3,2,0,11,3,1,0,9,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
---------
