Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[8] Number of Jobs Submitted,[4] Number of Jobs Submitted,[32] Number of Jobs Submitted,[3] Number of Jobs Submitted,[6] Number of Jobs Submitted,[16] Number of Jobs Submitted,[5] Number of Jobs Submitted,[20] Number of Jobs Submitted,[12] Number of Jobs Submitted,[10] Number of Jobs Submitted,[24] Number of Jobs Submitted,[7] Number of Jobs Submitted,[9] Number of Jobs Submitted,[18] Number of Jobs Submitted,[28] Number of Jobs Submitted,[15] Number of Jobs Submitted,[13] Number of Jobs Submitted,[23] Number of Jobs Submitted,[14] Number of Jobs Submitted,[25] Number of Jobs Submitted,[26] Number of Jobs Submitted,[30] Number of Jobs Submitted,[11] Number of Jobs Submitted,[22] Number of Jobs Submitted
2011-03-05,33,21,3,2,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-06,16,30,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-07,40,61,1,3,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-08,24,56,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-09,31,49,2,3,10,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-10,52,56,4,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-11,46,31,3,0,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-12,16,21,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-13,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-14,40,9,10,5,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-15,80,72,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-16,38,42,5,12,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-17,11,24,26,27,1,3,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-18,84,24,2,14,1,3,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-19,27,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-20,71,26,18,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-21,138,72,1,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-22,65,44,6,9,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-23,62,44,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-24,24,29,1,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-25,46,30,23,7,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-26,15,11,0,12,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-27,6,17,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-28,51,19,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-29,89,44,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-30,97,55,1,0,7,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-31,108,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,63,22,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-02,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-03,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-04,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-05,11,1,11,1,7,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-06,36,40,4,0,5,0,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-07,38,51,6,0,3,3,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-08,50,31,4,1,0,5,0,0,0,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2011-04-09,77,16,6,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-10,70,15,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-11,90,30,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-12,141,38,3,5,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-13,151,39,9,8,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-04-14,118,47,8,4,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-04-15,121,57,3,7,0,5,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1
2011-04-16,47,8,2,3,6,7,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2011-04-17,42,9,3,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-18,58,46,4,5,4,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
2011-04-19,60,34,3,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-04-20,117,57,4,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-21,326,45,4,0,8,6,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2011-04-22,69,39,3,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-23,221,18,2,2,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-24,181,19,14,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-25,124,22,54,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-26,182,46,12,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-27,501,103,22,5,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-28,658,65,15,0,6,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-29,886,108,9,1,11,15,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-30,745,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,831,41,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-02,640,64,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-03,836,110,10,6,15,41,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-04,505,68,13,3,2,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-05,341,84,4,1,4,14,1,0,8,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0
2011-05-06,537,92,1,16,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-07,1113,56,0,13,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-08,554,46,1,5,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-09,224,55,2,12,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-10,522,82,7,12,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-11,294,105,3,14,3,9,1,3,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2011-05-12,337,73,2,17,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-13,603,84,3,9,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
2011-05-14,932,33,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-15,202,74,12,19,0,1,1,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-16,203,86,3,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-17,302,42,9,15,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-18,325,48,19,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-19,260,20,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-20,385,59,4,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-21,254,79,11,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-22,295,8,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-23,14,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-24,1104,7,2,3,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-25,4150,104,20,10,15,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2011-05-26,3139,103,26,10,0,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-27,5063,95,20,8,0,16,0,0,7,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-28,4156,35,23,14,0,2,0,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-29,2601,42,4,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-30,3788,64,30,7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-31,1681,72,18,8,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,355,8,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-02,412,7,1,3,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-03,2528,11,11,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-04,273,32,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-05,805,68,5,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-06,1169,132,20,9,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-07,5990,87,45,34,35,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-08,388,87,53,2,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-09,420,78,62,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,5334,53,61,2,18,4,2,1,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-11,9217,26,24,0,14,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-12,6970,38,26,0,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-13,5499,88,79,6,23,4,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-14,6426,147,7,16,14,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-15,5379,203,16,4,17,1,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-06-16,5393,221,19,12,8,4,3,0,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-17,1583,156,2,10,6,3,3,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-18,253,36,26,4,14,0,2,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-19,350,33,11,14,19,1,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-20,345,40,4,11,13,4,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-21,370,88,8,8,22,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-22,633,120,51,5,13,13,5,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-23,866,107,11,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-24,758,77,14,1,0,2,2,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-25,868,62,2,3,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-26,4078,72,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-27,752,39,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-28,371,45,12,5,0,4,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-29,288,36,25,3,6,1,6,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-30,156,63,31,2,11,1,15,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,248,114,9,0,0,0,36,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-02,165,29,2,1,12,2,24,1,2,4,1,0,14,0,0,0,6,0,0,0,0,0,1,0,0,0
2011-07-03,205,74,40,47,42,0,6,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-04,234,54,1,5,1,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-05,157,97,2,3,8,1,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-06,277,104,4,0,0,0,23,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2011-07-07,284,95,5,5,7,2,25,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-07-08,289,62,18,3,2,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-09,70,22,0,1,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-10,110,39,0,1,0,0,8,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-11,223,84,4,8,1,4,13,2,0,22,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2011-07-12,393,59,2,3,6,1,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-13,1608,77,7,8,0,3,6,0,28,2,3,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0
2011-07-14,3485,124,0,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-15,450,113,2,20,1,3,30,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-16,2807,24,0,3,2,1,10,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-17,300,1728,0,8,0,2,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-18,568,138,0,6,11,1,0,17,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2011-07-19,494,79,0,4,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011-07-20,1841,63,0,1,5,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-07-21,3293,73,0,15,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-22,1869,69,0,5,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-23,2229,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-24,1428,18,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-25,4282,88,0,50,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-26,4360,85,0,47,10,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-27,3133,72,0,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-28,334,58,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-29,167,4,0,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-07-30,163,63,6,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-31,166,40,25,28,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
