Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[4] Number of Jobs Submitted,[8] Number of Jobs Submitted,[16] Number of Jobs Submitted,[3] Number of Jobs Submitted,[32] Number of Jobs Submitted,[6] Number of Jobs Submitted,[9] Number of Jobs Submitted,[12] Number of Jobs Submitted,[5] Number of Jobs Submitted,[7] Number of Jobs Submitted,[10] Number of Jobs Submitted,[15] Number of Jobs Submitted,[20] Number of Jobs Submitted,[14] Number of Jobs Submitted,[24] Number of Jobs Submitted,[30] Number of Jobs Submitted,[18] Number of Jobs Submitted,[21] Number of Jobs Submitted,[26] Number of Jobs Submitted,[11] Number of Jobs Submitted,[13] Number of Jobs Submitted,[27] Number of Jobs Submitted,[23] Number of Jobs Submitted
2013-03-27,733,95,26,14,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2013-03-28,348,147,17,7,0,9,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-29,214,76,19,19,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-30,279,61,18,22,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-31,278,57,21,22,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,772,127,60,14,5,1,1,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0
2013-04-02,630,128,46,3,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-03,871,167,32,2,0,2,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2013-04-04,592,172,6,5,0,6,1,0,0,0,3,0,1,0,0,7,0,0,0,0,0,0,0,0,0
2013-04-05,1481,170,23,2,2,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-06,257,128,24,1,1,2,3,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2013-04-07,649,87,19,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-08,835,141,17,8,12,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-09,859,161,37,12,6,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-10,706,134,12,13,6,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-11,2171,164,5,3,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-12,960,171,10,10,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2013-04-13,126,45,10,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2013-04-14,1287,260,8,6,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-15,490,167,27,11,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-16,571,233,16,9,4,6,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2013-04-17,2333,187,2,6,2,7,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013-04-18,1279,182,1,5,2,17,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
2013-04-19,796,110,12,5,3,3,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2013-04-20,1093,136,8,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-21,566,48,5,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-22,860,164,14,11,2,6,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-23,1142,219,21,32,3,4,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0
2013-04-24,855,193,8,4,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-25,653,115,11,36,2,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-26,575,153,10,13,1,2,10,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-27,1206,260,12,8,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-28,1451,43,19,5,107,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-29,763,319,10,11,21,12,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-30,487,184,15,21,10,1,0,1,4,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2013-05-01,448,138,12,21,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-02,295,148,5,15,3,3,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-03,393,143,54,15,3,2,5,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1
2013-05-04,478,212,8,12,0,0,3,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-05,400,44,5,10,2,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-06,271,155,8,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-07,1371,502,3,12,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-08,400,364,9,10,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-09,522,116,19,7,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-10,418,69,120,15,2,3,7,0,0,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2013-05-11,175,65,25,15,2,0,7,1,0,3,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0
2013-05-12,145,68,16,12,3,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-13,707,110,21,9,4,4,5,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-14,665,100,23,23,23,11,9,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-05-15,1306,107,19,22,36,5,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
2013-05-16,2714,176,12,16,4,17,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-17,517,102,15,43,3,8,2,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2013-05-18,73,31,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-19,139,40,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-20,710,121,9,14,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-21,287,128,8,15,4,4,0,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-22,580,191,8,13,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-23,467,127,15,14,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-24,245,147,20,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-25,162,63,13,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-26,359,66,8,8,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-27,301,97,55,52,48,1,26,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2013-05-28,481,98,13,102,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-29,555,123,15,10,107,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-30,1013,135,18,8,59,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-31,723,104,28,8,124,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2013-06-01,689,74,15,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-02,371,45,13,10,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-03,1909,94,29,8,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-04,591,79,5,4,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-05,1142,355,34,20,13,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-06,1303,319,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
2013-06-07,283,261,20,6,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-08,243,222,8,4,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-09,280,66,21,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-10,609,159,34,13,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2013-06-11,923,173,39,7,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-12,599,358,25,14,2,3,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
2013-06-13,672,200,13,5,1,2,26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2013-06-14,791,327,17,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-15,933,106,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2013-06-16,672,59,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-17,654,197,22,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-06-18,647,363,36,4,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-19,410,779,30,6,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-20,696,871,16,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-21,408,139,25,4,1,5,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-22,633,48,11,3,0,0,27,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-23,259,240,16,2,0,0,75,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2013-06-24,394,242,31,7,4,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-25,691,194,18,68,7,15,2,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2013-06-26,1120,154,7,13,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-27,612,146,6,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-28,498,162,11,2,2,9,7,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-29,236,55,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-30,428,31,7,1,1,3,7,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,627,258,25,76,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-02,599,216,13,7,7,5,0,1,0,5,2,1,0,0,0,0,5,0,0,0,3,0,0,0,0
2013-07-03,898,161,4,3,16,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-04,432,110,8,11,18,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-05,421,94,13,9,16,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-06,254,47,9,8,7,1,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-07,123,45,9,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-08,363,103,15,1,4,3,3,0,0,0,1,0,12,0,3,0,0,0,0,0,0,0,0,0,0
2013-07-09,464,187,14,9,0,6,0,0,0,24,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0
2013-07-10,629,188,15,6,3,2,0,1,0,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-11,748,209,31,48,0,6,4,0,0,0,3,2,0,0,0,0,0,0,6,0,0,0,0,0,0
2013-07-12,473,215,20,19,0,0,0,1,0,2,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-13,118,74,15,7,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2013-07-14,341,64,13,5,0,2,0,0,0,0,3,1,0,0,12,0,0,0,0,0,0,0,0,0,0
2013-07-15,1075,216,22,13,0,0,0,1,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0
2013-07-16,779,684,68,10,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-17,775,647,21,17,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-18,661,176,31,6,0,2,1,0,0,2,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0
2013-07-19,661,105,22,14,0,2,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2013-07-20,638,62,8,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-07-21,990,67,5,6,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2013-07-22,1226,176,20,8,1,2,2,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2013-07-23,415,96,34,12,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-24,566,24,60,7,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-25,595,27,26,10,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-26,322,9,22,2,2,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
2013-07-27,799,10,9,5,5,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2013-07-28,219,32,18,1,2,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2013-07-29,515,254,36,7,5,4,5,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2013-07-30,3535,166,38,4,3,5,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-07-31,446,337,30,16,9,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
