title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[32] Number of Jobs Submitted","[16] Number of Jobs Submitted","[6] Number of Jobs Submitted","[9] Number of Jobs Submitted","[10] Number of Jobs Submitted","[12] Number of Jobs Submitted","[5] Number of Jobs Submitted","[24] Number of Jobs Submitted","[20] Number of Jobs Submitted","[31] Number of Jobs Submitted","[22] Number of Jobs Submitted","[11] Number of Jobs Submitted","[18] Number of Jobs Submitted","[7] Number of Jobs Submitted","[17] Number of Jobs Submitted","[30] Number of Jobs Submitted","[14] Number of Jobs Submitted","[15] Number of Jobs Submitted","[25] Number of Jobs Submitted","[28] Number of Jobs Submitted","[13] Number of Jobs Submitted","[26] Number of Jobs Submitted"
2014-09-07,212,76,13,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-08,653,168,79,5,4,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-09,577,109,20,5,1,3,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-10,462,188,12,5,0,0,0,0,2,6,3,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-09-11,587,211,5,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-12,703,139,17,8,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-13,129,179,17,8,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-09-14,217,92,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-15,112,150,5,3,1,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-16,435,62,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-17,1574,284,5,1,3,0,0,1,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-18,283,209,11,5,0,0,0,4,13,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-19,402,178,11,14,8,0,1,0,9,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-20,191,74,0,1,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-21,252,130,5,6,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-22,322,168,15,0,0,0,2,1,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-23,294,216,28,6,6,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-24,294,145,14,4,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-25,357,173,8,2,1,0,1,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-26,377,194,5,9,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-27,95,80,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-28,237,126,7,8,0,1,2,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-29,588,171,17,11,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-30,419,231,13,3,2,0,1,2,15,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,530,159,6,9,33,0,2,1,14,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-02,987,157,10,6,1,1,8,6,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-03,523,190,33,19,8,4,6,19,20,0,19,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-04,713,47,6,2,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-05,482,98,9,3,0,8,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-06,526,121,20,15,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-07,457,138,13,3,3,1,7,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-08,584,161,30,5,1,5,3,14,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-09,244,151,22,16,3,0,2,31,0,7,1,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
2014-10-10,283,118,32,15,6,1,0,8,1,1,0,6,0,5,0,0,0,0,2,1,2,0,0,0,0,0,0
2014-10-11,132,86,36,15,7,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-12,214,66,28,7,11,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-13,1072,156,7,11,5,0,2,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-10-14,1035,202,14,8,9,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-15,478,183,20,9,1,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-16,2572,123,18,11,1,3,0,1,0,1,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-10-17,669,111,23,8,1,9,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-18,192,52,10,2,0,6,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2014-10-19,287,66,15,0,0,20,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-20,659,158,41,13,5,1,4,0,0,1,37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-21,364,224,11,15,5,11,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-22,546,185,14,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-23,519,196,20,10,3,0,0,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-24,495,147,14,2,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-25,174,62,5,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-26,135,49,12,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-27,647,143,10,10,9,8,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-28,646,344,10,28,0,11,4,4,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-29,446,218,24,22,0,4,3,0,0,0,0,6,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-30,831,202,25,10,0,10,0,5,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-31,645,136,94,17,0,2,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,113,62,37,19,2,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-02,1771,20,4,2,0,0,0,2,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-03,574,238,50,5,9,2,1,2,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-04,2270,256,22,16,0,3,0,2,0,9,7,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2014-11-05,1186,182,14,16,1,13,0,0,0,12,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-06,649,166,22,13,0,4,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
2014-11-07,447,170,8,23,5,3,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-08,217,53,36,7,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-09,272,84,37,1,0,1,40,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-10,312,197,17,9,3,2,1,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-11-11,392,184,8,12,3,1,0,4,0,0,0,0,0,6,1,0,0,10,0,0,0,0,0,0,0,0,0
2014-11-12,558,211,16,18,2,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-13,1304,341,10,11,0,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-14,302,126,9,58,3,9,0,1,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
2014-11-15,259,48,32,8,3,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-16,174,94,4,2,1,5,0,0,0,25,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
2014-11-17,741,149,24,10,0,0,0,7,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
2014-11-18,626,237,10,26,0,4,0,9,3,3,0,0,0,1,1,0,0,5,2,0,0,0,0,0,0,0,0
2014-11-19,915,235,14,23,5,5,0,4,2,0,0,0,0,18,0,0,0,6,1,0,0,0,0,0,0,0,0
2014-11-20,1433,221,6,12,14,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-21,1287,183,2,19,4,4,0,0,0,3,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-22,703,59,13,309,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-23,473,55,1,5,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-24,1441,149,23,28,9,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-25,2250,82,9,4,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-26,734,259,14,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-27,590,127,13,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-28,760,120,7,2,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-29,396,49,8,33,0,0,1,0,0,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-30,177,109,20,5,0,41,1,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-12-01,671,80,13,83,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-02,1901,103,4,27,0,2,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-03,1475,257,7,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-04,612,206,4,33,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-05,722,235,14,17,4,2,5,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-06,396,151,2,1,2,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,659,189,11,6,2,1,3,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-08,1182,252,17,14,2,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-09,788,243,16,22,2,5,6,5,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,564,283,21,10,1,2,1,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-12-11,271,279,17,94,3,3,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-12,394,314,19,7,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-13,103,187,47,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-14,149,137,7,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-15,1837,263,8,8,1,3,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-16,348,317,310,5,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-17,1029,236,17,14,6,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-18,531,200,19,24,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-19,1436,146,27,10,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-20,2004,64,21,13,2,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-21,1160,47,39,5,2,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-22,1848,126,62,9,1,0,2,0,0,0,0,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-23,2566,152,20,9,3,3,1,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-24,820,118,25,27,1,0,25,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-25,527,77,11,11,3,11,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-26,102,75,7,13,11,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-27,115,76,4,6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-28,182,92,2,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-29,522,160,6,9,14,0,3,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-30,84,135,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-31,52,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,16,45,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,254,61,5,1,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-03,620,58,6,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-04,123,96,1,2,5,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
2015-01-05,1563,149,25,7,3,1,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
2015-01-06,293,167,77,43,0,32,33,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,282,144,35,9,5,0,0,4,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-08,545,200,616,22,8,0,0,1,0,4,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
2015-01-09,106,154,21,19,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,166,60,43,8,4,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
2015-01-11,104,91,23,17,9,15,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,138,200,40,10,2,1,0,0,0,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,435,193,259,9,8,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,362,285,84,16,16,14,10,1,0,6,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,1176,201,36,13,5,5,1,1,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,281,142,25,28,6,19,18,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,207,112,38,34,3,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,411,86,40,39,2,35,36,1,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0
2015-01-19,393,145,11,4,7,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,890,199,12,23,3,1,0,0,0,0,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,1872,176,16,23,5,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,468,206,17,19,7,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,1089,104,3,18,29,0,0,0,0,2,1,1,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0
2015-01-24,208,52,1,221,20,0,0,0,0,0,0,0,0,0,4,6,9,0,0,0,0,1,0,0,0,0,0
2015-01-25,264,38,13,14,20,0,0,0,0,4,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2015-01-26,377,107,2,7,9,0,1,2,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0
2015-01-27,388,202,3,3,4,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,399,241,6,11,4,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0
2015-01-29,528,233,6,5,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015-01-30,692,225,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-31,246,72,3,3,4,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
