Day,[1] Number of Jobs Submitted,[2] Number of Jobs Submitted,[4] Number of Jobs Submitted,[10] Number of Jobs Submitted,[8] Number of Jobs Submitted,[3] Number of Jobs Submitted,[12] Number of Jobs Submitted,[6] Number of Jobs Submitted,[16] Number of Jobs Submitted,[5] Number of Jobs Submitted,[20] Number of Jobs Submitted,[32] Number of Jobs Submitted,[13] Number of Jobs Submitted,[72] Number of Jobs Submitted,[30] Number of Jobs Submitted,[40] Number of Jobs Submitted,[24] Number of Jobs Submitted,[64] Number of Jobs Submitted,[7] Number of Jobs Submitted,[25] Number of Jobs Submitted,[9] Number of Jobs Submitted,[60] Number of Jobs Submitted,[70] Number of Jobs Submitted,[43] Number of Jobs Submitted,[50] Number of Jobs Submitted,[45] Number of Jobs Submitted,[22] Number of Jobs Submitted,[28] Number of Jobs Submitted,[33] Number of Jobs Submitted,[48] Number of Jobs Submitted,[15] Number of Jobs Submitted,[62] Number of Jobs Submitted,[36] Number of Jobs Submitted,[14] Number of Jobs Submitted,[58] Number of Jobs Submitted,[11] Number of Jobs Submitted,[34] Number of Jobs Submitted,[53] Number of Jobs Submitted,[21] Number of Jobs Submitted,[29] Number of Jobs Submitted,[23] Number of Jobs Submitted,[41] Number of Jobs Submitted,[57] Number of Jobs Submitted,[61] Number of Jobs Submitted,[65] Number of Jobs Submitted,[49] Number of Jobs Submitted,[69] Number of Jobs Submitted,[37] Number of Jobs Submitted,[31] Number of Jobs Submitted,[17] Number of Jobs Submitted,[59] Number of Jobs Submitted,[56] Number of Jobs Submitted,[18] Number of Jobs Submitted,[27] Number of Jobs Submitted,[54] Number of Jobs Submitted,[52] Number of Jobs Submitted,[55] Number of Jobs Submitted,[68] Number of Jobs Submitted,[67] Number of Jobs Submitted,[19] Number of Jobs Submitted,[42] Number of Jobs Submitted,[44] Number of Jobs Submitted,[39] Number of Jobs Submitted,[63] Number of Jobs Submitted,[47] Number of Jobs Submitted,[66] Number of Jobs Submitted,[26] Number of Jobs Submitted,[35] Number of Jobs Submitted,[46] Number of Jobs Submitted,[51] Number of Jobs Submitted,[71] Number of Jobs Submitted,[38] Number of Jobs Submitted
2015-05-21,398,258,55,9,17,30,13,3,25,0,4,0,0,0,4,6,5,1,0,0,0,14,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-22,653,221,42,12,38,5,2,1,13,2,3,0,0,0,2,2,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-23,228,82,43,30,11,46,11,2,3,2,0,0,0,0,4,0,5,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,168,87,24,74,15,12,8,0,2,2,0,0,0,0,4,2,2,0,2,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-25,320,195,50,39,5,23,13,0,0,3,0,0,0,1,12,0,0,0,0,0,0,8,0,1,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-26,482,231,63,50,10,44,17,0,6,4,13,0,0,0,2,7,1,0,0,1,0,7,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-27,575,196,56,44,8,43,1,1,42,4,14,0,0,17,5,1,6,2,0,1,0,5,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-28,537,335,41,32,4,49,3,2,6,4,7,0,0,46,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-29,648,279,54,24,25,42,1,4,6,3,2,1,0,10,1,0,0,0,0,1,0,1,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-30,333,170,32,11,5,21,5,0,3,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-31,445,148,35,30,19,8,14,1,2,4,0,7,0,16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-06-01,748,216,84,24,22,44,12,0,6,1,9,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-02,879,240,72,20,21,73,272,4,7,4,15,4,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-03,1199,371,49,30,55,27,197,16,28,7,9,6,0,0,0,5,0,6,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-04,639,318,153,33,39,31,54,5,13,3,12,1,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-05,842,326,105,53,26,25,2,14,5,13,4,4,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-06,350,225,121,20,36,39,5,30,7,27,3,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,537,140,72,23,27,13,4,24,8,40,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,633,171,113,36,46,44,10,78,42,95,0,7,2,2,0,2,5,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,601,73,158,15,45,6,11,29,34,9,2,4,0,12,3,4,3,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-10,618,84,146,27,110,2,7,60,33,21,3,8,42,16,0,7,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-11,816,126,284,24,30,33,6,55,3,45,1,3,1,1,0,12,2,0,20,0,3,0,0,0,0,0,4,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-12,392,124,200,50,26,43,11,11,17,4,12,1,39,1,6,10,0,6,4,0,4,0,0,0,0,0,5,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-13,447,9,160,31,7,0,3,1,2,2,0,1,50,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,420,136,179,19,9,6,9,6,1,25,0,2,22,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-15,751,85,610,402,20,13,10,26,13,41,4,1,18,10,0,0,0,0,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-16,563,48,321,83,31,8,18,13,13,7,7,0,2,2,0,0,0,1,2,8,0,0,8,1,0,0,0,0,8,0,0,8,0,2,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-17,273,40,170,40,34,6,36,28,17,0,2,5,21,5,4,1,5,17,5,6,3,5,7,1,2,5,2,0,11,4,1,4,3,3,11,4,8,8,2,1,9,3,7,6,2,3,4,3,3,2,8,0,4,2,2,1,4,0,4,5,5,2,0,3,3,2,4,4,1,2,2,1
2015-06-18,393,47,205,51,23,41,12,37,9,6,6,9,1,8,4,3,13,7,5,5,7,3,2,7,5,7,1,10,2,7,7,2,4,5,6,4,5,4,4,5,5,6,2,3,4,5,4,4,0,1,4,3,3,2,1,1,4,2,4,6,4,2,10,5,4,4,2,2,5,4,1,2
2015-06-19,584,85,191,27,41,36,14,24,13,3,3,5,37,2,1,0,55,2,0,1,0,0,3,0,2,4,1,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-20,534,45,132,12,16,1,1,16,5,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-21,331,50,113,29,45,2,2,19,5,7,5,0,17,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-22,621,30,96,75,22,18,16,11,8,7,7,3,4,8,1,4,1,2,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-23,894,98,104,53,27,8,13,12,10,19,4,3,1,5,1,2,1,1,0,0,0,4,9,0,5,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-24,779,102,81,67,28,4,14,23,17,4,58,16,0,5,1,1,1,1,0,7,0,2,2,0,5,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-25,627,99,73,39,46,6,10,27,10,1,35,22,15,12,0,0,7,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-26,2266,55,31,98,22,2,14,13,15,13,28,1,0,2,0,0,1,4,1,3,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-27,1173,35,65,32,12,33,3,12,11,0,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-28,3694,13,27,89,23,5,3,8,12,8,22,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-29,3876,66,112,27,35,7,4,13,9,0,12,11,0,1,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,736,54,143,75,32,30,16,9,7,16,11,0,14,5,0,0,2,0,3,14,14,0,1,0,0,14,0,0,14,0,0,0,0,0,0,0,0,14,14,14,0,14,14,14,14,14,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,10265,75,469,21,16,1,71,8,7,1,11,1,0,3,8,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-02,3609,189,318,1,25,21,3,15,8,2,21,19,1,7,2,0,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-03,294,240,152,7,7,5,46,8,5,0,7,4,10,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-04,293,58,60,7,36,3,1,13,23,0,6,34,1,0,4,0,2,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-05,1372,33,95,14,60,5,1,11,5,5,2,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-06,10023,29,338,9,35,11,5,33,4,0,10,3,5,1,0,2,1,2,0,0,0,0,3,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-07,9920,121,429,8,49,10,3,21,2,1,8,0,1,0,1,3,0,1,1,0,0,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-08,3023,78,356,20,80,32,13,30,6,15,8,3,2,3,0,5,0,0,13,0,7,0,1,0,0,1,9,2,0,1,1,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-09,782,99,363,15,34,28,9,12,6,3,6,1,1,12,1,8,0,1,5,0,2,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-10,625,146,516,19,28,17,15,9,15,0,17,1,0,2,17,2,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-11,295,147,98,48,20,8,2,9,3,3,9,1,0,0,22,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,228,171,302,58,29,9,4,7,25,2,6,6,0,1,13,4,13,8,0,13,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-13,2231,153,421,41,27,17,14,16,11,6,12,13,0,6,8,0,7,5,0,1,1,0,0,6,0,0,1,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-14,1700,161,97,41,29,10,25,12,13,0,7,12,0,3,7,16,3,0,0,3,1,0,0,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-15,939,78,507,16,14,11,9,19,27,0,2,12,0,0,4,14,0,0,2,1,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-16,855,250,700,9,35,17,34,6,8,5,14,2,0,1,6,9,3,0,0,3,8,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-17,1169,159,65,33,14,9,9,13,8,1,0,10,0,0,5,2,3,2,1,0,1,0,0,3,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-18,547,82,21,41,20,3,5,9,3,0,6,9,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-19,239,358,46,42,19,7,9,16,9,0,1,11,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-20,2051,159,60,41,24,3,19,13,8,1,0,12,0,1,12,1,0,0,2,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-21,3304,247,21,8,17,2,56,13,8,1,5,1,0,1,8,2,0,0,3,7,0,1,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-22,2859,258,21,32,13,21,6,11,2,1,0,2,0,0,9,0,2,1,0,3,0,0,0,7,0,0,5,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-23,254,195,38,18,10,7,0,0,8,5,2,0,0,3,18,1,0,4,0,5,0,0,4,3,2,0,5,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-24,2128,171,397,21,34,17,10,2,8,1,5,0,0,1,14,4,6,0,3,0,8,1,0,5,0,1,2,0,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-25,528,93,20,68,17,7,9,16,17,13,3,11,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-26,551,137,71,70,21,3,10,9,5,13,3,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27,753,254,100,34,35,7,14,29,11,12,6,9,0,1,4,0,2,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
