title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-08-01,2013-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[16] Number of Jobs Submitted","[32] Number of Jobs Submitted","[3] Number of Jobs Submitted","[6] Number of Jobs Submitted","[12] Number of Jobs Submitted","[18] Number of Jobs Submitted","[10] Number of Jobs Submitted","[5] Number of Jobs Submitted","[9] Number of Jobs Submitted","[24] Number of Jobs Submitted","[14] Number of Jobs Submitted","[28] Number of Jobs Submitted","[17] Number of Jobs Submitted","[13] Number of Jobs Submitted","[7] Number of Jobs Submitted","[15] Number of Jobs Submitted","[22] Number of Jobs Submitted","[20] Number of Jobs Submitted","[19] Number of Jobs Submitted","[30] Number of Jobs Submitted","[21] Number of Jobs Submitted","[26] Number of Jobs Submitted","[11] Number of Jobs Submitted","[25] Number of Jobs Submitted"
2012-09-29,226,61,17,6,0,5,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-30,273,31,10,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,612,95,50,8,16,0,9,4,3,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
2012-10-02,1087,93,27,5,13,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-03,685,66,10,9,3,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2012-10-04,1869,286,45,55,24,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-05,420,44,47,42,26,0,12,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2012-10-06,636,20,1,36,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-07,931,58,4,40,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-08,2905,93,9,57,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-09,4606,129,18,40,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-10,2839,178,28,14,4,2,10,0,1,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-11,1238,76,24,13,7,0,5,1,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-10-12,605,96,41,22,1,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2012-10-13,526,39,6,10,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-14,248,32,10,11,2,3,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-15,1446,69,16,22,2,5,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-16,825,101,4,6,3,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-17,896,119,9,17,5,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-18,1151,136,11,14,6,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-19,768,83,15,17,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-20,310,54,13,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-21,132,22,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-22,464,48,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-23,2655,131,12,10,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-24,2080,104,6,11,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2012-10-25,1348,79,6,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
2012-10-26,1244,80,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-27,356,36,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-28,1076,29,33,0,1,5,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-29,790,66,41,1,1,0,3,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2012-10-30,931,157,18,2,2,1,3,1,3,16,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2012-10-31,2458,172,11,4,3,0,4,5,2,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2012-11-01,1313,139,25,15,13,0,13,2,1,5,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0
2012-11-02,2394,86,47,18,6,0,0,0,7,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
2012-11-03,2318,34,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-11-04,4461,195,430,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-05,2013,64,24,10,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-06,3525,99,14,4,1,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-07,1010,71,32,4,1,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-08,1039,105,16,3,1,0,2,2,1,0,0,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2012-11-09,583,79,43,0,3,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-10,834,66,26,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-11,617,47,56,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-12,1519,80,44,15,1,2,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-13,1551,118,38,7,7,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-14,2557,107,35,25,6,0,6,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-15,722,124,25,8,13,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-16,616,74,32,10,5,2,8,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-17,1180,31,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-18,561,50,16,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-19,1552,130,45,5,1,1,3,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-20,1342,106,38,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-21,2207,109,41,3,4,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-22,340,67,29,0,0,10,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-23,125,67,27,2,0,2,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-24,310,62,270,3,0,2,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-25,1088,49,214,10,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-26,1227,252,98,1,1,1,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-27,2125,175,22,4,3,1,9,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-28,2033,88,8,4,1,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-29,3227,94,10,2,4,12,14,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2012-11-30,433,124,11,7,9,4,8,0,0,3,0,1,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2012-12-01,941,82,15,14,3,3,15,0,1,3,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-02,752,96,4,4,0,11,9,6,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2012-12-03,1272,153,5,1,4,7,11,2,1,0,0,5,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
2012-12-04,1836,132,11,2,6,4,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-05,2382,160,8,18,2,2,7,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-06,971,163,10,2,4,0,12,6,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-07,4018,124,12,2,10,1,15,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-08,2910,110,11,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-09,1567,74,3,2,7,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-10,3947,140,34,0,4,31,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-11,7488,126,13,4,3,4,9,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-12,6640,107,15,8,2,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-13,2635,80,10,6,8,0,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-14,3297,131,4,6,11,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-15,215,74,3,1,95,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-16,3747,52,2,1,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-17,1465,112,7,6,3,0,1,6,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-18,1038,117,11,2,2,6,1,2,18,2,4,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2012-12-19,685,93,3,7,6,3,0,7,0,5,3,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2012-12-20,467,80,3,130,4,12,0,7,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-21,380,60,5,54,12,24,1,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-22,385,84,3,6,0,0,0,5,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2012-12-23,1271,93,2,28,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-24,893,68,2,4,0,5,2,3,4,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-25,169,39,3,1,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2012-12-26,594,58,2,81,0,0,0,4,4,0,1,1,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0
2012-12-27,858,47,3,75,3,3,2,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-28,239,68,6,19,1,5,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-29,113,51,5,21,3,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-30,105,59,4,55,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-31,393,63,6,33,1,1,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,705,39,2,1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-02,1162,112,10,9,4,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-03,880,148,8,8,3,10,2,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-04,505,99,7,13,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-05,359,46,2,10,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2013-01-06,1273,80,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-07,2842,123,16,3,13,0,3,6,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-08,2011,107,21,1,3,0,11,11,1,0,1,0,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
2013-01-09,2843,134,11,37,14,2,3,3,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-10,1023,94,10,100,19,0,9,5,4,0,20,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-11,1914,150,15,1,10,0,7,11,1,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-12,495,25,3,1,10,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013-01-13,744,55,9,3,7,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-14,718,103,3,2,2,0,4,15,0,0,3,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-01-15,1026,129,13,1,4,3,6,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-16,1296,100,15,5,6,0,0,12,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-17,670,136,25,4,10,0,0,7,0,0,4,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-18,832,89,10,2,3,0,8,9,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01-19,538,42,11,6,1,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-20,542,49,15,2,2,0,5,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2013-01-21,982,107,6,1,15,1,1,6,0,7,0,0,2,3,0,0,0,0,0,0,4,0,0,0,2,1,0,0
2013-01-22,670,83,42,4,5,0,4,5,0,12,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
2013-01-23,1327,139,10,11,6,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-24,1499,95,21,9,2,1,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-25,919,70,16,10,19,1,0,7,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-26,653,60,10,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-27,531,92,7,1,2,0,0,7,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-28,1024,150,18,2,1,0,5,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013-01-29,891,114,9,9,9,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-30,1242,143,8,33,38,5,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-31,333,218,7,6,7,0,7,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
