title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2012-02-01,2012-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[16] Number of Jobs Submitted","[10] Number of Jobs Submitted","[32] Number of Jobs Submitted","[5] Number of Jobs Submitted","[6] Number of Jobs Submitted","[12] Number of Jobs Submitted","[9] Number of Jobs Submitted","[14] Number of Jobs Submitted","[7] Number of Jobs Submitted","[13] Number of Jobs Submitted","[24] Number of Jobs Submitted","[18] Number of Jobs Submitted","[15] Number of Jobs Submitted","[20] Number of Jobs Submitted","[30] Number of Jobs Submitted","[48] Number of Jobs Submitted","[11] Number of Jobs Submitted","[19] Number of Jobs Submitted","[64] Number of Jobs Submitted","[17] Number of Jobs Submitted"
2012-05-09,1623,76,53,65,10,10,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-10,2047,100,49,10,10,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-11,637,129,117,13,30,5,73,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-12,258,41,8,9,6,12,70,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-13,414,69,5,22,30,5,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-14,989,105,8,17,38,4,10,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-15,1681,146,62,16,27,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-16,467,34,40,15,3,5,38,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-17,981,133,31,29,40,4,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-18,590,82,22,18,14,3,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2012-05-19,1326,78,18,11,8,9,0,15,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2012-05-20,510,69,25,16,1,5,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-21,282,96,14,13,1,2,0,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-22,547,104,28,12,0,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-23,993,97,28,9,5,7,0,18,2,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0
2012-05-24,761,87,14,6,1,2,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2012-05-25,2802,97,18,6,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-26,719,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-28,2230,85,12,7,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-29,4314,144,33,37,1,5,0,16,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2012-05-30,3199,83,31,159,16,12,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-31,3240,89,15,107,30,19,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,3615,298,21,9,16,12,0,1,6,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2012-06-02,2565,67,11,5,1,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-03,1112,66,5,4,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-04,692,102,20,11,8,13,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-05,403,117,13,11,1,12,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-06,610,158,10,7,5,6,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012-06-07,692,249,16,6,1,23,24,0,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-08,387,60,11,5,6,4,1,0,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-09,994,148,5,5,2,8,19,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-10,2035,117,8,4,2,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-11,1221,128,27,33,2,17,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-12,1579,126,37,26,7,8,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-13,524,95,8,21,6,5,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-14,7107,128,25,12,5,11,1,0,108,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-15,3220,154,36,3,2,6,67,2,72,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-16,4544,61,5,2,2,4,94,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-17,5330,69,7,11,3,11,50,0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-18,4749,137,36,8,4,9,86,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-19,679,94,44,6,5,5,39,2,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-20,2829,93,48,8,1,4,6,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-21,634,152,26,22,4,14,16,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-22,729,231,20,15,4,5,8,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-23,414,154,6,4,2,18,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-24,154,138,5,11,2,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-25,377,159,9,5,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-26,866,191,9,4,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-27,1086,81,32,5,21,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-28,837,96,38,5,9,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-29,877,73,15,5,8,4,0,3,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-30,1005,134,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,737,23,2,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-02,1779,134,27,6,5,7,0,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-03,954,183,11,5,0,3,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-04,632,101,8,0,4,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-05,762,127,11,3,1,5,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-06,550,131,20,8,0,5,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-07,467,73,25,9,2,9,0,7,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-08,325,52,28,16,0,10,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-09,506,103,36,11,0,7,0,8,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-10,984,162,45,20,9,9,1,7,11,12,2,1,0,0,0,1,1,1,2,0,0,0,0,0,0
2012-07-11,946,125,12,3,4,9,0,32,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-12,621,57,21,3,2,5,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-13,444,74,49,6,2,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-14,261,54,19,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-15,152,128,9,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-16,214,77,20,3,8,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-17,310,57,35,11,4,5,0,0,0,2,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2012-07-18,1057,82,27,11,1,7,0,4,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-19,511,121,24,4,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-20,1574,102,16,10,0,4,0,3,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-21,414,132,6,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-22,546,72,28,3,5,3,0,2,1,2,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2012-07-23,384,261,15,11,2,12,0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-24,279,162,10,12,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-25,313,273,88,15,1,11,0,10,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-26,410,143,15,8,2,4,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-27,579,247,24,6,4,8,0,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-28,633,74,39,4,16,2,0,3,0,1,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2012-07-29,795,61,9,1,9,1,0,3,0,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2012-07-30,1276,113,12,1,3,2,0,1,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-31,1688,86,16,6,2,4,0,16,0,1,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0
---------
