title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2014-02-01,2014-07-31
---------
Day,"[1] Number of Jobs Submitted","[16] Number of Jobs Submitted","[8] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[6] Number of Jobs Submitted","[3] Number of Jobs Submitted","[5] Number of Jobs Submitted","[10] Number of Jobs Submitted","[13] Number of Jobs Submitted","[7] Number of Jobs Submitted","[12] Number of Jobs Submitted","[9] Number of Jobs Submitted","[15] Number of Jobs Submitted","[14] Number of Jobs Submitted","[11] Number of Jobs Submitted","[32] Number of Jobs Submitted","[30] Number of Jobs Submitted","[64] Number of Jobs Submitted","[19] Number of Jobs Submitted","[21] Number of Jobs Submitted","[22] Number of Jobs Submitted","[26] Number of Jobs Submitted","[36] Number of Jobs Submitted","[40] Number of Jobs Submitted","[42] Number of Jobs Submitted","[46] Number of Jobs Submitted","[47] Number of Jobs Submitted","[56] Number of Jobs Submitted","[65] Number of Jobs Submitted","[100] Number of Jobs Submitted","[104] Number of Jobs Submitted","[110] Number of Jobs Submitted"
2014-02-11,248,96,31,94,86,17,7,5,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
2014-02-12,303,51,43,97,81,20,7,8,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-13,180,41,15,126,62,32,3,4,0,2,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,247,46,31,43,70,42,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-15,106,60,22,48,40,12,7,7,0,2,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-16,123,36,20,31,13,2,4,1,0,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-17,215,47,33,68,47,7,9,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-18,243,48,39,82,59,12,9,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-19,325,69,50,109,52,29,29,1,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-20,310,70,34,63,66,24,1,1,5,0,0,0,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-21,158,64,30,45,46,10,6,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-22,131,35,60,24,20,8,5,2,3,0,2,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-23,391,55,70,2,58,6,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-24,228,81,42,32,49,15,5,19,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-25,51,18,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-26,248,120,40,38,86,7,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-27,253,97,31,46,52,5,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-28,233,125,43,101,60,18,14,1,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,114,68,7,22,32,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-02,118,22,30,21,24,13,0,5,1,0,0,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-03,220,62,55,67,49,3,7,17,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-04,280,106,63,75,54,13,9,21,2,0,3,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-05,441,49,46,24,43,10,9,10,2,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-06,316,50,104,63,59,8,16,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-07,247,45,30,22,32,10,7,3,0,0,3,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-08,76,17,24,10,15,0,12,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-09,181,31,26,26,30,25,24,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-10,225,158,23,57,29,21,3,3,1,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-11,292,157,50,41,34,31,65,10,9,0,2,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-12,311,94,46,41,33,17,49,13,10,0,2,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-13,189,106,37,23,37,52,15,13,4,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-14,184,64,33,26,45,12,4,11,1,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-15,133,27,20,15,60,7,3,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-16,94,29,48,39,30,29,1,2,0,0,0,8,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-17,209,76,76,68,49,32,6,4,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-18,94,19,4,11,7,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-19,217,44,19,23,64,2,15,3,0,0,0,2,0,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-20,324,92,44,28,34,27,10,4,3,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-21,299,135,44,24,61,11,39,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-22,6,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-23,69,254,21,26,25,11,3,0,1,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-24,253,196,51,97,87,9,30,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-25,241,80,58,68,67,3,9,2,1,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-26,253,105,91,42,67,5,13,3,1,3,6,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-27,143,58,29,48,36,5,11,0,1,10,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-28,257,251,45,63,77,11,10,4,5,18,1,12,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-29,322,397,34,64,63,22,11,4,9,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-30,208,373,124,90,41,4,26,5,10,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-31,367,192,88,30,88,17,14,5,18,22,2,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,298,73,61,31,64,45,5,4,11,36,3,8,12,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-02,296,366,68,44,55,21,3,7,0,14,8,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-03,400,248,55,103,91,11,3,9,1,2,0,1,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-04,177,334,65,80,59,13,3,2,0,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-05,89,451,37,57,64,1,2,2,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-06,47,222,6,10,27,5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-07,171,171,85,28,53,26,0,10,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-08,331,374,72,80,89,40,6,24,0,0,11,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-09,226,268,49,55,58,15,15,17,0,29,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-10,174,80,52,41,38,17,7,5,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-11,251,290,61,83,80,40,7,3,5,51,0,6,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-12,128,153,75,37,34,1,12,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-13,145,493,58,53,17,2,2,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-14,282,400,65,107,49,6,7,0,5,19,5,7,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-15,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-16,263,278,46,85,69,3,20,0,3,33,0,8,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-17,292,420,92,40,65,21,4,3,10,13,7,8,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-18,191,323,37,31,33,7,7,1,7,9,1,2,23,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-19,72,208,48,35,30,8,0,1,0,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-20,132,41,49,42,16,7,4,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-21,262,90,66,102,27,36,2,0,2,10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-22,280,124,76,87,55,30,2,11,6,8,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-23,305,261,68,106,64,31,13,6,12,2,0,5,13,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-24,341,253,43,75,88,11,6,10,10,10,1,2,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-25,322,205,82,64,53,8,3,2,24,8,1,4,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-26,174,49,51,13,41,0,4,11,9,20,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-27,156,63,68,35,18,6,12,21,2,8,2,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-28,304,162,73,83,49,1,1,3,16,3,3,0,14,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-29,306,90,168,89,74,1,11,2,23,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-30,275,195,82,27,99,4,8,13,3,0,9,3,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,334,259,57,88,92,28,18,16,15,0,0,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-02,236,282,20,63,56,12,5,27,22,0,3,1,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-03,156,85,37,34,22,0,8,6,20,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-04,170,26,50,54,10,5,13,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-05,338,95,35,44,33,22,20,7,4,2,3,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-06,322,94,28,42,32,5,30,5,4,20,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-07,425,95,15,66,51,4,25,9,2,6,0,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-08,406,154,66,78,76,39,22,30,6,0,10,7,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-09,284,185,62,33,80,14,33,13,3,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-10,246,135,56,41,93,0,6,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-11,144,513,104,51,31,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-12,234,365,77,34,57,9,7,8,2,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-13,42,104,6,9,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-14,240,299,63,48,68,13,7,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-15,225,341,62,48,57,16,15,7,6,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-16,286,420,55,39,43,16,13,5,2,1,0,8,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-17,96,381,7,16,21,0,15,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-18,131,443,6,19,44,3,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-19,156,378,55,23,19,37,4,9,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-20,245,183,54,45,83,22,7,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-21,164,149,60,69,27,35,0,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-22,405,143,68,64,30,70,13,10,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-23,306,177,34,80,40,30,17,18,13,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-24,173,243,20,45,21,3,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-25,235,43,31,48,55,3,31,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-26,503,94,10,49,36,12,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-27,298,218,30,64,27,18,23,1,3,0,10,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-28,231,301,56,74,24,10,24,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-29,227,247,43,49,86,11,34,4,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-30,189,255,70,70,118,18,14,6,8,1,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-31,184,252,48,25,64,1,20,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,415,139,44,16,26,7,17,0,4,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-02,210,232,35,66,76,23,0,3,8,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-03,316,294,89,40,66,20,11,7,1,0,1,5,7,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-04,408,291,50,34,56,8,2,3,4,2,1,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-05,197,324,56,54,57,35,14,5,1,0,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-06,218,269,68,53,76,17,13,15,2,0,15,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-07,199,238,148,8,26,1,17,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-08,429,215,47,61,10,9,4,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-09,408,337,154,30,29,11,3,1,5,2,19,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-10,476,292,112,54,81,13,17,20,4,5,24,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-11,402,270,78,74,50,6,20,9,1,6,19,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-12,239,229,78,34,44,17,19,3,0,3,10,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-13,324,286,84,27,81,5,11,1,10,3,4,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-14,281,272,88,11,41,4,27,3,4,2,6,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-15,166,72,55,7,21,3,19,0,6,1,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-16,373,39,35,25,26,2,2,0,9,3,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-17,47,16,28,6,5,4,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-18,199,223,32,21,47,6,0,2,2,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-19,244,96,22,26,38,31,1,0,16,5,9,2,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-06-20,360,103,59,52,66,21,2,1,14,12,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-21,176,41,5,26,10,2,4,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-06-22,70,111,10,34,14,7,11,0,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2014-06-23,222,256,32,75,18,23,3,5,17,11,15,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-24,136,71,47,43,41,10,0,1,17,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-25,157,103,67,30,22,12,1,3,14,2,4,2,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-26,164,71,30,37,19,10,1,5,11,0,6,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-27,158,79,41,73,35,2,44,3,7,0,4,0,1,8,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-28,125,59,38,30,32,5,6,0,7,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-29,102,94,41,19,29,7,9,3,12,6,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-30,269,188,44,42,59,9,20,7,12,25,4,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,254,120,55,47,31,13,25,11,23,2,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-02,276,351,62,57,47,12,2,3,17,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-03,181,222,27,48,36,1,1,1,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-04,275,367,34,9,49,22,19,6,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-05,96,258,3,10,20,4,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-06,79,90,6,49,24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-07,347,144,104,46,59,4,43,2,1,15,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-08,225,306,68,34,57,12,19,8,0,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-09,236,190,87,77,34,25,106,4,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-10,295,311,91,72,41,3,47,11,9,1,2,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-11,521,372,75,45,48,6,4,5,4,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-12,542,268,10,28,37,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-13,527,52,21,18,29,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-14,446,82,29,35,45,12,7,1,1,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-15,5,2,2,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-16,452,45,33,63,68,32,37,2,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-17,270,58,35,32,80,13,21,0,0,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-18,529,86,52,56,63,19,1,1,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19,530,27,21,9,65,14,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-20,551,17,19,14,18,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-21,668,100,22,32,68,15,16,2,5,4,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-22,564,72,69,51,43,18,15,3,19,13,0,9,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-23,547,80,56,78,78,48,22,0,18,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-24,517,79,46,57,49,27,21,2,11,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-25,575,60,44,74,86,19,10,4,17,4,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-26,451,56,16,24,12,6,6,0,9,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
