title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Submitted","[16] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[6] Number of Jobs Submitted","[3] Number of Jobs Submitted","[10] Number of Jobs Submitted","[5] Number of Jobs Submitted","[12] Number of Jobs Submitted","[7] Number of Jobs Submitted","[9] Number of Jobs Submitted","[14] Number of Jobs Submitted","[13] Number of Jobs Submitted","[15] Number of Jobs Submitted","[11] Number of Jobs Submitted","[32] Number of Jobs Submitted","[40] Number of Jobs Submitted","[21] Number of Jobs Submitted","[30] Number of Jobs Submitted","[94] Number of Jobs Submitted"
2014-09-02,184,36,22,52,13,7,1,5,1,0,0,3,0,0,2,0,0,0,0,0,0
2014-09-03,243,55,37,45,12,12,5,9,1,1,0,0,0,0,6,0,0,0,0,0,0
2014-09-04,154,60,52,58,40,11,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-09-05,206,69,49,50,32,18,17,6,0,2,1,1,0,0,3,0,0,0,0,0,0
2014-09-06,131,25,62,20,10,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-07,104,27,45,18,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-08,235,39,70,47,63,6,4,17,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-09-09,76,11,4,6,16,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-10,277,147,55,24,58,11,11,11,0,0,2,0,0,0,1,0,0,0,0,0,0
2014-09-11,385,135,70,32,46,27,5,31,0,0,5,0,1,0,0,0,0,0,0,0,0
2014-09-12,318,146,72,23,16,11,2,10,1,0,1,0,0,0,2,0,0,0,0,0,0
2014-09-13,125,49,21,5,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-14,114,38,19,9,4,2,0,2,7,0,0,0,6,0,0,0,0,0,0,0,0
2014-09-15,240,128,38,45,28,8,28,1,4,0,3,2,0,5,0,0,0,0,0,0,0
2014-09-16,280,68,51,82,42,10,2,8,12,1,2,0,1,0,2,0,0,0,0,0,0
2014-09-17,302,91,44,101,89,7,6,8,6,2,13,0,0,2,0,0,0,0,0,0,0
2014-09-18,233,149,52,99,44,10,5,30,2,11,16,1,6,0,6,0,0,0,0,0,0
2014-09-19,368,149,64,90,76,17,12,7,1,9,8,0,1,0,6,0,0,0,0,0,0
2014-09-20,134,28,8,23,18,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
2014-09-21,144,78,81,21,22,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
2014-09-22,301,91,91,60,66,5,14,8,0,0,4,0,1,0,1,0,0,0,0,0,0
2014-09-23,273,71,43,49,21,5,19,12,8,0,2,0,0,0,0,0,0,0,0,0,0
2014-09-24,313,99,77,74,20,11,13,3,6,0,8,0,0,0,0,0,0,0,0,0,0
2014-09-25,355,53,68,58,55,6,7,0,3,0,1,0,0,0,2,0,0,0,0,0,0
2014-09-26,317,73,30,48,39,6,2,16,4,0,2,0,0,0,0,0,0,0,0,0,0
2014-09-27,215,71,29,17,18,22,0,13,0,0,1,0,1,0,0,6,0,0,0,0,0
2014-09-28,321,67,26,4,18,2,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0
2014-09-29,223,91,72,66,47,5,15,12,1,1,10,0,2,5,8,0,0,0,0,0,0
2014-09-30,49,15,7,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,377,68,81,64,46,30,5,0,0,2,3,0,0,0,8,1,0,0,0,0,0
2014-10-02,490,97,127,54,39,6,16,0,4,10,16,2,3,1,0,0,0,0,0,0,0
2014-10-03,306,63,122,73,15,13,22,1,27,3,20,2,0,0,1,1,1,0,0,0,0
2014-10-04,111,51,62,9,4,3,16,2,0,1,3,0,0,0,0,1,0,0,0,0,0
2014-10-05,110,58,74,26,27,15,0,1,0,4,13,0,0,2,0,0,4,0,0,0,0
2014-10-06,273,59,104,43,8,9,3,2,0,6,20,2,0,0,1,0,0,0,0,0,0
2014-10-07,295,77,70,60,13,7,1,5,2,4,23,2,0,1,0,0,0,0,0,0,0
2014-10-08,283,64,48,41,15,11,1,3,10,4,4,2,0,3,1,0,0,0,0,0,0
2014-10-09,389,57,53,58,33,18,0,8,4,7,7,1,0,1,0,0,3,0,0,0,0
2014-10-10,361,89,91,44,34,16,8,0,8,12,1,0,0,7,0,0,0,0,0,0,0
2014-10-11,296,77,26,32,22,5,19,3,0,2,0,1,1,1,0,0,0,0,0,0,0
2014-10-12,171,34,20,6,20,0,16,6,3,1,0,0,0,4,0,0,0,0,0,0,0
2014-10-13,352,61,68,48,12,5,14,14,1,24,0,1,0,2,7,1,0,0,0,0,0
2014-10-14,350,107,109,58,38,12,12,12,19,17,5,0,1,1,0,0,0,0,0,0,0
2014-10-15,367,173,80,76,24,26,18,3,25,19,5,0,0,1,2,0,0,0,0,0,0
2014-10-16,407,106,137,77,46,7,18,12,10,10,2,0,0,2,0,0,0,0,1,0,0
2014-10-17,418,119,79,63,94,26,3,8,23,6,0,4,1,0,3,2,0,0,0,0,0
2014-10-18,155,98,14,76,16,10,2,13,0,3,0,1,0,1,0,0,0,0,0,0,0
2014-10-19,190,70,77,8,10,23,6,9,1,33,0,0,0,1,1,0,0,0,0,0,0
2014-10-20,406,136,102,106,34,22,4,20,1,17,2,6,0,4,0,0,0,0,0,0,0
2014-10-21,46,42,14,3,2,3,2,0,0,14,0,0,0,0,1,0,0,0,0,0,0
2014-10-22,392,108,89,62,32,19,3,4,7,3,11,2,0,1,2,0,0,0,0,0,0
2014-10-23,245,94,67,26,35,37,4,1,17,14,2,2,0,2,0,0,0,0,0,0,0
2014-10-24,200,124,42,34,43,7,2,0,4,7,0,0,0,0,0,0,0,0,0,0,0
2014-10-25,193,40,40,28,39,1,6,0,5,1,4,0,0,1,0,0,0,0,0,0,0
2014-10-26,109,50,72,15,34,12,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
2014-10-27,224,84,46,89,46,31,2,4,1,0,5,2,0,8,3,1,0,0,0,0,0
2014-10-28,83,14,30,14,25,2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-29,501,109,48,58,27,8,2,29,0,0,3,0,0,3,0,0,0,0,0,0,0
2014-10-30,262,110,67,42,65,30,9,11,2,0,1,0,0,1,0,0,0,0,0,0,0
2014-10-31,365,70,114,21,22,12,1,5,3,0,0,8,0,0,0,0,0,0,0,0,0
2014-11-01,170,58,6,9,16,18,0,4,0,2,0,1,3,0,2,0,0,0,0,0,0
2014-11-02,204,50,27,9,32,12,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
2014-11-03,382,72,42,35,41,22,3,1,5,0,1,6,2,4,0,1,0,0,0,0,0
2014-11-04,349,96,40,49,45,27,6,2,21,8,0,4,1,1,0,0,0,0,0,0,0
2014-11-05,371,112,62,51,45,29,3,5,22,2,0,0,0,0,0,0,0,0,0,0,0
2014-11-06,261,106,82,43,54,14,2,0,5,10,0,5,2,0,0,0,0,0,0,0,0
2014-11-07,272,93,73,30,75,8,29,1,1,2,7,36,3,0,0,0,0,0,0,0,0
2014-11-08,82,42,11,24,24,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
2014-11-09,101,18,12,21,42,3,1,3,0,0,0,15,0,0,0,0,0,0,0,0,0
2014-11-10,342,91,72,51,54,11,45,2,3,0,0,12,6,0,4,0,0,0,0,0,0
2014-11-11,266,64,111,53,37,10,22,20,0,10,17,4,0,0,0,0,0,0,0,0,0
2014-11-12,283,99,71,48,40,16,15,0,5,0,16,4,0,0,0,0,0,0,0,0,0
2014-11-13,911,103,61,63,64,8,24,16,0,13,8,2,0,3,0,0,0,0,0,0,0
2014-11-14,448,114,75,93,40,7,22,12,5,7,6,10,6,4,3,0,0,0,0,0,0
2014-11-15,449,94,37,6,29,12,16,2,3,7,1,4,4,4,19,0,0,0,0,0,0
2014-11-16,230,55,56,35,27,8,6,31,20,17,1,10,21,2,0,0,0,0,0,0,0
2014-11-17,407,178,88,76,51,14,17,3,0,7,0,5,0,0,0,0,0,0,0,0,0
2014-11-18,464,129,68,91,49,12,34,3,5,8,4,4,9,0,0,0,0,0,0,0,0
2014-11-19,311,107,39,73,22,6,16,0,1,10,0,0,1,0,1,0,0,0,0,0,0
2014-11-20,401,127,53,73,57,21,32,2,4,10,4,2,0,2,0,0,0,0,0,0,0
2014-11-21,295,98,60,47,65,15,18,5,10,2,7,2,10,8,0,0,0,0,0,0,0
2014-11-22,99,55,43,19,12,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-23,148,107,37,21,62,3,2,1,7,2,1,0,0,0,0,0,0,0,0,0,0
2014-11-24,343,170,46,35,39,37,4,3,3,3,0,1,9,0,0,0,0,0,0,0,0
2014-11-25,75,28,4,9,5,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-11-26,262,86,103,18,70,8,5,2,8,0,0,1,8,0,0,0,0,0,0,0,0
2014-11-27,69,62,16,12,8,1,1,6,9,2,0,0,2,0,0,0,0,0,0,0,0
2014-11-28,105,47,40,27,5,6,0,0,13,4,0,1,0,0,0,0,0,0,0,0,0
2014-11-29,82,105,23,6,19,1,4,1,2,12,0,6,0,0,0,0,0,0,0,0,0
2014-11-30,112,80,6,9,10,0,6,0,1,7,0,1,0,2,0,0,0,0,0,0,0
2014-12-01,364,192,51,52,30,4,7,0,11,1,2,3,0,0,0,0,0,0,0,0,0
2014-12-02,479,85,68,63,62,10,12,8,7,1,0,4,0,2,0,0,0,0,0,0,0
2014-12-03,492,186,72,71,25,13,17,1,11,1,24,4,0,3,0,0,0,0,0,0,0
2014-12-04,366,138,46,73,31,20,4,2,8,0,0,8,0,1,0,0,0,0,0,0,0
2014-12-05,263,132,47,65,25,12,2,0,9,0,2,13,0,0,2,0,0,0,0,0,0
2014-12-06,181,22,22,30,22,0,1,0,5,2,3,0,0,0,0,0,0,0,0,0,0
2014-12-07,272,78,48,49,13,5,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0
2014-12-08,398,120,126,89,49,7,7,0,4,0,3,2,0,1,0,0,0,0,0,0,0
2014-12-09,495,256,124,111,87,26,3,8,7,2,0,2,1,0,0,0,0,0,0,0,0
2014-12-10,386,120,59,93,72,5,4,5,2,11,1,6,2,0,0,0,0,0,0,0,0
2014-12-11,397,142,51,55,65,27,10,3,9,2,13,1,0,1,2,0,0,0,0,0,0
2014-12-12,259,124,11,43,50,11,1,1,1,4,0,4,23,1,0,0,0,0,0,0,0
2014-12-13,137,65,33,19,7,6,3,2,11,0,0,0,9,0,0,0,0,0,0,0,0
2014-12-14,170,99,17,14,1,2,0,6,11,1,0,0,4,0,0,0,0,0,0,0,0
2014-12-15,427,171,53,61,18,4,11,28,0,0,1,0,12,0,0,0,0,0,0,0,0
2014-12-16,263,121,68,35,9,17,2,6,16,8,1,1,11,0,0,0,0,0,0,0,0
2014-12-17,385,68,60,89,18,13,10,8,16,2,2,0,11,1,1,0,0,0,0,0,0
2014-12-18,500,86,36,62,41,7,0,9,16,3,3,0,3,0,3,3,0,2,0,1,0
2014-12-19,447,81,76,60,68,10,2,0,1,0,7,0,14,3,6,2,0,0,0,0,0
2014-12-20,208,45,22,13,25,0,8,0,2,0,0,2,0,0,2,0,0,0,0,0,0
2014-12-21,153,107,26,45,12,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-22,222,112,92,66,16,6,9,10,5,1,0,2,0,1,0,0,0,0,0,0,0
2014-12-23,204,94,76,41,21,5,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0
2014-12-24,111,33,31,13,26,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-25,143,40,19,3,2,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-26,175,19,17,27,14,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2014-12-27,94,40,30,9,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2014-12-28,53,27,60,34,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-29,159,46,51,82,8,12,2,0,3,8,0,0,0,0,0,0,0,0,0,0,0
2014-12-30,159,74,141,69,19,4,1,4,0,39,0,0,7,0,0,0,0,0,0,0,0
2014-12-31,88,79,34,9,3,1,4,0,0,48,0,0,3,0,0,0,0,0,0,0,0
2015-01-01,76,52,13,22,18,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-01-02,216,66,57,21,27,9,10,1,4,11,0,0,11,0,0,0,0,0,0,0,0
2015-01-03,126,35,39,4,53,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2015-01-04,3,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,624,72,300,80,36,9,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,455,74,277,34,102,13,7,0,0,0,0,0,0,11,3,0,0,0,0,0,0
2015-01-08,253,207,53,33,113,13,16,3,6,0,0,0,0,3,4,0,0,0,0,0,0
2015-01-09,225,65,122,17,82,9,6,2,11,2,1,0,0,0,0,0,0,0,0,0,0
2015-01-10,152,80,28,22,25,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2015-01-11,219,85,38,44,70,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-01-12,328,135,71,48,51,26,9,3,2,5,0,4,0,0,0,0,0,0,0,0,0
2015-01-13,98,42,14,7,13,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,422,112,249,61,21,20,30,6,2,2,0,8,2,9,2,0,0,0,0,0,0
2015-01-15,473,174,92,97,12,50,15,11,16,4,7,0,5,15,0,0,0,0,0,0,0
2015-01-16,260,139,88,61,8,34,11,6,13,0,1,0,1,10,0,0,0,0,0,0,0
2015-01-17,120,72,21,17,1,20,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,136,80,57,49,39,12,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,338,150,284,65,50,9,10,4,2,4,0,6,0,4,3,1,0,0,0,0,0
2015-01-20,317,128,138,95,75,4,8,0,11,6,2,15,8,0,0,0,0,0,0,0,0
2015-01-21,307,138,163,80,61,16,14,5,4,1,2,3,25,7,0,0,0,0,0,0,0
2015-01-22,373,97,132,56,62,15,41,1,1,1,0,0,11,13,0,0,0,0,0,0,0
2015-01-23,382,72,109,54,41,5,40,10,4,11,1,1,11,10,0,0,0,0,0,0,0
2015-01-24,190,59,33,20,28,3,25,3,1,2,4,0,3,0,0,0,0,0,0,0,0
2015-01-25,151,83,61,20,103,1,9,10,3,0,2,0,3,0,1,0,0,0,0,0,0
2015-01-26,397,100,141,29,46,0,11,0,11,2,0,1,6,3,8,0,0,0,0,0,0
2015-01-27,299,234,133,21,67,5,42,5,4,10,3,0,3,0,0,0,0,0,0,0,0
2015-01-28,458,217,147,53,80,1,28,0,0,2,2,4,2,0,2,0,0,0,0,0,0
2015-01-29,365,173,135,64,111,11,13,6,0,1,6,7,1,0,1,0,0,0,0,0,0
2015-01-30,345,128,108,65,82,4,5,12,1,1,5,3,1,0,1,5,0,0,0,0,0
2015-01-31,148,131,99,16,15,5,14,16,0,8,0,4,6,0,0,0,0,0,0,0,0
---------
