title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Submitted","[16] Number of Jobs Submitted","[2] Number of Jobs Submitted","[5] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[6] Number of Jobs Submitted","[10] Number of Jobs Submitted","[9] Number of Jobs Submitted","[12] Number of Jobs Submitted","[14] Number of Jobs Submitted","[15] Number of Jobs Submitted","[13] Number of Jobs Submitted","[7] Number of Jobs Submitted","[11] Number of Jobs Submitted","[40] Number of Jobs Submitted","[32] Number of Jobs Submitted","[18] Number of Jobs Submitted","[20] Number of Jobs Submitted","[61] Number of Jobs Submitted","[64] Number of Jobs Submitted"
2016-02-24,1543,79,58,2,73,22,5,21,2,1,0,11,0,0,0,0,0,0,0,0,0,0
2016-02-25,1436,69,90,3,84,13,13,1,5,0,0,9,4,0,0,0,0,0,0,0,0,0
2016-02-26,1681,56,115,9,59,6,21,13,21,7,0,8,0,0,1,0,0,0,0,0,0,0
2016-02-27,2221,43,108,2,29,5,18,12,2,5,0,6,0,0,2,0,0,0,0,0,0,0
2016-02-28,2581,32,72,0,50,11,2,9,0,1,0,5,13,0,1,0,0,0,0,0,0,0
2016-02-29,1856,63,49,6,62,25,11,11,4,1,1,8,0,0,0,0,0,0,0,0,0,0
2016-03-01,1518,87,83,12,61,26,9,13,15,6,2,9,4,3,15,0,0,0,0,0,0,0
2016-03-02,381,49,116,347,49,61,26,4,45,0,11,8,8,1,18,0,0,0,0,0,0,0
2016-03-03,369,72,85,645,51,10,9,27,19,0,10,7,0,0,9,0,0,0,0,0,0,0
2016-03-04,623,65,103,1188,73,41,36,18,4,0,6,5,1,1,4,0,0,0,0,0,0,0
2016-03-05,277,39,64,1675,94,29,32,6,6,0,2,8,2,0,0,0,0,0,0,0,0,0
2016-03-06,275,71,44,982,32,13,6,0,1,0,1,14,1,0,0,0,0,0,0,0,0,0
2016-03-07,433,105,121,352,67,21,16,4,9,0,11,11,1,0,1,1,0,0,0,0,0,0
2016-03-08,297,133,89,1118,44,24,7,8,10,0,2,6,0,1,1,0,1,0,0,0,0,0
2016-03-09,344,111,144,999,63,20,32,10,8,0,2,8,0,0,0,0,7,0,0,0,0,0
2016-03-10,286,77,80,1021,61,26,17,16,8,11,3,4,1,0,2,1,4,0,0,0,0,0
2016-03-11,269,74,103,766,82,49,13,39,7,5,7,7,0,0,8,0,0,0,0,0,0,0
2016-03-12,166,40,54,1,11,43,5,34,23,1,11,11,0,0,0,0,0,0,0,0,0,0
2016-03-13,198,34,30,0,38,84,30,8,16,7,0,6,0,0,0,0,0,0,0,0,0,0
2016-03-14,226,47,56,677,40,57,6,51,11,4,5,11,0,0,0,0,0,0,0,0,0,0
2016-03-15,341,55,63,1144,55,22,10,7,7,1,3,18,1,0,2,1,0,0,0,0,0,0
2016-03-16,304,63,104,579,92,41,19,10,9,1,2,13,0,1,0,1,0,0,0,0,0,0
2016-03-17,257,92,113,3,67,50,3,22,8,0,1,10,1,0,0,0,0,0,0,0,0,1
2016-03-18,211,83,72,6,48,52,3,7,7,1,2,12,3,1,0,0,0,0,0,0,0,0
2016-03-19,202,40,63,1,43,64,1,2,15,0,6,16,12,0,0,0,0,0,0,0,0,0
2016-03-20,179,48,66,0,91,19,13,0,4,0,1,14,8,0,0,0,0,0,0,0,0,0
2016-03-21,245,91,98,27,69,35,13,10,22,0,1,8,6,0,0,0,0,0,0,0,0,0
2016-03-22,240,97,139,2,93,36,5,35,16,0,5,8,3,0,0,0,0,0,0,0,0,0
2016-03-23,485,80,195,11,69,38,28,11,34,1,6,6,6,0,0,0,0,0,0,0,0,0
2016-03-24,273,72,50,4,72,40,32,31,14,2,12,8,0,0,0,0,0,0,0,0,0,0
2016-03-25,270,91,54,6,61,23,8,13,74,7,3,4,2,0,0,0,0,0,0,0,0,0
2016-03-26,127,69,50,0,42,23,12,17,2,1,0,5,0,0,0,0,0,0,0,0,0,0
2016-03-27,188,103,58,1,30,34,16,13,0,0,1,7,0,0,0,0,0,0,0,0,0,0
2016-03-28,246,76,30,2,41,43,6,12,11,1,4,12,6,0,0,2,0,0,0,0,0,0
2016-03-29,274,110,83,7,53,35,20,5,23,1,0,5,0,0,0,2,0,0,0,0,0,0
2016-03-30,272,78,95,5,42,29,10,8,12,3,0,5,3,0,0,0,0,0,0,0,0,0
2016-03-31,272,63,61,10,27,51,13,8,8,2,0,4,3,4,1,0,0,0,0,0,0,0
2016-04-01,594,75,195,9,16,35,27,7,15,3,9,11,10,1,0,0,0,0,0,0,0,0
2016-04-02,479,90,87,4,28,17,6,6,12,6,4,13,3,0,0,0,0,0,0,0,0,0
2016-04-03,378,55,110,0,41,22,8,3,0,4,0,10,1,0,0,0,0,0,0,0,0,0
2016-04-04,407,72,78,0,32,39,13,10,18,4,2,7,2,0,0,0,0,0,0,0,0,0
2016-04-05,561,90,102,20,70,31,10,11,7,1,8,1,2,0,0,2,0,0,0,0,0,0
2016-04-06,649,75,114,52,50,27,21,14,5,10,5,0,0,0,9,9,0,0,0,0,0,0
2016-04-07,526,70,106,100,46,44,25,18,14,0,1,0,0,0,6,0,0,0,0,0,0,0
2016-04-08,555,90,157,195,64,23,12,4,15,2,0,6,4,0,0,1,0,0,0,0,0,0
2016-04-09,184,82,17,3,71,25,3,6,0,2,0,9,1,0,1,0,0,0,0,0,0,0
2016-04-10,145,92,43,0,50,45,1,1,0,3,0,2,4,0,0,0,0,0,0,0,0,0
2016-04-11,328,80,50,3,59,39,5,3,5,0,1,1,1,0,3,6,0,0,0,0,0,0
2016-04-12,402,107,60,1,55,39,14,5,0,0,19,0,0,0,0,2,0,0,0,0,0,0
2016-04-13,526,96,83,2,80,40,17,6,4,0,10,0,0,0,0,1,0,0,0,0,0,0
2016-04-14,377,70,74,2,75,66,13,20,3,0,8,0,2,0,2,0,0,0,0,0,0,0
2016-04-15,296,67,78,2,67,40,10,21,20,0,26,5,1,15,0,0,0,0,0,0,0,0
2016-04-16,145,64,42,2,40,64,1,0,2,2,7,7,0,7,0,0,0,1,0,0,0,0
2016-04-17,218,71,45,5,43,22,13,0,6,5,13,10,3,0,1,0,0,0,0,0,0,0
2016-04-18,359,48,81,7,50,51,5,7,8,7,13,7,0,0,14,0,0,0,0,0,0,0
2016-04-19,533,69,359,8,89,41,0,6,9,2,7,6,0,5,12,0,0,0,0,0,0,0
2016-04-20,355,83,77,5,67,40,10,1,1,12,14,5,0,12,12,0,0,0,0,0,0,0
2016-04-21,429,98,286,1,60,53,8,8,2,2,11,6,1,29,13,0,0,0,0,0,0,0
2016-04-22,271,50,52,0,37,40,5,2,6,0,3,0,0,14,9,0,0,0,0,0,0,0
2016-04-23,138,15,39,0,14,4,1,0,4,2,11,3,0,0,0,0,0,0,0,0,0,0
2016-04-24,539,35,123,0,22,41,10,4,3,18,39,12,0,0,0,0,0,0,0,0,1,0
2016-04-25,444,63,51,8,47,39,11,0,9,22,30,3,0,1,1,0,0,0,0,0,0,0
2016-04-26,925,79,430,35,66,47,22,3,9,31,41,4,0,5,7,0,0,0,0,0,0,0
2016-04-27,438,74,76,3,49,201,14,1,15,13,21,2,0,13,8,0,0,0,0,0,0,0
2016-04-28,647,77,82,5,65,1310,8,2,12,31,32,0,1,0,5,0,0,0,0,0,0,0
2016-04-29,837,68,96,22,80,32,8,4,13,23,12,1,0,0,4,0,0,0,0,0,0,0
2016-04-30,366,68,37,2,70,32,5,0,15,0,29,0,0,5,12,0,0,0,0,0,0,0
2016-05-01,441,82,48,0,22,34,16,4,13,0,3,0,0,0,6,0,0,0,0,0,0,0
2016-05-02,510,106,88,1,53,20,6,4,7,19,0,0,0,1,5,0,0,0,0,0,0,0
2016-05-03,123,22,10,0,1,1,3,4,1,14,1,0,0,3,0,0,0,0,0,0,0,0
2016-05-04,748,95,96,1,53,19,0,13,16,49,2,0,0,11,3,0,0,0,0,0,0,0
2016-05-05,319,71,75,0,78,31,3,1,7,30,1,0,0,0,2,0,0,0,0,0,0,0
2016-05-06,254,98,81,0,51,59,7,2,15,22,2,9,0,1,0,0,0,0,0,0,0,0
2016-05-07,123,56,69,2,62,39,2,2,3,0,0,6,0,2,1,0,0,0,0,0,0,0
2016-05-08,135,61,133,12,32,28,0,3,4,7,2,0,0,0,2,0,0,0,0,0,0,0
2016-05-09,278,67,102,0,33,35,28,1,4,5,2,0,0,2,0,0,0,0,0,0,0,0
2016-05-10,231,92,70,1,54,32,14,2,5,2,2,0,0,1,6,0,0,0,0,0,0,0
2016-05-11,389,133,97,4,80,46,14,2,7,3,5,0,3,5,4,0,0,0,0,0,0,0
2016-05-12,505,76,61,1,47,76,18,8,7,4,4,1,5,1,3,0,0,0,0,0,0,0
2016-05-13,466,83,97,2,69,73,4,15,6,16,7,0,0,13,0,0,0,0,0,0,0,0
2016-05-14,277,66,17,0,37,60,5,31,2,21,5,0,0,0,0,0,0,0,0,0,0,0
2016-05-15,209,88,19,0,16,42,3,8,2,28,7,0,0,3,0,0,0,0,0,0,0,0
2016-05-16,199,87,126,10,71,43,16,8,6,18,6,0,0,8,1,0,0,0,0,0,0,0
2016-05-17,207,103,74,2,49,50,10,15,14,41,10,1,1,8,0,1,0,0,0,0,0,0
2016-05-18,191,100,20,0,65,45,18,4,2,22,11,3,1,34,0,0,0,0,0,0,0,0
2016-05-19,231,95,40,5,65,31,14,2,3,11,5,0,6,7,0,0,0,0,0,0,0,0
2016-05-20,180,78,35,5,45,30,6,8,8,22,4,0,4,2,1,0,0,0,0,0,0,0
2016-05-21,145,92,38,3,71,33,2,0,0,33,3,1,0,1,0,0,0,0,0,0,0,0
2016-05-22,153,77,75,6,45,50,23,21,0,6,0,0,14,0,0,0,0,0,0,0,0,0
2016-05-23,215,100,59,2,77,42,0,21,3,31,3,0,3,2,0,0,0,0,0,0,0,0
2016-05-24,220,114,49,9,62,38,16,32,15,25,1,1,0,4,1,0,0,0,0,0,0,0
2016-05-25,179,102,40,7,69,25,9,14,19,44,0,0,1,4,0,0,0,0,0,0,0,0
2016-05-26,200,90,35,14,53,42,0,9,15,18,2,1,0,0,0,0,0,0,0,0,0,0
2016-05-27,160,80,45,10,52,60,8,14,10,24,2,0,2,5,0,0,0,0,0,0,0,0
2016-05-28,130,63,12,2,107,120,3,2,13,16,6,1,1,4,2,1,0,0,0,0,0,0
2016-05-29,309,122,14,4,32,21,3,9,14,27,0,0,0,0,2,0,0,0,0,0,0,0
2016-05-30,280,145,51,25,65,54,11,5,8,30,1,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,248,104,52,5,64,42,18,15,11,13,3,0,0,1,1,0,0,0,0,0,0,0
2016-06-01,352,95,90,0,73,17,29,16,1,4,2,0,0,0,2,1,0,0,0,0,0,0
2016-06-02,194,93,35,1,130,35,16,8,3,4,1,0,1,2,0,1,0,0,0,0,0,0
2016-06-03,184,91,43,13,83,38,13,3,8,3,4,0,20,3,0,0,0,0,0,0,0,0
2016-06-04,150,108,79,0,80,16,10,7,1,5,5,0,3,0,0,0,0,0,0,0,0,0
2016-06-05,117,78,118,0,74,21,7,11,3,2,3,1,1,1,0,4,0,0,0,0,0,0
2016-06-06,225,94,77,11,112,55,11,15,11,4,4,0,6,0,0,0,0,0,0,0,0,0
2016-06-07,370,86,84,22,80,41,10,8,34,0,2,0,5,0,0,0,0,0,0,0,0,0
2016-06-08,261,74,75,7,103,42,12,13,23,4,7,0,4,0,0,0,0,0,0,0,0,0
2016-06-09,239,55,70,12,114,36,21,5,13,9,9,0,2,0,3,2,0,0,0,0,0,0
2016-06-10,198,111,60,17,77,63,19,11,6,15,3,0,20,0,0,0,0,0,0,0,0,0
2016-06-11,99,52,27,7,66,47,11,14,10,0,1,0,0,0,2,0,0,0,0,0,0,0
2016-06-12,101,96,49,17,110,17,6,6,4,4,1,0,0,0,0,1,0,0,0,0,0,0
2016-06-13,226,120,67,9,105,33,12,16,11,15,1,0,1,0,2,0,0,0,0,0,0,0
2016-06-14,262,116,60,10,99,35,3,16,4,6,5,0,6,0,1,0,0,0,0,0,0,0
2016-06-15,196,96,58,7,51,40,5,0,4,7,6,0,9,0,0,0,0,0,0,0,0,0
2016-06-16,218,104,45,6,86,35,9,1,3,8,4,0,1,1,0,0,0,0,0,0,0,0
2016-06-17,239,117,79,12,97,33,7,3,3,1,0,0,0,2,0,3,0,0,0,0,0,0
2016-06-18,137,110,60,18,98,22,8,1,0,0,5,0,0,0,3,2,0,0,0,0,0,0
2016-06-19,96,69,87,14,96,38,2,5,0,13,0,0,3,0,0,0,0,0,0,0,0,0
2016-06-20,261,76,67,8,109,35,1,9,2,5,6,0,2,0,1,2,0,0,0,0,0,0
2016-06-21,334,82,97,2,84,14,1,23,7,6,1,0,0,0,0,1,0,0,0,0,0,0
2016-06-22,291,89,117,4,73,21,4,18,11,28,5,0,0,0,0,1,0,0,0,0,0,0
2016-06-23,206,109,92,3,33,40,16,15,3,32,3,0,0,2,0,10,0,0,0,0,0,0
2016-06-24,194,69,64,2,28,20,7,11,11,19,9,0,0,0,1,0,0,0,0,0,0,0
2016-06-25,145,37,54,4,11,18,1,11,11,6,4,0,0,0,0,0,0,0,0,0,0,0
2016-06-26,215,90,61,6,26,21,0,5,8,6,2,0,0,0,0,0,0,0,0,0,0,0
2016-06-27,376,89,101,12,33,46,12,4,3,8,5,1,0,0,0,1,0,0,0,0,0,0
2016-06-28,318,124,72,14,51,31,8,27,3,15,2,1,0,0,0,0,0,0,0,0,0,0
2016-06-29,284,118,92,15,55,23,7,12,1,14,3,1,3,0,0,0,0,0,0,0,0,0
2016-06-30,296,107,65,15,30,75,5,9,1,6,0,0,3,4,0,0,0,0,0,0,0,0
2016-07-01,228,112,105,12,38,20,1,9,11,8,0,0,1,0,0,0,0,0,0,0,0,0
2016-07-02,68,85,17,19,27,7,0,6,10,1,1,0,0,0,0,0,0,0,0,0,0,0
2016-07-03,158,94,36,1,32,20,4,7,0,28,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-04,250,69,94,4,22,5,1,2,2,28,0,0,0,0,0,1,0,0,0,0,0,0
2016-07-05,342,83,71,9,51,34,4,8,14,4,0,0,0,5,0,0,0,0,0,0,0,0
2016-07-06,256,67,52,10,84,37,11,16,10,12,0,1,1,2,1,0,0,0,0,0,0,0
2016-07-07,272,85,31,12,37,19,4,11,8,1,0,3,0,1,0,0,0,0,0,0,0,0
2016-07-08,213,79,48,11,85,9,3,16,16,16,0,2,4,0,1,0,0,0,0,0,0,0
2016-07-09,138,67,10,7,32,7,1,5,12,1,1,8,0,2,0,0,0,0,0,0,0,0
2016-07-10,118,101,25,9,21,5,4,0,15,2,2,10,1,3,0,0,0,0,0,0,0,0
2016-07-11,261,80,63,6,66,22,0,5,4,6,5,22,3,0,1,0,0,0,0,0,0,0
2016-07-12,294,75,90,21,98,23,2,1,2,3,13,6,0,0,0,0,0,0,0,0,0,0
2016-07-13,268,88,87,16,86,31,36,5,8,8,1,0,5,1,0,0,0,0,1,1,0,0
2016-07-14,314,106,78,9,63,22,3,15,14,20,9,3,5,0,0,1,0,0,0,0,0,0
2016-07-15,295,95,50,8,67,23,31,12,16,12,1,0,2,1,0,0,0,0,0,0,0,0
2016-07-16,139,52,43,2,86,8,5,40,22,18,0,10,0,2,0,1,0,0,0,0,0,0
2016-07-17,174,75,27,0,31,37,1,9,9,52,0,0,0,3,0,1,0,1,0,0,0,0
2016-07-18,283,132,84,1,38,38,6,2,3,19,0,0,4,0,0,0,0,0,0,0,0,0
2016-07-19,66,50,35,0,9,6,7,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0
2016-07-20,300,77,45,1,46,43,30,10,4,13,3,2,0,0,1,0,0,0,0,0,0,0
2016-07-21,364,114,78,7,35,44,8,27,1,10,4,1,0,0,1,4,0,0,0,0,0,0
2016-07-22,365,101,103,7,33,35,10,13,4,14,15,0,0,0,0,0,0,0,0,0,0,0
2016-07-23,85,82,84,4,24,16,7,20,0,0,3,0,0,4,0,0,0,0,0,0,0,0
2016-07-24,177,60,53,4,51,3,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-07-25,366,91,52,2,69,36,9,20,0,6,6,0,0,0,0,0,0,0,0,0,0,0
2016-07-26,286,123,38,11,85,24,4,7,0,3,12,0,1,0,0,0,0,0,0,0,0,0
2016-07-27,372,98,31,18,113,11,19,5,16,1,1,0,1,0,2,0,0,0,0,0,0,0
2016-07-28,188,85,71,10,102,28,9,5,15,9,12,3,2,6,3,3,0,0,0,0,0,0
2016-07-29,189,57,47,6,43,27,3,0,9,2,1,0,0,1,0,0,0,0,0,0,0,0
2016-07-30,149,63,21,8,20,15,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-07-31,147,29,16,10,55,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
