title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[16] Number of Jobs Submitted","[5] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[9] Number of Jobs Submitted","[6] Number of Jobs Submitted","[12] Number of Jobs Submitted","[10] Number of Jobs Submitted","[15] Number of Jobs Submitted","[14] Number of Jobs Submitted","[7] Number of Jobs Submitted","[13] Number of Jobs Submitted","[11] Number of Jobs Submitted","[32] Number of Jobs Submitted","[26] Number of Jobs Submitted","[29] Number of Jobs Submitted"
2013-03-09,74,39,10,35,1,18,1,0,0,0,0,0,0,2,0,0,0,0,0
2013-03-10,45,10,5,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-11,158,104,18,17,0,30,0,0,3,0,5,0,0,0,0,0,0,0,0
2013-03-12,240,69,8,31,0,11,31,0,6,0,0,0,0,0,0,0,0,0,0
2013-03-13,204,117,35,63,1,34,3,0,26,0,8,0,0,0,0,0,0,0,0
2013-03-14,217,72,73,11,0,41,17,0,5,0,0,6,4,0,0,0,0,0,0
2013-03-15,232,144,56,8,0,52,16,0,6,0,0,0,4,0,0,0,0,0,0
2013-03-16,119,55,31,28,0,82,1,0,0,1,0,0,3,0,0,0,0,0,0
2013-03-17,79,56,39,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-18,153,39,41,19,1,28,5,13,5,0,0,1,11,0,1,3,0,0,0
2013-03-19,41,14,12,9,0,26,0,0,1,0,0,0,6,0,0,1,0,0,0
2013-03-20,268,85,57,25,6,41,6,11,10,0,1,0,2,6,0,1,0,0,0
2013-03-21,136,35,17,12,0,40,6,2,1,3,0,0,0,0,0,0,0,0,0
2013-03-22,254,83,35,21,0,100,4,0,1,1,0,0,10,0,0,0,0,0,0
2013-03-23,116,44,12,20,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-24,201,91,7,9,9,0,1,0,6,0,0,0,0,0,0,0,0,0,0
2013-03-25,227,23,36,16,0,4,1,8,9,2,2,0,2,0,0,0,0,0,0
2013-03-26,176,33,18,41,12,9,3,2,12,5,0,1,0,0,2,0,0,0,0
2013-03-27,440,59,22,31,0,13,20,0,14,8,0,14,2,0,0,2,0,0,0
2013-03-28,348,148,64,42,4,25,21,0,1,25,1,1,8,0,5,0,0,0,0
2013-03-29,242,44,14,16,1,12,1,0,6,9,1,0,3,0,0,0,0,0,0
2013-03-30,96,34,6,7,0,2,0,0,8,11,0,0,6,0,0,0,0,0,0
2013-03-31,131,63,24,11,0,1,0,0,13,8,0,0,3,0,6,0,0,0,0
2013-04-01,262,45,28,23,1,48,16,0,1,5,11,0,3,0,0,0,0,0,0
2013-04-02,55,28,11,19,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0
2013-04-03,385,106,57,34,0,62,10,0,0,2,2,0,1,0,9,0,0,0,0
2013-04-04,584,103,16,29,0,23,11,0,4,5,3,0,2,0,0,0,0,0,0
2013-04-05,253,77,19,52,0,21,0,0,0,1,3,0,3,0,0,2,0,0,0
2013-04-06,244,23,39,33,0,4,6,1,9,2,1,0,0,16,1,0,0,0,0
2013-04-07,118,40,23,24,0,14,10,0,1,0,0,0,0,0,0,0,0,0,0
2013-04-08,300,103,26,24,2,13,1,2,11,6,2,2,3,3,0,2,0,0,0
2013-04-09,278,72,41,34,0,14,0,1,0,4,1,0,0,0,0,0,1,0,0
2013-04-10,198,37,21,21,1,16,8,0,2,13,8,0,0,0,0,0,0,0,0
2013-04-11,232,33,26,17,0,16,10,0,0,2,0,0,1,0,6,0,0,0,0
2013-04-12,220,41,34,4,1,10,6,0,7,8,1,0,11,0,7,0,0,0,0
2013-04-13,234,16,4,12,1,108,3,0,1,0,0,0,10,0,0,0,0,0,0
2013-04-14,274,11,20,24,1,10,9,1,1,4,1,0,18,1,10,1,0,0,0
2013-04-15,491,27,35,23,5,66,11,2,0,1,5,0,0,0,0,0,0,0,0
2013-04-16,68,2,7,0,0,5,1,0,0,2,1,0,0,0,0,0,0,0,0
2013-04-17,2427,12,145,11,4,25,19,1,5,6,2,4,0,0,0,0,0,0,0
2013-04-18,1358,37,76,19,47,38,135,34,7,2,8,0,0,0,0,0,0,0,0
2013-04-19,248,36,39,14,93,19,77,13,0,0,16,0,0,0,0,0,0,0,0
2013-04-20,128,22,47,19,120,13,71,18,0,5,7,0,0,0,0,0,0,0,0
2013-04-21,200,66,18,34,127,5,42,18,0,0,3,4,0,0,0,0,1,0,0
2013-04-22,714,128,50,35,77,34,33,9,0,0,12,3,1,1,0,0,0,0,0
2013-04-23,410,51,49,40,66,20,17,11,2,2,3,0,0,1,0,1,0,0,0
2013-04-24,296,52,52,69,86,46,28,12,8,7,2,0,7,0,0,3,0,0,0
2013-04-25,298,38,41,55,3,10,8,2,2,8,3,2,8,2,0,2,0,0,0
2013-04-26,487,40,62,61,40,6,54,4,0,9,4,0,4,0,0,7,0,0,0
2013-04-27,204,34,4,32,0,1,7,0,1,2,0,0,27,0,2,0,0,0,0
2013-04-28,225,47,22,62,0,10,12,4,0,8,0,0,16,0,0,0,0,0,0
2013-04-29,187,38,78,33,40,12,94,2,2,4,10,0,7,0,1,4,0,0,0
2013-04-30,7,1,27,2,0,0,15,0,0,0,0,7,0,0,0,0,0,0,0
2013-05-01,172,13,19,35,20,13,10,2,3,1,1,0,1,2,0,0,0,0,0
2013-05-02,280,47,93,133,85,36,33,15,1,1,19,3,2,0,2,0,0,0,0
2013-05-03,289,30,64,33,12,20,5,2,3,0,9,4,0,0,0,0,0,0,0
2013-05-04,334,34,19,54,140,13,143,70,0,0,1,2,0,0,7,0,0,0,0
2013-05-05,523,54,41,59,440,18,588,293,0,0,5,3,0,0,2,0,0,0,0
2013-05-06,315,27,65,32,103,12,94,49,8,0,5,22,1,1,0,0,0,0,0
2013-05-07,40,4,13,6,0,1,0,0,0,0,4,4,0,0,1,0,0,0,0
2013-05-08,249,76,41,23,61,23,16,6,0,17,10,27,0,1,2,0,0,0,0
2013-05-09,454,172,29,80,141,30,71,12,0,46,2,1,0,0,0,0,0,0,0
2013-05-10,55,7,5,14,84,14,14,7,0,0,0,0,0,0,0,0,0,0,0
2013-05-11,248,31,33,97,444,41,77,37,3,0,1,6,0,0,0,0,0,0,0
2013-05-12,222,29,33,49,461,52,86,42,13,2,3,23,2,4,2,3,0,0,0
2013-05-13,468,105,44,88,338,74,61,29,3,4,1,2,1,1,1,1,0,0,0
2013-05-14,22,6,1,24,132,12,21,11,0,0,0,0,0,0,0,0,0,0,0
2013-05-15,151,74,14,42,360,46,118,30,2,1,0,5,0,0,0,0,0,0,0
2013-05-16,128,116,106,53,328,58,56,28,3,11,0,5,0,0,0,0,0,0,0
2013-05-17,197,63,28,32,372,61,66,31,2,1,5,0,0,0,0,0,0,0,0
2013-05-18,66,0,78,5,36,8,8,3,0,0,0,0,0,0,0,0,0,0,0
2013-05-19,87,0,8,11,0,2,0,3,0,0,0,2,0,0,4,0,0,0,0
2013-05-20,77,280,0,8,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0
2013-05-21,115,342,100,71,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2013-05-22,415,28,10,17,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0
2013-05-23,216,68,12,32,85,40,6,0,2,1,7,0,0,0,0,0,0,0,0
2013-05-24,114,9,20,6,34,20,6,0,0,2,2,1,0,0,0,0,0,0,0
2013-05-25,53,27,12,6,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0
2013-05-26,50,22,12,4,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0
2013-05-27,88,26,37,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-28,452,27,24,31,26,21,17,4,2,3,3,0,0,0,0,0,0,0,1
2013-05-29,214,7,42,42,9,30,0,4,3,18,4,1,0,4,0,2,0,0,0
2013-05-30,212,36,42,17,0,6,4,0,5,13,0,0,0,7,0,0,0,0,0
2013-05-31,117,39,25,6,0,7,1,0,0,0,3,0,0,0,0,0,0,0,0
2013-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-03,256,81,24,29,0,13,27,0,0,0,0,8,0,0,0,0,0,0,0
2013-06-04,237,62,37,24,0,15,3,0,0,5,2,3,0,0,0,0,0,0,0
2013-06-05,163,110,38,10,12,9,1,2,44,5,0,0,0,0,4,0,0,0,0
2013-06-06,206,328,42,21,0,6,10,2,39,0,1,0,0,0,3,0,0,0,0
2013-06-07,148,51,10,19,3,3,1,1,2,0,0,3,0,0,0,0,0,0,0
2013-06-08,67,65,12,1,0,0,6,0,0,6,2,0,0,0,0,0,0,0,0
2013-06-09,107,158,13,15,0,0,18,0,0,7,1,0,0,0,0,0,0,0,0
2013-06-10,563,154,19,25,6,16,29,2,0,1,4,0,0,0,1,0,0,0,0
2013-06-11,419,33,32,3,3,21,12,1,0,2,1,0,0,0,3,0,0,0,0
2013-06-12,243,18,62,42,0,11,19,3,33,2,0,0,0,0,0,0,0,0,0
2013-06-13,161,41,45,37,13,61,15,0,1,3,0,0,3,1,1,0,0,0,0
2013-06-14,151,18,24,76,16,5,6,0,3,0,1,4,0,0,0,0,0,0,0
2013-06-15,70,9,12,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-16,67,6,30,4,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-17,307,20,19,257,2,11,0,0,1,2,1,4,0,1,0,0,0,0,0
2013-06-18,283,54,46,148,0,22,12,0,0,5,0,0,0,0,1,0,0,0,0
2013-06-19,112,45,53,120,13,63,14,5,15,10,1,0,4,0,1,0,0,0,0
2013-06-20,191,63,35,6,27,18,0,1,0,2,0,0,2,0,13,0,0,0,0
2013-06-21,103,7,20,7,2,32,3,0,0,0,0,0,0,0,15,0,0,0,0
2013-06-22,89,1,14,113,0,21,0,0,0,1,0,0,0,0,1,0,0,0,0
2013-06-23,67,23,18,246,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0
2013-06-24,89,41,52,27,0,22,4,1,2,3,0,0,6,0,0,0,0,0,0
2013-06-25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-26,137,28,47,17,0,25,4,0,2,3,0,0,0,0,0,0,0,0,0
2013-06-27,128,79,53,32,0,5,3,0,6,8,2,0,0,0,0,1,0,0,0
2013-06-28,126,67,21,45,0,21,9,0,9,11,0,0,11,1,0,10,0,0,0
2013-06-29,49,36,0,14,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
2013-06-30,78,19,5,4,0,2,0,0,3,0,0,0,4,0,0,0,0,0,0
2013-07-01,183,35,14,146,1,9,3,44,17,2,2,12,0,0,0,2,0,0,0
2013-07-02,114,41,21,85,0,1,2,15,5,0,0,2,0,0,0,0,0,0,0
2013-07-03,176,19,58,42,0,24,21,34,6,0,0,0,0,0,0,4,0,0,0
2013-07-04,80,45,11,23,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0
2013-07-05,163,42,17,31,3,15,26,0,13,14,2,0,1,1,0,1,0,1,0
2013-07-06,85,24,21,9,0,5,0,0,6,3,0,0,0,0,0,0,0,0,0
2013-07-07,39,32,40,4,3,1,1,0,14,3,2,0,0,0,0,0,0,0,0
2013-07-08,133,32,81,70,0,6,1,0,3,0,1,5,0,1,0,0,0,0,0
2013-07-09,302,63,69,21,1,14,2,0,6,0,1,4,0,0,0,9,0,0,0
2013-07-10,225,76,37,52,1,12,1,0,3,0,0,1,0,0,0,8,0,0,0
2013-07-11,327,84,71,28,0,29,3,0,9,0,13,0,0,0,0,20,0,0,0
2013-07-12,276,36,37,95,0,12,11,0,0,0,0,2,0,0,0,7,0,0,0
2013-07-13,77,27,4,13,0,17,0,0,1,2,0,0,0,0,0,0,0,0,0
2013-07-14,222,30,16,20,0,9,1,0,0,0,0,2,0,0,0,0,0,0,0
2013-07-15,243,36,29,191,0,20,2,0,8,0,0,2,0,0,0,1,0,0,0
2013-07-16,197,86,84,102,1,13,5,0,5,5,11,0,0,0,0,0,0,0,0
2013-07-17,219,53,19,184,0,9,12,0,0,2,0,0,0,0,0,0,0,0,0
2013-07-18,274,54,25,58,7,25,3,0,9,11,8,0,2,0,0,0,0,0,0
2013-07-19,142,60,29,35,1,3,3,2,11,8,6,0,3,5,0,1,0,0,0
2013-07-20,96,6,20,26,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0
2013-07-21,104,41,61,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-22,408,69,31,65,0,21,3,0,4,1,24,0,0,0,0,0,0,0,0
2013-07-23,9,6,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-24,360,95,39,41,2,23,6,0,7,8,2,0,0,0,0,0,0,0,0
2013-07-25,230,393,19,61,0,33,42,0,11,0,25,0,5,0,0,0,0,0,0
2013-07-26,233,304,41,47,0,21,9,0,5,6,18,0,2,0,0,0,0,0,0
2013-07-27,130,47,4,45,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2013-07-28,69,56,37,8,1,5,4,0,2,1,0,0,0,0,0,0,1,0,0
2013-07-29,271,87,39,67,1,15,3,0,2,1,0,0,0,0,0,0,0,0,0
2013-07-30,47,45,11,5,0,4,1,0,2,1,1,0,0,0,0,0,0,0,0
2013-07-31,164,167,62,31,3,37,47,0,5,3,0,0,0,0,0,0,0,0,0
---------
