title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-COMET","Queue =  compute"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[10] Number of Jobs Submitted","[6] Number of Jobs Submitted","[12] Number of Jobs Submitted","[16] Number of Jobs Submitted","[5] Number of Jobs Submitted","[20] Number of Jobs Submitted","[32] Number of Jobs Submitted","[7] Number of Jobs Submitted","[24] Number of Jobs Submitted","[40] Number of Jobs Submitted","[72] Number of Jobs Submitted","[9] Number of Jobs Submitted","[18] Number of Jobs Submitted","[64] Number of Jobs Submitted","[30] Number of Jobs Submitted","[11] Number of Jobs Submitted","[25] Number of Jobs Submitted","[15] Number of Jobs Submitted","[42] Number of Jobs Submitted","[22] Number of Jobs Submitted","[14] Number of Jobs Submitted","[48] Number of Jobs Submitted","[21] Number of Jobs Submitted","[36] Number of Jobs Submitted","[50] Number of Jobs Submitted","[17] Number of Jobs Submitted","[13] Number of Jobs Submitted","[60] Number of Jobs Submitted","[70] Number of Jobs Submitted","[26] Number of Jobs Submitted","[19] Number of Jobs Submitted","[54] Number of Jobs Submitted","[71] Number of Jobs Submitted","[43] Number of Jobs Submitted","[33] Number of Jobs Submitted","[56] Number of Jobs Submitted","[28] Number of Jobs Submitted","[29] Number of Jobs Submitted","[51] Number of Jobs Submitted","[35] Number of Jobs Submitted","[65] Number of Jobs Submitted","[41] Number of Jobs Submitted","[58] Number of Jobs Submitted","[27] Number of Jobs Submitted","[52] Number of Jobs Submitted","[44] Number of Jobs Submitted","[67] Number of Jobs Submitted","[45] Number of Jobs Submitted","[34] Number of Jobs Submitted","[49] Number of Jobs Submitted","[55] Number of Jobs Submitted","[68] Number of Jobs Submitted","[23] Number of Jobs Submitted","[31] Number of Jobs Submitted","[38] Number of Jobs Submitted","[46] Number of Jobs Submitted","[37] Number of Jobs Submitted","[39] Number of Jobs Submitted","[57] Number of Jobs Submitted","[63] Number of Jobs Submitted","[66] Number of Jobs Submitted"
2015-08-20,1409,288,197,22,29,13,53,7,15,6,10,0,0,0,3,8,1,2,0,1,0,0,10,2,1,0,21,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-08-21,583,250,128,34,25,2,14,7,13,1,12,0,1,1,0,2,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,358,170,103,30,11,3,7,12,6,2,7,0,0,4,1,0,16,4,0,8,1,3,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,376,162,77,11,7,0,35,15,6,6,6,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,755,333,64,55,13,4,72,13,18,35,0,1,9,3,1,4,6,8,0,14,0,0,6,0,0,5,0,0,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,751,840,78,27,17,1,11,24,4,16,3,2,13,6,4,5,0,1,0,7,0,0,1,0,3,1,0,0,1,0,7,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,748,259,69,39,11,23,2,9,41,9,8,7,5,7,0,0,3,0,3,46,0,1,4,0,2,2,1,3,0,7,2,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-08-27,660,217,53,75,17,5,66,17,24,35,19,7,0,8,9,1,4,0,0,0,1,0,0,0,0,6,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,461,219,29,41,3,10,42,7,9,44,0,12,0,5,3,1,0,0,0,1,4,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,329,153,38,56,40,40,7,5,17,22,0,20,7,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-30,357,134,41,24,13,11,2,13,9,14,0,1,0,3,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-31,446,239,68,29,4,10,11,7,34,19,10,33,1,0,11,0,1,0,0,4,0,0,5,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-09-01,601,327,151,78,9,2,11,5,5,3,5,3,7,0,6,0,0,2,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,553,213,57,6,20,12,4,3,16,5,12,7,2,0,6,2,0,1,0,9,1,1,0,0,1,0,6,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,509,315,55,16,16,6,1,4,1,7,11,5,1,1,1,1,12,2,0,15,0,0,0,5,0,0,6,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,406,281,14,25,6,12,3,2,1,3,20,3,0,0,0,1,2,0,0,10,0,2,3,1,1,0,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-05,425,144,2720,10,2,4,1,1,6,1,0,2,0,1,1,0,5,1,5,0,10,0,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-06,212,172,1468,20,1,11,0,1,0,0,12,0,0,0,0,1,4,1,4,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-09-07,103,272,7,30,0,8,0,1,3,0,1,1,0,2,1,5,2,7,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-08,95,303,24,18,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,578,287,31,47,6,7,2,8,3,2,5,0,0,1,1,8,3,2,7,3,5,0,4,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-10,498,241,92,20,7,6,8,13,6,5,2,1,0,0,0,0,5,0,1,3,1,0,3,0,0,0,0,4,0,3,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,3406,261,258,41,3,14,3,3,6,7,2,2,0,3,0,4,0,0,2,0,3,0,6,7,0,0,2,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,483,171,276,8,4,17,10,13,2,0,4,0,0,0,0,3,1,0,5,1,4,0,1,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-13,3503,152,90,5,0,2,2,4,13,3,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,6147,337,44,21,18,16,8,20,15,2,2,0,0,0,2,2,0,1,0,2,1,3,3,0,0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,5714,418,144,29,3,8,8,8,24,14,13,0,0,1,0,2,0,0,3,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-16,7043,267,141,9,21,24,12,99,16,12,10,0,0,1,0,6,0,1,4,1,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,6837,231,117,36,6,16,8,7,7,5,9,5,0,2,19,2,0,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,2750,388,169,45,7,11,14,8,45,25,4,34,0,0,3,4,2,1,3,2,2,0,1,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2015-09-19,315,184,28,15,1,3,2,1,6,2,3,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-20,404,116,263,43,7,4,3,7,1,8,1,0,0,0,0,3,2,0,5,0,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-21,928,246,191,344,2,2,12,6,6,1,4,0,0,1,4,7,1,2,0,0,0,0,2,3,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-09-22,678,273,36,84,8,4,32,8,6,7,10,4,0,2,0,0,3,0,6,0,0,0,0,2,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-23,691,311,95,37,8,12,17,11,14,2,7,1,3,1,0,2,5,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-24,558,280,99,24,10,10,17,6,8,3,31,13,0,1,10,1,0,0,3,1,5,4,0,6,1,3,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-09-25,1211,221,74,7,7,4,10,11,1,6,9,1,0,1,13,2,2,0,5,0,2,4,0,9,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-26,207,95,7,3,8,2,3,11,1,7,3,0,0,0,0,1,12,0,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-27,383,100,131,9,5,4,3,4,8,3,3,11,0,0,0,0,7,0,17,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-28,379,285,46,18,13,4,27,13,7,7,2,2,0,2,16,4,0,0,17,0,1,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-29,521,287,46,24,10,27,13,12,4,14,5,9,0,0,4,1,0,0,5,0,1,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-30,643,272,32,70,8,13,13,8,9,5,7,1,1,0,0,1,0,0,1,1,0,0,1,0,4,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,1401,301,92,63,18,18,15,15,18,10,14,6,1,0,2,5,0,0,9,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-02,4031,195,137,52,39,23,16,13,16,4,3,5,0,4,14,5,8,0,8,3,3,0,0,2,6,17,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-03,3648,99,45,10,34,16,24,9,10,0,1,2,0,0,3,1,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-04,1929,170,81,8,17,6,6,2,6,0,0,15,0,2,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-05,1542,235,81,27,25,16,46,10,5,1,1,5,0,44,1,3,8,0,4,0,3,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-06,1187,438,139,16,39,86,16,18,6,3,0,2,0,4,5,1,9,0,2,0,1,0,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-07,1494,330,68,68,33,78,7,26,16,14,6,3,0,14,4,3,15,0,4,0,0,0,4,0,0,0,1,1,7,0,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08,2780,317,42,147,32,72,8,214,30,8,8,8,0,25,3,0,3,0,12,3,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2015-10-09,1686,370,60,50,36,13,8,16,8,7,5,8,0,22,3,2,1,0,10,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-10,1204,134,39,34,26,13,16,81,7,5,3,9,0,0,3,1,4,0,4,3,0,0,0,0,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-11,683,214,72,41,44,27,5,11,14,15,2,6,0,2,1,0,0,0,3,3,0,18,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-12,748,538,209,31,50,10,18,48,14,6,6,7,0,5,8,1,0,0,6,5,0,0,1,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-13,1647,425,251,71,29,10,51,139,13,18,2,12,0,22,1,7,2,0,4,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-14,3245,403,372,107,24,7,40,168,13,13,6,2,0,1,2,2,0,0,1,2,0,10,0,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-15,3359,398,362,93,14,3,34,34,13,2,5,4,1,5,0,2,5,2,1,1,0,5,3,2,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-16,681,320,93,46,12,6,97,12,8,22,2,5,2,1,0,1,4,11,4,1,0,2,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-17,1154,135,148,93,19,10,32,5,3,1,0,0,4,6,0,0,0,11,1,0,0,6,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-18,410,139,123,24,45,7,86,66,12,0,0,3,16,1,0,0,3,0,3,1,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-19,5502,317,65,69,23,9,54,166,21,7,1,3,4,2,0,0,0,1,3,0,0,10,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-20,4209,307,34,86,50,27,30,123,29,2,11,20,5,0,2,2,6,0,13,1,2,18,0,0,0,6,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-21,621,264,85,86,102,33,26,23,9,18,34,0,8,24,5,0,5,3,1,2,2,9,0,0,2,3,14,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-10-22,1178,321,32,56,58,25,41,20,21,11,21,4,1,3,1,0,11,0,0,1,4,0,1,11,0,7,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-23,1183,296,41,80,81,30,13,63,28,10,11,5,9,24,3,0,5,4,1,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-24,2374,132,46,35,35,22,6,4,11,2,8,5,0,5,3,1,0,3,2,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
