title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2013-08-01,2014-01-31
---------
Day,"[1] Number of Jobs Submitted","[4] Number of Jobs Submitted","[2] Number of Jobs Submitted","[16] Number of Jobs Submitted","[8] Number of Jobs Submitted","[6] Number of Jobs Submitted","[3] Number of Jobs Submitted","[5] Number of Jobs Submitted","[11] Number of Jobs Submitted","[10] Number of Jobs Submitted","[12] Number of Jobs Submitted","[9] Number of Jobs Submitted","[15] Number of Jobs Submitted","[14] Number of Jobs Submitted","[7] Number of Jobs Submitted","[13] Number of Jobs Submitted","[32] Number of Jobs Submitted","[20] Number of Jobs Submitted","[25] Number of Jobs Submitted","[18] Number of Jobs Submitted","[24] Number of Jobs Submitted","[27] Number of Jobs Submitted","[30] Number of Jobs Submitted","[61] Number of Jobs Submitted","[93] Number of Jobs Submitted","[107] Number of Jobs Submitted"
2013-10-25,173,54,46,72,35,52,4,3,0,1,2,0,1,0,0,0,2,0,1,1,1,1,1,0,0,0
2013-10-26,67,20,52,8,11,5,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2013-10-27,275,48,24,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-28,225,79,41,8,13,76,36,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-29,143,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-30,396,85,48,35,36,20,9,11,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-31,261,120,50,36,22,50,5,5,0,5,0,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0
2013-11-01,229,54,117,43,36,52,13,2,0,1,0,3,0,13,1,0,0,0,0,0,0,0,0,0,0,0
2013-11-02,126,84,36,19,40,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-03,120,41,29,26,31,44,23,4,0,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-04,197,28,21,49,31,21,87,27,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-11-05,250,50,99,93,62,31,21,23,0,3,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-11-06,277,56,41,95,31,57,3,7,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-07,350,80,27,67,44,14,10,11,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-08,340,89,30,75,88,5,26,5,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-09,181,60,2,7,25,3,11,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-10,330,39,8,21,29,8,3,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-11,672,62,72,73,62,15,31,6,0,3,7,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2013-11-12,377,77,104,39,29,26,12,25,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-11-13,602,56,108,148,29,21,14,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-14,517,65,151,160,27,13,9,4,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-15,412,69,85,119,19,12,8,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-16,231,98,23,25,19,15,9,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-11-17,170,67,32,29,22,8,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-11-18,333,76,95,43,30,9,0,23,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2013-11-19,503,68,115,28,35,20,10,23,15,7,18,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0
2013-11-20,398,26,57,109,58,16,18,11,5,12,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2013-11-21,421,46,72,126,44,12,8,5,0,5,1,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0
2013-11-22,241,72,39,76,56,5,1,15,0,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-23,225,38,8,13,21,6,5,2,0,0,1,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0
2013-11-24,229,47,25,138,34,21,6,12,0,12,1,21,11,3,0,0,4,0,0,0,0,0,0,0,0,0
2013-11-25,367,102,113,140,58,25,29,3,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-26,350,65,66,136,59,20,8,11,0,0,14,14,5,0,3,0,0,0,0,0,0,0,0,0,1,0
2013-11-27,318,119,103,69,112,3,4,2,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2013-11-28,155,24,7,109,36,0,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-29,103,18,17,85,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-30,93,37,57,52,28,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,136,30,42,32,19,1,1,1,1,8,1,4,14,1,6,1,0,0,0,0,0,0,0,0,0,0
2013-12-02,311,51,50,84,26,12,0,4,0,27,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-12-03,327,67,66,86,21,8,4,11,2,1,1,6,0,1,3,1,0,0,0,0,0,0,0,0,0,0
2013-12-04,381,43,71,97,57,8,5,35,3,7,7,7,0,2,15,3,0,0,0,0,0,0,0,0,0,0
2013-12-05,330,65,94,103,30,9,5,11,1,4,8,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0
2013-12-06,207,49,76,106,24,5,2,12,0,2,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-07,214,28,35,113,34,0,14,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-08,221,7,38,158,27,1,2,6,0,6,0,8,23,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-12-09,401,100,23,106,37,4,15,60,0,8,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-10,61,55,5,19,13,1,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-11,328,57,60,108,43,8,37,18,0,8,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-12,337,69,27,139,20,16,17,36,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-13,298,83,51,27,57,8,3,22,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-14,864,111,26,41,17,2,5,13,0,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-15,1265,1913,54,37,9,0,1,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-16,1491,342,46,121,49,9,6,2,0,13,9,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
2013-12-17,320,25,28,60,34,24,1,1,0,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-18,353,29,44,37,53,56,18,13,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-19,288,39,49,68,40,32,12,5,0,2,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0
2013-12-20,418,54,44,21,39,30,25,2,7,3,8,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-21,151,11,8,3,17,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-22,142,11,15,9,25,18,0,0,0,29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-23,192,76,32,2,47,25,6,3,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-24,197,40,6,28,41,11,8,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-25,105,10,9,1,30,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-26,161,14,12,5,10,12,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-27,117,51,27,7,37,20,18,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-28,74,27,5,11,13,18,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-12-29,79,32,9,13,13,12,9,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-30,112,45,24,21,17,6,18,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2013-12-31,68,31,22,23,22,1,13,0,0,7,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,86,27,10,7,13,1,9,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2014-01-02,204,59,18,27,29,20,38,2,0,0,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2014-01-03,213,90,46,43,43,14,40,0,0,0,2,15,8,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-01-04,130,10,10,32,22,17,49,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-05,193,6,26,65,22,13,31,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-01-06,281,26,94,96,30,12,6,0,0,0,5,20,7,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-01-07,277,41,75,53,17,7,15,9,0,5,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-08,407,39,109,51,49,18,83,14,0,2,2,6,7,0,1,2,0,0,0,0,0,0,0,0,0,0
2014-01-09,254,55,62,57,19,2,19,2,0,2,2,1,6,1,0,4,0,0,0,0,0,0,0,0,0,0
2014-01-10,328,78,58,40,4,26,42,5,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,191,51,70,9,4,14,31,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-12,109,23,28,20,9,24,31,0,0,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-01-13,329,25,43,61,36,63,63,2,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-14,409,64,77,78,39,20,62,9,0,5,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2014-01-15,373,84,52,80,60,50,68,9,1,6,3,17,1,17,2,1,0,0,0,0,0,0,0,0,0,0
2014-01-16,544,31,103,60,27,26,79,9,0,0,0,25,2,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-01-17,407,55,68,70,50,30,40,10,0,1,3,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2014-01-18,126,36,58,15,22,0,52,2,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,160,48,67,6,4,1,90,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0
2014-01-20,235,24,53,51,37,3,90,1,0,12,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0
2014-01-21,100,1,3,24,6,1,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,302,42,55,70,49,1,16,2,1,3,0,1,6,0,0,8,0,0,0,0,0,0,0,0,0,0
2014-01-23,200,36,56,86,40,0,13,2,0,2,7,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0
2014-01-24,254,23,32,123,96,26,32,3,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-01-25,100,9,19,106,52,4,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,133,9,30,72,65,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-27,266,24,31,37,47,11,17,3,1,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-28,203,24,43,88,32,3,12,0,0,15,0,11,0,1,1,1,2,0,0,0,0,0,0,0,0,0
2014-01-29,205,38,26,53,50,3,15,8,0,28,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-30,313,28,67,36,34,4,36,8,0,15,3,3,3,8,0,2,0,0,0,0,0,0,0,0,0,0
2014-01-31,179,19,20,52,23,11,26,3,0,5,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
---------
