title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Submitted","[16] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[6] Number of Jobs Submitted","[5] Number of Jobs Submitted","[12] Number of Jobs Submitted","[10] Number of Jobs Submitted","[7] Number of Jobs Submitted","[14] Number of Jobs Submitted","[9] Number of Jobs Submitted","[13] Number of Jobs Submitted","[15] Number of Jobs Submitted","[11] Number of Jobs Submitted","[21] Number of Jobs Submitted","[28] Number of Jobs Submitted","[64] Number of Jobs Submitted","[17] Number of Jobs Submitted","[22] Number of Jobs Submitted","[23] Number of Jobs Submitted","[26] Number of Jobs Submitted","[32] Number of Jobs Submitted","[46] Number of Jobs Submitted"
2015-03-28,238,158,86,51,62,2,0,1,2,0,10,1,1,0,2,0,0,0,0,0,0,0,0,0,0
2015-03-29,218,109,58,46,64,1,14,3,2,4,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,499,93,108,129,81,19,10,11,1,0,9,10,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-03-31,66,31,35,27,22,7,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
2015-04-01,399,67,141,61,53,22,16,15,8,0,2,10,4,0,1,0,0,0,0,0,0,0,0,0,0
2015-04-02,316,87,101,70,65,32,14,16,5,1,8,5,0,1,1,0,0,0,0,0,0,0,0,0,0
2015-04-03,341,107,74,81,94,24,8,5,5,7,4,8,2,0,0,1,0,0,0,0,0,0,0,0,0
2015-04-04,160,49,73,84,53,6,6,10,5,6,10,8,1,2,1,0,0,0,0,0,0,0,0,0,0
2015-04-05,196,84,67,33,48,8,24,3,5,6,1,6,3,0,1,0,0,0,0,0,0,0,0,0,0
2015-04-06,515,86,143,98,91,18,27,19,13,2,10,2,0,1,5,0,0,0,0,0,0,0,0,0,0
2015-04-07,567,122,163,132,115,13,44,11,11,6,6,1,2,2,6,0,0,0,0,0,0,0,0,0,0
2015-04-08,506,120,184,108,49,20,29,5,5,4,7,5,5,0,6,0,0,0,0,0,0,0,0,0,0
2015-04-09,352,82,119,91,42,23,6,4,4,7,7,4,4,2,5,0,0,0,0,0,0,0,0,0,0
2015-04-10,301,97,107,71,74,16,10,5,4,3,2,2,1,0,4,0,0,0,1,0,0,0,1,0,0
2015-04-11,191,102,58,73,54,0,46,0,0,0,0,0,13,0,1,2,0,0,0,0,0,0,0,0,0
2015-04-12,222,87,34,85,51,3,5,10,5,5,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2015-04-13,522,68,97,58,53,1,17,2,2,9,7,0,7,0,1,7,0,0,0,0,0,0,0,0,0
2015-04-14,354,76,91,125,89,14,13,6,6,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-04-15,578,85,146,102,48,11,2,1,9,26,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-16,788,83,106,76,42,10,15,0,16,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2015-04-17,440,96,85,87,57,5,13,1,2,5,4,0,1,0,12,0,0,0,0,0,0,0,0,0,0
2015-04-18,186,123,78,63,37,6,7,3,9,1,8,0,8,0,0,3,0,0,0,0,0,0,0,0,0
2015-04-19,233,90,117,70,57,7,6,10,12,14,7,0,5,0,0,5,0,0,0,0,0,0,0,0,0
2015-04-20,317,100,93,93,58,13,7,7,18,6,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-21,462,55,61,84,59,11,10,0,2,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-22,15,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23,418,77,31,61,42,9,21,10,3,4,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
2015-04-24,404,110,71,75,39,32,23,1,1,6,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0
2015-04-25,177,77,14,41,7,2,68,0,0,0,6,0,4,0,3,0,0,0,0,0,0,0,0,0,0
2015-04-26,127,55,26,19,26,9,49,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,312,27,71,42,60,8,14,0,3,24,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0
2015-04-28,57,10,12,20,12,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-29,353,91,116,43,48,11,13,3,4,1,3,1,4,2,2,1,0,0,0,0,0,0,0,0,0
2015-04-30,329,59,131,58,33,27,14,2,9,2,4,12,6,0,5,0,0,0,0,0,0,0,0,0,0
2015-05-01,299,90,115,59,70,7,34,11,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2015-05-02,120,58,76,34,50,4,28,3,1,2,6,2,0,5,0,0,0,0,0,0,0,0,0,0,0
2015-05-03,176,70,44,43,31,12,10,3,3,1,7,2,1,0,1,0,0,0,0,0,0,0,0,0,0
2015-05-04,303,81,80,60,38,14,10,6,4,4,7,1,0,2,2,4,0,0,0,0,0,0,0,0,0
2015-05-05,365,66,97,86,47,16,17,9,0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2015-05-06,413,83,68,77,40,16,23,6,5,2,8,2,3,8,1,0,0,0,0,0,0,0,0,0,0
2015-05-07,589,76,69,77,56,13,31,11,2,5,6,2,2,6,5,0,1,0,0,0,0,0,0,0,0
2015-05-08,521,76,65,53,37,5,4,6,21,2,3,1,1,2,7,0,0,0,0,0,0,0,0,0,0
2015-05-09,374,85,51,36,15,2,2,0,1,0,20,6,6,0,6,0,0,0,0,0,0,0,0,0,0
2015-05-10,386,63,62,93,30,8,2,4,0,1,12,8,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-11,657,117,126,145,48,14,10,8,4,3,11,2,14,0,2,0,0,2,0,0,0,0,0,0,1
2015-05-12,902,110,161,66,40,26,9,3,6,3,3,2,6,2,7,0,0,0,0,0,0,0,0,0,0
2015-05-13,673,80,119,59,35,17,4,4,15,1,2,1,5,2,4,0,0,0,0,0,0,0,0,0,0
2015-05-14,431,61,90,54,40,19,11,5,7,2,4,1,3,4,0,0,0,0,0,0,0,0,0,0,0
2015-05-15,489,57,157,59,63,6,14,30,9,2,0,4,8,16,3,0,0,0,0,0,0,0,0,0,0
2015-05-16,46,12,19,27,12,5,7,4,3,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,127,34,37,48,62,21,6,1,9,2,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0
2015-05-18,357,62,80,63,68,27,19,17,9,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-19,427,103,119,104,79,21,4,4,7,16,0,5,6,0,3,5,0,0,0,0,0,0,0,0,0
2015-05-20,370,98,77,78,56,5,2,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-21,348,67,63,34,65,45,5,10,4,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
2015-05-22,318,52,139,47,62,6,5,7,2,1,5,1,4,0,4,0,0,0,0,0,0,0,0,0,0
2015-05-23,228,22,60,33,53,5,0,3,21,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,214,48,44,17,63,18,0,0,21,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-05-25,496,71,58,67,43,13,1,0,17,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-26,483,82,71,41,66,10,19,0,4,3,9,3,1,0,3,0,0,0,0,0,0,0,0,0,0
2015-05-27,356,75,97,34,38,4,24,3,3,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
2015-05-28,322,97,161,65,55,19,4,3,2,2,3,1,5,1,3,0,0,0,0,0,0,0,0,0,0
2015-05-29,240,85,80,79,65,3,3,1,4,2,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0
2015-05-30,114,40,29,42,78,10,6,2,0,0,2,1,8,7,1,0,0,0,0,0,0,0,0,0,0
2015-05-31,226,56,31,23,76,9,7,3,1,0,4,1,9,1,1,0,0,0,0,0,0,0,0,0,0
2015-06-01,287,66,74,73,71,15,6,0,2,4,3,0,5,0,3,0,0,0,0,0,0,0,0,0,0
2015-06-02,74,17,18,14,6,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-03,338,86,73,56,74,12,9,1,1,27,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2015-06-04,362,80,104,60,54,12,5,6,0,7,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-06-05,386,80,132,69,100,11,1,1,6,0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0
2015-06-06,132,62,51,48,14,10,10,2,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,133,52,64,26,41,9,9,0,1,2,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,269,67,77,64,37,13,18,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,348,89,151,66,53,19,10,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0
2015-06-10,415,124,119,76,57,24,10,2,0,0,7,1,2,0,2,0,0,0,0,0,0,0,0,0,0
2015-06-11,312,82,118,78,41,17,11,0,0,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0
2015-06-12,251,86,130,78,53,32,18,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-13,91,108,58,44,22,1,7,20,13,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0
2015-06-14,131,91,122,25,56,9,21,2,5,1,0,18,1,0,1,0,0,0,0,0,0,0,0,0,0
2015-06-15,313,109,128,51,52,4,35,3,2,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-16,301,134,142,60,17,6,23,27,4,2,2,6,3,0,3,0,1,0,0,0,1,1,0,0,0
2015-06-17,334,105,127,60,37,5,5,9,3,1,1,7,3,0,4,0,0,0,0,0,0,0,0,0,0
2015-06-18,236,124,138,64,16,3,0,6,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
2015-06-19,304,98,118,47,43,11,3,0,1,1,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-06-20,127,141,73,37,36,2,1,2,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-21,142,75,95,42,42,3,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2015-06-22,350,101,71,58,73,12,7,5,1,0,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0
2015-06-23,379,84,81,73,101,8,7,0,0,1,1,4,7,0,1,0,0,0,0,0,0,0,0,0,0
2015-06-24,324,116,89,56,90,19,10,1,1,4,5,4,8,0,1,0,0,0,0,0,0,0,0,0,0
2015-06-25,393,95,81,62,78,12,3,4,0,10,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0
2015-06-26,271,70,79,42,45,12,1,1,0,0,0,7,0,0,4,4,0,0,0,0,0,0,0,0,0
2015-06-27,346,61,38,41,26,3,4,2,1,3,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0
2015-06-28,343,35,57,53,46,8,7,1,1,2,1,2,6,0,1,1,0,0,0,0,0,0,0,0,0
2015-06-29,317,134,112,67,97,28,17,11,3,15,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,545,111,137,71,70,17,7,2,14,8,1,6,1,0,4,4,0,0,0,0,0,0,0,0,0
2015-07-01,507,133,143,94,66,12,5,9,3,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-07-02,286,135,94,60,53,8,4,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-03,208,175,51,54,32,8,12,8,0,5,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0
2015-07-04,101,199,19,38,25,26,7,10,0,3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-05,121,294,26,52,9,7,10,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-07-06,263,230,110,76,46,6,22,5,1,6,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0
2015-07-07,242,166,111,44,40,3,5,4,11,12,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-07-08,244,136,78,47,70,11,19,0,17,7,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-09,281,161,88,47,69,17,20,4,24,23,0,6,0,2,6,0,0,0,0,0,0,0,0,0,0
2015-07-10,364,218,83,81,57,31,12,19,7,3,1,11,6,0,1,1,0,0,0,0,0,0,0,0,0
2015-07-11,146,305,62,74,21,17,4,24,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,178,298,36,69,53,19,7,12,0,7,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-13,316,178,99,39,65,10,22,4,2,15,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-07-14,51,42,51,5,7,0,2,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-15,380,202,149,93,42,20,20,6,3,13,10,5,3,5,3,0,0,0,0,0,0,0,0,0,0
2015-07-16,435,97,72,68,38,14,8,10,13,0,2,4,10,1,1,0,0,0,0,0,0,0,0,0,0
2015-07-17,296,65,134,46,18,14,10,6,17,3,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0
2015-07-18,144,45,96,25,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-19,191,34,16,10,32,0,0,12,0,0,3,0,3,1,4,0,0,0,0,0,0,0,0,0,0
2015-07-20,384,217,56,63,27,6,36,8,11,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-07-21,335,189,58,79,27,12,4,7,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2015-07-22,338,148,93,73,41,3,9,5,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-23,261,68,58,63,42,15,11,2,6,2,1,10,0,1,3,0,0,0,0,0,0,0,0,0,0
2015-07-24,289,99,93,40,73,3,5,11,5,2,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0
2015-07-25,146,68,80,11,16,5,0,4,5,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0
2015-07-26,119,47,63,13,28,10,2,7,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-07-27,246,57,104,64,42,4,3,9,15,1,3,1,0,2,0,2,0,0,0,0,0,0,0,0,0
2015-07-28,211,101,131,86,50,8,5,5,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-29,241,81,100,63,69,9,7,5,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-30,327,94,90,94,69,25,4,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-31,214,74,69,45,51,12,9,2,2,1,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0
---------
