title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-COMET","Queue =  compute"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[10] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[6] Number of Jobs Submitted","[16] Number of Jobs Submitted","[12] Number of Jobs Submitted","[5] Number of Jobs Submitted","[20] Number of Jobs Submitted","[32] Number of Jobs Submitted","[24] Number of Jobs Submitted","[9] Number of Jobs Submitted","[60] Number of Jobs Submitted","[25] Number of Jobs Submitted","[64] Number of Jobs Submitted","[15] Number of Jobs Submitted","[18] Number of Jobs Submitted","[22] Number of Jobs Submitted","[72] Number of Jobs Submitted","[7] Number of Jobs Submitted","[30] Number of Jobs Submitted","[11] Number of Jobs Submitted","[36] Number of Jobs Submitted","[40] Number of Jobs Submitted","[50] Number of Jobs Submitted","[43] Number of Jobs Submitted","[14] Number of Jobs Submitted","[48] Number of Jobs Submitted","[13] Number of Jobs Submitted","[17] Number of Jobs Submitted","[42] Number of Jobs Submitted","[70] Number of Jobs Submitted","[62] Number of Jobs Submitted","[21] Number of Jobs Submitted","[34] Number of Jobs Submitted","[45] Number of Jobs Submitted","[54] Number of Jobs Submitted","[26] Number of Jobs Submitted","[35] Number of Jobs Submitted","[28] Number of Jobs Submitted","[46] Number of Jobs Submitted","[33] Number of Jobs Submitted","[38] Number of Jobs Submitted","[27] Number of Jobs Submitted","[56] Number of Jobs Submitted","[19] Number of Jobs Submitted","[65] Number of Jobs Submitted","[23] Number of Jobs Submitted","[41] Number of Jobs Submitted","[63] Number of Jobs Submitted","[31] Number of Jobs Submitted","[44] Number of Jobs Submitted","[49] Number of Jobs Submitted","[55] Number of Jobs Submitted","[37] Number of Jobs Submitted","[53] Number of Jobs Submitted","[52] Number of Jobs Submitted","[61] Number of Jobs Submitted","[29] Number of Jobs Submitted","[39] Number of Jobs Submitted","[47] Number of Jobs Submitted","[68] Number of Jobs Submitted","[66] Number of Jobs Submitted","[57] Number of Jobs Submitted","[58] Number of Jobs Submitted","[59] Number of Jobs Submitted","[67] Number of Jobs Submitted"
2016-02-22,885,381,30,886,26,49,1,14,4,10,7,10,2,4,0,0,1,3,0,1,5,0,4,3,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-23,3631,437,35,37,7,16,14,7,5,13,7,1,1,2,0,5,1,1,0,4,0,0,3,2,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-24,5400,479,24,76,62,25,5,21,21,16,2,25,0,1,2,21,1,1,0,7,0,2,2,1,0,0,1,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-25,2002,373,10,31,5,18,2,15,8,10,0,0,0,2,0,3,1,1,0,6,11,0,1,1,0,6,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-26,617,301,25,79,36,34,16,26,15,6,2,14,2,0,0,3,1,3,0,1,3,0,0,0,0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-27,480,305,1,27,24,29,7,7,15,28,6,1,2,0,0,5,0,1,0,2,8,1,2,2,4,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-28,750,333,9,61,21,34,1,13,12,15,0,0,1,0,0,0,4,0,0,3,18,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-29,1391,561,22,34,35,55,10,26,46,13,3,4,66,0,2,6,1,0,0,2,10,3,0,4,0,4,1,0,1,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,765,435,20,71,77,45,5,33,26,15,9,33,0,11,0,1,1,15,0,5,28,0,0,3,0,1,4,1,0,0,0,2,0,6,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-02,652,319,12,81,32,97,7,15,19,10,11,8,39,0,1,1,0,10,0,0,9,1,0,5,0,3,3,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-03,2099,291,13,125,43,34,7,26,9,18,15,2,3,5,0,3,2,0,0,4,11,0,2,15,0,5,6,0,0,2,0,1,0,0,0,0,3,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-04,431,360,5,73,39,24,5,32,5,17,5,36,1,1,1,1,0,0,0,1,14,0,0,2,0,3,18,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-05,443,307,5,96,22,47,20,30,12,9,2,0,2,3,4,0,1,0,0,1,0,0,0,0,17,6,4,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-06,805,252,6,62,47,150,4,20,10,13,10,0,3,4,4,1,0,0,0,11,0,0,0,1,5,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-07,664,358,51,172,90,35,15,39,21,17,33,38,4,1,5,2,0,0,0,9,0,0,0,1,6,9,7,0,1,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-08,605,295,34,38,53,34,2,23,82,11,9,2,3,9,10,9,4,3,1,9,3,0,2,1,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-03-09,863,323,1,77,30,215,30,42,82,5,6,6,5,5,0,13,1,10,7,7,11,0,1,2,8,12,0,0,0,2,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-10,671,609,10,21,70,81,3,13,16,15,18,12,0,16,2,9,1,3,3,14,5,0,0,0,7,1,0,0,1,1,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-11,619,180,2,28,39,26,1,15,40,19,16,0,1,33,0,4,0,2,0,5,2,0,3,0,11,1,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-12,254,214,0,52,115,89,2,7,2,5,0,0,0,3,0,11,0,2,0,0,0,0,2,1,10,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-13,131,33,0,10,9,7,0,4,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-14,920,302,27,61,11,57,6,35,16,10,0,9,4,0,2,0,0,28,6,19,2,0,2,3,4,3,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-15,1250,479,16,101,33,26,7,17,13,4,11,5,5,4,1,9,0,4,9,7,2,2,2,1,0,1,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2016-03-16,1440,551,27,43,28,120,5,22,62,1,3,5,6,6,2,10,3,8,5,14,2,2,4,1,11,6,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-03-17,613,422,18,34,34,103,11,20,64,7,17,16,1,10,12,0,10,18,1,6,8,0,7,4,3,5,5,2,0,1,0,0,0,5,0,2,0,2,0,11,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-18,827,890,8,22,11,209,3,19,24,9,7,12,6,9,2,0,0,16,4,1,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-19,607,642,0,28,17,68,2,17,4,26,0,0,2,3,0,0,0,16,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-20,1773,236,3,4,6,75,2,22,2,22,8,0,5,4,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-21,1516,350,7,87,14,33,7,23,16,9,4,2,6,4,1,13,5,5,2,1,1,0,1,0,0,0,0,2,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-22,2715,446,11,704,27,43,13,41,17,31,14,5,10,0,2,2,3,7,0,2,2,12,0,5,0,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-23,1651,483,3,100,18,18,5,32,2,3,2,3,0,2,10,7,1,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-24,1641,316,10,1989,15,43,5,23,8,24,3,4,0,0,13,2,2,9,0,0,5,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,14,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-25,1071,302,11,5031,26,36,3,33,5,7,1,9,5,4,1,2,0,0,3,0,0,1,1,0,0,6,0,3,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-26,855,202,4,283,8,15,0,9,16,2,2,12,0,2,1,1,1,2,4,0,1,7,0,0,0,5,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-27,2323,270,0,72,25,72,1,6,5,6,0,16,0,0,0,0,0,0,0,0,0,9,1,0,0,5,0,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-28,802,349,6,1100,48,60,10,24,9,15,2,26,3,3,7,1,3,3,6,3,0,1,1,1,0,5,0,1,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-29,622,416,9,56,36,191,18,15,12,14,4,24,1,0,1,0,0,1,12,2,2,1,0,0,0,5,0,4,1,3,0,0,0,3,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-30,957,366,9,37,9,64,21,22,2,19,11,3,9,0,1,0,0,7,24,0,0,4,0,0,0,7,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,341,347,24,45,43,42,19,18,9,20,4,1,8,10,15,0,0,13,22,0,4,8,0,7,0,2,0,1,8,0,7,5,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,1620,308,7,171,22,62,14,13,35,3,4,11,5,1,15,0,0,4,3,0,4,20,4,0,1,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-02,1087,181,7,83,18,36,3,11,5,14,6,1,3,0,7,4,0,10,27,0,2,0,3,0,1,3,2,1,0,1,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-04-03,455,200,4,16,16,19,2,7,6,3,6,1,0,1,3,0,0,4,19,1,0,5,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-04,634,308,10,33,34,52,25,24,37,39,9,14,10,11,32,0,7,8,18,9,0,7,3,9,0,1,3,0,8,0,7,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-05,728,418,7,56,29,127,37,32,36,11,2,4,0,3,19,10,6,5,35,4,1,3,2,1,0,4,0,4,2,7,2,2,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-04-06,670,490,5,52,36,40,10,17,79,7,1,4,0,1,18,14,15,3,9,6,5,0,1,0,0,3,0,1,0,3,0,5,18,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
2016-04-07,939,622,7,33,16,30,19,9,8,8,7,3,3,4,4,0,13,2,22,2,1,3,1,0,0,0,0,1,0,2,0,1,9,3,0,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-08,604,473,4,64,67,155,18,9,7,7,2,2,1,6,2,0,3,3,14,7,1,14,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-04-09,651,239,12,43,17,34,3,6,2,3,1,2,0,123,3,0,0,1,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-10,3043,300,2,78,41,40,7,13,10,4,1,3,10,12,8,1,3,4,1,3,0,0,2,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-11,1642,382,14,71,38,126,5,26,11,2,3,14,5,14,25,1,13,6,1,6,7,8,0,1,0,1,1,0,0,0,0,0,11,6,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-12,363,411,19,78,39,25,8,12,9,17,2,6,4,11,5,1,9,5,2,2,8,1,0,4,4,0,0,3,3,0,0,0,5,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-13,1182,452,57,20,18,107,2,24,60,16,6,9,2,18,4,2,1,2,6,1,7,3,0,0,7,0,0,0,11,0,0,0,3,4,0,3,0,1,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-14,854,312,28,63,19,19,25,22,11,8,3,2,4,5,9,0,0,0,39,5,0,0,0,0,13,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-15,975,243,29,75,15,18,20,18,21,11,8,7,6,3,20,2,2,11,51,2,5,2,0,1,6,3,1,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-16,659,168,2,37,19,12,15,4,25,9,7,9,0,19,2,0,0,41,104,0,0,0,1,0,1,1,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-17,305,268,24,317,27,20,12,5,79,0,3,5,0,82,2,0,0,27,1,4,0,8,1,0,6,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-18,985,569,25,95,57,31,24,11,30,7,2,6,2,0,8,7,2,20,0,1,3,0,0,1,3,2,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-19,446,711,22,30,12,13,26,13,22,22,16,12,2,5,2,7,5,5,5,0,1,1,2,0,4,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-20,839,848,47,67,67,14,21,9,105,18,8,3,5,1,2,8,1,1,11,1,2,0,0,2,8,4,0,2,0,2,0,0,0,0,0,0,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-21,558,665,23,44,63,19,18,19,17,32,3,4,3,1,2,0,3,0,8,0,7,3,1,0,11,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
