title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  normal"
start,end
2013-02-01,2013-07-31
---------
Day,"[1] Number of Jobs Submitted","[4] Number of Jobs Submitted","[2] Number of Jobs Submitted","[8] Number of Jobs Submitted","[16] Number of Jobs Submitted","[3] Number of Jobs Submitted","[64] Number of Jobs Submitted","[6] Number of Jobs Submitted","[9] Number of Jobs Submitted","[5] Number of Jobs Submitted","[32] Number of Jobs Submitted","[10] Number of Jobs Submitted","[20] Number of Jobs Submitted","[12] Number of Jobs Submitted","[31] Number of Jobs Submitted","[7] Number of Jobs Submitted","[256] Number of Jobs Submitted","[128] Number of Jobs Submitted","[36] Number of Jobs Submitted","[40] Number of Jobs Submitted","[30] Number of Jobs Submitted","[181] Number of Jobs Submitted","[15] Number of Jobs Submitted","[48] Number of Jobs Submitted","[24] Number of Jobs Submitted","[66] Number of Jobs Submitted","[25] Number of Jobs Submitted","[13] Number of Jobs Submitted","[100] Number of Jobs Submitted","[50] Number of Jobs Submitted","[60] Number of Jobs Submitted","[11] Number of Jobs Submitted","[14] Number of Jobs Submitted","[136] Number of Jobs Submitted","[18] Number of Jobs Submitted","[45] Number of Jobs Submitted","[192] Number of Jobs Submitted","[96] Number of Jobs Submitted","[200] Number of Jobs Submitted","[17] Number of Jobs Submitted","[63] Number of Jobs Submitted","[150] Number of Jobs Submitted","[80] Number of Jobs Submitted","[144] Number of Jobs Submitted","[250] Number of Jobs Submitted","[160] Number of Jobs Submitted","[22] Number of Jobs Submitted","[39] Number of Jobs Submitted","[120] Number of Jobs Submitted","[26] Number of Jobs Submitted","[132] Number of Jobs Submitted","[27] Number of Jobs Submitted","[61] Number of Jobs Submitted","[125] Number of Jobs Submitted","[21] Number of Jobs Submitted","[240] Number of Jobs Submitted","[54] Number of Jobs Submitted","[90] Number of Jobs Submitted","[101] Number of Jobs Submitted","[51] Number of Jobs Submitted","[162] Number of Jobs Submitted","[224] Number of Jobs Submitted","[28] Number of Jobs Submitted","[72] Number of Jobs Submitted","[135] Number of Jobs Submitted","[52] Number of Jobs Submitted","[75] Number of Jobs Submitted","[106] Number of Jobs Submitted","[35] Number of Jobs Submitted","[183] Number of Jobs Submitted","[104] Number of Jobs Submitted","[216] Number of Jobs Submitted","[105] Number of Jobs Submitted","[44] Number of Jobs Submitted","[49] Number of Jobs Submitted","[204] Number of Jobs Submitted","[169] Number of Jobs Submitted","[19] Number of Jobs Submitted","[34] Number of Jobs Submitted","[251] Number of Jobs Submitted","[41] Number of Jobs Submitted","[76] Number of Jobs Submitted","[153] Number of Jobs Submitted","[77] Number of Jobs Submitted","[130] Number of Jobs Submitted","[180] Number of Jobs Submitted","[23] Number of Jobs Submitted","[70] Number of Jobs Submitted","[156] Number of Jobs Submitted","[42] Number of Jobs Submitted","[252] Number of Jobs Submitted","[81] Number of Jobs Submitted","[151] Number of Jobs Submitted","[170] Number of Jobs Submitted","[171] Number of Jobs Submitted","[38] Number of Jobs Submitted","[108] Number of Jobs Submitted","[112] Number of Jobs Submitted","[208] Number of Jobs Submitted","[73] Number of Jobs Submitted","[29] Number of Jobs Submitted","[65] Number of Jobs Submitted","[123] Number of Jobs Submitted","[202] Number of Jobs Submitted","[139] Number of Jobs Submitted","[69] Number of Jobs Submitted","[225] Number of Jobs Submitted","[88] Number of Jobs Submitted","[94] Number of Jobs Submitted","[113] Number of Jobs Submitted","[127] Number of Jobs Submitted","[210] Number of Jobs Submitted","[220] Number of Jobs Submitted","[47] Number of Jobs Submitted","[196] Number of Jobs Submitted","[33] Number of Jobs Submitted","[58] Number of Jobs Submitted","[84] Number of Jobs Submitted","[102] Number of Jobs Submitted","[114] Number of Jobs Submitted","[121] Number of Jobs Submitted","[255] Number of Jobs Submitted","[37] Number of Jobs Submitted","[56] Number of Jobs Submitted","[78] Number of Jobs Submitted","[99] Number of Jobs Submitted","[140] Number of Jobs Submitted","[155] Number of Jobs Submitted","[161] Number of Jobs Submitted","[245] Number of Jobs Submitted","[55] Number of Jobs Submitted","[201] Number of Jobs Submitted","[165] Number of Jobs Submitted","[168] Number of Jobs Submitted","[67] Number of Jobs Submitted","[85] Number of Jobs Submitted","[93] Number of Jobs Submitted","[110] Number of Jobs Submitted","[116] Number of Jobs Submitted","[117] Number of Jobs Submitted","[142] Number of Jobs Submitted","[53] Number of Jobs Submitted","[68] Number of Jobs Submitted","[124] Number of Jobs Submitted","[203] Number of Jobs Submitted","[205] Number of Jobs Submitted","[213] Number of Jobs Submitted","[253] Number of Jobs Submitted","[43] Number of Jobs Submitted","[46] Number of Jobs Submitted","[57] Number of Jobs Submitted","[111] Number of Jobs Submitted","[133] Number of Jobs Submitted","[149] Number of Jobs Submitted","[185] Number of Jobs Submitted","[190] Number of Jobs Submitted","[197] Number of Jobs Submitted","[236] Number of Jobs Submitted","[241] Number of Jobs Submitted","[243] Number of Jobs Submitted","[71] Number of Jobs Submitted","[95] Number of Jobs Submitted","[118] Number of Jobs Submitted","[129] Number of Jobs Submitted","[138] Number of Jobs Submitted","[164] Number of Jobs Submitted","[187] Number of Jobs Submitted","[195] Number of Jobs Submitted","[234] Number of Jobs Submitted","[689] Number of Jobs Submitted","[720] Number of Jobs Submitted","[861] Number of Jobs Submitted","[1024] Number of Jobs Submitted","[91] Number of Jobs Submitted","[188] Number of Jobs Submitted"
2013-02-11,2428,91,146,48,30,16,15,7,0,5,16,4,0,11,0,0,2,15,0,2,1,5,16,1,0,0,0,0,0,1,1,0,3,18,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-12,151,14,115,42,26,2,13,5,0,0,8,9,3,0,0,0,7,7,0,2,0,6,0,0,0,0,1,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-13,337,329,244,123,152,31,63,33,7,34,52,11,10,27,0,1,34,79,0,4,4,2,18,0,1,0,24,5,0,0,0,3,1,4,3,0,0,4,0,16,0,0,0,0,0,0,4,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-14,2608,186,110,125,91,167,58,16,8,27,42,172,35,29,0,2,18,22,2,5,15,4,9,0,2,0,35,9,0,2,0,4,3,0,8,0,1,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-15,7560,729,444,67,114,111,34,47,4,56,40,8,8,19,0,0,20,10,0,4,3,9,12,1,3,0,21,12,0,2,0,0,1,0,4,0,1,0,0,1,0,1,6,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-16,7550,88,421,62,41,108,25,8,2,5,8,23,1,15,0,5,10,7,0,1,4,4,0,0,2,0,0,0,0,0,0,0,0,13,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-17,12474,62,1020,97,50,104,25,8,0,33,29,5,1,14,0,1,9,14,0,3,2,13,0,1,9,0,6,0,0,6,0,0,2,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-18,9979,112,889,100,114,225,12,31,4,41,20,30,4,20,0,4,12,5,2,18,4,15,1,2,8,0,1,3,7,1,0,5,1,0,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,1,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-19,7712,157,3798,127,95,198,24,21,5,45,20,20,18,13,0,0,8,2,0,2,2,23,11,1,2,0,17,11,5,1,0,7,0,0,4,2,2,0,1,2,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-20,1197,544,2650,167,83,128,27,17,4,18,13,16,15,18,0,1,11,3,0,0,0,16,15,1,3,0,0,16,0,7,0,3,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,18,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-21,413,313,9431,203,69,195,37,18,6,1,31,18,20,17,0,16,9,11,1,2,8,13,34,1,1,0,2,35,0,2,0,7,0,0,0,0,0,4,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-02-22,538,250,2448,145,72,225,27,60,4,17,35,39,14,44,0,10,4,3,0,2,24,15,2,4,2,0,0,13,0,4,0,4,1,11,1,40,0,3,0,2,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-23,2421,174,206,115,52,65,10,20,1,7,20,6,4,8,0,0,8,21,0,9,2,6,1,0,3,0,1,7,0,0,2,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
