title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  SDSC-COMET","Queue =  compute"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[10] Number of Jobs Submitted","[8] Number of Jobs Submitted","[3] Number of Jobs Submitted","[12] Number of Jobs Submitted","[6] Number of Jobs Submitted","[16] Number of Jobs Submitted","[5] Number of Jobs Submitted","[20] Number of Jobs Submitted","[32] Number of Jobs Submitted","[13] Number of Jobs Submitted","[72] Number of Jobs Submitted","[30] Number of Jobs Submitted","[40] Number of Jobs Submitted","[24] Number of Jobs Submitted","[64] Number of Jobs Submitted","[7] Number of Jobs Submitted","[25] Number of Jobs Submitted","[9] Number of Jobs Submitted","[60] Number of Jobs Submitted","[70] Number of Jobs Submitted","[43] Number of Jobs Submitted","[50] Number of Jobs Submitted","[45] Number of Jobs Submitted","[22] Number of Jobs Submitted","[28] Number of Jobs Submitted","[33] Number of Jobs Submitted","[48] Number of Jobs Submitted","[15] Number of Jobs Submitted","[62] Number of Jobs Submitted","[36] Number of Jobs Submitted","[14] Number of Jobs Submitted","[58] Number of Jobs Submitted","[11] Number of Jobs Submitted","[34] Number of Jobs Submitted","[53] Number of Jobs Submitted","[21] Number of Jobs Submitted","[29] Number of Jobs Submitted","[23] Number of Jobs Submitted","[41] Number of Jobs Submitted","[57] Number of Jobs Submitted","[61] Number of Jobs Submitted","[65] Number of Jobs Submitted","[49] Number of Jobs Submitted","[69] Number of Jobs Submitted","[37] Number of Jobs Submitted","[31] Number of Jobs Submitted","[17] Number of Jobs Submitted","[59] Number of Jobs Submitted","[56] Number of Jobs Submitted","[18] Number of Jobs Submitted","[27] Number of Jobs Submitted","[54] Number of Jobs Submitted","[52] Number of Jobs Submitted","[55] Number of Jobs Submitted","[68] Number of Jobs Submitted","[67] Number of Jobs Submitted","[19] Number of Jobs Submitted","[42] Number of Jobs Submitted","[44] Number of Jobs Submitted","[39] Number of Jobs Submitted","[63] Number of Jobs Submitted","[47] Number of Jobs Submitted","[66] Number of Jobs Submitted","[26] Number of Jobs Submitted","[35] Number of Jobs Submitted","[46] Number of Jobs Submitted","[51] Number of Jobs Submitted","[71] Number of Jobs Submitted","[38] Number of Jobs Submitted"
2015-05-21,300,257,55,9,17,30,13,3,25,0,4,0,0,0,4,6,5,1,0,0,0,14,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-22,599,219,42,12,38,5,2,1,13,2,3,0,0,0,2,2,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-23,186,82,43,30,11,46,11,2,3,2,0,0,0,0,4,0,5,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,152,86,24,74,15,12,8,0,2,2,0,0,0,0,4,2,2,0,2,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-25,286,190,50,39,5,23,13,0,0,3,0,0,0,1,12,0,0,0,0,0,0,8,0,1,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-26,362,231,63,50,10,44,17,0,6,4,13,0,0,0,2,7,1,0,0,1,0,7,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-27,504,193,56,44,8,43,1,1,42,4,14,0,0,17,5,1,6,2,0,1,0,5,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-28,348,333,41,32,4,49,3,2,6,4,7,0,0,46,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-29,500,279,54,24,25,42,1,4,6,3,2,1,0,10,1,0,0,0,0,1,0,1,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-30,291,170,32,11,5,21,5,0,3,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-31,392,148,35,30,19,8,14,1,2,4,0,7,0,16,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-06-01,678,216,84,24,22,44,12,0,6,1,9,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-02,700,239,72,20,21,73,272,4,7,4,15,4,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-03,1063,369,47,30,55,27,197,16,28,7,9,6,0,0,0,5,0,6,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-04,551,318,153,33,39,31,54,5,13,3,12,1,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-05,689,322,103,53,26,25,2,14,5,13,4,4,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-06,295,225,120,20,36,39,5,30,7,27,3,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,503,140,72,23,27,13,4,24,8,40,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,435,170,113,36,46,44,10,78,42,95,0,7,2,2,0,2,5,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,310,71,158,15,45,6,11,29,34,9,2,4,0,12,3,4,3,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-10,460,84,146,27,110,2,7,60,33,21,3,8,42,16,0,7,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-11,762,126,284,24,30,33,6,55,3,45,1,3,1,1,0,12,2,0,20,0,3,0,0,0,0,0,4,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-12,333,124,200,50,26,43,11,11,17,4,12,1,39,1,6,10,0,6,4,0,4,0,0,0,0,0,5,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-13,378,9,160,31,7,0,3,1,2,2,0,1,50,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,372,136,179,19,9,6,9,6,1,25,0,2,22,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-15,709,85,610,402,20,13,10,26,13,41,4,1,18,10,0,0,0,0,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-16,503,47,321,83,31,8,18,13,13,7,7,0,2,2,0,0,0,1,2,8,0,0,8,1,0,0,0,0,8,0,0,8,0,2,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-17,233,38,170,40,34,6,36,28,17,0,2,5,21,5,4,1,5,17,5,6,3,5,7,1,2,5,2,0,11,4,1,4,3,3,11,4,8,8,2,1,9,3,7,6,2,3,4,3,3,2,8,0,4,2,2,1,4,0,4,5,5,2,0,3,3,2,4,4,1,2,2,1
2015-06-18,330,44,204,51,23,41,12,37,9,6,6,9,1,8,4,3,13,7,5,5,7,3,2,7,5,7,1,10,2,7,7,2,4,5,6,4,5,4,4,5,5,6,2,3,4,5,4,4,0,1,4,3,3,2,1,1,4,2,4,6,4,2,10,5,4,4,2,2,5,4,1,2
2015-06-19,503,85,191,27,41,36,14,24,13,3,3,5,37,2,1,0,55,2,0,1,0,0,3,0,2,4,1,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-20,518,45,132,12,16,1,1,16,5,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-21,317,50,113,29,45,2,2,19,5,7,5,0,17,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-22,552,30,96,75,22,18,16,11,8,7,7,3,4,8,1,4,1,2,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-23,768,98,104,53,27,8,13,12,10,19,4,3,1,5,1,2,1,1,0,0,0,4,9,0,5,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-24,729,102,80,67,28,4,14,23,17,4,58,16,0,5,1,1,1,1,0,7,0,2,2,0,5,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-25,471,97,73,39,46,6,10,27,10,1,35,22,15,12,0,0,7,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-26,467,43,31,98,22,2,14,13,15,13,28,1,0,2,0,0,1,4,1,3,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-27,86,28,61,32,12,33,3,12,11,0,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-28,139,13,26,89,23,5,3,8,12,8,22,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-29,326,66,111,27,35,7,4,13,9,0,12,11,0,1,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,375,49,141,75,32,30,16,9,7,16,11,0,14,5,0,0,2,0,3,14,14,0,1,0,0,14,0,0,14,0,0,0,0,0,0,0,0,14,14,14,0,14,14,14,14,14,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,461,75,468,21,16,1,71,8,7,1,11,1,0,3,8,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-02,482,171,317,1,25,21,3,15,8,2,21,19,1,7,2,0,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-03,249,237,152,7,7,5,46,8,5,0,7,4,10,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-04,280,53,58,7,36,3,1,13,23,0,6,34,1,0,4,0,2,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-05,158,33,93,14,60,5,1,11,5,5,2,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-06,403,29,336,9,35,11,5,33,4,0,10,3,5,1,0,2,1,2,0,0,0,0,3,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-07,1157,121,428,8,49,10,3,21,2,1,8,0,1,0,1,3,0,1,1,0,0,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-08,759,76,355,20,80,32,13,30,6,15,8,3,2,3,0,5,0,0,13,0,7,0,1,0,0,1,9,2,0,1,1,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-09,625,98,362,15,34,28,9,12,6,3,6,1,1,12,1,8,0,1,5,0,2,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-10,462,146,513,19,28,17,15,9,15,0,17,1,0,2,17,2,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-11,231,145,93,48,20,8,2,9,3,3,9,1,0,0,22,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,164,171,302,58,29,9,4,7,25,2,6,6,0,1,13,4,13,8,0,13,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-13,521,153,421,41,27,17,14,16,11,6,12,13,0,6,8,0,7,5,0,1,1,0,0,6,0,0,1,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-14,479,161,97,41,29,10,25,12,13,0,7,12,0,3,7,16,3,0,0,3,1,0,0,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-15,654,72,505,16,14,11,9,19,27,0,2,12,0,0,4,14,0,0,2,1,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-16,555,247,697,9,35,14,34,6,8,5,14,2,0,1,6,9,3,0,0,3,8,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-17,446,159,59,33,14,9,9,13,8,1,0,10,0,0,5,2,3,2,1,0,1,0,0,3,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-18,313,82,21,41,20,3,5,9,3,0,6,9,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-19,115,341,46,42,19,7,9,16,9,0,1,11,0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-20,874,159,59,41,24,3,19,13,8,1,0,12,0,1,12,1,0,0,2,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-21,549,245,19,8,17,2,56,13,8,1,5,1,0,1,8,2,0,0,3,7,0,1,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-22,900,255,19,32,13,21,6,11,2,1,0,2,0,0,9,0,2,1,0,3,0,0,0,7,0,0,5,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-23,190,191,37,18,10,7,0,0,8,5,2,0,0,3,18,1,0,4,0,5,0,0,4,3,2,0,5,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-24,699,167,392,21,34,17,10,2,8,1,5,0,0,1,14,4,6,0,3,0,8,1,0,5,0,1,2,0,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-25,443,92,19,68,17,7,9,16,17,13,3,11,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-26,444,137,71,70,21,3,10,9,5,13,3,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
