title
"Number of Jobs Submitted: by Node Count"
parameters
"Resource =  TACC-STAMPEDE","Queue =  development"
start,end
2015-08-01,2016-01-31
---------
Day,"[1] Number of Jobs Submitted","[16] Number of Jobs Submitted","[2] Number of Jobs Submitted","[4] Number of Jobs Submitted","[8] Number of Jobs Submitted","[6] Number of Jobs Submitted","[10] Number of Jobs Submitted","[3] Number of Jobs Submitted","[14] Number of Jobs Submitted","[5] Number of Jobs Submitted","[9] Number of Jobs Submitted","[12] Number of Jobs Submitted","[7] Number of Jobs Submitted","[15] Number of Jobs Submitted","[13] Number of Jobs Submitted","[11] Number of Jobs Submitted","[20] Number of Jobs Submitted","[48] Number of Jobs Submitted","[64] Number of Jobs Submitted","[80] Number of Jobs Submitted","[96] Number of Jobs Submitted","[25] Number of Jobs Submitted","[32] Number of Jobs Submitted","[60] Number of Jobs Submitted"
2015-09-02,304,118,111,40,51,8,6,13,17,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,4,13,11,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,236,131,63,29,17,4,14,5,4,3,3,1,0,4,1,4,0,0,0,0,0,0,0,0
2015-09-05,103,159,59,39,7,8,3,6,4,1,2,3,0,0,2,0,0,0,0,0,0,0,0,0
2015-09-06,145,94,46,21,33,14,3,0,13,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0
2015-09-07,299,119,34,34,21,16,3,2,27,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0
2015-09-08,439,244,97,69,44,37,3,18,14,25,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2015-09-09,353,153,80,40,26,21,10,7,5,2,2,11,0,3,0,0,0,0,0,0,0,0,0,0
2015-09-10,423,138,45,79,28,17,3,9,7,9,6,0,3,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,409,123,102,27,37,1,0,13,13,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,238,59,30,27,19,0,0,0,14,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-13,305,52,30,17,24,1,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,454,107,36,45,25,0,8,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,307,103,77,38,36,9,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-16,494,170,146,48,45,32,15,4,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2015-09-17,424,107,93,31,43,20,10,4,0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,414,67,70,11,43,1,21,3,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-09-19,164,44,29,10,2,0,4,2,0,1,0,14,0,0,0,2,0,0,0,0,0,0,0,0
2015-09-20,168,45,19,21,12,0,0,3,0,1,0,12,0,0,0,4,0,0,0,0,0,0,0,0
2015-09-21,551,102,68,59,75,36,45,6,0,12,0,1,0,2,0,1,0,0,0,0,0,0,0,0
2015-09-22,458,264,115,69,57,5,38,18,7,20,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2015-09-23,354,150,94,34,53,13,19,23,11,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-09-24,397,390,104,41,25,4,5,12,5,9,1,4,16,2,0,0,0,0,0,0,0,0,0,0
2015-09-25,567,274,118,22,25,24,3,2,10,11,2,0,0,5,0,0,0,0,0,0,0,0,0,0
2015-09-26,227,75,60,46,9,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-09-27,302,75,104,38,24,3,11,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-28,645,162,243,68,31,22,7,4,2,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0
2015-09-29,121,34,35,40,20,6,0,3,2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-30,291,74,75,76,32,8,3,3,2,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-10-01,213,50,45,51,11,15,6,1,3,23,12,3,0,0,0,1,0,0,0,0,0,0,0,0
2015-10-02,259,56,62,35,30,13,8,20,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-03,143,72,9,43,15,0,2,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
2015-10-04,184,49,8,28,24,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-10-05,251,47,73,58,21,10,52,14,0,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-06,317,78,55,58,86,11,25,11,2,8,14,5,1,0,0,0,0,0,0,0,0,0,0,0
2015-10-07,712,73,50,57,59,8,15,5,0,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0
2015-10-08,470,101,59,62,65,11,12,8,0,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0
2015-10-09,241,68,62,90,24,14,2,4,0,1,5,5,0,7,1,0,0,0,0,0,0,0,0,0
2015-10-10,172,55,16,20,7,12,1,14,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-11,73,11,11,9,11,2,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-12,371,73,69,73,42,3,4,7,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-13,765,100,95,99,45,12,4,14,0,8,8,3,1,0,0,0,0,0,0,0,0,0,0,0
2015-10-14,476,79,52,94,20,13,2,2,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-15,415,91,90,85,28,2,3,9,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-10-16,563,61,129,51,46,19,2,11,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-10-17,254,44,41,46,10,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-18,525,19,35,28,10,0,11,3,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015-10-19,291,78,75,54,23,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-20,264,74,41,69,20,10,8,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-21,525,82,107,99,38,7,23,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-22,552,88,136,52,67,9,4,19,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0
2015-10-23,559,98,139,52,61,17,1,15,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-10-24,79,51,16,34,56,4,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-25,344,67,19,44,23,15,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-10-26,670,110,42,84,14,4,3,13,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2015-10-27,532,98,29,70,39,34,1,39,5,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0
2015-10-28,479,45,74,117,39,45,7,25,4,5,2,1,4,1,0,2,0,0,0,0,0,0,0,0
2015-10-29,547,36,51,60,27,33,2,19,3,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2015-10-30,396,73,41,49,30,17,1,6,4,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-31,274,86,34,9,12,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-11-01,218,113,20,24,2,21,5,2,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-02,630,87,34,58,18,26,0,3,6,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-03,80,32,5,22,10,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-04,416,66,16,86,42,18,4,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-05,712,99,32,91,42,9,3,0,2,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-11-06,500,51,54,60,37,9,1,14,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2015-11-07,141,49,48,45,10,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-08,191,31,28,93,12,0,1,16,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-09,451,88,70,78,29,22,12,4,1,0,2,7,4,0,1,0,0,0,0,0,0,0,0,0
2015-11-10,357,110,72,35,34,8,8,6,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-11-11,303,245,46,38,21,20,15,4,9,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-11-12,259,197,100,45,36,31,8,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-13,383,93,70,49,44,53,5,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-11-14,352,98,30,43,23,71,5,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2015-11-15,620,89,56,85,18,15,0,2,5,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0
2015-11-16,394,85,89,71,36,16,19,8,3,0,4,2,3,0,5,0,0,0,0,0,0,0,0,0
2015-11-17,288,98,63,66,34,36,17,3,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-18,208,111,44,47,23,32,15,10,5,1,5,2,3,2,0,0,0,0,0,0,0,0,0,0
2015-11-19,229,72,42,51,17,25,8,14,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2015-11-20,246,46,54,41,26,15,6,10,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0
2015-11-21,144,57,57,24,26,4,1,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-11-22,180,32,75,17,32,3,5,16,10,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2015-11-23,489,49,56,33,31,3,15,5,2,0,5,1,3,2,0,1,0,0,0,0,0,0,0,0
2015-11-24,233,104,77,69,17,3,11,6,3,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0
2015-11-25,184,86,67,63,10,2,12,6,3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0
2015-11-26,103,46,53,19,10,0,3,0,6,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-11-27,98,61,17,11,10,3,0,1,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-11-28,138,86,15,11,25,8,1,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-29,184,71,19,27,13,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-30,228,106,57,40,28,16,4,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,267,92,78,62,27,21,9,12,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-02,287,133,64,36,26,20,7,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015-12-03,222,66,87,34,44,22,7,7,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-04,213,84,110,53,54,28,20,8,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-05,180,138,38,58,56,1,0,1,13,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0
2015-12-06,242,128,81,34,53,3,3,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-07,271,105,119,61,40,21,4,10,13,8,0,0,3,0,0,2,0,0,0,0,0,0,0,0
2015-12-08,62,34,45,23,12,3,2,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-12-09,338,196,184,83,59,12,18,5,4,2,0,0,2,0,5,1,0,0,0,0,0,0,0,0
2015-12-10,224,94,120,100,35,8,10,22,0,3,3,2,0,2,1,0,0,0,0,0,0,0,0,0
2015-12-11,270,54,115,62,56,17,6,24,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-12,122,72,34,11,7,3,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-13,144,95,19,10,26,2,2,8,4,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0
2015-12-14,316,77,86,39,56,5,7,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-15,256,110,53,39,69,5,0,4,4,8,3,3,3,0,0,0,0,0,0,0,0,0,0,0
2015-12-16,231,40,113,26,35,27,1,5,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-17,248,68,112,52,30,22,4,4,3,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0
2015-12-18,122,93,42,57,30,39,1,3,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-19,121,48,22,68,13,9,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-20,98,57,31,67,12,2,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-21,15,6,3,9,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-22,68,28,15,25,16,3,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-12-23,210,57,52,132,41,19,1,24,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0
2015-12-24,69,32,18,38,8,8,2,5,7,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2015-12-25,60,31,16,24,12,8,0,7,5,10,0,3,1,0,0,0,0,0,5,0,1,0,0,0
2015-12-26,84,43,7,22,15,3,0,4,6,0,0,3,5,0,0,0,0,13,0,1,1,0,0,1
2015-12-27,91,63,14,42,9,19,2,5,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-12-28,210,72,12,64,26,28,5,1,10,0,0,1,2,9,0,0,0,0,0,0,0,0,0,0
2015-12-29,190,78,27,108,29,6,0,13,12,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-12-30,119,57,20,136,31,13,9,1,11,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-31,97,87,29,161,27,9,7,4,6,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,83,23,29,132,32,4,4,6,18,2,9,6,3,0,1,0,0,0,0,0,0,0,0,0
2016-01-02,69,63,52,70,34,5,18,5,21,1,1,3,10,0,0,0,0,0,0,0,0,0,0,0
2016-01-03,94,54,18,42,30,1,5,2,22,18,0,1,3,0,0,0,0,0,0,0,0,0,0,0
2016-01-04,169,59,17,63,45,18,19,2,10,5,14,1,0,0,0,5,0,0,0,0,0,0,0,0
2016-01-05,267,79,69,47,59,11,22,1,11,11,3,1,0,0,0,1,0,0,0,0,0,0,0,0
2016-01-06,450,142,37,54,24,5,29,5,12,18,4,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-01-07,632,122,38,54,23,28,18,2,9,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-01-08,775,110,30,62,32,12,8,2,11,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2016-01-09,574,81,29,74,16,22,1,4,20,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2016-01-10,368,59,27,28,11,2,2,3,10,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-11,840,107,44,68,19,17,6,5,11,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2016-01-12,1039,96,69,53,29,21,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-13,268,58,75,62,27,10,12,1,3,30,9,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-01-14,227,102,52,106,37,21,17,12,5,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-15,237,81,22,57,18,5,3,7,9,8,4,0,0,0,0,3,0,0,0,0,0,0,0,0
2016-01-16,116,86,32,33,17,7,3,10,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-17,137,28,42,89,9,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-18,449,53,29,59,44,53,6,2,9,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0
2016-01-19,655,102,95,33,63,12,13,6,15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2016-01-20,690,68,67,26,72,14,16,13,11,6,5,11,2,0,0,0,0,0,0,0,0,0,0,0
2016-01-21,764,90,187,87,50,3,19,8,5,16,5,1,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-22,856,93,124,117,60,3,11,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-23,585,57,39,118,16,18,10,14,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-24,555,49,27,60,35,0,11,4,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-25,1046,44,63,44,56,2,11,2,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0
2016-01-26,1039,58,57,59,39,11,25,1,0,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0
2016-01-27,781,54,86,100,43,10,21,16,6,3,5,1,2,1,4,0,0,0,0,0,0,0,0,0
2016-01-28,1249,96,73,76,59,8,9,4,3,8,3,1,0,0,16,5,0,0,0,0,0,0,0,0
2016-01-29,2109,137,77,39,65,8,7,8,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01-30,1368,60,26,19,48,3,1,18,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-31,189,56,49,19,21,0,1,6,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
---------
