Day,[PURDUE STEELE] Number of Jobs Submitted,[NCSA ABE] Number of Jobs Submitted,[PURDUE CONDOR] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[TACC RANGER] Number of Jobs Submitted,[NICS ATHENA] Number of Jobs Submitted,[LONI QUEENBEE] Number of Jobs Submitted,[TACC LONESTAR] Number of Jobs Submitted,[PSC POPLE] Number of Jobs Submitted,[NCSA EMBER*] Number of Jobs Submitted,[NCSA COBALT] Number of Jobs Submitted,[IU BIGRED*] Number of Jobs Submitted,[NCAR FROST] Number of Jobs Submitted,[NCSA LINCOLN] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[ORNL NSTG] Number of Jobs Submitted,[SDSC DASH] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[TACC SPUR] Number of Jobs Submitted
2010-12-06,1091,2729,54,2612,627,328,25,0,14,170,0,72,16,18,34,0,48,5,0,0,2
2010-12-07,1437,5073,54,2452,688,2070,135,0,25,156,0,40,14,16,29,0,17,7,0,0,2
2010-12-08,1323,3654,20,2262,759,2964,53,0,35,125,0,78,19,39,47,0,36,6,0,0,3
2010-12-09,3088,3467,22,1903,651,844,43,0,75,158,0,72,58,50,45,0,6,24,0,0,6
2010-12-10,11177,2082,561,2650,607,3570,70,0,145,316,0,36,18,23,39,0,9,24,0,0,3
2010-12-11,8450,3294,24,1300,616,3527,78,0,7,188,0,18,11,41,14,0,15,21,0,0,0
2010-12-12,9212,3257,24,762,384,1258,57,0,28,120,0,10,11,8,13,0,4,29,0,0,3
2010-12-13,13407,2956,8777,1687,755,990,78,0,104,64,0,18,10,284,23,0,11,12,0,0,4
2010-12-14,8364,5975,1972,1228,553,118,127,0,116,254,0,22,12,25,6,0,11,16,0,0,1
2010-12-15,5575,3005,1328,443,656,196,105,0,170,243,0,92,10,52,37,0,9,25,0,0,1
2010-12-16,4536,1199,395,647,1037,1734,131,0,69,289,0,185,11,30,31,0,5,24,0,0,2
2010-12-17,4767,1190,779,803,938,3259,151,0,193,219,0,8,4,39,36,0,2,10,0,0,1
2010-12-18,2940,1066,43,769,735,2172,67,0,38,120,0,57,5,34,32,0,2,19,0,0,0
2010-12-19,2162,2018,34,2690,790,518,199,0,14,118,0,128,7,52,30,0,1,31,0,0,0
2010-12-20,4098,1172,1168,2613,801,1661,119,0,35,137,0,30,7,44,46,0,5,23,0,0,4
2010-12-21,4681,2032,111,2284,600,1175,107,0,22,56,0,25,27,41,24,0,1,60,0,0,10
2010-12-22,2297,1613,311,2079,467,117,109,0,109,96,0,46,9,56,49,0,2,49,0,0,0
2010-12-23,3723,6981,24,92,375,151,50,0,90,77,0,112,17,38,70,0,2,39,0,0,1
2010-12-24,5121,1573,24,11,582,110,73,0,79,44,0,54,6,78,40,0,8,22,0,0,0
2010-12-25,6035,973,856,12,495,125,79,0,34,72,0,128,81,54,40,0,3,26,0,0,0
2010-12-26,4974,907,790,23,414,144,98,0,82,103,0,5,10,45,44,0,1,21,0,0,0
2010-12-27,4526,6620,1,185,449,103,143,0,85,81,0,45,30,49,42,0,2,18,0,0,1
2010-12-28,5687,939,439,277,15,138,120,0,82,177,0,44,23,49,34,0,1,1,0,0,0
2010-12-29,11557,621,10,927,49,122,142,0,78,157,0,193,9,48,31,0,4,2,0,0,0
2010-12-30,6489,1354,82,333,301,249,133,0,27,46,0,85,28,60,20,0,13,18,0,0,0
2010-12-31,6154,2416,12,2510,231,444,119,0,40,60,0,169,28,48,13,0,4,10,0,0,0
2011-01-01,7722,3452,5,1307,545,44,61,0,29,138,0,58,31,52,30,0,15,9,0,0,1
2011-01-02,7379,5958,5,688,600,108,78,0,31,234,0,437,19,47,10,0,10,29,0,0,7
2011-01-03,8380,8433,379,1341,849,72,130,0,47,200,0,81,53,59,24,0,6,15,0,0,3
2011-01-04,7977,10656,587,1672,898,129,92,0,48,115,0,32,36,49,40,0,7,19,0,0,1
2011-01-05,8267,8659,1933,229,1318,83,172,0,71,125,0,221,49,272,34,0,2,28,0,101,0
2011-01-06,4939,6914,8698,371,1025,1228,183,0,115,185,0,84,19,202,68,0,6,11,0,0,7
2011-01-07,2936,1765,719,921,828,2676,109,0,26,242,0,77,7,54,37,0,7,11,0,0,2
2011-01-08,4047,6968,1291,604,800,1789,141,0,23,159,0,80,24,142,11,0,1,2,0,38,0
2011-01-09,3651,11227,1451,2116,956,1105,324,0,83,174,0,49,41,57,67,0,6,1,0,0,10
2011-01-10,2849,10736,2166,4693,1449,505,411,0,101,188,0,72,50,29,32,0,14,11,0,0,0
2011-01-11,682,4489,1062,1638,818,485,117,0,166,169,0,55,216,56,21,0,0,9,0,0,0
2011-01-12,5563,1803,3752,1463,817,544,307,0,138,15,0,55,383,124,33,0,4,6,0,11,0
2011-01-13,12503,1432,9841,369,814,135,326,0,98,465,0,37,36,203,77,0,7,12,0,7,3
2011-01-14,21845,4299,10604,421,785,1938,310,0,70,133,0,48,55,48,70,0,4,21,0,4,0
2011-01-15,17983,2710,5447,996,740,7255,544,0,28,45,0,47,39,86,2,0,3,3,0,0,5
2011-01-16,18464,2929,1648,1029,1124,6971,539,0,25,47,0,49,40,104,26,0,3,3,0,17,2
2011-01-17,16697,1075,2902,1364,730,3680,540,0,117,138,0,48,150,181,11,0,7,0,0,12,2
2011-01-18,10250,2399,229,2200,330,2103,378,0,118,173,0,52,31,88,20,0,2,2,0,20,0
2011-01-19,12495,4447,990,904,618,206,678,0,127,118,0,52,199,63,23,0,3,15,0,26,6
2011-01-20,9946,2595,516,1726,708,750,500,0,154,85,0,65,241,94,5,0,78,21,0,54,4
2011-01-21,12650,2959,180,1279,1506,3703,264,0,142,75,0,76,66,56,20,0,4,16,13,34,7
2011-01-22,10438,3103,70,1015,858,2433,278,0,35,45,0,58,1739,33,1,0,1,2,13,15,3
2011-01-23,26153,2488,236,875,569,4230,255,0,91,83,0,63,1101,70,33,0,2,6,10,4,6
2011-01-24,24994,1717,1228,1147,1057,334,227,0,58,233,0,252,1574,72,29,0,4,1,40,17,7
2011-01-25,15533,1170,207,1957,736,127,201,0,50,153,0,70,26,109,42,0,1,0,14,24,5
2011-01-26,14971,1235,3362,757,843,131,197,0,94,249,0,58,15,76,24,0,4,15,61,193,2
2011-01-27,35887,6416,207,327,1159,718,190,0,166,194,0,116,125,74,49,0,0,16,176,93,2
2011-01-28,40486,4343,36,589,669,445,174,0,996,163,0,69,28,120,27,0,1,21,478,109,7
2011-01-29,36541,8852,399,668,596,159,150,0,77,45,0,65,919,38,14,0,0,4,81,17,0
2011-01-30,24482,14977,127,151,681,204,174,0,275,63,0,73,94,38,9,0,1,4,27,22,1
2011-01-31,27017,1219,260,805,824,198,139,0,263,151,0,167,2165,132,9,0,1,3,92,49,0
