title
"Number of Jobs Submitted: by Resource"
parameters

start,end
2012-08-01,2013-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Submitted","[PURDUE CONDOR] Number of Jobs Submitted","[NICS KRAKEN] Number of Jobs Submitted","[SDSC TRESTLES] Number of Jobs Submitted","[TACC RANGER] Number of Jobs Submitted","[SDSC GORDON] Number of Jobs Submitted","[TACC LONESTAR4] Number of Jobs Submitted","[TACC STAMPEDE] Number of Jobs Submitted","[PSC BLACKLIGHT] Number of Jobs Submitted","[TACC LONGHORN] Number of Jobs Submitted","[GATECH KEENELAND] Number of Jobs Submitted","[NICS NAUTILUS] Number of Jobs Submitted","[NCSA FORGE] Number of Jobs Submitted","[TACC SPUR] Number of Jobs Submitted"
2012-09-12,4692,4320,1626,863,1118,653,513,0,39,54,0,59,51,2
2012-09-13,10169,141,1810,3271,723,705,237,0,91,39,0,17,72,0
2012-09-14,4958,2324,2117,767,1,1302,0,0,203,0,0,38,64,0
2012-09-15,4436,896,2182,5384,0,1001,96,0,152,48,0,4,90,0
2012-09-16,1981,224,2978,814,913,2337,229,0,312,36,5,6,39,0
2012-09-17,5928,200,2339,3669,947,1470,413,0,314,102,14,9,44,3
2012-09-18,7623,246,2584,1307,845,460,580,0,497,81,2,10,31,51
2012-09-19,8546,316,2684,4478,1287,529,366,0,272,89,1,25,31,31
2012-09-20,9746,233,2341,3154,1249,600,325,0,102,81,3,104,81,7
2012-09-21,7058,64,2650,1613,1013,662,378,0,154,101,8,69,34,4
2012-09-22,10298,41,1176,329,906,1694,299,0,113,44,3,15,29,0
2012-09-23,8210,24,1556,510,450,884,322,0,157,59,4,28,25,0
2012-09-24,5341,30,2438,746,1064,1771,405,0,174,108,5,337,47,5
2012-09-25,5584,24,2298,2933,1132,863,488,0,121,35,12,551,18,7
2012-09-26,7385,16,1860,673,936,1156,430,0,108,87,25,43,54,7
2012-09-27,9024,100,3665,647,695,575,398,0,173,84,25,28,12,5
2012-09-28,8250,786,2722,1116,1229,1152,408,0,156,61,7,27,38,0
2012-09-29,11138,1504,2476,330,929,268,266,0,108,49,0,4,0,1
2012-09-30,4660,796,1497,322,922,188,389,0,156,57,3,8,0,2
2012-10-01,9042,411,2325,803,1635,372,399,0,207,106,17,0,0,0
2012-10-02,12002,4,2523,1233,1294,460,142,0,382,97,18,31,0,0
2012-10-03,10630,1023,1958,788,1293,494,311,0,502,60,23,40,0,2
2012-10-04,4233,16501,2025,2284,928,397,573,0,147,53,16,35,0,0
2012-10-05,4362,24722,1881,595,888,351,416,0,178,91,26,45,0,0
2012-10-06,7248,9844,1977,700,743,281,222,0,198,40,18,20,0,0
2012-10-07,5538,20,2599,1042,1107,427,380,0,152,26,43,18,0,0
2012-10-08,2826,17927,2192,3074,747,1029,314,0,161,69,32,25,0,0
2012-10-09,5424,24931,1290,4796,805,1046,860,0,225,57,9,53,0,0
2012-10-10,6526,12859,1777,3089,830,798,846,0,138,82,14,66,0,1
2012-10-11,4576,6349,858,1371,516,487,540,0,122,61,7,31,0,2
2012-10-12,6250,5675,2443,777,379,580,620,0,215,60,28,28,0,1
2012-10-13,8316,1829,2964,588,403,739,77,0,195,2,19,16,0,0
2012-10-14,9408,415,2425,317,696,142,8,0,159,3,34,24,0,0
2012-10-15,9064,2898,1733,1564,808,373,526,0,206,45,4,78,0,3
2012-10-16,3623,824,2996,945,382,686,439,0,124,51,464,25,0,1
2012-10-17,3881,749,1721,1055,1104,422,476,0,99,65,304,59,0,2
2012-10-18,7933,3286,2422,1324,1841,513,661,0,127,37,18,48,0,0
2012-10-19,10065,4336,1606,891,1658,385,427,0,118,59,32,52,0,1
2012-10-20,8369,924,1359,392,1014,798,272,0,132,33,40,78,0,0
2012-10-21,10130,1565,2018,188,1021,487,334,0,154,9,35,21,0,0
2012-10-22,7374,4200,2546,519,1302,50,276,0,165,61,21,9,0,2
2012-10-23,1998,4069,2056,2813,1548,2678,243,0,143,63,8,9,0,5
2012-10-24,1785,240,2319,2209,861,3383,563,0,94,63,27,13,0,3
2012-10-25,3245,620,3185,1448,543,1187,463,0,73,52,22,30,0,1
2012-10-26,2760,168,2285,1336,504,774,422,0,59,61,14,12,0,17
2012-10-27,8861,20,2087,396,1173,544,317,0,47,32,13,6,0,62
2012-10-28,5135,24,1524,1152,1247,453,373,0,28,30,11,23,0,25
2012-10-29,4981,24,3053,908,1603,613,552,0,126,66,6,61,0,55
2012-10-30,8781,3320,2584,1141,1040,1175,412,0,74,40,3,3,0,1
2012-10-31,9580,175,3370,2666,807,477,409,0,101,50,21,75,0,0
2012-11-01,10743,16,262,1535,400,490,558,0,85,62,36,50,0,10
2012-11-02,8860,476,454,2564,380,398,583,0,75,55,34,31,0,0
2012-11-03,9232,20,1448,2412,151,291,366,0,38,61,26,3,0,0
2012-11-04,9941,12,3120,5089,762,201,439,0,37,48,11,16,0,0
2012-11-05,8767,4828,2494,2117,1201,561,756,0,231,71,11,43,0,0
2012-11-06,13502,7673,1620,3651,1310,338,589,0,228,45,20,47,0,0
2012-11-07,8024,5170,2021,1125,1181,116,461,0,49,29,26,76,0,0
2012-11-08,7413,9197,1452,1177,1318,173,432,0,33,48,39,38,0,2
2012-11-09,7712,2312,1811,715,751,407,472,0,48,22,38,22,0,3
2012-11-10,9034,0,1421,932,995,612,294,0,27,120,6,3,0,0
2012-11-11,6493,16,1926,728,1370,356,493,0,15,30,31,13,0,0
2012-11-12,7390,871,2592,1672,1118,683,555,0,110,44,24,50,0,0
2012-11-13,9098,282,1775,1727,1050,623,617,0,152,50,26,32,0,24
2012-11-14,9988,690,1727,2740,563,750,705,0,136,51,28,49,0,10
2012-11-15,7975,1188,2073,896,620,621,509,0,268,33,14,62,0,0
2012-11-16,5473,724,1051,752,576,778,879,0,219,48,24,34,0,0
2012-11-17,5242,0,140,1226,1113,466,2006,0,136,96,18,29,0,0
2012-11-18,11201,0,1745,630,794,202,280,0,176,56,1,25,0,0
2012-11-19,9534,192,1709,1746,1138,398,327,0,258,77,164,20,0,1
2012-11-20,8569,27,1672,1503,1274,1770,287,0,231,71,89,48,0,7
2012-11-21,8192,20,1500,2385,1170,2733,284,0,164,54,51,39,0,7
2012-11-22,5872,24,1237,453,675,5804,125,0,76,24,35,2,0,0
2012-11-23,5598,24,1114,234,842,217,688,0,247,37,15,30,0,0
2012-11-24,6878,24,1168,659,959,4426,718,0,396,28,0,31,0,2
2012-11-25,9740,491,1411,1367,696,3569,1439,0,84,101,17,25,0,0
2012-11-26,9064,3323,1911,1592,641,3369,544,0,105,115,53,21,0,0
2012-11-27,4029,5480,1901,2344,249,1525,471,0,80,37,74,58,0,0
2012-11-28,13799,10000,582,2145,1135,563,699,0,72,33,132,63,0,11
2012-11-29,10644,8796,342,3373,1136,1501,554,0,87,111,6,48,0,11
2012-11-30,19487,15696,914,608,1029,895,698,0,207,101,33,30,0,6
2012-12-01,15428,0,1288,1089,852,406,341,0,175,89,37,26,0,0
2012-12-02,9939,0,1310,889,899,1617,703,0,186,41,72,69,0,0
2012-12-03,10053,0,1009,1467,1156,1217,2013,0,304,86,59,29,0,0
2012-12-04,9436,0,598,2001,815,498,1220,0,281,79,31,32,0,3
2012-12-05,4740,0,1786,2592,1107,317,1345,0,255,55,18,62,0,2
2012-12-06,16198,0,1019,1176,1251,324,1349,0,226,63,28,18,0,0
2012-12-07,13074,73,1219,4189,1058,292,1147,0,176,48,54,15,0,5
2012-12-08,4015,4800,567,3035,574,153,410,0,120,58,48,14,0,4
2012-12-09,6087,0,1035,1728,448,256,729,0,98,41,71,12,0,2
2012-12-10,7592,0,915,4165,528,452,1794,0,113,63,56,14,0,0
2012-12-11,4809,0,1085,7656,967,1209,1404,0,207,49,28,24,0,0
2012-12-12,5569,6746,1083,6778,923,2268,852,0,235,44,86,23,0,2
2012-12-13,3373,1295,1297,2748,1126,2741,1571,0,299,40,121,14,0,2
2012-12-14,3359,5723,1166,3457,1238,2189,1842,0,188,52,147,25,0,0
2012-12-15,3067,1200,445,399,892,1379,1873,0,90,31,49,15,0,0
2012-12-16,6927,0,755,3813,824,999,982,0,105,7,65,18,0,0
2012-12-17,5053,40,1979,1605,1200,347,837,0,236,53,209,32,0,0
2012-12-18,4535,60,1961,1221,1074,184,413,0,221,47,90,47,0,2
2012-12-19,7077,366,2116,824,905,116,528,0,84,22,38,29,0,11
2012-12-20,6832,0,700,710,825,209,270,0,111,51,23,9,0,0
2012-12-21,14664,8,1043,545,793,142,467,0,159,32,44,0,0,1
2012-12-22,4921,24,2013,487,760,93,367,0,41,8,40,4,0,4
2012-12-23,3655,24,1594,1410,787,229,547,0,103,6,48,18,0,2
2012-12-24,4299,1023,901,986,625,141,256,0,62,13,28,15,0,2
2012-12-25,3812,24,1340,224,796,94,355,0,64,10,47,15,0,0
2012-12-26,7272,55,2055,757,1091,288,453,0,60,23,54,13,0,1
2012-12-27,4862,24,930,997,963,314,261,0,109,23,81,9,0,1
2012-12-28,2668,24,1298,351,1043,275,183,0,61,16,90,43,0,2
2012-12-29,671,12,578,200,847,66,140,0,13,10,1,22,0,12
2012-12-30,0,0,971,229,826,131,252,0,55,62,16,9,0,25
2012-12-31,0,0,567,508,756,69,124,0,20,27,50,3,0,2
2013-01-01,0,0,931,752,674,108,205,0,13,18,74,9,0,0
2013-01-02,0,0,1363,1303,1055,271,310,0,95,37,124,38,0,0
2013-01-03,0,0,1562,1065,1485,293,406,0,94,79,187,60,0,0
2013-01-04,536,1,1367,627,1165,352,519,0,50,63,176,40,0,0
2013-01-05,4440,0,1448,423,1383,155,344,0,60,34,91,28,0,0
2013-01-06,2642,20,1269,1369,707,371,355,0,168,41,101,6,0,0
2013-01-07,4084,0,2145,3012,1314,425,434,5,172,30,304,27,0,0
2013-01-08,2204,15,2149,2177,1344,416,358,751,226,32,85,23,0,0
2013-01-09,3835,166,2182,3055,1448,528,412,755,47,22,83,83,0,0
2013-01-10,5926,272,835,1288,1791,447,379,866,128,74,91,97,0,0
2013-01-11,3688,503,2105,2118,2152,466,314,1670,49,53,141,103,0,0
2013-01-12,3707,24,975,569,1258,293,150,463,48,17,55,31,0,0
2013-01-13,4535,24,2566,833,665,436,270,1408,70,61,98,26,0,0
2013-01-14,3986,144,3053,858,1310,568,318,3508,43,123,12,49,0,0
2013-01-15,4174,278,2566,1189,742,622,407,1774,63,59,253,59,0,0
2013-01-16,3243,454,2496,1440,2681,937,278,4110,75,123,196,107,0,0
2013-01-17,6550,126,2681,863,3274,459,401,3476,53,62,125,49,0,0
2013-01-18,5095,346,3992,959,1709,140,278,3249,81,35,171,34,0,0
2013-01-19,4884,213,2369,605,1869,565,125,2120,62,1,57,15,0,0
2013-01-20,5290,28,1914,623,1588,292,320,2422,145,25,76,21,0,0
2013-01-21,4026,39,2201,1138,2078,536,265,1803,94,58,78,44,0,0
2013-01-22,4518,0,2702,830,1276,546,116,0,99,27,65,55,0,0
2013-01-23,3666,568,1883,1507,1079,531,600,1192,53,28,142,39,0,0
2013-01-24,831,381,1739,1640,1280,583,616,4715,120,25,127,35,0,0
2013-01-25,1791,1197,2680,1047,1175,791,382,5017,71,20,58,29,0,0
2013-01-26,343,0,2413,735,1836,374,180,2813,48,6,55,9,0,0
2013-01-27,362,0,2266,646,1722,347,235,2015,81,38,56,24,0,0
2013-01-28,724,74,2990,1210,1739,242,417,2174,91,25,70,57,0,0
2013-01-29,2590,1220,3657,1039,1117,995,593,1765,67,27,42,80,0,0
2013-01-30,4697,2739,2182,1479,1253,653,572,6756,99,37,29,105,0,0
2013-01-31,5327,1136,2142,594,1050,541,405,5612,78,44,29,73,0,0
---------
