title
"Number of Jobs Submitted: by Resource"
parameters

start,end
2011-02-01,2011-07-31
---------
Day,"[PURDUE STEELE] Number of Jobs Submitted","[PURDUE CONDOR] Number of Jobs Submitted","[NICS KRAKEN] Number of Jobs Submitted","[SDSC TRESTLES] Number of Jobs Submitted","[NICS ATHENA] Number of Jobs Submitted","[TACC RANGER] Number of Jobs Submitted","[NCSA ABE] Number of Jobs Submitted","[NCSA EMBER*] Number of Jobs Submitted","[TACC LONESTAR4] Number of Jobs Submitted","[LONI QUEENBEE] Number of Jobs Submitted","[PSC BLACKLIGHT] Number of Jobs Submitted","[PSC POPLE] Number of Jobs Submitted","[NICS NAUTILUS] Number of Jobs Submitted","[NCSA LINCOLN] Number of Jobs Submitted","[NCAR FROST] Number of Jobs Submitted","[ORNL NSTG] Number of Jobs Submitted","[IU BIGRED*] Number of Jobs Submitted","[TACC LONGHORN] Number of Jobs Submitted","[TACC SPUR] Number of Jobs Submitted","[SDSC DASH] Number of Jobs Submitted"
2011-03-14,21424,3246,1527,73,322,1335,965,240,417,191,196,52,1,67,84,0,22,25,3,0
2011-03-15,55226,9212,1116,161,123,146,632,213,374,302,313,93,0,39,124,0,23,28,0,4
2011-03-16,54424,99,808,119,67,579,476,221,356,100,62,229,12,128,370,0,13,38,2,2
2011-03-17,15287,404,1519,100,391,612,287,292,252,133,251,220,12,26,40,0,40,41,1,3
2011-03-18,12337,537,1266,134,327,570,1019,180,315,116,257,130,9,98,27,0,10,6,4,2
2011-03-19,10194,30,1720,53,96,432,761,119,138,77,78,139,17,34,39,0,12,0,5,21
2011-03-20,8190,38,4834,122,91,536,942,75,317,133,31,159,18,30,39,0,28,1,10,3
2011-03-21,12802,8806,4511,223,71,760,1607,245,257,166,246,102,21,74,55,0,15,41,3,9
2011-03-22,10452,4718,3580,134,34,623,3007,232,150,190,311,73,2,14,45,0,17,33,0,0
2011-03-23,10572,13445,116,119,80,697,6476,157,183,385,34,33,0,10,56,0,11,36,2,4
2011-03-24,6401,9992,2119,66,339,849,2154,223,368,269,89,62,5,17,47,0,17,24,9,10
2011-03-25,31070,3099,2133,115,238,585,515,235,220,151,126,97,47,11,71,0,12,14,7,24
2011-03-26,13672,26,2409,43,95,512,1478,120,219,207,288,101,3,7,74,0,4,3,2,8
2011-03-27,2466,43,3393,34,1316,510,840,166,123,176,32,94,16,31,66,0,8,5,16,10
2011-03-28,13087,1051,3633,79,1991,444,892,389,397,267,342,116,33,48,86,0,5,12,12,25
2011-03-29,1024,12,2114,140,348,431,806,471,455,171,326,172,25,1,79,0,8,21,9,20
2011-03-30,9521,4004,2506,179,192,402,334,222,595,165,111,47,23,22,69,0,10,22,4,42
2011-03-31,12658,28,3350,144,1333,503,374,261,414,166,127,159,12,24,46,0,15,9,4,33
2011-04-01,15765,614,2786,91,3057,409,241,227,188,543,37,73,18,22,29,0,4,21,8,7
2011-04-02,25484,24,3042,20,116,335,328,110,0,145,21,108,2,15,76,0,208,9,15,2
2011-04-03,46141,24,1482,9,80,378,176,183,77,144,34,134,15,10,58,0,27,6,4,2
2011-04-04,17823,1540,1729,20,494,618,687,176,321,161,31,131,30,20,72,0,3,19,14,7
2011-04-05,21706,4957,2098,36,355,767,272,393,249,164,24,99,35,8,82,0,5,3,8,13
2011-04-06,9806,9969,312,98,301,773,530,186,160,164,60,194,37,26,80,8,29,41,4,6
2011-04-07,6157,6777,73,109,205,661,394,249,445,144,56,210,25,9,53,45,135,19,3,0
2011-04-08,10927,6777,264,98,140,710,215,291,302,196,65,144,26,9,23,52,43,37,3,1
2011-04-09,2954,28,513,105,500,694,157,117,12,143,9,42,20,316,35,49,60,49,0,1
2011-04-10,3276,48,1389,92,577,479,294,79,0,172,19,95,10,3,71,52,29,7,0,9
2011-04-11,4362,6784,1153,129,331,908,308,125,448,143,50,71,29,1,91,50,42,29,0,3
2011-04-12,20343,6398,1171,198,341,930,368,234,868,104,204,71,12,9,141,46,43,48,1,1
2011-04-13,17994,240,1348,212,868,797,435,174,946,112,161,128,43,25,331,47,53,55,1,13
2011-04-14,6259,140,820,191,690,659,735,230,545,1572,121,48,13,136,34,44,34,53,7,5
2011-04-15,4071,257,575,203,357,676,6,320,661,58,154,77,17,42,171,40,109,31,1,5
2011-04-16,2168,20,5451,79,70,279,0,337,265,67,115,45,7,4,134,52,41,4,0,1
2011-04-17,2576,0,2374,64,120,254,0,265,79,139,64,85,4,11,110,51,32,14,0,4
2011-04-18,3096,40,1185,127,350,649,0,28,239,166,72,139,30,176,95,31,23,52,9,6
2011-04-19,2646,41,1915,106,646,709,0,439,93,90,183,116,21,162,66,28,59,66,13,4
2011-04-20,2945,120,122,188,1209,717,0,536,81,113,190,120,35,39,45,55,14,54,17,1
2011-04-21,8498,363,86,394,955,459,0,322,349,118,406,189,44,17,38,49,40,72,2,2
2011-04-22,6742,0,177,121,1618,377,0,224,239,149,148,46,13,16,43,52,22,20,3,2
2011-04-23,9345,0,60,250,729,51,0,87,1,125,58,36,23,15,41,51,11,1,0,2
2011-04-24,12992,0,471,222,591,166,0,163,98,131,52,17,20,10,56,48,28,32,1,0
2011-04-25,30422,0,632,206,383,876,0,200,414,190,112,104,22,24,82,48,17,77,1,19
2011-04-26,31664,48,860,248,1143,1002,0,122,473,123,157,229,10,16,26,45,29,141,4,51
2011-04-27,21098,59,174,640,2872,993,0,177,395,87,165,208,29,17,44,44,38,125,3,15
2011-04-28,22894,63,29,751,2222,868,0,425,405,455,161,83,8,26,3,46,14,49,3,0
2011-04-29,11964,2887,436,1040,380,692,0,193,182,648,82,89,20,27,45,49,16,96,3,0
2011-04-30,3779,262,0,764,1,971,0,86,452,82,37,21,6,15,31,906,12,88,3,1
2011-05-01,286,524,307,876,1452,1039,0,337,384,166,60,64,1,20,29,51,23,77,1,0
2011-05-02,2078,8356,650,712,2028,610,0,119,358,99,88,62,15,364,38,42,276,77,4,0
2011-05-03,1676,3357,691,1025,2347,667,0,192,51,175,118,77,22,310,23,39,141,68,3,0
2011-05-04,7258,5435,1168,608,2202,750,0,235,137,117,78,37,42,914,10,11,512,57,16,9
2011-05-05,14751,5774,485,464,2305,911,0,287,219,185,59,106,46,86,13,0,56,71,6,12
2011-05-06,35511,45,248,655,3916,530,0,593,230,165,122,89,125,17,8,13,73,37,4,29
2011-05-07,16715,24,146,1192,2526,693,0,765,217,131,27,36,8,16,7,40,27,26,2,1
2011-05-08,23376,24,516,611,2026,1213,0,1383,297,147,4,81,19,47,8,46,19,76,1,0
2011-05-09,56184,24,1593,300,2055,903,0,570,924,203,74,66,11,120,24,46,237,89,24,6
2011-05-10,14078,24,938,631,2424,784,0,950,531,217,416,73,29,22,94,51,567,46,15,11
2011-05-11,32681,24,1555,439,2872,674,0,318,886,279,105,87,32,34,108,48,453,92,10,1
2011-05-12,45009,281,358,436,2327,887,0,247,831,249,394,123,62,20,11,49,36,79,5,5
2011-05-13,21822,3225,38,704,396,749,0,309,846,175,273,118,22,56,5,50,273,87,5,0
2011-05-14,22738,6757,244,970,156,631,0,616,181,128,574,97,11,18,21,47,43,70,1,0
2011-05-15,21881,6745,1548,319,2138,746,0,466,231,128,285,110,13,33,35,48,72,80,1,0
2011-05-16,18345,534,1828,319,2197,1041,0,297,594,202,116,80,49,60,8,49,27,75,9,16
2011-05-17,11267,56,1321,372,2361,548,0,180,873,146,87,94,81,55,2,3983,264,73,21,13
2011-05-18,9355,16,1264,405,2206,839,0,267,395,125,72,53,24,86,13,3008,356,88,20,0
2011-05-19,70,1026,1084,305,2514,614,0,207,645,218,78,5,63,70,21,35,13,89,10,0
2011-05-20,7612,1376,796,469,284,615,0,542,317,199,110,84,233,63,32,45,11,88,15,0
2011-05-21,12219,216,964,358,128,409,0,437,154,303,76,47,12,58,40,50,32,86,15,1
2011-05-22,10633,24,954,316,2159,648,0,235,271,143,76,43,12,67,20,50,62,57,0,0
2011-05-23,6691,24,1190,34,2336,862,0,432,503,384,82,33,19,59,42,48,71,76,22,0
2011-05-24,4205,57,937,1124,2189,1082,0,257,98,418,0,0,9,40,27,49,10,93,29,0
2011-05-25,4342,40,954,4308,2350,1040,0,329,185,228,46,19,32,41,19,44,14,86,22,15
2011-05-26,5761,37,286,3289,2162,1060,0,241,157,253,113,93,60,42,29,53,14,73,5,1
2011-05-27,6698,24,895,5224,2521,675,0,270,304,461,169,30,45,19,10,48,27,81,1,16
2011-05-28,10245,24,1354,4238,188,408,0,188,191,198,58,45,44,88,14,46,0,44,0,0
2011-05-29,4821,39,3444,2656,2176,420,0,182,217,209,59,67,61,58,4,42,2,17,3,0
2011-05-30,13337,234,4310,3892,2293,534,0,703,529,64,74,69,85,77,0,50,15,34,2,0
2011-05-31,13804,325,1670,1788,2443,608,0,372,374,435,92,70,97,94,18,49,62,88,6,7
2011-06-01,14193,1491,1102,369,2508,767,0,231,477,327,65,58,79,71,23,49,27,58,2,0
2011-06-02,12311,597,161,430,2303,911,0,388,502,430,142,145,63,65,7,40,10,62,2,0
2011-06-03,12370,6616,6,2554,204,485,0,438,451,231,475,64,67,44,33,36,6,55,18,0
2011-06-04,11431,0,68,324,882,273,0,328,221,243,125,48,2,67,2,36,6,35,2,0
2011-06-05,15970,9389,970,886,2229,409,0,67,200,131,91,86,123,66,8,36,11,51,0,0
2011-06-06,10932,3878,1124,1345,2518,547,0,460,12,8,192,119,65,46,6,36,161,89,11,0
2011-06-07,6808,8509,975,6201,2376,900,0,666,33,0,106,222,88,49,30,48,14,25,4,0
2011-06-08,10271,4945,726,559,2242,798,0,238,169,15,417,146,60,89,25,56,19,115,5,0
2011-06-09,7613,104,1034,594,2157,857,0,245,710,36,396,116,148,61,21,55,93,90,6,0
2011-06-10,6128,9668,1094,5496,276,1022,0,254,382,70,317,141,98,38,17,60,15,67,4,1
2011-06-11,4454,24,907,9294,145,825,0,94,6,38,100,90,67,39,8,58,86,70,9,4
2011-06-12,4783,24,1008,7050,155,740,0,487,230,106,135,87,59,32,4,58,19,47,7,0
2011-06-13,6604,234,1224,5707,1111,887,0,397,636,198,459,84,100,37,20,58,29,54,8,7
2011-06-14,10717,63,2414,6617,513,209,0,462,97,150,272,80,118,66,14,53,49,0,1,6
2011-06-15,30028,299,1424,5626,105,509,0,522,187,295,162,94,104,58,51,39,27,101,8,6
2011-06-16,6928,550,55,5669,260,695,0,210,11,122,209,66,89,104,9,52,27,61,28,2
2011-06-17,6239,2254,200,1771,206,515,0,190,133,47,164,72,123,78,5,33,108,65,17,5
2011-06-18,3724,24,64,348,425,621,0,218,270,109,58,35,45,38,8,63,13,58,0,2
2011-06-19,2936,53,345,443,1306,675,0,233,127,213,123,23,127,59,10,56,32,47,0,4
2011-06-20,4193,1229,656,422,703,391,0,312,146,171,136,98,226,88,7,53,17,96,0,25
2011-06-21,4704,2228,791,505,467,793,0,573,931,268,115,74,308,95,24,57,14,64,3,3
2011-06-22,5466,988,964,855,124,655,0,470,437,134,87,86,197,38,5,54,409,111,10,4
2011-06-23,13934,280,649,989,469,757,0,1244,476,304,98,130,223,129,5,60,222,71,1,2
2011-06-24,10130,2058,511,861,67,814,0,390,22,290,39,431,197,67,0,55,158,43,1,1
2011-06-25,13207,1219,368,948,52,636,0,53,155,95,29,69,190,15,0,55,10,22,0,1
2011-06-26,14853,24,446,4158,26,1006,0,118,197,88,49,35,160,0,8,55,178,21,1,0
2011-06-27,8710,999,501,800,186,868,0,466,7,145,186,71,366,17,0,52,18,70,1,1
2011-06-28,10499,2758,996,454,23,217,0,368,189,329,69,91,296,50,4,61,513,2,0,1
2011-06-29,9021,1667,216,386,103,710,0,245,372,246,139,69,624,105,4,54,64,47,8,0
2011-06-30,9414,114,48,289,20,798,0,344,330,169,89,26,204,72,5,55,66,57,4,0
2011-07-01,3664,1093,92,418,98,822,0,414,0,97,75,36,137,101,2,48,26,89,2,0
2011-07-02,3447,12,277,264,1666,945,0,183,24,127,53,30,17,55,0,36,32,53,11,0
2011-07-03,21070,8,749,456,1020,1098,0,221,54,75,42,64,6,48,0,37,29,33,1,0
2011-07-04,6358,24,611,315,146,878,0,400,397,74,40,28,129,16,0,36,37,55,6,0
2011-07-05,10026,2385,1068,320,86,666,0,432,419,102,658,78,95,123,1,34,38,80,15,8
2011-07-06,6348,24,1706,416,83,439,0,765,60,131,193,76,145,60,22,38,75,35,2,2
2011-07-07,1823,1024,170,431,399,552,0,919,440,89,135,89,424,66,0,36,46,43,2,0
2011-07-08,2645,1137,210,389,250,680,0,364,320,82,123,58,533,18,1,38,77,52,3,2
2011-07-09,741,24,635,106,92,721,0,371,105,18,64,80,339,2,0,35,310,23,0,0
2011-07-10,2484,34,869,178,237,1281,0,387,36,92,68,66,242,7,0,36,39,23,0,0
2011-07-11,2992,2204,1937,365,212,904,0,410,375,155,309,186,1,12,2,34,10,72,5,0
2011-07-12,2912,1211,1752,478,285,783,0,201,46,76,219,95,7,74,4,34,328,89,11,3
2011-07-13,2665,2815,1122,1749,264,728,0,340,416,117,102,224,438,327,4,33,359,69,26,1
2011-07-14,4018,2755,980,3638,215,635,0,205,394,110,384,49,421,1944,0,26,39,64,10,2
2011-07-15,1466,1543,792,624,375,616,0,170,351,73,275,72,431,48,0,37,34,58,7,0
2011-07-16,105,51,709,2854,1495,539,0,206,80,85,139,30,336,180,0,38,11,30,1,0
2011-07-17,102,55,1714,2047,2348,585,0,149,0,59,202,23,113,325,0,37,15,33,1,0
2011-07-18,2677,2854,1076,744,43,804,0,162,57,118,299,142,259,932,1,37,59,83,2,3
2011-07-19,1747,1047,663,598,0,717,0,460,296,211,29,69,108,315,2,38,8,69,16,8
2011-07-20,14531,34778,842,1916,0,675,0,348,273,387,152,30,220,64,1,37,7,29,3,8
2011-07-21,1792,2567,1864,3393,0,732,0,525,302,187,82,50,391,95,6,38,6,73,2,2
2011-07-22,1202,625,1484,1948,0,575,0,103,270,103,53,20,391,81,0,37,2,50,20,11
2011-07-23,323,24,1780,2246,0,284,0,206,68,48,4,11,33,46,0,38,4,54,1,11
2011-07-24,244,323,3041,1451,0,589,0,260,171,29,20,4,91,50,0,37,6,66,1,14
2011-07-25,930,2046,1750,4424,0,894,0,608,57,278,189,31,323,97,0,37,7,109,22,12
2011-07-26,4186,32,1768,4508,0,1072,0,1088,232,109,233,42,326,172,0,39,2,46,4,5
2011-07-27,11110,3459,1330,3255,0,896,0,1477,289,66,201,119,420,164,1,38,4,74,5,0
2011-07-28,10129,538,877,414,0,869,0,1242,436,73,313,56,20,67,0,38,6,65,10,8
2011-07-29,2677,1098,1332,194,0,560,0,1018,298,83,64,21,216,93,0,39,4,49,10,1
2011-07-30,1119,124,978,256,0,333,0,293,278,27,0,0,5,114,0,38,11,62,2,7
2011-07-31,1830,511,1420,270,0,516,0,152,340,31,0,0,64,41,0,15,6,32,3,9
---------
