Day,[TACC STAMPEDE] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[GATECH KIDS] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted
2014-04-14,4557,9408,983,942,0,612,129,241,0,20,0,0
2014-04-15,61,10328,629,680,1,48,33,258,0,31,0,0
2014-04-16,2578,8944,523,588,0,203,136,689,0,57,0,1
2014-04-17,2523,6419,674,420,25,442,222,227,0,12,0,0
2014-04-18,2611,10679,495,349,6,349,35,317,0,0,0,1
2014-04-19,2838,7121,310,362,0,670,39,149,0,5,0,0
2014-04-20,5195,9990,299,293,0,432,119,39,0,3,0,0
2014-04-21,3275,5967,825,615,64,728,112,311,0,120,0,7
2014-04-22,2594,7625,776,710,1312,155,51,200,0,35,0,0
2014-04-23,2258,6759,770,598,1507,764,104,366,0,50,0,11
2014-04-24,2681,10111,1065,751,1583,572,68,337,0,18,0,0
2014-04-25,3117,7819,596,469,1534,564,76,192,0,39,0,0
2014-04-26,2078,8129,287,219,1766,656,53,113,0,13,0,0
2014-04-27,3445,7764,338,423,1859,538,133,151,0,401,0,0
2014-04-28,2132,5960,1419,714,871,298,137,296,0,36,0,0
2014-04-29,3175,8228,628,956,744,333,144,15,0,149,0,0
2014-04-30,2510,1606,1375,868,1487,277,110,22,0,50,0,0
2014-05-01,2668,0,2908,1143,2129,267,45,79,0,32,0,0
2014-05-02,3018,0,3747,627,603,287,29,92,0,7,0,0
2014-05-03,3517,0,666,365,0,152,79,36,0,7,0,0
2014-05-04,6655,0,276,60,0,184,35,69,0,0,0,0
2014-05-05,5276,0,1204,551,939,259,76,271,0,30,0,0
2014-05-06,6145,0,791,601,714,258,113,80,0,6,0,0
2014-05-07,6877,0,2633,639,1702,204,142,29,0,23,0,0
2014-05-08,6498,0,4250,578,2096,232,68,56,0,6,0,0
2014-05-09,2432,0,694,452,362,151,62,68,0,3,0,0
2014-05-10,3926,0,462,292,28,252,229,20,0,11,0,0
2014-05-11,5472,0,734,308,42,136,198,61,0,35,0,0
2014-05-12,8358,0,1363,936,1327,179,91,23,0,26,0,0
2014-05-13,2653,0,909,1124,2052,290,46,0,0,0,0,0
2014-05-14,3976,0,1219,1411,1977,354,56,6,0,5,0,0
2014-05-15,5774,0,1570,1270,1979,252,84,254,0,0,0,0
2014-05-16,8519,0,559,1141,472,312,136,262,0,8,0,0
2014-05-17,5642,0,250,350,22,181,33,45,0,18,0,0
2014-05-18,7462,0,521,307,1451,505,46,55,0,16,0,0
2014-05-19,7387,0,743,495,1994,166,73,283,0,113,0,0
2014-05-20,1623,0,1529,603,1895,362,135,78,0,5,0,0
2014-05-21,2612,0,802,718,1978,376,124,60,0,32,0,0
2014-05-22,4054,0,1643,555,2178,336,92,105,0,8,0,0
2014-05-23,2766,0,2187,248,1066,439,24,100,0,22,0,0
2014-05-24,1778,0,387,395,48,117,1,47,0,11,0,0
2014-05-25,4174,0,301,534,1451,220,0,64,0,0,0,0
2014-05-26,6499,0,1132,540,2069,193,0,152,0,0,0,0
2014-05-27,3475,0,1350,552,2156,115,64,178,0,1,0,0
2014-05-28,3292,0,680,507,2083,237,100,112,0,55,0,0
2014-05-29,1910,0,1336,540,2091,249,33,172,0,33,0,0
2014-05-30,3005,0,1262,559,677,302,116,81,0,33,0,0
2014-05-31,4844,0,292,327,123,145,54,28,0,46,0,0
2014-06-01,4587,0,252,274,1486,300,388,43,0,2,0,0
2014-06-02,3607,0,743,859,1843,563,196,389,0,1,0,0
2014-06-03,3596,0,921,1787,2172,83,211,38,0,1,0,0
2014-06-04,2447,0,1012,1189,1880,165,43,43,0,0,0,0
2014-06-05,4016,0,517,854,2048,339,714,107,0,9,0,0
2014-06-06,3646,0,1165,596,818,397,1062,133,0,16,0,0
2014-06-07,5304,0,614,418,46,229,888,94,0,2,0,0
2014-06-08,5491,0,361,500,32,130,851,454,0,0,0,0
2014-06-09,6957,0,3354,694,182,237,130,312,0,0,0,0
2014-06-10,4574,0,4153,913,86,289,17,232,6,7,0,0
2014-06-11,4230,0,2815,881,88,396,354,151,55,37,0,0
2014-06-12,4077,0,964,961,43,387,1109,230,39,12,0,0
2014-06-13,4315,0,1797,825,58,328,790,161,46,43,0,0
2014-06-14,4777,0,443,437,23,226,2369,181,48,6,0,0
2014-06-15,5063,0,492,1400,337,281,872,214,32,5,0,0
2014-06-16,3537,0,3106,1114,52,242,227,162,45,42,0,0
2014-06-17,1073,0,4356,977,380,339,905,32,132,37,0,0
2014-06-18,2344,0,8249,369,391,387,133,23,71,8,0,0
2014-06-19,1407,0,4086,627,357,295,1041,462,113,37,0,0
2014-06-20,1475,0,1183,1089,395,331,1709,426,56,21,0,0
2014-06-21,1574,0,834,594,64,126,1430,260,36,16,0,0
2014-06-22,2897,0,272,894,25,137,219,431,25,4,0,0
2014-06-23,2935,0,706,1218,407,302,62,322,60,20,0,0
2014-06-24,1063,0,1010,2020,460,582,418,579,81,19,0,0
2014-06-25,2291,0,1531,930,298,382,312,250,51,16,0,0
2014-06-26,1807,0,533,698,201,353,218,118,35,10,0,3
2014-06-27,1578,0,1704,668,147,298,950,41,37,24,0,2
2014-06-28,1764,0,1524,267,70,336,112,35,22,10,0,2
2014-06-29,1264,0,1314,311,0,296,1377,41,15,12,0,3
2014-06-30,2880,0,516,357,348,293,749,830,122,8,0,6
2014-07-01,2519,0,519,587,63,241,123,93,136,1,0,6
2014-07-02,3772,0,541,441,13,262,454,26,131,5,0,2
2014-07-03,4588,0,639,448,83,353,294,102,92,1,0,0
2014-07-04,5787,0,475,714,24,540,19,287,20,0,0,0
2014-07-05,5227,0,198,240,25,314,47,191,5,0,0,0
2014-07-06,4024,0,583,1315,36,100,47,91,12,12,0,5
2014-07-07,4041,0,1074,1133,154,345,216,312,46,7,0,3
2014-07-08,2912,0,750,1738,169,56,245,404,130,38,0,17
2014-07-09,3106,0,708,1524,98,184,112,301,41,22,0,17
2014-07-10,3877,0,917,1386,194,274,160,308,153,0,0,5
2014-07-11,5916,0,747,907,95,170,63,336,78,63,0,9
2014-07-12,10190,0,195,310,48,177,43,334,31,3,0,0
2014-07-13,6817,0,483,286,64,128,69,215,36,0,0,0
2014-07-14,5869,0,621,846,119,127,90,283,92,1,0,10
2014-07-15,1947,0,619,805,82,215,94,260,9,5,0,1
2014-07-16,2069,0,658,678,135,154,190,211,151,1,0,15
2014-07-17,3108,0,832,789,182,121,15,221,35,5,0,21
2014-07-18,6548,0,578,923,222,132,18,290,77,21,0,0
2014-07-19,6865,0,233,206,65,66,13,112,45,10,0,1
2014-07-20,6674,0,213,452,114,75,7,264,23,0,0,0
2014-07-21,4553,0,371,613,230,137,18,160,52,0,0,1
2014-07-22,3827,0,475,500,237,152,17,359,108,18,0,15
2014-07-23,3310,0,465,501,82,174,36,6,594,19,0,14
2014-07-24,3627,0,673,516,990,236,25,147,1104,4,0,2
2014-07-25,5445,0,593,1133,1575,190,13,317,68,617,0,4
2014-07-26,9043,0,540,773,1276,113,65,510,6,201,0,44
2014-07-27,11019,0,374,903,928,122,32,188,11,200,0,12
2014-07-28,7858,0,445,989,1405,152,37,62,792,401,0,1
2014-07-29,2774,0,481,570,385,145,39,190,871,57,0,2
2014-07-30,4627,0,555,581,183,135,198,160,2113,35,0,7
2014-07-31,5270,0,488,1644,1687,138,73,131,1115,49,0,11
