Day,[OSG] Number of Jobs Submitted,[SDSC COMET] Number of Jobs Submitted,[TACC STAMPEDE] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[CCT LSU SUPERMIC] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[PSC GREENFIELD] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted
2015-10-02,117,9234,3568,591,408,141,57,38,0,0
2015-10-03,15,4081,3348,403,111,80,31,20,0,0
2015-10-04,292,8291,2355,438,121,36,64,2,0,0
2015-10-05,882,2659,3670,592,610,83,78,51,0,0
2015-10-06,1217,2401,3165,1526,116,158,80,27,0,0
2015-10-07,60032,2597,2981,777,176,138,109,48,0,0
2015-10-08,47755,7614,2590,857,228,216,42,29,0,0
2015-10-09,17169,3056,2170,716,274,103,99,5,0,0
2015-10-10,31685,1934,1645,349,179,48,52,15,0,0
2015-10-11,33423,4764,1265,373,289,51,14,26,0,0
2015-10-12,175591,2093,3809,578,268,135,85,31,0,0
2015-10-13,99401,3141,3037,2051,361,219,55,29,0,0
2015-10-14,143580,4873,2736,413,514,26,66,21,0,0
2015-10-15,80155,5114,2341,587,359,260,44,23,0,0
2015-10-16,118456,1958,2830,926,203,36,73,21,0,0
2015-10-17,64443,2814,1777,292,104,78,9,0,0,0
2015-10-18,115257,1677,2205,1052,203,27,2,2,0,0
2015-10-19,51882,6801,2196,986,119,63,44,23,0,0
2015-10-20,97416,6039,2179,745,16,109,23,22,0,0
2015-10-21,130164,2294,3179,1033,219,82,83,9,0,0
2015-10-22,44064,2475,4259,1392,109,32,53,0,0,0
2015-10-23,192452,2307,3124,702,355,35,50,17,0,0
2015-10-24,199201,2881,1736,309,93,21,40,7,0,0
2015-10-25,140493,3104,2244,194,147,58,8,0,0,0
2015-10-26,298902,2061,3019,361,289,163,41,37,0,0
2015-10-27,166038,2299,2640,414,235,66,56,1,0,0
2015-10-28,149960,2212,3264,608,243,219,80,6,0,0
2015-10-29,152382,2381,2580,524,173,204,74,22,0,0
2015-10-30,197582,1779,2479,400,187,121,100,34,0,0
2015-10-31,203238,1801,1766,220,85,160,22,17,0,0
2015-11-01,205353,3056,2542,266,212,185,64,19,0,0
2015-11-02,173600,3929,3532,464,193,337,101,28,0,0
2015-11-03,77881,4706,609,475,302,198,156,31,0,0
2015-11-04,79561,2489,3126,685,388,164,130,29,0,0
2015-11-05,31493,1979,3879,565,218,359,132,29,0,0
2015-11-06,40518,1610,3345,509,210,110,102,19,0,0
2015-11-07,81978,800,2012,341,172,44,71,0,0,0
2015-11-08,60476,1223,2363,404,137,177,59,317,0,0
2015-11-09,54051,6017,3192,663,247,145,83,910,0,0
2015-11-10,32368,4984,2782,1135,151,89,69,818,0,0
2015-11-11,37910,2174,2597,814,395,154,120,535,0,0
2015-11-12,63832,2077,2212,800,296,252,103,935,0,0
2015-11-13,65378,3080,2431,887,396,142,90,609,0,0
2015-11-14,60825,1412,2361,432,414,54,16,23,0,0
2015-11-15,37879,1387,2880,598,504,141,40,4,0,0
2015-11-16,39009,1917,3208,2338,276,122,57,193,0,0
2015-11-17,30489,5215,3213,1000,347,109,99,35,0,0
2015-11-18,65303,7990,2790,862,493,107,122,37,0,0
2015-11-19,32515,2998,2965,1165,255,94,123,46,0,0
2015-11-20,37564,2241,2507,1035,117,165,78,84,0,0
2015-11-21,42871,1416,2354,422,181,25,55,22,0,0
2015-11-22,51174,1592,3260,466,199,89,14,16,0,0
2015-11-23,37551,2692,5302,740,416,120,61,107,0,0
2015-11-24,22672,1879,3007,792,333,115,41,112,0,0
2015-11-25,30103,3156,3881,558,315,59,24,30,0,0
2015-11-26,56644,1974,3473,431,119,140,11,19,0,0
2015-11-27,136299,1350,4473,403,42,28,28,15,0,0
2015-11-28,137217,1245,2523,301,337,139,41,24,0,0
2015-11-29,93125,995,2865,306,150,129,31,26,0,0
2015-11-30,76323,1786,3613,778,431,246,75,22,0,0
2015-12-01,115131,2988,4639,635,554,183,72,3,0,0
2015-12-02,102882,8062,4190,714,452,80,112,11,0,0
2015-12-03,75229,5022,3938,682,224,72,128,17,0,0
2015-12-04,116894,512,3475,947,199,110,91,24,0,0
2015-12-05,43994,209,3310,432,124,13,28,9,0,0
2015-12-06,67322,1082,3687,461,134,148,8,49,0,0
2015-12-07,54302,1664,4689,1249,356,72,73,51,0,0
2015-12-08,75436,2182,1634,743,181,275,152,94,0,0
2015-12-09,114881,3163,4342,726,56,116,81,30,0,0
2015-12-10,103944,4004,3848,813,279,248,148,79,0,0
2015-12-11,139005,2355,4674,529,45,75,112,38,0,0
2015-12-12,87274,1883,2294,229,35,39,42,31,0,0
2015-12-13,61144,1235,2843,372,63,10,69,110,0,0
2015-12-14,69147,2234,3363,366,203,182,174,240,0,0
2015-12-15,7815,2542,2531,837,233,41,250,135,0,0
2015-12-16,16883,2154,2233,575,141,61,200,179,0,0
2015-12-17,18492,2520,2130,984,102,145,197,861,0,0
2015-12-18,26557,1605,1501,665,73,105,76,41,0,0
2015-12-19,25229,1522,1832,725,34,45,176,32,0,0
2015-12-20,21656,1892,3852,282,32,34,84,21,0,0
2015-12-21,11804,2535,821,454,109,39,112,31,0,0
2015-12-22,9439,2634,1178,1027,46,99,54,16,0,0
2015-12-23,11896,2785,1882,415,84,25,99,31,0,0
2015-12-24,30284,2080,1674,1176,34,79,111,11,0,0
2015-12-25,56210,1179,1308,266,39,44,161,6,0,0
2015-12-26,91103,4576,2057,326,16,64,109,7,0,0
2015-12-27,97012,5062,2085,268,53,68,284,7,0,0
2015-12-28,190247,3704,2111,439,101,82,211,50,0,0
2015-12-29,230487,6765,2146,378,30,58,139,23,0,0
2015-12-30,69092,6215,2174,315,119,63,67,11,0,0
2015-12-31,57662,736,3228,187,110,22,116,10,0,0
2016-01-01,67862,855,8075,198,202,39,10,11,0,0
2016-01-02,185908,1467,3243,1045,109,20,24,9,0,0
2016-01-03,178302,2526,2260,1591,72,53,56,30,0,0
2016-01-04,147625,3877,3398,370,88,518,108,24,0,0
2016-01-05,61212,2307,3193,548,104,1652,134,25,0,0
2016-01-06,80289,3846,3473,1374,129,1466,169,19,0,0
2016-01-07,33271,5379,3683,625,213,2043,133,16,0,0
2016-01-08,30430,4983,4067,550,178,1812,63,12,0,1
2016-01-09,73048,2505,6579,422,185,1654,13,1,0,0
2016-01-10,204152,1174,2410,458,179,3343,75,5,0,0
2016-01-11,125228,3544,8071,948,105,3237,78,33,0,13
2016-01-12,281440,5732,5014,520,178,550,134,5,0,41
2016-01-13,131876,5677,7404,712,72,120,151,6,0,6
2016-01-14,85091,5911,6733,641,72,35,135,2,0,5
2016-01-15,36716,6636,3690,491,66,85,119,21,0,12
2016-01-16,46354,2723,2098,319,107,634,143,9,0,0
2016-01-17,117319,3167,3250,319,63,163,62,7,0,0
2016-01-18,177005,3912,3810,519,45,40,65,33,0,0
2016-01-19,123508,5788,5493,798,86,87,120,43,0,4
2016-01-20,163276,3519,4816,754,114,137,71,15,0,0
2016-01-21,89575,3041,4544,618,171,125,30,21,0,7
2016-01-22,241726,2029,4039,640,98,40,123,9,0,6
2016-01-23,127066,1788,3433,410,9,74,154,0,0,0
2016-01-24,130563,2179,7771,355,116,93,73,22,0,0
2016-01-25,38946,4814,9081,775,123,87,219,11,0,0
2016-01-26,192253,4179,4117,592,110,92,114,46,0,4
2016-01-27,123030,3945,4298,886,226,135,57,30,0,12
2016-01-28,51127,2408,4444,883,251,78,108,21,0,4
2016-01-29,16069,1524,4373,507,70,102,74,22,0,3
2016-01-30,30506,1015,10439,380,31,84,48,30,0,0
2016-01-31,79513,1221,13646,574,32,134,112,41,0,0
