Day,[OSG] Number of Jobs Submitted,[TACC STAMPEDE] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[CCT LSU SUPERMIC] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[GATECH KIDS] Number of Jobs Submitted
2014-09-10,0,4569,501,687,1009,1235,64,247,128,0,5,0
2014-09-11,0,4693,345,814,1448,850,82,271,147,0,4,0
2014-09-12,0,5495,237,879,510,445,33,385,60,0,6,0
2014-09-13,0,4346,245,342,50,187,16,335,76,0,6,0
2014-09-14,0,2983,392,319,77,90,54,358,64,0,4,0
2014-09-15,0,4631,668,280,964,444,28,364,128,0,4,0
2014-09-16,0,2939,325,503,1447,524,44,815,104,0,6,0
2014-09-17,0,2784,553,1875,587,6,165,1023,76,0,4,0
2014-09-18,0,3535,450,530,841,79,111,460,79,0,5,0
2014-09-19,0,4633,438,630,1245,114,12,297,169,0,9,0
2014-09-20,0,3694,511,278,119,79,4,119,104,0,7,0
2014-09-21,0,4534,402,402,53,9,4,109,119,0,4,0
2014-09-22,0,5113,625,516,463,57,50,523,113,0,5,0
2014-09-23,0,4425,495,556,1105,18,34,214,98,0,3,0
2014-09-24,0,2645,530,463,267,5,66,204,104,0,1,0
2014-09-25,0,3904,372,560,545,144,122,316,99,0,4,0
2014-09-26,0,3779,527,589,631,19,44,136,79,0,4,0
2014-09-27,0,4254,230,180,641,21,46,21,33,0,3,0
2014-09-28,0,4245,332,394,1234,18,47,147,332,0,4,0
2014-09-29,0,7307,418,790,761,198,224,527,113,0,5,0
2014-09-30,0,2603,384,691,755,100,9,232,33,0,4,0
2014-10-01,0,14142,477,762,48,67,34,118,29,0,5,0
2014-10-02,0,3644,1652,1193,99,273,192,232,29,0,6,0
2014-10-03,0,3014,891,845,234,76,123,284,8,17,11,0
2014-10-04,0,2228,427,778,230,100,101,313,40,0,16,0
2014-10-05,0,2936,513,605,102,129,201,19,40,0,25,0
2014-10-06,0,8609,586,690,448,277,173,22,70,6,12,0
2014-10-07,0,6477,607,637,643,148,229,24,47,0,35,0
2014-10-08,0,2308,552,808,252,116,394,9,52,1,0,0
2014-10-09,0,2495,963,485,1155,138,439,34,61,4,0,0
2014-10-10,0,3990,606,481,320,56,456,46,27,8,0,0
2014-10-11,0,2142,923,281,19,61,36,28,19,0,0,0
2014-10-12,0,3225,1590,333,193,183,557,19,31,0,0,0
2014-10-13,0,4689,1149,1259,805,71,425,219,35,5,0,0
2014-10-14,0,8567,1144,1275,1365,135,256,203,50,2,3,0
2014-10-15,0,6678,1086,699,1173,151,362,20,58,12,8,0
2014-10-16,0,3200,1005,2737,3258,111,517,24,60,4,43,0
2014-10-17,0,3125,1354,824,569,107,23,39,64,32,4,0
2014-10-18,0,3019,1240,266,346,88,5,55,13,0,5,0
2014-10-19,0,1481,2167,397,1235,12,47,9,26,0,4,0
2014-10-20,0,3427,1752,921,494,99,368,33,93,5,3,0
2014-10-21,0,1057,914,633,1956,11,671,29,54,6,4,0
2014-10-22,0,2566,746,753,278,140,142,46,32,3,2,0
2014-10-23,0,2155,794,767,2603,55,131,89,27,0,3,0
2014-10-24,0,7042,2437,669,2708,38,60,37,55,0,4,0
2014-10-25,0,4333,2429,249,1138,61,3,27,31,0,3,0
2014-10-26,0,4023,1849,208,679,117,3,34,56,0,3,0
2014-10-27,0,3878,1112,836,1163,149,168,141,28,0,4,0
2014-10-28,0,764,695,1052,1044,93,422,111,27,0,3,0
2014-10-29,0,2755,1748,728,512,40,952,162,49,0,2,0
2014-10-30,0,2925,1584,1090,582,55,68,61,76,0,4,0
2014-10-31,0,4346,949,912,1182,43,6,57,25,9,1,0
2014-11-01,0,3424,395,239,74,25,443,22,6,3,0,0
2014-11-02,0,3657,275,1810,1731,20,373,20,1,3,0,0
2014-11-03,0,4752,1383,889,631,25,1087,60,116,6,5,0
2014-11-04,0,2944,686,2590,340,16,34,47,127,3,4,0
2014-11-05,0,4632,812,1427,368,36,303,49,126,6,0,0
2014-11-06,0,2592,595,864,1666,28,1563,44,106,14,0,0
2014-11-07,0,2998,433,661,528,28,169,155,334,12,6,0
2014-11-08,0,4735,330,352,105,20,233,14,398,1,3,0
2014-11-09,0,4615,457,444,151,14,529,12,31,6,3,0
2014-11-10,0,2919,1120,549,282,23,1433,52,768,3,5,0
2014-11-11,0,2007,1353,621,501,10,1052,45,682,1,1,0
2014-11-12,0,2329,1706,815,324,9,1572,28,186,17,8,0
2014-11-13,0,3188,818,1675,502,18,1811,73,299,4,43,0
2014-11-14,0,2388,715,514,179,51,1396,66,180,12,24,0
2014-11-15,0,1385,673,357,66,7,1572,42,51,4,4,0
2014-11-16,0,4326,1066,310,160,70,564,91,229,6,10,0
2014-11-17,0,3161,1194,946,218,63,532,176,457,4,5,0
2014-11-18,0,3266,1532,927,296,38,7,159,290,4,7,0
2014-11-19,0,2527,1235,1228,67,86,44,166,43,7,12,0
2014-11-20,0,2828,594,1697,171,60,31,169,40,11,6,0
2014-11-21,0,2965,627,1511,132,87,28,49,70,6,2,0
2014-11-22,0,2486,655,1088,38,121,82,32,19,6,1,0
2014-11-23,0,3021,707,542,12,316,51,23,31,8,1,0
2014-11-24,0,3257,565,1658,578,165,215,45,81,7,2,0
2014-11-25,0,521,404,2352,115,163,65,68,72,16,1,0
2014-11-26,0,2775,521,1015,104,85,102,48,38,10,1,0
2014-11-27,0,1687,656,740,40,68,5,59,44,6,1,0
2014-11-28,0,2273,474,894,72,94,69,28,37,5,1,0
2014-11-29,0,2414,486,515,24,153,147,102,17,5,1,0
2014-11-30,0,2368,991,359,42,187,73,91,28,7,4,0
2014-12-01,0,7477,723,854,144,101,1070,164,83,6,1,0
2014-12-02,0,4557,630,2050,181,82,64,76,94,6,3,0
2014-12-03,0,4198,1142,1759,53,52,7,68,62,6,0,0
2014-12-04,0,1805,528,858,133,179,170,77,64,80,3,0
2014-12-05,0,1481,456,1007,233,203,33,52,145,15,2,0
2014-12-06,0,1338,358,562,34,147,18,78,0,5,4,0
2014-12-07,0,2234,765,878,115,109,456,45,59,8,1,0
2014-12-08,0,3368,976,1472,98,185,338,334,63,7,1,0
2014-12-09,0,4286,1020,1094,190,151,72,113,198,11,1,0
2014-12-10,0,3322,1560,898,69,67,61,360,103,9,4,0
2014-12-11,0,3506,1343,678,134,100,36,172,186,12,6,0
2014-12-12,0,2724,1320,741,194,137,39,587,62,24,8,0
2014-12-13,0,2137,1297,343,74,70,7,228,53,20,4,0
2014-12-14,0,5139,3404,300,92,31,4,81,89,14,1,0
2014-12-15,0,3425,4851,2128,54,122,435,93,109,50,1,0
2014-12-16,0,2278,1532,986,42,140,682,194,81,42,5,0
2014-12-17,0,2032,3323,1310,232,136,227,114,155,26,4,0
2014-12-18,0,2215,4842,778,2,118,1,138,80,30,1,0
2014-12-19,0,2076,2975,1625,18,89,112,456,82,22,1,0
2014-12-20,0,1600,5078,2110,1,46,95,341,49,16,1,0
2014-12-21,0,2907,2536,1260,10,69,285,294,11,14,1,0
2014-12-22,0,2948,3602,2066,25,35,524,83,64,16,1,0
2014-12-23,0,2814,2705,2764,15,39,578,205,70,12,2,0
2014-12-24,0,2173,2215,1024,6,26,304,128,48,9,7,0
2014-12-25,0,1630,2188,650,8,10,331,65,30,12,3,0
2014-12-26,0,1250,3658,222,12,35,421,37,40,9,5,0
2014-12-27,0,1826,2195,212,10,7,40,27,29,12,5,0
2014-12-28,0,3228,2634,299,7,18,23,28,25,12,3,0
2014-12-29,0,1980,782,724,23,71,98,55,13,9,1,0
2014-12-30,0,2113,1080,227,45,79,61,3,31,16,1,0
2014-12-31,0,3743,207,90,11,47,45,2,46,14,1,0
2015-01-01,0,2478,102,68,4,48,0,1,13,18,1,0
2015-01-02,0,3327,544,327,3,57,0,0,37,10,2,0
2015-01-03,0,2562,2993,692,3,38,0,0,35,11,16,0
2015-01-04,0,127,6668,232,2,0,0,0,44,23,7,0
2015-01-05,0,394,2108,1754,17,18,0,0,68,18,1,0
2015-01-06,0,3581,1445,652,16,69,0,0,54,12,1,0
2015-01-07,0,4075,7449,486,2,89,0,0,89,25,0,0
2015-01-08,0,3652,2888,1402,50,67,0,0,49,15,7,0
2015-01-09,0,3889,902,303,24,72,0,0,18,7,15,0
2015-01-10,1,2769,679,285,21,12,0,0,15,5,4,0
2015-01-11,0,3244,2731,279,15,19,0,0,44,20,2,0
2015-01-12,1,4438,2079,404,102,89,0,0,63,10,3,0
2015-01-13,2,718,1483,914,90,3,0,0,57,12,1,0
2015-01-14,10,3161,1289,800,58,87,0,0,101,15,3,0
2015-01-15,4,3026,3883,1457,121,120,0,0,113,17,15,0
2015-01-16,3,3764,3265,524,62,72,0,0,165,25,3,0
2015-01-17,7366,2578,2054,457,61,25,0,0,53,28,2,0
2015-01-18,62152,3434,5271,658,28,40,0,0,81,26,2,0
2015-01-19,55614,4154,3650,566,21,93,0,0,96,25,1,0
2015-01-20,88432,4263,2330,1137,281,44,0,2,91,29,1,0
2015-01-21,92649,4437,4378,2097,212,24,0,0,54,64,1,0
2015-01-22,47986,3918,2876,720,103,36,0,1,116,36,6,0
2015-01-23,55830,4111,1538,1253,182,55,0,2,78,55,8,0
2015-01-24,68708,2758,4421,522,43,8,0,0,42,69,2,0
2015-01-25,80681,3625,1136,357,28,142,0,0,43,116,1,0
2015-01-26,93273,5522,2101,511,299,194,0,0,125,108,1,0
2015-01-27,48597,3198,3240,604,304,120,0,1,80,111,1,0
2015-01-28,37414,2663,3201,667,108,60,0,1,95,137,0,0
2015-01-29,70739,2870,3580,778,324,46,0,3,80,96,4,0
2015-01-30,96755,3426,1227,930,149,54,0,0,215,86,4,0
2015-01-31,139177,3170,4545,332,82,14,0,0,73,82,1,0
