Day,[PURDUE STEELE] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[PURDUE CONDOR] Number of Jobs Submitted,[TACC RANGER] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[NCSA FORGE] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[TACC SPUR] Number of Jobs Submitted,[LONI QUEENBEE] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[SDSC DASH] Number of Jobs Submitted
2012-03-14,2541,1759,600,1066,1258,65,418,268,67,16,142,3,4,0,0
2012-03-15,3756,1404,470,1357,1359,70,0,254,103,9,37,9,18,0,0
2012-03-16,2747,672,291,1330,1292,87,4,231,98,4,148,18,49,0,0
2012-03-17,6822,537,24,818,1288,60,58,204,75,0,106,5,6,0,0
2012-03-18,3966,474,24,974,421,57,222,166,220,4,23,9,49,0,0
2012-03-19,7250,1171,66,878,569,76,2,324,89,30,25,13,4,0,0
2012-03-20,16152,1118,5519,1061,674,53,104,324,114,123,7,7,35,0,0
2012-03-21,16466,1031,20,1662,540,445,601,100,279,172,39,10,43,0,0
2012-03-22,8680,1069,232,1226,1685,414,439,161,227,137,23,34,58,0,0
2012-03-23,7374,845,28,1227,1569,265,24,158,36,66,14,3,66,0,0
2012-03-24,5737,408,0,1146,609,578,183,234,44,39,7,2,12,0,0
2012-03-25,19547,790,8,1693,449,769,490,500,41,9,11,0,14,0,0
2012-03-26,19423,1490,123,1774,765,522,504,249,34,32,51,2,15,0,0
2012-03-27,7255,1575,2480,2105,833,294,134,47,53,31,53,12,4,0,0
2012-03-28,5874,1601,455,2338,518,290,385,283,215,34,55,13,1,0,0
2012-03-29,4706,1255,3780,2355,373,747,396,672,184,14,56,6,7,0,0
2012-03-30,5709,1599,504,2604,926,557,260,884,58,15,19,2,0,0,0
2012-03-31,16713,24,174,2217,965,599,1,257,45,6,0,2,2,0,0
2012-04-01,45657,275,16,1444,561,299,124,373,21,26,0,4,0,0,0
2012-04-02,7579,827,101,1380,672,5897,704,161,15,149,0,0,0,0,0
2012-04-03,4859,1712,1585,1049,1292,643,339,231,53,166,41,1,0,0,0
2012-04-04,4073,1347,191,1352,1111,1856,345,140,32,151,45,2,0,0,0
2012-04-05,4605,1532,79,1530,871,4245,240,122,68,142,14,5,0,0,0
2012-04-06,5353,2138,1086,1207,771,485,22,187,39,43,18,1,0,0,0
2012-04-07,6364,701,3435,1053,274,272,108,89,36,89,23,1,0,0,0
2012-04-08,15636,697,61,803,875,601,158,66,39,79,12,3,0,0,0
2012-04-09,6000,1272,6634,1622,1016,396,240,101,76,112,50,2,0,0,0
2012-04-10,7219,1739,4876,1352,1334,392,291,205,103,113,88,3,0,0,0
2012-04-11,4819,1409,21,1247,1899,321,340,150,33,3,35,4,0,0,0
2012-04-12,3665,4466,338,928,1252,310,470,125,94,114,16,6,0,0,0
2012-04-13,5189,5029,118,1159,480,197,0,157,99,89,5,1,0,0,0
2012-04-14,9930,3301,2744,567,246,98,117,158,49,84,52,0,0,0,0
2012-04-15,3054,2068,7034,725,269,47,298,34,30,110,16,0,0,0,0
2012-04-16,1596,5716,5633,1208,694,468,270,0,77,85,90,1,0,0,0
2012-04-17,6186,6449,4080,335,494,735,73,237,127,6,52,0,0,0,0
2012-04-18,2184,4815,3562,900,626,502,393,152,80,63,75,3,0,0,0
2012-04-19,8661,3373,4417,1411,723,458,318,78,94,118,42,3,0,0,0
2012-04-20,5000,3673,8683,1197,594,627,272,166,87,114,35,3,0,0,0
2012-04-21,9187,1866,7614,1257,419,478,145,77,74,91,6,1,0,0,0
2012-04-22,5275,1916,2887,1258,541,450,64,75,46,50,13,0,0,0,0
2012-04-23,3399,3806,1353,1209,928,663,190,142,75,121,33,0,0,0,0
2012-04-24,9092,5185,13,0,606,204,0,142,75,0,30,0,0,0,0
2012-04-25,8423,4683,1840,0,778,2515,0,150,74,0,37,0,0,0,0
2012-04-26,3728,3666,12,0,695,1050,0,80,98,0,36,0,0,0,0
2012-04-27,5878,1898,0,0,905,1113,0,125,79,0,37,0,0,0,0
2012-04-28,5326,627,8,0,902,786,0,86,375,0,56,0,0,0,0
2012-04-29,743,1716,4,0,1284,1106,0,98,17,0,19,0,0,0,0
2012-04-30,1120,4177,10,4,1332,845,0,148,133,0,101,0,0,0,0
2012-05-01,1444,3974,30,85,1538,1032,0,197,59,0,78,0,0,0,0
2012-05-02,7266,2660,471,405,1724,1257,0,146,60,18,30,0,0,0,0
2012-05-03,4218,3618,816,1180,1215,965,0,149,31,86,14,4,0,0,0
2012-05-04,1826,3849,599,1014,713,1044,2,156,96,128,12,8,0,0,0
2012-05-05,3590,1924,1130,1007,1885,709,146,165,16,59,11,0,0,0,0
2012-05-06,3718,2628,778,1277,1391,320,391,144,17,40,5,1,0,0,0
2012-05-07,2632,4714,10613,956,426,629,464,386,24,50,30,2,0,0,0
2012-05-08,4044,5066,1391,478,977,399,327,405,62,38,18,0,0,0,0
2012-05-09,6978,7442,283,1268,1844,445,336,153,60,22,22,1,0,0,0
2012-05-10,9965,4939,3499,825,2223,118,295,186,118,36,30,3,0,0,0
2012-05-11,5627,2594,9123,706,1006,469,255,267,45,32,14,4,0,0,0
2012-05-12,2798,1338,1187,945,407,787,165,82,14,43,6,2,0,0,0
2012-05-13,3675,3369,2305,997,679,1114,120,56,20,66,3,0,0,0,0
2012-05-14,2545,3850,383,919,1176,355,264,184,37,55,7,1,0,0,0
2012-05-15,4,2505,48,1082,1940,872,288,141,30,63,4,4,0,0,0
2012-05-16,0,3013,0,967,611,900,389,176,27,49,14,1,0,0,0
2012-05-17,1680,2991,40,1012,1223,544,345,130,46,54,14,3,0,0,0
2012-05-18,1554,3733,1445,570,734,497,315,154,155,58,4,2,0,0,0
2012-05-19,128,730,223,393,1469,653,130,84,23,24,2,0,0,0,0
2012-05-20,119,5318,140,802,642,677,199,117,13,20,18,0,0,0,0
2012-05-21,284,6563,117,1012,423,292,475,151,27,44,40,10,0,0,0
2012-05-22,5919,3814,1143,141,702,983,310,103,69,22,22,3,0,0,0
2012-05-23,3640,5415,1210,1128,1167,365,272,71,122,29,36,7,0,0,0
2012-05-24,9270,6657,1055,1160,877,1157,180,90,244,43,32,4,0,0,0
2012-05-25,4507,5041,50,1171,2929,602,159,77,33,27,47,10,0,0,0
2012-05-26,2666,7130,1224,1006,722,1,171,65,10,4,16,5,0,0,0
2012-05-27,4504,6147,664,1169,0,0,462,55,4,11,9,17,0,0,0
2012-05-28,4932,4432,63,1442,2346,0,326,62,75,4,9,1,0,0,0
2012-05-29,5648,4260,21217,1253,4555,0,81,160,53,39,14,1,0,0,0
2012-05-30,5658,176,1272,860,3513,390,150,59,83,15,23,1,0,0,0
2012-05-31,8040,8178,994,680,3508,645,218,125,75,14,39,0,0,0,0
2012-06-01,5945,5838,95,449,3983,456,242,116,59,30,12,0,0,0,0
2012-06-02,5614,3106,1425,613,2660,555,199,30,21,23,1,0,0,0,0
2012-06-03,4698,7418,5820,938,1195,617,166,64,66,12,6,0,0,0,0
2012-06-04,3869,5810,9715,1108,855,510,318,103,382,74,26,0,0,0,0
2012-06-05,2948,5678,480,1323,561,1075,322,120,258,63,10,0,0,0,0
2012-06-06,3815,8905,1674,1171,804,943,430,94,293,44,24,0,0,0,0
2012-06-07,7157,11626,955,1482,1025,1075,235,111,336,74,25,42,0,0,0
2012-06-08,5517,8246,900,1063,489,872,210,80,289,47,80,1,0,0,0
2012-06-09,4691,7951,2048,989,1192,858,129,27,225,21,22,3,0,0,0
2012-06-10,3115,5422,1460,796,2178,974,215,48,245,1,17,0,0,0,0
2012-06-11,5421,2198,1919,1002,1434,1344,325,99,280,69,40,0,0,0,0
2012-06-12,4828,3659,513,1030,1792,1166,308,94,233,63,51,0,0,0,0
2012-06-13,3766,5170,1279,1073,667,977,286,70,350,70,46,0,0,0,0
2012-06-14,3991,4513,2095,910,7423,2124,234,197,522,36,48,2,0,0,0
2012-06-15,3783,5978,1065,1200,3565,1309,209,67,413,97,43,9,0,0,0
2012-06-16,3563,8437,443,1038,4740,2305,120,176,115,0,21,4,0,0,0
2012-06-17,4762,11887,1601,847,5513,1276,190,253,118,18,13,4,0,0,0
2012-06-18,6462,6880,3971,1405,5038,347,380,188,77,478,31,7,0,0,0
2012-06-19,7353,588,1010,1382,896,1066,404,123,157,248,10,4,0,0,0
2012-06-20,3820,1636,1578,1608,2999,663,395,226,113,600,23,0,0,0,0
2012-06-21,5224,2401,23,1198,874,1133,419,65,100,172,28,1,0,0,0
2012-06-22,3711,3666,681,1879,1020,665,509,55,127,365,28,6,0,0,0
2012-06-23,4031,3455,40,1295,601,2010,480,71,133,369,15,0,0,0,0
2012-06-24,5008,2756,120,1243,337,906,591,58,125,115,18,1,0,0,0
2012-06-25,9283,3546,9,1624,557,864,607,108,181,109,17,6,0,0,0
2012-06-26,9976,3074,13,1276,1082,1149,507,200,139,110,16,0,0,0,0
2012-06-27,8064,797,0,1461,1244,1416,412,60,96,100,37,0,0,0,0
2012-06-28,17574,1074,63,1512,996,2041,398,81,91,66,77,7,0,0,0
2012-06-29,16314,3848,164,1142,996,1284,686,286,50,124,90,44,0,0,0
2012-06-30,12947,6396,23,1097,1152,389,634,43,13,59,59,64,0,0,0
2012-07-01,5680,2181,117,814,769,488,485,72,110,39,13,6,0,0,0
2012-07-02,5562,3717,100,1797,1969,935,619,150,120,127,124,2,0,0,0
2012-07-03,3971,2224,0,1410,1161,1900,788,96,85,113,34,0,0,0,0
2012-07-04,7620,2352,20,1330,757,1524,702,48,23,49,13,1,0,0,0
2012-07-05,3852,1276,1,1386,918,574,650,105,114,83,19,6,0,0,0
2012-07-06,5446,2211,40,1743,721,1078,620,81,105,18,59,18,0,0,0
2012-07-07,5474,1923,40,1104,598,306,776,69,34,6,4,73,0,0,0
2012-07-08,1807,2484,20,852,438,289,722,48,95,12,22,20,0,0,0
2012-07-09,1249,4517,420,2079,685,679,688,148,132,10,58,14,0,0,0
2012-07-10,317,2804,1261,1534,1268,805,419,98,96,80,34,5,0,0,0
2012-07-11,57,2427,246,1287,1137,839,385,154,72,44,22,7,0,0,0
2012-07-12,69,2292,100,1230,714,1279,483,159,57,27,96,6,0,10,0
2012-07-13,734,1978,100,1523,585,998,469,65,20,25,58,8,0,5,0
2012-07-14,1033,1952,60,663,340,598,451,29,24,5,8,45,0,10,0
2012-07-15,3573,1594,20,813,301,322,554,57,55,5,13,6,0,1,0
2012-07-16,5875,2712,162,1165,331,601,391,117,121,22,66,7,0,29,0
2012-07-17,3545,2408,300,1409,432,970,527,78,26,37,69,14,0,1,0
2012-07-18,1507,3576,1760,1572,1197,1492,628,128,73,17,19,10,0,2,0
2012-07-19,3556,1547,0,1338,665,1222,369,60,61,28,59,33,0,0,0
2012-07-20,2948,2521,80,1014,1718,1885,316,45,51,16,22,7,0,0,0
2012-07-21,6014,1876,0,955,561,652,251,36,62,6,17,2,0,0,0
2012-07-22,9095,1754,60,927,674,665,344,46,51,11,13,0,0,0,0
2012-07-23,3078,2611,1220,1068,695,1121,505,79,214,33,37,6,0,0,0
2012-07-24,2758,1660,4903,1365,467,1296,43,99,334,44,54,4,0,0,0
2012-07-25,1664,3553,5184,1414,720,1554,296,196,285,29,18,9,0,0,0
2012-07-26,779,1380,5239,1259,589,1169,402,196,203,6,14,3,0,0,0
2012-07-27,740,1597,4090,1398,878,1162,409,91,65,29,10,6,0,0,0
2012-07-28,892,1784,120,1122,792,247,210,52,71,17,2,0,0,1,0
2012-07-29,1953,1560,24,1089,890,159,299,85,44,18,33,1,0,13,0
2012-07-30,4734,2615,1128,1191,1424,1659,378,99,91,2,4,3,0,6,0
2012-07-31,6632,2715,620,221,1831,1566,732,125,62,3,53,4,0,4,0
