title
"Number of Jobs Submitted: by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[PURDUE STEELE] Number of Jobs Submitted","[PURDUE CONDOR] Number of Jobs Submitted","[NICS KRAKEN] Number of Jobs Submitted","[TACC RANGER] Number of Jobs Submitted","[SDSC TRESTLES] Number of Jobs Submitted","[TACC LONESTAR4] Number of Jobs Submitted","[PSC BLACKLIGHT] Number of Jobs Submitted","[NICS NAUTILUS] Number of Jobs Submitted","[NCSA FORGE] Number of Jobs Submitted","[TACC LONGHORN] Number of Jobs Submitted","[LONI QUEENBEE] Number of Jobs Submitted","[NCSA LINCOLN] Number of Jobs Submitted","[PSC POPLE] Number of Jobs Submitted","[TACC SPUR] Number of Jobs Submitted","[SDSC DASH] Number of Jobs Submitted","[NCSA EMBER*] Number of Jobs Submitted","[NCAR FROST] Number of Jobs Submitted","[IU BIGRED*] Number of Jobs Submitted"
2011-08-30,4511,6151,1843,1342,949,279,362,99,0,51,46,73,23,3,4,11,6,0
2011-08-31,3015,3087,2749,1519,624,421,128,201,0,43,59,64,9,2,0,1,0,0
2011-09-01,2236,3553,1221,1194,699,287,307,17,0,49,151,102,0,2,4,0,0,0
2011-09-02,3817,2692,1975,1142,476,520,192,25,0,27,41,86,0,9,0,0,0,0
2011-09-03,3903,6082,2142,765,456,158,144,3,0,46,40,31,0,2,9,0,0,0
2011-09-04,3609,4142,3347,889,266,615,134,13,0,40,15,38,0,1,5,0,0,0
2011-09-05,2779,2684,2827,1118,144,552,105,104,0,26,54,38,10,0,4,0,0,0
2011-09-06,2782,2278,699,1446,444,370,193,193,0,37,160,36,3,6,5,4,0,0
2011-09-07,4099,1325,821,1228,581,501,275,105,0,30,129,76,2,5,0,9,0,2
2011-09-08,2079,1294,452,1076,5,389,409,21,0,32,135,40,13,9,0,16,0,0
2011-09-09,369,3653,472,1308,0,165,420,22,0,35,71,56,12,20,16,1,0,0
2011-09-10,2641,7886,1562,617,161,139,101,3,0,42,66,60,0,6,0,0,0,0
2011-09-11,4687,2927,2037,748,212,163,85,49,0,20,51,59,0,8,0,0,0,3
2011-09-12,3035,810,1511,1105,782,554,479,35,0,28,74,46,7,8,0,1,0,0
2011-09-13,5656,1439,976,1529,551,684,507,39,0,42,54,57,75,8,0,0,0,0
2011-09-14,1924,2276,1312,1116,419,465,331,19,0,93,61,43,3,5,0,0,0,0
2011-09-15,3311,3445,2118,1636,498,486,196,111,0,79,91,83,0,6,0,1,0,0
2011-09-16,5469,3924,1666,1143,503,371,248,16,0,47,23,55,0,0,0,10,0,0
2011-09-17,6076,4016,806,875,80,245,155,5,0,51,2,47,0,2,0,0,0,0
2011-09-18,10256,3999,4101,669,86,44,116,8,0,50,12,48,0,7,0,0,0,0
2011-09-19,13827,4233,2910,1203,86,97,307,31,0,52,23,49,0,10,0,0,0,0
2011-09-20,11361,3368,1257,1353,194,1,148,61,5,56,14,45,0,8,1,2,0,0
2011-09-21,11169,2858,1205,783,527,0,188,72,2,38,57,22,0,4,0,7,0,0
2011-09-22,3238,5492,1328,1040,379,226,155,51,24,38,58,32,0,9,0,4,0,0
2011-09-23,1856,7363,1496,1056,261,440,199,54,30,26,41,36,0,6,0,11,0,0
2011-09-24,296,4805,602,734,205,376,130,19,0,35,17,34,0,5,0,0,0,0
2011-09-25,533,4934,1561,755,391,197,79,18,0,27,21,35,0,12,0,0,0,0
2011-09-26,1511,3597,3224,1140,442,428,209,0,36,32,59,45,14,4,0,0,0,0
2011-09-27,293,4805,1130,1393,510,459,188,76,19,36,40,96,5,3,0,0,0,0
2011-09-28,1457,3700,1526,1329,246,702,116,223,21,32,56,83,16,1,0,0,0,0
2011-09-29,9955,2320,190,1220,255,418,111,215,70,20,25,25,13,13,0,0,0,0
2011-09-30,21962,3126,475,1238,330,620,406,114,62,24,4,139,5,8,0,0,0,0
2011-10-01,9721,3856,508,444,170,438,124,7,15,2,6,27,0,1,0,0,0,0
2011-10-02,36795,4329,474,877,320,257,274,10,71,1,25,27,5,17,0,0,0,0
2011-10-03,19969,2580,1579,922,329,167,157,33,158,7,14,27,0,2,1,0,0,0
2011-10-04,18120,3566,2096,329,579,15,44,113,71,5,31,38,0,0,0,0,0,0
2011-10-05,35671,2209,1791,1316,283,135,550,102,18,9,13,57,4,7,0,0,0,0
2011-10-06,19961,1653,1294,1196,283,259,320,93,28,6,19,18,1,6,1,0,0,0
2011-10-07,19194,2284,1475,1079,509,231,135,198,18,2,17,27,0,2,0,0,0,0
2011-10-08,16197,6579,924,1002,1448,150,141,6,0,6,3,15,0,1,0,0,0,0
2011-10-09,10425,8588,1819,989,131,75,345,184,0,1,0,13,0,3,0,0,0,0
2011-10-10,8411,7832,1686,1199,241,183,112,138,1,4,2,13,23,15,0,0,0,0
2011-10-11,5564,4834,1693,985,342,0,0,19,3,18,8,72,0,13,0,0,0,0
2011-10-12,8801,4134,2101,1015,771,10,465,98,43,12,11,6,0,6,1,0,0,0
2011-10-13,10919,2060,1184,1643,835,137,533,104,38,55,31,40,0,3,0,0,0,0
2011-10-14,13176,462,475,1390,742,424,1120,13,57,12,7,7,0,11,0,0,0,0
2011-10-15,9595,2888,524,1190,531,208,227,12,26,4,7,11,0,2,0,0,0,0
2011-10-16,11496,9112,1355,849,162,140,154,1,66,3,2,10,0,1,0,0,0,0
2011-10-17,33684,8683,1749,1350,372,5,214,10,83,10,12,7,0,8,0,0,0,0
2011-10-18,37173,2180,855,316,69,102,355,106,42,30,13,0,0,3,0,0,0,0
2011-10-19,36762,512,1329,882,399,300,500,16,38,14,0,0,0,7,0,0,0,0
2011-10-20,3388,2200,814,915,412,178,518,11,66,19,0,0,0,10,0,0,0,0
2011-10-21,3836,13480,1115,567,553,352,405,39,53,24,0,0,0,1,0,0,0,0
2011-10-22,5980,8040,832,561,248,112,204,18,51,11,0,0,0,0,0,0,0,0
2011-10-23,8477,20,869,634,282,164,67,22,69,20,1,0,0,2,0,0,0,0
2011-10-24,11081,2760,1590,1105,704,430,107,151,34,11,10,0,2,10,1,0,0,0
2011-10-25,6369,5900,1042,863,752,346,200,100,84,25,7,0,1,3,0,0,0,0
2011-10-26,11002,3962,748,1046,419,25,308,112,40,6,17,0,0,5,3,0,0,0
2011-10-27,9626,6650,780,1030,652,148,374,17,49,3,36,0,0,1,3,0,0,0
2011-10-28,8134,1060,925,1245,441,449,285,29,58,5,4,0,0,5,9,0,0,0
2011-10-29,9182,1000,1110,788,320,212,128,3,44,1,0,0,0,5,3,0,0,0
2011-10-30,6382,1629,1714,2524,457,391,158,22,113,2,4,0,0,0,1,0,0,0
2011-10-31,7578,1920,1592,3042,625,518,364,0,134,6,11,0,0,6,5,0,0,0
2011-11-01,3814,698,2207,2258,683,40,286,98,38,5,0,0,0,9,1,0,0,0
2011-11-02,6091,880,1650,1336,721,104,135,144,167,3,0,0,0,7,0,0,0,0
2011-11-03,5577,2040,1831,1104,652,347,372,28,40,3,0,0,0,20,0,0,0,0
2011-11-04,3743,1560,1999,752,658,335,311,158,99,12,3,0,0,3,0,0,0,0
2011-11-05,5386,200,2019,777,148,167,119,15,48,6,2,0,0,4,1,0,0,0
2011-11-06,6852,3300,939,1157,87,210,128,19,37,9,5,0,0,4,0,0,0,0
2011-11-07,8684,3000,300,514,437,284,381,13,93,24,0,0,0,6,3,0,0,0
2011-11-08,4264,3165,733,1049,955,113,338,30,50,23,11,0,0,4,8,0,0,0
2011-11-09,4126,1147,1739,1181,505,478,186,31,40,32,0,0,0,9,7,0,0,0
2011-11-10,2651,182,545,1136,473,140,262,35,42,42,0,0,0,6,0,0,0,0
2011-11-11,5795,214,1966,1283,753,308,415,34,43,49,4,0,0,3,0,0,0,0
2011-11-12,5362,2006,1522,1018,193,340,272,26,25,11,1,0,0,6,0,0,0,0
2011-11-13,5952,3384,2089,1228,288,215,252,29,173,9,0,0,0,1,0,0,0,0
2011-11-14,4846,3659,1840,1529,444,192,428,34,31,6,13,0,0,1,0,0,0,0
2011-11-15,6028,4694,1766,1235,393,467,590,41,12,13,13,0,0,5,0,0,0,0
2011-11-16,5885,5672,1797,1163,631,369,587,36,24,4,7,0,0,3,0,0,0,0
2011-11-17,3923,7894,1007,1000,1432,323,263,38,51,10,0,0,0,5,5,0,0,0
2011-11-18,2239,11607,663,532,551,11,105,45,62,3,6,0,0,2,10,0,0,0
2011-11-19,3282,4293,910,728,252,150,0,125,39,1,4,0,0,2,0,0,0,0
2011-11-20,2509,4251,853,732,260,208,0,64,35,1,24,0,0,2,0,0,0,0
2011-11-21,3369,18357,828,869,673,250,101,104,35,20,21,0,0,3,0,0,0,0
2011-11-22,6183,46164,879,995,673,337,119,18,75,72,0,0,0,2,0,0,0,0
2011-11-23,3815,53443,857,1037,689,330,198,30,45,22,2,0,0,0,0,0,0,0
2011-11-24,3767,54648,253,904,376,129,105,58,33,1,0,0,0,0,0,0,0,0
2011-11-25,10318,42964,498,615,629,1,88,20,58,2,0,0,0,0,0,0,0,0
2011-11-26,8398,43092,476,705,577,107,42,121,65,1,0,0,0,2,0,0,0,0
2011-11-27,2349,35929,812,334,1798,253,142,117,10,2,11,0,0,19,0,0,0,0
2011-11-28,3106,18824,992,529,558,271,347,282,55,8,24,0,0,6,0,0,0,0
2011-11-29,3477,587,1090,328,589,212,162,214,74,26,25,0,0,0,0,0,0,0
2011-11-30,9580,1024,984,1066,510,0,219,140,65,19,13,0,0,3,0,0,0,0
2011-12-01,8435,29,939,742,559,129,376,323,51,47,14,0,0,2,1,0,0,0
2011-12-02,5436,48,1006,859,355,515,485,141,164,6,11,0,0,2,29,0,0,0
2011-12-03,3995,24,679,830,147,414,145,109,23,7,36,0,0,0,0,0,0,0
2011-12-04,2368,24,971,446,64,0,249,195,18,5,33,0,0,0,0,0,0,0
2011-12-05,6676,1736,1218,905,397,59,424,242,57,20,21,0,0,0,0,0,0,0
2011-12-06,2544,4568,2524,767,416,356,308,106,76,62,15,0,0,2,4,0,0,0
2011-12-07,3815,3186,2319,1112,513,303,60,28,63,48,8,0,0,1,0,0,0,0
2011-12-08,4468,30,687,727,377,244,260,24,0,8,3,0,0,1,4,0,0,0
2011-12-09,4160,24,1135,1010,376,130,298,27,17,2,6,0,0,1,0,0,0,0
2011-12-10,1550,24,561,1051,518,544,296,28,23,0,1,0,0,0,4,0,0,0
2011-12-11,3839,24,828,941,166,385,158,52,8,4,3,0,0,2,9,0,0,0
2011-12-12,9966,24,1394,711,417,376,191,33,58,19,11,0,0,3,9,0,0,0
2011-12-13,8600,24,1102,682,541,88,176,54,36,66,1,0,0,0,5,0,0,0
2011-12-14,6181,24,1608,772,879,384,180,145,79,66,44,0,0,5,4,0,0,0
2011-12-15,5626,8,961,684,481,607,100,201,30,48,11,0,0,4,1,0,0,0
2011-12-16,4288,157,1376,732,474,735,76,168,25,19,1,0,0,3,0,0,0,0
2011-12-17,5657,24,823,496,381,314,77,980,8,3,0,0,0,0,0,0,0,0
2011-12-18,5405,27,917,621,191,308,58,683,10,121,0,0,0,3,0,0,0,0
2011-12-19,3177,57,1797,798,651,562,84,242,48,363,11,0,0,10,0,0,0,0
2011-12-20,9551,68,1398,1097,408,451,115,102,108,114,5,0,0,19,0,0,0,0
2011-12-21,2616,40,1441,880,440,328,79,17,6,123,16,0,0,41,0,0,0,0
2011-12-22,1566,43,190,906,102,90,43,31,6,177,7,0,0,44,0,0,0,0
2011-12-23,2216,20,203,669,318,259,41,111,68,18,7,0,0,61,0,0,0,0
2011-12-24,2223,24,294,505,148,85,37,290,57,6,1,0,0,41,0,0,0,0
2011-12-25,1731,24,433,460,158,215,23,312,28,0,0,0,0,0,0,0,0,0
2011-12-26,1652,24,403,714,1006,350,67,188,52,0,1,0,0,0,0,0,0,0
2011-12-27,1192,24,471,1100,214,575,49,289,22,0,2,0,0,0,0,0,0,0
2011-12-28,4135,4,506,1381,219,327,38,354,43,0,7,0,0,0,0,0,0,0
2011-12-29,1619,5,892,717,1581,446,45,245,10,2,10,0,0,23,0,0,0,0
2011-12-30,384,2321,447,925,313,466,19,146,16,16,35,0,0,17,0,0,0,0
2011-12-31,711,24,2211,643,157,355,35,294,19,2,3,0,0,0,0,0,0,0
2012-01-01,1455,24,899,652,190,424,44,50,4,1,0,0,0,0,0,0,0,0
2012-01-02,845,675,4063,587,702,549,45,104,12,1,35,0,0,0,0,0,0,0
2012-01-03,882,248,4509,0,689,427,64,149,56,96,7,0,0,0,0,0,0,0
2012-01-04,624,40,3252,0,636,14,127,73,47,22,40,0,0,0,0,0,0,0
2012-01-05,732,224,726,399,866,209,134,160,38,10,75,0,0,0,3,0,0,0
2012-01-06,1249,49,4920,719,693,607,166,60,41,30,97,0,0,2,0,0,0,0
2012-01-07,486,4671,4362,714,212,273,143,246,10,146,4,0,0,0,3,0,0,0
2012-01-08,459,910,3921,600,290,1133,83,311,36,202,0,0,0,0,9,0,0,0
2012-01-09,482,220,9620,524,1103,419,178,5,61,5,35,0,0,1,4,0,0,0
2012-01-10,539,7889,4181,391,1488,10,99,170,68,6,31,0,0,0,0,0,0,0
2012-01-11,3327,40,4248,906,1286,134,68,17,21,6,6,0,0,3,3,0,0,0
2012-01-12,7462,2723,4501,919,839,360,123,57,35,22,8,0,0,3,0,0,0,0
2012-01-13,5593,1023,4814,927,1366,517,136,209,34,83,2,0,0,6,0,0,0,0
2012-01-14,4845,392,3374,575,786,263,83,24,17,81,1,0,0,0,0,0,0,0
2012-01-15,1223,781,4259,767,228,96,102,66,31,35,0,0,0,0,0,0,0,0
2012-01-16,1426,586,4421,1170,899,647,131,251,16,0,4,0,0,1,0,0,0,0
2012-01-17,303,480,3831,880,1343,518,123,46,27,34,2,0,0,3,0,0,0,0
2012-01-18,241,589,3132,954,2833,610,123,69,156,21,2,0,0,3,0,0,0,0
2012-01-19,233,34,414,1298,1005,465,100,65,288,35,1,0,0,4,0,0,0,0
2012-01-20,863,3317,1613,940,1278,485,159,34,1225,86,0,0,0,0,0,0,0,0
2012-01-21,826,28,2234,754,576,241,193,18,804,10,0,0,0,0,0,0,0,0
2012-01-22,207,9,1503,471,363,336,246,11,37,0,7,0,0,0,0,0,0,0
2012-01-23,4417,1028,1531,1044,717,617,161,23,111,27,14,0,0,1,0,0,0,0
2012-01-24,2489,25,3056,1369,442,119,141,17,47,317,1,0,0,24,0,0,0,0
2012-01-25,2558,24,2304,1297,786,419,115,40,34,29,1,0,0,9,2,0,0,0
2012-01-26,516,4,59,1017,829,176,157,43,46,17,1,0,0,3,2,0,0,0
2012-01-27,5559,4,557,936,1117,739,168,226,50,14,0,0,0,23,0,0,0,0
2012-01-28,5132,24,182,499,283,643,93,62,25,4,0,0,0,32,0,0,0,0
2012-01-29,3214,24,313,835,469,268,51,55,55,5,5,0,0,29,22,0,0,0
2012-01-30,4835,424,1179,1332,669,391,81,52,53,28,2,0,0,38,8,0,0,0
2012-01-31,1470,28,1096,1123,940,50,0,98,56,24,0,0,0,3,3,0,0,0
---------
