Day,[PURDUE CONDOR] Number of Jobs Submitted,[PURDUE STEELE] Number of Jobs Submitted,[NCSA ABE] Number of Jobs Submitted,[LONI QUEENBEE] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[TACC RANGER] Number of Jobs Submitted,[NICS ATHENA] Number of Jobs Submitted,[TACC LONESTAR] Number of Jobs Submitted,[NCSA COBALT] Number of Jobs Submitted,[IU BIGRED*] Number of Jobs Submitted,[PSC POPLE] Number of Jobs Submitted,[PSC BIGBEN] Number of Jobs Submitted,[NCSA DTF] Number of Jobs Submitted,[ORNL NSTG] Number of Jobs Submitted,[NCSA LINCOLN] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[NCAR FROST] Number of Jobs Submitted,[TACC SPUR] Number of Jobs Submitted,[SDSC DASH] Number of Jobs Submitted
2010-03-21,9343,634,733,120,980,454,0,422,140,29,25,46,174,30,7,0,5,3,0
2010-03-22,25543,823,673,119,1232,908,0,354,362,21,57,148,295,33,13,8,12,9,0
2010-03-23,6694,2924,2001,207,1050,827,0,566,336,31,132,186,198,57,25,0,7,7,0
2010-03-24,27519,5682,2222,345,19,832,0,218,136,74,168,131,90,56,68,46,31,9,0
2010-03-25,18179,2491,2302,417,10,515,0,206,313,35,173,111,144,58,96,15,6,0,0
2010-03-26,19398,9513,671,162,311,890,0,309,315,41,384,111,141,61,103,33,9,1,0
2010-03-27,14639,2893,418,436,691,743,0,140,108,68,152,42,175,70,88,6,5,3,0
2010-03-28,29281,5041,763,174,1115,667,0,106,174,67,207,60,158,69,43,14,4,0,0
2010-03-29,38074,9179,1237,207,1332,812,0,161,273,70,301,198,170,74,37,71,17,4,0
2010-03-30,19795,876,2161,133,840,672,0,176,160,76,130,350,161,68,105,11,12,8,0
2010-03-31,2412,851,972,179,27,634,0,279,251,218,56,269,127,72,79,16,16,6,0
2010-04-01,36775,1038,707,355,0,726,8,308,329,58,60,0,1,61,6,24,4,4,0
2010-04-02,38026,836,0,203,274,734,25,302,172,39,40,0,0,39,0,28,11,5,0
2010-04-03,18324,529,0,268,1419,408,48,126,392,12,18,0,0,16,0,4,5,2,0
2010-04-04,13474,374,0,100,2459,623,55,132,138,15,48,0,0,17,0,3,8,0,0
2010-04-05,26957,908,270,899,1398,708,94,294,326,74,193,0,0,52,33,59,5,6,0
2010-04-06,44490,879,1276,576,175,761,71,71,222,45,80,0,0,56,77,5,16,7,0
2010-04-07,39360,8261,1391,187,12,576,148,223,319,63,94,0,0,64,83,58,8,6,0
2010-04-08,59957,7309,1546,258,46,605,257,419,242,68,101,0,0,63,18,18,6,4,0
2010-04-09,34381,6767,1669,206,833,786,475,499,200,79,88,0,0,55,6,23,2,12,0
2010-04-10,45904,10399,2122,163,1258,660,11,154,279,84,86,0,0,55,4,16,0,3,0
2010-04-11,65766,7141,2843,117,695,528,0,339,170,74,16,0,0,53,4,22,3,3,0
2010-04-12,63994,1416,821,177,544,982,75,332,376,94,71,0,0,64,8,39,4,2,0
2010-04-13,49929,2511,2451,211,494,1004,203,305,213,88,62,0,0,39,22,51,5,4,0
2010-04-14,26035,5310,3487,228,287,1067,47,441,209,61,59,0,0,22,13,86,13,2,0
2010-04-15,16528,818,4763,290,399,662,156,264,169,49,71,0,0,23,8,39,11,6,0
2010-04-16,15111,577,3794,147,466,768,272,269,132,59,57,0,0,23,7,49,18,18,0
2010-04-17,11798,576,1577,216,305,363,22,276,38,46,0,0,0,17,1,42,9,12,0
2010-04-18,21245,613,1426,154,395,420,53,258,99,76,14,0,0,17,0,6,7,7,0
2010-04-19,29173,3659,1787,295,1028,849,637,280,184,89,85,0,0,26,23,3,31,11,0
2010-04-20,35865,5662,1501,246,1085,785,499,232,271,93,132,0,0,23,14,0,22,8,0
2010-04-21,26719,666,1035,160,311,777,366,283,155,65,61,0,0,34,9,4,13,19,0
2010-04-22,18869,1275,961,270,745,723,627,224,181,58,91,0,0,65,27,12,6,12,0
2010-04-23,15440,796,2405,178,550,682,245,190,179,69,64,0,0,59,65,15,6,12,1
2010-04-24,18035,2018,3193,143,275,410,199,195,253,48,17,0,0,49,60,9,59,4,0
2010-04-25,18459,670,2199,115,530,725,919,187,117,50,108,0,0,57,21,26,17,5,0
2010-04-26,11554,1636,2034,214,619,1062,955,243,336,48,96,0,0,52,6,56,6,11,0
2010-04-27,20019,1063,1555,292,438,817,1305,295,143,48,113,0,0,65,74,64,69,9,2
2010-04-28,19510,955,2818,187,463,751,1605,331,193,51,54,0,0,65,20,68,126,5,2
2010-04-29,11762,997,3845,364,797,771,1368,190,306,51,273,0,0,62,68,37,5,8,3
2010-04-30,9244,750,2372,95,735,840,439,127,216,41,286,0,0,39,28,32,31,4,0
2010-05-01,2092,364,1182,32,827,597,197,82,60,33,54,0,0,16,91,28,8,4,0
2010-05-02,2018,5024,2168,31,567,883,790,43,59,20,109,0,0,24,53,29,12,2,0
2010-05-03,2136,2678,954,172,595,1297,958,268,362,32,227,0,0,42,34,47,24,5,0
2010-05-04,10072,188,1650,192,849,209,982,248,286,19,39,0,0,68,58,38,26,0,0
2010-05-05,10787,512,1342,149,1085,675,999,212,278,11,87,0,0,65,99,30,13,0,0
2010-05-06,7982,125,948,140,514,1010,986,184,264,31,42,0,0,58,55,37,7,13,0
2010-05-07,10367,1095,753,378,555,691,56,177,336,21,112,0,0,57,53,37,12,3,2
2010-05-08,23107,5483,450,96,19,301,4,224,132,17,64,0,0,52,17,31,10,4,2
2010-05-09,28310,4132,413,61,152,402,953,234,175,18,42,0,0,53,10,32,21,2,0
2010-05-10,44458,5108,1453,105,822,786,958,199,400,19,123,0,0,64,24,43,14,11,1
2010-05-11,29903,6632,1129,146,1052,545,973,211,265,15,88,0,0,60,44,70,12,8,9
2010-05-12,26735,5033,1535,217,1300,629,958,277,207,19,61,0,0,57,15,53,11,6,8
2010-05-13,38445,1969,873,196,1075,503,261,120,219,22,177,0,0,44,50,54,9,4,18
2010-05-14,29491,576,1854,200,0,358,0,223,114,28,173,0,0,0,39,75,8,6,12
2010-05-15,28980,534,2336,150,0,458,0,126,46,25,131,0,0,0,77,26,15,1,4
2010-05-16,32465,7935,1183,189,15,390,949,150,89,17,70,0,0,14,20,37,9,1,6
2010-05-17,41007,670,11671,104,473,618,953,207,244,23,88,0,0,61,56,67,12,12,6
2010-05-18,52933,386,4092,161,734,561,939,163,213,34,76,0,0,79,63,90,15,7,10
2010-05-19,56936,2422,2126,212,586,638,931,147,279,61,161,0,0,81,36,83,14,6,2
2010-05-20,85584,1593,1555,247,594,531,19,283,172,59,96,0,0,62,49,52,5,9,1
2010-05-21,62462,1261,2458,95,1307,600,4,323,192,66,48,0,0,52,42,53,4,3,3
2010-05-22,76247,1570,554,75,345,406,31,208,194,59,21,0,0,56,23,14,8,3,0
2010-05-23,46229,7731,2911,44,257,419,915,188,198,48,31,0,0,59,20,39,7,1,3
2010-05-24,38840,6380,3268,182,870,797,975,222,479,83,89,0,0,66,208,67,5,2,9
2010-05-25,44827,2782,1704,82,475,790,957,157,171,351,70,0,0,60,688,6,8,4,6
2010-05-26,57366,8206,1844,2658,9,641,938,251,652,203,113,0,0,55,746,55,16,9,2
2010-05-27,65021,6065,2261,730,12,711,894,389,248,60,69,0,0,60,24,43,8,1,4
2010-05-28,73939,3074,2178,182,210,554,52,363,331,52,197,0,0,59,21,41,6,4,7
2010-05-29,59752,1407,2164,148,107,394,1,126,222,170,34,0,0,54,28,3,7,6,9
2010-05-30,84324,2067,1017,127,130,425,963,122,151,49,104,0,0,56,8,5,5,1,3
2010-05-31,61713,1048,1514,121,493,688,981,140,263,51,33,0,0,48,37,6,7,1,0
2010-06-01,17970,3482,878,2390,1643,886,1600,228,222,22,112,0,0,35,15,71,9,4,0
2010-06-02,15956,8377,320,2366,64,844,2080,155,345,36,103,0,0,0,25,27,8,0,3
2010-06-03,35538,968,1826,603,835,780,1396,114,367,29,42,0,0,26,53,26,41,2,0
2010-06-04,30000,2037,3452,7860,933,722,476,215,324,39,92,0,0,55,25,16,46,6,0
2010-06-05,27843,2934,1447,241,249,577,1339,193,94,56,57,0,0,55,10,8,16,2,0
2010-06-06,40958,1223,0,325,219,632,1736,239,120,45,38,0,0,58,0,24,13,2,0
2010-06-07,31197,4319,0,3267,674,835,1094,245,270,60,40,0,0,66,0,25,51,18,0
2010-06-08,21270,1388,0,1288,836,655,1376,259,304,56,128,0,0,66,0,21,25,19,0
2010-06-09,23200,3320,2486,380,7,569,1523,208,229,63,97,0,0,65,89,59,31,14,0
2010-06-10,24555,2141,704,156,473,921,1091,208,212,69,45,0,0,67,45,66,10,13,0
2010-06-11,14565,2110,2856,262,1311,915,827,162,213,46,87,0,0,55,73,33,17,18,0
2010-06-12,22793,5104,4894,135,957,918,338,135,88,260,49,0,0,63,17,27,8,7,0
2010-06-13,24460,1448,3961,162,259,1154,991,196,119,70,39,0,0,60,5,17,8,8,0
2010-06-14,29696,4357,5320,1740,782,1041,1041,252,197,56,16,0,0,66,49,79,38,31,0
2010-06-15,8504,2074,4966,3187,1724,727,1022,281,226,72,48,0,0,66,31,10,46,19,0
2010-06-16,16027,1322,1654,7,135,695,1022,326,298,266,111,0,0,60,14,51,18,57,0
2010-06-17,18377,1705,1574,190,888,797,1429,1215,188,102,90,0,0,52,9,39,16,54,0
2010-06-18,17488,1929,3067,530,941,857,1052,452,190,59,102,0,0,62,4,19,13,20,0
2010-06-19,22943,2631,467,144,660,588,0,163,105,50,45,0,0,61,25,28,6,3,0
2010-06-20,112,4327,176,130,601,553,1143,180,83,56,70,0,0,63,16,43,6,2,0
2010-06-21,2994,4910,50,202,936,724,193,187,209,44,119,0,0,70,0,80,10,13,0
2010-06-22,1017,5716,0,4916,1151,580,107,440,220,444,174,0,0,135,0,17,16,5,0
2010-06-23,1201,6909,84,191,72,732,3801,230,318,75,141,0,0,60,0,30,11,21,0
2010-06-24,1034,5481,1144,234,186,646,2144,247,320,100,90,0,0,62,12,76,17,2,0
2010-06-25,4443,130,1557,311,598,780,20,210,233,331,90,0,0,75,54,58,10,9,0
2010-06-26,1298,5501,1049,133,49,462,0,134,93,63,99,0,0,58,25,2,5,6,0
2010-06-27,202,1542,885,125,314,565,228,210,102,538,81,0,0,57,25,4,4,9,0
2010-06-28,6821,3857,1489,665,581,832,453,300,129,421,126,0,0,59,203,8,11,45,0
2010-06-29,11969,5409,2876,139,1393,577,8,519,215,79,102,0,0,538,151,4,41,13,0
2010-06-30,18361,2689,1576,395,3,614,24,137,230,603,104,0,0,64,18,32,16,22,2
2010-07-01,20202,1668,1460,67,105,751,317,133,237,184,162,0,0,331,9,15,7,9,7
2010-07-02,27344,3649,1098,137,126,875,16,128,231,399,109,0,0,83,18,7,31,12,5
2010-07-03,32262,2922,584,34,167,654,1673,55,96,1694,24,0,0,60,10,0,21,11,0
2010-07-04,16681,3862,747,34,347,698,593,70,86,137,10,0,0,59,6,1,14,8,0
2010-07-05,14629,2130,1523,14,542,818,845,93,181,1367,19,0,0,64,19,7,15,9,8
2010-07-06,21577,4381,1561,57,1049,976,396,174,168,6072,155,0,0,0,49,11,6,12,17
2010-07-07,3262,5618,896,193,996,877,871,139,223,2160,119,0,0,0,60,20,18,13,12
2010-07-08,7608,3204,1998,204,958,1573,611,428,245,68,153,0,0,4,388,10,24,15,20
2010-07-09,13322,3267,3229,884,1242,919,159,317,192,221,58,0,0,148,60,14,35,22,2
2010-07-10,13894,3512,813,21,1784,813,1394,151,82,135,61,0,0,0,52,0,8,8,0
2010-07-11,17577,2074,1941,34,1240,601,310,160,135,101,45,0,0,0,73,1,8,10,2
2010-07-12,34459,432,1383,97,1086,798,741,355,136,476,84,0,0,18,96,16,20,9,1
2010-07-13,14313,2861,2224,1007,2204,180,260,626,215,1295,63,0,0,5,346,43,26,2,3
2010-07-14,12438,1975,2321,148,138,970,276,242,142,659,99,0,0,151,102,33,18,14,2
2010-07-15,10419,2055,2276,674,130,844,29,557,277,262,125,0,0,362,155,23,14,15,1
2010-07-16,16513,2140,2229,163,621,972,48,565,168,113,132,0,0,816,91,10,33,10,2
2010-07-17,17324,4849,1190,499,391,557,0,440,103,161,74,0,0,80,110,9,15,10,1
2010-07-18,12717,1605,1348,340,860,429,57,230,94,156,27,0,0,0,10,4,7,6,0
2010-07-19,10615,6374,1988,89,2214,631,163,281,165,190,82,0,0,0,49,16,33,7,1
2010-07-20,10033,4484,1739,108,1400,684,81,179,250,109,113,0,0,24,69,18,9,5,0
2010-07-21,8871,5416,1798,4316,258,716,28,831,186,90,46,0,0,117,405,33,17,9,0
2010-07-22,8901,7897,1980,12247,1133,523,13,814,154,107,88,0,0,128,403,16,15,19,0
2010-07-23,11824,1842,1298,11335,1071,533,124,372,52,49,131,0,0,1,194,33,24,34,0
2010-07-24,700,214,810,84,552,428,74,133,72,62,89,0,0,35,10,8,5,12,1
2010-07-25,11581,1638,1334,6097,580,507,20,205,75,61,59,0,0,78,40,5,5,8,0
2010-07-26,4661,1514,1594,7101,1238,904,14,397,150,89,153,0,0,34,68,17,11,12,0
2010-07-27,849,708,2994,17332,1128,1063,59,1122,72,39,125,0,0,13,109,9,13,13,0
2010-07-28,833,1235,704,198,97,1027,59,311,91,81,88,0,0,13,97,8,55,14,0
2010-07-29,330,4924,8691,200,438,851,159,256,157,50,141,0,0,62,44,11,21,21,0
2010-07-30,365,2512,3170,6536,1445,992,145,218,185,42,70,0,0,65,38,13,18,8,0
2010-07-31,61,7641,1835,181,668,516,39,106,113,51,42,0,0,50,5,2,6,7,0
