Day,[OSG] Number of Jobs Submitted,[SDSC COMET] Number of Jobs Submitted,[TACC STAMPEDE] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[NICS DARTER] Number of Jobs Submitted,[PSC BRIDGES] Number of Jobs Submitted,[CCT LSU SUPERMIC] Number of Jobs Submitted,[TACC MAVERICK2] Number of Jobs Submitted,[PSC GREENFIELD] Number of Jobs Submitted,[PSC BRIDGES LARGE] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[Stanford XSTREAM] Number of Jobs Submitted
2016-04-02,5970,22397,1945,582,74,0,301,23,16,0,0,0
2016-04-03,69135,8384,3766,697,26,0,169,16,17,0,0,0
2016-04-04,97503,6876,3522,1572,29,0,242,166,30,0,0,0
2016-04-05,47915,6510,2759,1070,40,0,112,12,35,0,0,0
2016-04-06,27791,8263,2032,646,113,0,150,67,33,0,0,0
2016-04-07,24585,21334,2301,802,81,0,88,139,41,0,0,0
2016-04-08,47463,26750,3234,862,79,0,142,164,30,0,0,0
2016-04-09,22552,14826,1822,319,12,0,123,105,29,0,0,0
2016-04-10,73462,15220,2178,517,149,0,114,195,20,0,0,0
2016-04-11,58117,20261,2427,1972,139,0,139,248,32,0,3,0
2016-04-12,17164,11911,1968,927,106,0,84,333,32,0,0,0
2016-04-13,46794,7444,1758,943,180,0,59,255,54,0,0,0
2016-04-14,44052,9664,1516,754,172,0,138,145,30,0,0,0
2016-04-15,41644,6016,1756,926,110,0,186,49,47,0,0,0
2016-04-16,81711,5605,1066,270,9,0,48,35,10,0,0,0
2016-04-17,122057,23128,2206,287,32,0,2,42,32,0,0,0
2016-04-18,80731,14085,2733,728,83,0,0,38,84,0,0,0
2016-04-19,64886,8686,3586,871,151,0,55,101,46,0,0,0
2016-04-20,101454,9079,3645,1899,242,0,308,211,42,0,0,0
2016-04-21,37080,15976,3640,1142,286,0,73,142,15,0,0,0
2016-04-22,41743,20473,2585,517,291,0,197,76,25,0,0,0
2016-04-23,144182,8804,1173,258,0,0,111,54,13,0,0,0
2016-04-24,147603,9949,3029,601,0,0,55,58,4,0,0,0
2016-04-25,143995,12589,3987,942,4,0,43,82,48,0,0,0
2016-04-26,70869,13747,4543,1084,862,0,154,81,0,0,0,0
2016-04-27,77865,14467,4137,725,361,0,110,104,4,0,0,0
2016-04-28,76634,14786,4880,551,145,0,54,41,9,0,0,0
2016-04-29,63418,16711,4076,454,323,0,483,42,11,0,0,0
2016-04-30,183504,17802,2298,263,91,0,196,29,3,0,0,0
2016-05-01,204991,20896,4381,318,2081,0,124,22,0,0,0,0
2016-05-02,307933,15357,5881,701,5990,0,129,29,21,0,1,0
2016-05-03,305738,10422,1526,588,147,0,301,38,25,0,0,0
2016-05-04,138103,8884,3266,609,502,0,180,58,39,0,0,0
2016-05-05,100347,13828,2706,541,680,0,33,31,22,0,0,0
2016-05-06,159917,12162,3433,557,648,0,54,81,0,0,0,0
2016-05-07,165738,13537,1962,240,190,0,64,42,0,0,0,0
2016-05-08,315490,17244,2321,209,783,0,54,71,0,0,0,0
2016-05-09,245259,14076,3029,428,929,0,99,88,0,0,0,0
2016-05-10,254339,18052,2899,447,670,0,73,61,4,0,0,0
2016-05-11,239163,20139,3240,655,732,0,26,50,20,0,0,0
2016-05-12,141116,19623,2704,910,475,0,44,31,34,0,0,0
2016-05-13,132149,19539,3257,657,259,0,36,47,16,0,0,0
2016-05-14,131127,4160,1780,340,101,0,40,6,12,0,0,0
2016-05-15,155440,5044,3722,632,546,0,44,27,9,0,0,0
2016-05-16,185463,6208,4144,1079,1167,0,102,42,3,0,0,0
2016-05-17,185834,6496,4402,680,413,0,44,74,14,0,0,0
2016-05-18,127513,6367,2491,674,616,0,120,114,13,0,0,0
2016-05-19,134574,9404,2941,1678,509,0,277,121,4,0,0,0
2016-05-20,120307,4634,2461,632,418,0,139,104,9,0,0,0
2016-05-21,77739,2708,1350,384,0,0,32,14,3,0,0,0
2016-05-22,90471,5543,3402,260,516,0,172,27,0,0,0,0
2016-05-23,73673,5795,3626,577,1058,0,70,8,1,0,0,0
2016-05-24,45070,5597,4046,925,903,0,168,60,2,0,0,0
2016-05-25,62379,5590,3088,1103,820,0,117,56,27,0,0,0
2016-05-26,58902,6051,2412,830,738,0,143,95,17,0,0,0
2016-05-27,122977,5618,2118,803,238,0,44,67,20,0,0,0
2016-05-28,69332,3736,893,271,41,0,39,50,2,0,0,0
2016-05-29,84950,4862,2465,317,616,0,21,57,2,0,0,0
2016-05-30,79128,3510,3716,647,689,0,113,10,6,0,0,0
2016-05-31,54901,3625,2845,743,823,0,47,85,8,0,0,0
2016-06-01,59040,2984,2555,793,573,0,93,158,42,0,0,0
2016-06-02,70557,9457,2784,823,656,0,42,84,44,0,0,0
2016-06-03,76113,6099,2331,842,302,0,84,229,52,0,0,0
2016-06-04,101480,4879,1061,522,32,0,25,91,9,0,0,0
2016-06-05,47842,6868,2077,972,86,0,133,102,18,0,0,0
2016-06-06,102667,5735,2151,1160,182,0,78,189,43,0,0,0
2016-06-07,104761,4964,1649,998,237,0,44,220,28,0,0,0
2016-06-08,92800,4098,1182,1448,102,0,27,145,19,0,0,0
2016-06-09,101303,6697,922,859,38,0,46,58,16,0,0,0
2016-06-10,138675,3080,1182,594,36,0,20,16,17,0,0,0
2016-06-11,69619,1065,750,308,124,0,31,39,6,0,0,0
2016-06-12,64580,4828,983,284,48,0,53,22,7,1,0,0
2016-06-13,195829,13436,2120,839,145,0,70,62,4,0,0,0
2016-06-14,69736,5514,1457,922,148,0,43,46,14,0,0,0
2016-06-15,103089,4735,1127,1089,751,0,299,11,9,0,0,0
2016-06-16,96551,6764,923,1218,1132,0,39,15,14,0,0,0
2016-06-17,118508,7947,982,962,114,0,122,29,16,0,0,0
2016-06-18,157285,8739,891,334,17,0,80,32,0,0,0,0
2016-06-19,1,913,872,124,852,0,83,10,30,0,0,0
2016-06-20,203659,3511,1876,715,1019,4,233,52,10,0,0,0
2016-06-21,86922,6881,1584,907,1547,87,275,17,17,0,0,0
2016-06-22,67015,10016,2122,669,1097,359,132,8,22,0,0,0
2016-06-23,75631,5299,1541,604,1248,603,73,11,50,0,0,0
2016-06-24,87063,5174,1812,946,505,850,21,32,21,18,0,0
2016-06-25,112576,3913,1043,322,12,200,12,68,5,8,0,0
2016-06-26,84485,1664,1721,433,789,294,5,24,10,3,0,0
2016-06-27,27027,3809,3026,896,1038,1362,104,55,21,3,0,1
2016-06-28,2382,3290,1932,635,846,1006,67,50,27,7,0,0
2016-06-29,96264,3222,1769,790,601,187,77,11,17,9,0,0
2016-06-30,47435,3469,1976,523,24,829,64,16,31,10,0,0
2016-07-01,40695,15606,2076,460,0,809,73,31,17,8,0,1
2016-07-02,44105,18115,689,168,0,91,54,19,15,15,0,10
2016-07-03,66920,13839,1738,213,0,80,54,33,1,16,0,0
2016-07-04,68635,8386,1969,243,0,523,68,65,4,5,0,0
2016-07-05,106762,21195,2415,563,0,40,105,25,16,3,0,0
2016-07-06,105777,6714,1641,553,0,0,5,32,14,0,0,0
2016-07-07,109703,8201,1563,504,0,0,0,33,11,0,0,0
2016-07-08,47096,5137,1350,533,0,224,0,26,7,18,0,0
2016-07-09,42790,9841,962,266,0,172,0,14,1,1,0,0
2016-07-10,83492,14548,1550,378,0,227,0,43,26,0,0,0
2016-07-11,80547,7123,3090,708,0,354,0,20,5,23,0,0
2016-07-12,49360,7345,2735,523,0,435,0,16,18,22,0,3
2016-07-13,22735,10419,2823,928,0,1075,0,18,21,14,0,0
2016-07-14,19228,11335,3321,986,0,972,0,34,7,7,0,0
2016-07-15,28310,12166,2152,416,0,1320,0,34,7,17,0,0
2016-07-16,34353,9479,1481,273,0,1553,0,37,6,7,0,0
2016-07-17,19696,11053,1739,343,0,554,0,10,0,24,0,0
2016-07-18,56513,7540,3589,797,0,245,0,32,2,6,0,0
2016-07-19,71849,396,1342,661,0,2928,0,61,6,13,0,0
2016-07-20,53350,5641,1860,1166,0,739,0,16,12,28,0,0
2016-07-21,45412,12214,3068,1327,0,822,0,18,3,11,0,0
2016-07-22,87428,6814,10781,746,0,538,41,30,4,17,0,0
2016-07-23,131993,14287,2795,571,0,86,82,19,14,40,0,0
2016-07-24,132575,10904,1700,329,0,494,74,61,0,11,0,0
2016-07-25,167636,9392,6256,1073,0,633,868,22,0,37,0,0
2016-07-26,79237,10538,8891,687,0,530,495,18,2,14,0,0
2016-07-27,59151,5761,8514,727,0,128,599,16,3,51,0,0
2016-07-28,48710,14798,458,940,0,378,201,1,0,13,0,2
2016-07-29,118645,11601,1195,455,0,61,56,8,9,0,0,1
2016-07-30,155687,10446,1835,231,0,14,236,19,0,2,0,0
2016-07-31,274837,4686,2137,184,0,1040,408,33,1,2,0,6
