Day,[TACC STAMPEDE] Number of Jobs Submitted,[NICS KRAKEN] Number of Jobs Submitted,[TACC LONESTAR4] Number of Jobs Submitted,[SDSC TRESTLES] Number of Jobs Submitted,[SDSC GORDON] Number of Jobs Submitted,[GATECH KEENELAND] Number of Jobs Submitted,[PSC BLACKLIGHT] Number of Jobs Submitted,[TACC LONGHORN] Number of Jobs Submitted,[GATECH KIDS] Number of Jobs Submitted,[PURDUE STEELE] Number of Jobs Submitted,[NICS NAUTILUS] Number of Jobs Submitted,[PURDUE CONDOR] Number of Jobs Submitted
2013-11-21,20306,1790,768,1246,1419,60,93,396,2,0,0,0
2013-11-22,3564,3574,528,503,493,46,120,177,3,0,0,0
2013-11-23,3222,2035,2301,257,667,40,58,151,1,0,0,0
2013-11-24,6442,3832,3144,485,478,39,32,114,17,0,0,0
2013-11-25,4318,3428,2097,618,606,327,71,28,0,0,3,0
2013-11-26,3780,2679,1908,950,926,72,98,23,1,0,3,0
2013-11-27,2495,2699,570,769,506,31,39,76,147,0,0,0
2013-11-28,1604,2337,568,259,442,0,12,277,0,0,0,0
2013-11-29,2575,2342,499,276,812,0,1,255,1,0,0,0
2013-11-30,1688,3379,724,53,545,0,0,273,0,0,0,0
2013-12-01,2687,2189,820,309,825,39,55,74,45,0,0,0
2013-12-02,3809,2404,952,472,1174,19,102,21,504,0,3,0
2013-12-03,3181,3622,1033,533,1395,14,146,23,1010,0,6,0
2013-12-04,3675,1773,1351,447,1083,8,199,74,494,0,5,0
2013-12-05,2834,1504,1607,536,261,75,207,12,3,0,5,0
2013-12-06,3741,2419,883,78,39,129,168,19,596,0,4,0
2013-12-07,2019,2061,617,0,0,145,68,11,480,0,3,0
2013-12-08,15601,2229,859,0,0,186,72,150,353,0,2,0
2013-12-09,2956,2333,925,9,92,440,63,551,777,0,11,0
2013-12-10,660,2612,1057,43,493,106,75,113,581,0,3,0
2013-12-11,4043,3135,1034,459,400,93,121,115,488,0,7,0
2013-12-12,3366,2001,645,418,571,202,99,157,50,0,6,0
2013-12-13,2353,1654,691,547,545,150,62,131,32,0,6,0
2013-12-14,2672,904,546,329,410,117,42,7,19,0,6,0
2013-12-15,5189,2100,471,384,652,102,17,10,25,0,1,0
2013-12-16,4224,1961,752,599,1055,39,126,23,9,0,2,0
2013-12-17,2262,157,833,675,741,0,82,26,0,0,0,0
2013-12-18,2891,1646,902,827,541,21,55,263,50,0,2,0
2013-12-19,3046,1227,819,785,628,28,54,113,104,0,1,0
2013-12-20,2653,1280,960,892,479,51,74,153,81,0,2,0
2013-12-21,1237,1108,316,266,147,40,93,137,53,0,5,0
2013-12-22,1712,2010,366,863,149,15,199,16,130,0,5,0
2013-12-23,2599,2102,404,951,474,122,136,27,105,0,3,0
2013-12-24,2467,1055,680,354,702,41,104,16,56,0,4,0
2013-12-25,2810,1193,369,224,614,21,62,19,23,0,3,0
2013-12-26,3630,839,549,317,170,49,60,23,89,0,2,0
2013-12-27,3174,677,1524,247,307,31,119,185,16,0,3,0
2013-12-28,1924,482,1598,184,272,19,114,447,5,0,2,0
2013-12-29,1778,441,1345,286,849,1,79,90,0,0,2,0
2013-12-30,1289,501,1337,315,1033,26,82,510,4,0,3,0
2013-12-31,1923,476,1404,318,209,33,69,525,1,0,2,0
2014-01-01,3563,312,1145,207,654,198,88,148,0,0,3,0
2014-01-02,25220,897,1145,338,1113,50,173,16,59,0,2,0
2014-01-03,23254,1215,947,540,1031,119,101,13,34,0,1,0
2014-01-04,18436,251,561,242,384,48,68,18,59,0,2,0
2014-01-05,39080,980,3909,320,1054,9,114,2,117,0,1,0
2014-01-06,28367,1094,3094,536,557,66,137,16,34,0,1,0
2014-01-07,6478,427,621,363,483,94,225,15,28,0,4,0
2014-01-08,2793,1252,557,792,494,227,110,4,125,0,4,0
2014-01-09,9204,1318,567,1532,1031,484,159,49,169,0,2,0
2014-01-10,8367,1099,463,1330,1182,172,130,432,45,0,0,0
2014-01-11,8400,782,226,307,170,85,57,197,64,0,0,0
2014-01-12,7083,695,274,537,189,168,107,443,71,0,0,0
2014-01-13,5860,1799,580,915,1780,199,75,77,67,0,0,0
2014-01-14,5779,2111,557,1109,1031,60,69,27,53,0,2,0
2014-01-15,8078,1299,583,1767,1434,439,97,57,158,0,1,0
2014-01-16,6347,1401,388,2204,1772,507,71,47,157,0,0,0
2014-01-17,10716,2167,431,814,408,271,59,48,90,0,3,0
2014-01-18,16397,5139,172,410,675,205,48,23,73,0,3,0
2014-01-19,12365,5137,182,501,440,356,67,24,43,0,1,0
2014-01-20,10739,3445,426,685,606,304,130,8,109,0,0,0
2014-01-21,4015,2175,584,1141,595,59,110,32,43,0,1,0
2014-01-22,8034,3291,399,1288,581,423,295,8,61,0,1,0
2014-01-23,9551,1193,519,2256,1269,573,112,23,35,0,3,0
2014-01-24,12417,4357,560,1500,424,380,55,51,22,0,0,0
2014-01-25,9304,6146,249,684,493,88,92,20,6,0,0,0
2014-01-26,6015,4542,369,2337,409,46,107,0,0,0,0,0
2014-01-27,3416,4282,497,671,1152,426,110,35,5,0,0,0
2014-01-28,2403,6998,586,689,383,101,200,20,72,0,2,0
2014-01-29,2655,5764,806,521,855,90,109,27,36,0,0,0
2014-01-30,3639,6927,241,646,402,383,74,29,27,0,0,0
2014-01-31,6959,3153,362,785,323,518,88,41,15,0,0,0
