title
"Number of Jobs Submitted: by Resource"
parameters

start,end
2015-02-01,2015-07-31
---------
Day,"[OSG] Number of Jobs Submitted","[TACC STAMPEDE] Number of Jobs Submitted","[SDSC GORDON] Number of Jobs Submitted","[SDSC COMET] Number of Jobs Submitted","[NICS DARTER] Number of Jobs Submitted","[SDSC TRESTLES] Number of Jobs Submitted","[PSC BLACKLIGHT] Number of Jobs Submitted","[TACC MAVERICK2] Number of Jobs Submitted","[CCT LSU SUPERMIC] Number of Jobs Submitted","[NICS NAUTILUS] Number of Jobs Submitted","[TACC LONESTAR4] Number of Jobs Submitted"
2015-04-21,36090,3560,1455,0,114,458,142,90,92,7,0
2015-04-22,48459,170,1166,0,125,441,220,61,100,4,0
2015-04-23,57631,4106,1195,0,132,902,229,52,99,4,0
2015-04-24,51445,3953,1200,0,114,611,234,57,51,4,0
2015-04-25,74580,1327,601,0,126,821,52,84,11,4,0
2015-04-26,59810,2418,1156,0,416,585,0,68,35,4,0
2015-04-27,21148,4830,1938,0,1378,410,41,93,30,4,0
2015-04-28,10786,1613,1266,0,939,275,142,80,72,4,0
2015-04-29,63964,2778,868,0,1529,284,85,27,33,4,0
2015-04-30,101610,2943,585,0,2725,232,110,39,43,4,0
2015-05-01,213651,2406,763,0,17,0,200,38,31,6,0
2015-05-02,155738,861,551,0,90,0,186,35,39,4,1
2015-05-03,83583,1116,1025,0,716,0,181,26,30,4,0
2015-05-04,156797,3050,976,0,1760,0,224,51,88,2,2
2015-05-05,34768,2666,1102,0,3302,0,156,57,42,3,1
2015-05-06,72615,2665,1093,0,2172,0,177,54,78,4,0
2015-05-07,96526,3019,829,0,2819,0,183,340,56,5,3
2015-05-08,99386,3116,1246,0,3052,0,157,0,69,6,0
2015-05-09,91919,3651,347,0,95,0,34,0,20,3,0
2015-05-10,147972,2289,335,0,1332,0,5,0,143,1,0
2015-05-11,144179,4598,408,1,17,0,107,253,49,0,0
2015-05-12,98338,3578,297,0,2405,0,38,158,237,0,0
2015-05-13,134135,2863,1775,92,570,0,92,82,106,0,0
2015-05-14,129058,2931,1285,955,1962,0,127,67,71,0,0
2015-05-15,115151,4508,411,1533,1151,0,144,57,75,0,0
2015-05-16,91029,350,283,714,310,0,34,41,49,0,0
2015-05-17,95152,958,395,669,2910,0,48,38,18,0,0
2015-05-18,99966,2801,869,1360,2097,0,55,42,104,0,0
2015-05-19,61107,3097,587,1273,2499,0,179,79,43,0,0
2015-05-20,237120,2547,712,1532,1020,0,89,64,191,0,0
2015-05-21,174408,3064,1067,848,1793,0,73,119,191,0,0
2015-05-22,90152,2411,1229,1002,853,0,125,86,75,0,0
2015-05-23,57976,834,589,483,31,0,184,46,191,0,0
2015-05-24,95674,1036,1005,410,514,0,79,27,105,0,0
2015-05-25,102979,2859,915,678,1737,0,25,65,14,0,0
2015-05-26,51063,3244,1098,944,880,0,133,73,128,0,0
2015-05-27,79494,2971,1113,1029,1888,0,119,85,132,0,0
2015-05-28,121960,3179,1272,1075,3337,0,105,87,127,0,0
2015-05-29,69259,2784,1532,1111,2437,0,74,114,94,0,0
2015-05-30,66929,1002,375,584,2037,0,18,46,105,0,0
2015-05-31,99916,1679,402,733,809,0,38,24,94,0,0
2015-06-01,95465,3719,579,1170,6065,0,98,80,105,0,0
2015-06-02,77842,1734,420,1627,3150,0,71,30,111,0,0
2015-06-03,127620,3979,933,2012,4232,0,264,248,145,0,0
2015-06-04,117192,3443,1106,1314,1761,0,228,493,93,0,0
2015-06-05,70418,3278,1077,1430,3571,0,203,1005,148,0,0
2015-06-06,48851,944,2690,879,3271,0,91,348,49,0,0
2015-06-07,148242,1263,2656,894,528,0,40,67,124,0,0
2015-06-08,245319,2159,2358,1314,108,0,153,101,118,0,0
2015-06-09,186675,1944,1262,1020,82,0,197,134,105,0,0
2015-06-10,148816,2331,1224,1199,126,0,88,85,67,0,0
2015-06-11,288478,1647,744,1475,790,0,99,186,108,0,0
2015-06-12,430632,2195,858,970,85,0,174,118,33,0,0
2015-06-13,313186,1010,302,718,63,0,167,72,99,0,0
2015-06-14,160941,1436,211,841,153,0,223,56,45,0,0
2015-06-15,245355,1923,461,2015,72,0,133,75,131,0,0
2015-06-16,291832,1855,512,1192,59,0,69,163,61,0,0
2015-06-17,123758,1713,746,901,137,0,118,62,60,0,0
2015-06-18,61292,1510,1203,1091,108,0,185,67,30,0,0
2015-06-19,124726,1662,1013,1145,94,0,59,94,209,0,0
2015-06-20,112021,1341,450,769,65,0,0,108,271,0,0
2015-06-21,48933,1474,546,632,41,0,4,115,51,0,0
2015-06-22,216332,1942,974,945,133,0,124,226,52,0,0
2015-06-23,106580,1695,915,1285,456,0,80,20,57,0,0
2015-06-24,142205,2192,896,1226,64,0,115,78,263,0,0
2015-06-25,365427,1649,841,1036,675,0,42,68,104,0,0
2015-06-26,256470,1394,929,2584,256,0,101,358,76,0,0
2015-06-27,287679,1254,515,1393,59,0,182,513,196,0,0
2015-06-28,307515,1550,615,3911,139,0,183,393,58,0,0
2015-06-29,343053,1881,879,4180,118,0,226,69,172,0,0
2015-06-30,335491,2125,1337,1364,151,0,96,122,40,0,0
2015-07-01,87451,2139,981,10970,148,0,112,85,204,0,0
2015-07-02,113280,1893,823,4251,399,0,106,51,188,0,0
2015-07-03,231602,1686,684,790,174,0,146,73,80,0,0
2015-07-04,135254,1301,334,577,105,0,125,29,9,0,0
2015-07-05,167553,1419,386,1613,162,0,68,54,79,0,0
2015-07-06,212101,2323,790,10521,216,0,26,85,115,0,0
2015-07-07,144858,1846,794,10587,75,0,112,96,159,0,0
2015-07-08,39063,1931,959,3722,136,0,107,71,149,0,0
2015-07-09,55379,1876,956,1415,201,0,83,62,239,0,0
2015-07-10,51508,2253,796,1437,109,0,12,97,87,0,0
2015-07-11,47050,1746,333,677,156,0,5,45,40,0,0
2015-07-12,62476,1892,442,903,223,0,36,35,19,0,0
2015-07-13,52029,3465,764,3003,222,0,173,46,102,0,0
2015-07-14,43075,856,894,2149,260,0,95,91,85,0,3
2015-07-15,53293,2213,715,1663,96,0,106,109,172,0,0
2015-07-16,93639,1790,510,1971,135,0,80,209,209,0,0
2015-07-17,60215,1704,513,1514,272,0,65,113,226,0,0
2015-07-18,130596,908,367,755,86,0,23,30,29,0,0
2015-07-19,135424,1121,469,775,121,0,21,25,63,0,0
2015-07-20,211443,2761,462,2416,296,0,99,69,180,0,0
2015-07-21,153614,2206,587,3720,241,0,38,147,217,0,0
2015-07-22,184078,1985,567,3259,174,0,125,61,84,0,0
2015-07-23,77395,1625,537,588,189,0,32,36,87,0,0
2015-07-24,88408,2080,484,2849,98,0,49,22,103,0,0
2015-07-25,248061,1111,258,811,47,0,20,15,66,0,2
2015-07-26,300885,1266,287,911,113,0,38,9,56,0,0
2015-07-27,253113,2107,513,1279,312,0,213,20,215,0,0
2015-07-28,109243,2204,378,1967,124,0,54,83,266,0,0
2015-07-29,9768,2158,343,1974,153,0,45,111,216,0,0
2015-07-30,4448,1974,348,1776,185,0,65,137,82,0,1
2015-07-31,2913,1389,322,2940,196,0,38,173,60,0,0
---------
