title
"CPU Hours: Per Job: by Resource"
parameters

start,end
2011-08-01,2012-01-31
---------
Day,"[NCAR FROST] CPU Hours: Per Job","[NICS KRAKEN] CPU Hours: Per Job","[TACC RANGER] CPU Hours: Per Job","[LONI QUEENBEE] CPU Hours: Per Job","[TACC LONESTAR4] CPU Hours: Per Job","[SDSC TRESTLES] CPU Hours: Per Job","[TACC LONGHORN] CPU Hours: Per Job","[PSC BLACKLIGHT] CPU Hours: Per Job","[PSC POPLE] CPU Hours: Per Job","[NCSA LINCOLN] CPU Hours: Per Job","[SDSC DASH] CPU Hours: Per Job","[IU BIGRED*] CPU Hours: Per Job","[NICS NAUTILUS] CPU Hours: Per Job","[NCSA FORGE] CPU Hours: Per Job","[TACC SPUR] CPU Hours: Per Job","[PURDUE STEELE] CPU Hours: Per Job","[PURDUE CONDOR] CPU Hours: Per Job","[NCSA EMBER*] CPU Hours: Per Job"
2011-09-01,0,1495.55722721,545.80794229,249.05616883,502.41057139,130.04111221,333.59585862,149.49635188,70.08330000,64.25531217,139.06312000,0,713.19676250,0,23.94665000,13.74062057,5.86210985,0
2011-09-02,0,909.13679766,623.78977475,237.86877047,169.77601550,186.51046803,189.30117959,248.50434542,0,58.47261089,232.42934000,0,134.15436429,0,19.93680000,10.52743199,7.71206463,0
2011-09-03,0,770.73284683,660.75636387,289.02284500,698.55853000,211.22502956,453.88878000,279.97361767,0,105.52074167,35.43258889,0,378.06178000,0,18.94890000,9.99286442,5.63750611,0.04390000
2011-09-04,0,529.11116749,575.82647789,397.41239577,283.32985381,199.62511385,505.12497091,307.71331422,0,242.26242321,222.40243636,0,482.19555333,0,5.15560000,9.47321527,5.11076885,0
2011-09-05,0,705.66201323,642.09096011,348.31543394,368.89849688,350.17269301,559.58419091,357.43746319,2.87756000,274.19089811,300.21055000,0,120.87651376,0,0,12.17682462,8.09627103,0
2011-09-06,0,2132.62868942,599.30081480,265.06623105,497.89646859,185.62629700,542.09642549,184.14324735,8.12972500,252.67651765,304.66173333,0,23.33627374,0,31.20221667,10.62294928,4.45407463,0.10110000
2011-09-07,0,1685.46059089,688.64131834,222.25424324,473.69828288,92.28641473,390.69846727,162.52004169,34.60703333,126.11465357,19.73406667,0.51940000,94.20446698,0,29.28176000,11.22918861,9.09803497,0.17638889
2011-09-08,0,2253.70961966,739.77819383,419.33182192,220.65577320,78.18919714,342.87625789,118.68579279,8.26393333,151.06343214,0,0,679.04240417,0,14.31603333,15.89304013,5.02059364,0.28988125
2011-09-09,0,3124.22836774,617.71400809,488.80539381,726.20710000,1759.94670000,484.45895091,135.72765571,16.62571429,133.87740980,18.88568750,0,601.53028148,0,20.01156000,26.45020241,5.34984795,0.56420000
2011-09-10,0,1157.72091565,859.61820336,565.65746304,539.50268985,110.48722864,496.93279516,289.61609956,37.55260000,270.97609894,134.72457647,0,1882.75528750,0,25.82477143,12.37198899,4.42046834,0
2011-09-11,0,1021.24932211,778.74797649,677.16158978,644.00084500,395.08420236,640.41257073,374.23676761,0,260.22724327,0,0.01520000,231.50325000,0,1.51000000,8.83852729,5.39219530,0
2011-09-12,0,1336.71144643,743.70545635,603.47527697,410.75262080,157.15486387,594.06319455,123.98206614,8.73665714,232.29051235,0,0,74.56953158,0,8.62443750,13.03101980,12.32677131,0.01030000
2011-09-13,0,1771.53418213,630.49906504,853.46201181,253.04197891,217.15430818,397.43146341,150.32975855,1.20098026,166.45329167,0,0,227.48640930,0,9.75611250,7.86300972,5.28666806,0
2011-09-14,0,1386.96510420,823.33067708,933.61198393,336.79885879,263.71352306,282.39568824,196.15349669,19.21333333,196.72720141,0,0,600.34746818,0,1.21422000,8.05037025,9.03150616,0
2011-09-15,0,877.72966499,606.08696225,364.95061040,451.54708540,179.93223401,255.15752804,261.30692899,55.94000000,149.92221963,0,0,103.42326752,0,3.54740000,4.54973877,7.64509466,0.00580000
2011-09-16,0,1083.88030839,806.35459163,1206.62945238,449.63669176,203.69535739,450.98326747,261.50511905,0,203.31255135,0,0,14.59308333,0,0,6.75649665,7.65026191,0.00586000
2011-09-17,0,1717.30316830,897.97144352,2228.49971290,264.39111625,255.43087231,410.98664157,311.09560941,0,120.04071613,0,0,1761.37925000,0,1.62670000,8.12174167,7.39590075,0
2011-09-18,0,555.21451392,1105.10439730,771.33991786,40.25034583,307.11922067,363.75879770,364.45554714,0,222.35652000,0,0,1062.38356000,0,1.01587143,4.57785015,6.60824912,0
2011-09-19,0,805.32479540,854.59216607,1592.79807368,596.32732381,110.58084857,348.16483188,218.52840956,0,116.32735738,0,0,282.83333333,0,26.46444000,3.47471057,7.43510405,0
2011-09-20,0,1388.75066301,744.90955701,1929.20326944,89.51833182,307.61968170,331.53733286,360.00775039,0,165.30214035,1.42000000,0,285.46892500,2.12800000,42.20592222,4.20678986,12.46429644,0.26885000
2011-09-21,0,1397.98866313,1185.17444129,931.31621067,0,233.33823557,473.06809821,296.79212136,0,221.31211818,0,0,185.45492717,16.07110000,26.11022000,3.09838600,30.49174422,0.00397143
2011-09-22,0,1295.26904818,940.35868101,796.50317738,493.02161563,301.24975269,303.60114444,305.19513608,0,116.84017869,0,0,179.08151930,8.11500000,20.26223333,8.37976145,13.95585963,0.26882500
2011-09-23,0,1209.85373800,937.93155426,959.47342754,503.50067762,281.07421829,475.18968600,299.89903640,0,261.27517736,0,0,195.63717619,9.26592333,1.07556667,12.04234075,7.91226934,0.19747273
2011-09-24,0,2616.56860327,1070.25417710,2225.11053846,330.33344703,199.70891712,488.38205926,359.92395277,0,249.21545000,0,0,207.16808400,77.16440000,11.82593333,47.45851617,21.58302731,0
2011-09-25,0,1334.12556136,929.92574372,732.13677419,558.30825279,153.48917607,605.78917609,375.18901799,0,223.15407381,0,0,199.65180526,0,1.06889167,39.16351397,12.58341972,0
2011-09-26,0,687.37883887,797.42691896,768.10755429,468.93573977,194.38783412,529.10566471,275.75990160,12.34119286,172.68925091,0,0,2694.71851667,29.05602778,10.26777500,22.35962795,15.29315305,0
2011-09-27,0,1687.06765324,703.94213033,1241.29841000,473.66810515,195.99425840,479.36582951,266.75378916,11.07575000,66.01325446,0,0,134.15132234,9.56979643,31.38816667,31.56078613,16.76817463,0
2011-09-28,0,1153.73769533,696.21951263,764.43550122,340.61943926,386.04412948,511.40999808,325.35355504,2.84638750,78.79333261,0,0,29.77666709,5.70328571,59.67560000,14.56864141,15.93868622,0
2011-09-29,0,5432.75980519,820.10293028,595.44460179,526.64259536,266.05490061,607.49709487,269.45793887,11.83811538,164.52535455,0,0,28.80768578,6.97624366,15.27146154,3.95126448,17.73748630,0
2011-09-30,0,2837.17959806,797.42744702,576.89589500,386.46631101,345.51470639,624.28146364,129.15033629,79.22400000,34.31563172,0,0,46.05208879,2.43691774,8.57221250,3.53094742,15.44631442,0
2011-10-01,0,2375.03916902,1502.05913084,290.30123333,575.92303725,413.43704498,421.26700769,334.18686932,73.84530000,154.53941842,0,0,390.34050000,6.84916250,0.51560000,6.71072193,10.07221718,0
2011-10-02,0,2589.23126673,705.22769402,106.35991481,900.47736122,305.60062009,381.35555000,140.66804723,57.72735385,225.85692941,0,0,187.49778333,6.61292676,5.39712353,2.36112503,11.57707463,0
2011-10-03,0,1199.05198978,311.09782693,252.37496000,717.82491660,254.71268030,15.23751250,257.81351590,64.66333125,227.51034375,40.86890000,0,262.80374286,3.71490920,43.79556667,3.45036781,25.45527368,0
2011-10-04,0,977.19751621,1436.46503597,200.09749688,252.81470588,211.82490475,289.36044000,432.37553364,67.76352941,143.12449762,0,0,40.04459407,7.52220811,0,4.15499436,13.19787381,0
2011-10-05,0,1128.89067245,718.05626043,348.19605000,1067.62878580,365.64766896,141.31016429,106.34248630,64.16469444,46.01363000,0,0,34.94590571,9.24490000,24.72827143,2.10895386,18.77592554,0
2011-10-06,0,1308.77210969,725.10045641,272.22158095,752.29670025,285.33494712,176.38665455,200.52055938,62.89944286,24.84889200,53.66220000,0,59.55223441,3.10759286,25.05555000,3.14334168,19.02938807,0
2011-10-07,0,1342.35248723,795.84206978,276.90963333,719.50179621,158.54873635,214.42961667,299.78798283,0,0.60682963,138.41110000,0,8.83998197,5.40437500,29.14225000,3.65957878,5.56550080,0
2011-10-08,0,1789.91479569,857.32543537,1110.33406667,425.30338980,108.45530680,110.09461429,265.14007222,0,0.91392667,0,0,22.12731429,1.79335000,10.75110000,4.10085344,15.13115807,0
2011-10-09,0,1080.61340696,905.21253478,1142.11560000,1456.73381667,141.57188253,376.09780000,88.17435095,0,0.96085385,0,0,0.98275380,0,10.56593333,4.57663742,10.69737885,0
2011-10-10,0,1214.61250247,743.82553863,1357.56000000,632.46115394,326.62674641,155.61822000,36.66976139,0.30743913,7.93230769,0,0,32.71847500,0.52890000,17.55941333,4.06180984,13.75502410,0
2011-10-11,0,1143.70886446,787.15078519,255.50814444,0,344.19740467,44.26784211,0,0,5.01040278,0,0,39.53199500,0.16593333,12.77970000,3.21235344,27.57097467,0
2011-10-12,0,1028.95844473,737.49677256,422.29778182,465.45600000,178.28491983,71.98631538,114.42211174,0,6.27260000,0.16440000,0,8.22907041,22.59183256,5.08741667,3.60090041,12.94774814,0
2011-10-13,0,1642.89132877,602.04381635,378.24930968,885.16720357,185.34933277,66.79922105,120.65877102,0,0.69066750,0,0,12.27299135,105.38343455,22.26073333,5.28849749,34.55213240,0
2011-10-14,0,3321.75949026,572.40106051,548.85482222,404.27818310,189.12909189,133.18951429,49.75693705,0,103.77333750,0,0,212.08825714,87.23855811,10.26667273,4.75826675,35.70552666,0
2011-10-15,0,3592.75594301,716.01159137,666.64444545,733.39547383,170.21855835,160.35198000,141.62750000,0,3.83264615,0,0,7.39907500,126.49461538,33.62225000,5.26929162,19.77324191,0
2011-10-16,0,1347.10561993,870.29817942,222.66222500,518.14468659,347.98754177,215.35557500,229.00837865,0,1.26489000,0,0,387.58056250,80.34245658,64.05780000,5.19064443,18.83967578,0
2011-10-17,0,1242.63044816,520.32251049,599.08370833,497.77808571,280.82561858,139.57150909,239.99032201,0,1.33172857,0,0,7.76554000,66.94118411,28.97388750,2.40772483,13.20615166,0
2011-10-18,0,1821.40089416,484.60401963,469.66378824,1181.54301478,1072.84748462,45.52330286,147.05771262,0,0,0,0,15.85251604,76.21217500,4.21667500,2.32142114,7.05970321,0
2011-10-19,0,1334.44448812,975.74640049,1595.07557500,317.08396250,357.66001667,118.69660000,122.80607089,2.41330000,0,0,0,48.87544000,107.83508393,30.42287143,1.50724477,31.54532230,0
2011-10-20,0,1940.58171918,887.31235277,0,736.33621606,317.93952264,110.50073750,124.12003549,0,0,0,0,53.04929091,90.07665441,18.80044000,7.72602221,6.75834766,0
2011-10-21,0,1479.50214562,1248.26595966,4067.70816667,494.91396876,256.44665798,155.82059333,164.82494378,0,0,0,0,37.17008718,102.30836875,0.90670000,5.82396883,3.39792716,0
2011-10-22,0,1536.54469081,1188.37219269,3527.32445000,684.35910874,335.28255036,228.20890000,234.42594662,0,0,0,0,47.13655500,89.77207857,0,4.62990267,5.19732064,0
2011-10-23,0,1793.53830668,1289.64055326,0.00440000,797.03175645,431.70351223,394.97831200,504.92476667,0,0,0,0,52.61373182,73.02006154,3.06665000,3.57716567,11.68990178,0
2011-10-24,0,1119.69375264,832.39674845,6697.97600000,473.04335109,193.83525448,235.67263750,261.48090000,5.14890000,0,0.39110000,0,17.79752829,88.54855091,9.32533000,2.91579286,17.48297683,0
2011-10-25,0,1342.82843820,974.98007413,2605.91980435,231.48513664,143.09369459,121.93022333,183.59703053,47.98000000,0,0,0,42.37173173,57.74661771,25.71703333,5.54430884,5.91565115,0
2011-10-26,0,1757.24692856,790.34152841,2165.89609310,84.13505517,319.54798347,627.00833750,170.24035221,4.98220000,0,0.21630000,0,15.56267946,74.50556885,14.56442000,3.87842593,11.40439811,0
2011-10-27,0,1734.24959273,728.36649546,1598.32156667,622.30173709,198.75092107,477.22517778,191.70180526,0,0,4.32370000,0,6.15047500,66.45953333,9.36890000,4.22970069,8.47240938,0
2011-10-28,0,1573.87171491,739.05959059,2617.25319688,402.79031184,226.67415702,404.40697143,157.69990270,0,0,41.43234444,0,12.17879091,67.64863108,12.80268000,4.10571864,15.55908063,0
2011-10-29,0,1357.16251472,1038.09874249,2966.05926667,560.78640869,255.99953320,194.40978000,369.04248727,0,0,81.76593333,0,187.25872857,6.40957273,1.43912000,6.29984102,16.40364406,0
2011-10-30,0,996.50856147,340.07233015,2714.60124444,462.15361201,112.99888798,267.15853333,344.05201943,0,0,156.72890000,0,40.51638750,5.83312609,0,8.91432297,17.93476954,0
2011-10-31,0,1043.37677103,312.42288445,1988.70457879,343.10416460,174.24920262,269.04444286,174.52732197,0,0,0.14578000,0,0,24.50254161,16.13260000,7.39540707,20.29852369,0
2011-11-01,0,937.58955857,501.48729985,2561.44013750,578.46974103,203.40437302,190.93531111,250.16809101,0,0,555.44890000,0,13.34373631,90.85379667,6.84050000,10.17889930,18.72406089,0
2011-11-02,0,1145.21548185,649.25223589,2356.07358333,941.65671979,174.80239845,202.61142857,118.64512574,0,0,0,0,21.67845161,20.85167487,26.88500000,8.15364752,18.38208049,0
2011-11-03,0,998.39619205,759.41428526,0,455.14063125,219.71769842,593.73997500,138.72035537,0,0,0,0,95.77854000,71.94038148,7.00088500,9.35020843,9.74075556,0
2011-11-04,0,1039.16971807,909.73782087,1861.95595455,376.61782781,234.42458278,65.34752308,188.35408101,0,0,0,0,36.84397640,43.20406408,57.04740000,12.59495423,12.49927095,0
2011-11-05,0,1000.46864816,1024.83868729,3017.62667000,591.85754764,391.30222757,120.74411429,415.44075410,0,0,375.18220000,0,208.69246522,74.08055814,46.07466000,11.09464059,20.13421466,0
2011-11-06,0,1607.90058905,774.38693076,586.13555000,692.29816792,509.65908917,155.13645000,377.15145677,0,0,0,0,413.84643684,58.72558727,9.94110000,9.22516474,9.08702453,0
2011-11-07,0,1058.85130428,1192.74170253,319.29555000,293.35313358,267.93766825,124.21069630,148.49554603,0,0,397.32146667,0,1225.91719333,59.78527103,5.36296667,7.77073609,7.54550393,0
2011-11-08,0,2764.03406659,761.21267742,4211.16698571,1052.38426570,171.55487892,90.25810741,168.37964286,0,0,49.25728889,0,343.94252157,76.52148353,21.05665000,16.62154844,6.34074293,0
2011-11-09,0,1033.58865827,774.47674315,6698.61925833,221.04348934,257.29036118,61.52829189,305.90007866,0,0,3.57048571,0,473.51766410,65.70776329,12.25975556,13.30007933,19.31500845,0
2011-11-10,0,1969.82874049,795.04081228,4565.88929091,1003.44472343,241.51403611,31.38362174,224.84558629,0,0,0,0,78.49865526,78.81479649,17.52518333,17.30600017,25.01675346,0
2011-11-11,0,876.33348539,695.60155275,5631.05036667,542.37679825,202.43178612,33.98379020,155.16000880,0,0,0,0,163.63129189,83.05006825,2.71553333,14.26140875,11.18860432,0
2011-11-12,0,1230.71433465,930.14057230,5991.13252727,588.76271189,397.03547883,79.82044667,153.33932082,0,0,0,0,339.26289000,77.57164222,0.62815000,14.46759418,2.68417148,0
2011-11-13,0,1007.95395613,833.65530047,5938.15231818,349.00075989,396.74267082,142.39717273,235.34747003,0,0,0,0,461.81373939,14.04522139,0.22220000,13.61879180,1.25959841,0
2011-11-14,0,1102.16577434,726.55028155,2828.09697273,928.83316168,313.90417153,249.58731429,170.96804158,0,0,0,0,477.84324595,32.06457805,81.40440000,16.49031527,1.88802471,0
2011-11-15,0,1058.53750721,826.57302508,1415.03101136,405.91280506,287.56883185,117.20522941,116.59408675,0,0,0,0,227.01275385,75.04161923,63.35630000,13.33957971,2.76582706,0
2011-11-16,0,896.85927304,808.04359742,3168.00401905,511.27932704,166.22967241,127.89512000,111.20392590,0,0,0,0,120.43422750,32.23548333,85.44112500,14.75137399,1.74446089,0
2011-11-17,0,1672.16311250,876.64731034,3287.48016923,264.48381509,106.74756113,80.14315833,173.33800253,0,0,171.87422000,0,341.78072391,28.19127671,53.70310000,17.34818450,0.77238695,0
2011-11-18,0,2399.86914595,1501.28168330,3227.46421579,184.71805000,115.83193473,72.73258333,227.24314974,0,0,47.06156000,0,352.72178929,48.53049324,113.34112500,29.91729576,1.25718545,0
2011-11-19,0,1781.60039289,1077.19271702,3185.69159565,753.61619048,160.65551668,28.39890000,709.72970000,0,0,3.50440000,0,98.56980000,92.59171455,34.47775000,21.02616238,1.50768204,0
2011-11-20,0,1844.41069652,1136.28867581,1345.96158571,550.81017514,143.40877429,48.05330000,300.84432632,0,0,0,0,196.29078267,53.38726140,2.05335000,25.61187072,2.46759091,0
2011-11-21,0,1951.61028895,1095.79779111,1531.14679697,588.23591671,87.79469775,56.22833500,163.74122008,0,0,0,0,119.11579172,92.90314833,35.56593333,16.69358963,0.47780346,0
2011-11-22,0,2053.85981104,988.78993719,2838.99012778,532.66863679,78.88373962,22.18657895,319.06214658,0,0,0,0,383.07603696,53.46434946,48.11780000,9.69358083,0.43932921,0
2011-11-23,0,1457.10477346,923.00478627,4929.01800000,521.65514924,73.64368184,48.37284074,257.90687912,0,0,0,0,164.06888769,67.41859846,0,14.00326100,2.00070927,0
2011-11-24,0,5010.20470854,1043.98908259,4135.07203333,464.21698421,114.20038163,378.73780000,452.87726497,0,0,0,0,115.67883279,107.00608750,0,14.10170913,0.28189257,0
2011-11-25,0,3983.75121647,1253.59093220,4156.98630000,790.67334000,79.42591002,257.82816667,450.85553778,0,0,0,0,557.03870417,70.78377237,0,6.26614423,0.11176553,0
2011-11-26,0,2864.11045381,1074.46662627,6143.55556250,1072.64461280,68.38962468,378.77780000,357.02919583,0,0,0,0,31.42275968,42.68871648,1.39110000,5.82769947,0.09635692,0
2011-11-27,0,1749.35274340,2034.60547485,2912.58765556,689.28705754,48.57010738,257.80446667,203.83294695,0,0,0,0,122.13495492,40.32825357,0.17613684,22.64895377,0.12582375,0
2011-11-28,0,1532.24233480,1279.43440526,1365.99077778,603.01674209,70.51171123,193.62470000,171.72671122,0,0,0,0,52.15724542,41.71329508,0.37185000,15.74525193,0.13737635,0
2011-11-29,0,1766.87954656,689.21554398,1500.50460769,413.36027254,82.48256639,70.10555333,172.36036077,0,0,0,0,50.72277663,61.82975922,155.22670000,16.89356335,1.45086342,0
2011-11-30,0,1894.89571893,854.93001578,2092.16888182,0,78.17597260,60.98120909,106.60630174,0,0,0,0,135.85301438,56.06403837,57.48445000,9.52634702,3.56477159,0
2011-12-01,0,1172.13817592,1099.21606831,2415.35491429,777.49534698,70.26766373,29.09416667,127.80696120,0,0,81.88670000,0,22.34005258,106.95894828,146.61110000,8.67315239,2.39946061,0
2011-12-02,0,1619.74585255,1029.63064045,2671.68977500,336.22308240,75.10254136,112.21395714,126.60807222,0,0,67.07341000,0,67.01833976,37.41932474,30.90963333,10.79696320,7.11457647,0
2011-12-03,0,1702.58554274,1091.50798663,1330.06530612,188.13557071,58.59782110,115.34666250,220.19521197,0,0,77.29973125,0,92.75016348,130.99266066,0,12.83434449,9.58000000,0
2011-12-04,0,1467.75245268,1760.04899132,1402.09081957,289.35665000,43.41873684,134.48703333,201.10631065,0,0,0,0,65.63376667,114.75289474,0,19.05239518,9.91415385,0
2011-12-05,0,1434.10364543,1007.06436860,1836.34638065,2010.49251970,65.61024208,22.87332857,130.70133657,0,0,0,0,50.23946720,84.05627500,0,10.01323231,0.50696941,0
2011-12-06,0,862.26697743,1180.70886583,3503.13555417,457.87034763,74.47780411,0.29996452,155.42097187,0,0,21.46777500,0,140.07960179,54.44637931,0.02665000,16.07226686,0.64890709,0
2011-12-07,0,936.58074455,846.29697773,2808.06825357,464.23319976,77.15805105,5.41736250,197.31584699,0,0,0,0,108.95193733,74.53010000,0.63110000,12.43948077,0.79456786,0
2011-12-08,0,1540.24644933,1010.03341257,3840.44133333,329.01634272,132.93128801,31.85581111,133.74384161,0,0,1.62167500,0,45.82789310,239.45356842,64.10220000,10.56997266,8.29239688,0
2011-12-09,0,1414.04447034,907.05248044,4171.28991538,998.65466256,213.83972178,39.41670000,166.89063439,0,0,0,0,73.93593404,119.77989851,3.80890000,10.03999724,2.54730769,0
2011-12-10,0,2291.33259245,863.31889412,2293.29905714,378.66877661,134.37841593,0,174.70168351,0,0,20.03497500,0,201.62327105,159.14631961,0,20.32781196,9.66724231,0
2011-12-11,0,1226.81114250,993.73374449,1072.41777500,559.96499411,192.49329737,7.64222500,167.98592047,0,0,78.20888333,0,369.34596491,157.36069608,2.70220000,13.38436475,3.04613600,0
