Day,[TACC LONESTAR4] CPU Hours: Per Job,[TACC STAMPEDE] CPU Hours: Per Job,[CCT LSU SUPERMIC] CPU Hours: Per Job,[NICS DARTER] CPU Hours: Per Job,[SDSC COMET] CPU Hours: Per Job,[NICS NAUTILUS] CPU Hours: Per Job,[SDSC GORDON] CPU Hours: Per Job,[PSC BLACKLIGHT] CPU Hours: Per Job,[SDSC TRESTLES] CPU Hours: Per Job,[TACC MAVERICK2] CPU Hours: Per Job,[OSG] CPU Hours: Per Job
2015-03-02,114.34132000,540.48260172,168.59722188,577.26294419,0,79.13693793,148.54207511,127.10322099,62.32579874,122.35740889,1.10306452
2015-03-03,3136.94291250,484.23738327,304.95842989,523.01961111,0,0.09745714,123.46340139,26.53802625,64.31564724,69.81199365,1.12256509
2015-03-04,2754.50444444,518.94273544,372.07994658,493.58502135,0,93.70114828,130.71805756,87.54797192,156.21334566,57.00326486,1.03204443
2015-03-05,3470.54582500,521.63236195,181.06587311,306.28279607,0,38.54069714,142.48046362,71.80814218,264.15073212,43.56415841,1.36569112
2015-03-06,2214.42619286,471.84592447,124.26204930,205.88006261,0,251.36861818,103.36148032,250.00801411,100.18501414,18.86074630,1.07052026
2015-03-07,3012.92620000,592.44114445,212.63574605,770.69195000,0,369.72182500,47.87515145,329.26829187,258.19173606,29.09781141,1.17514450
2015-03-08,1795.88750000,627.43268243,64.21589444,268.32726167,0,343.94408387,282.54962388,257.97820095,347.85684018,30.43375649,0.95662900
2015-03-09,3088.74963333,478.67827164,133.41070183,769.06946143,0,603.85849355,117.11707627,260.67601792,128.18688889,21.92411469,1.24301819
2015-03-10,1573.41875625,475.02665733,192.65824683,338.67443325,0,547.07538889,131.23942123,101.17773810,172.03316340,80.94658444,1.45132481
2015-03-11,3487.91666667,487.14360725,165.55876871,78.53997080,0,489.38910323,121.34204797,200.92644153,177.76511835,49.99655546,1.49204980
2015-03-12,2577.70970000,479.53753770,238.59398125,63.18153368,0,204.24674643,224.70931131,227.17551875,257.14128396,667.94668548,1.32105706
2015-03-13,3476.25666250,488.82365503,156.11833250,300.06414620,0,550.95748000,169.60275509,206.10724000,249.88954860,1077.56924884,1.41258924
2015-03-14,3066.31925556,889.93341688,39.04276744,748.56180435,0,262.72000000,165.00082469,346.01777634,205.97075139,414.78018556,1.34752614
2015-03-15,2080.46332727,743.50610084,11.16111233,551.43979886,0,0.21370417,163.53536024,306.63843723,102.81974088,557.75712113,1.14985307
2015-03-16,4741.92888333,612.57272106,62.81532759,259.60888841,0,0.02074286,222.25641478,206.23116310,109.52358134,518.36646049,1.35344539
2015-03-17,2854.91250000,528.22148608,184.66225761,544.76637063,0,0.02333125,173.37637015,447.51509048,164.54962999,538.11012192,1.38717798
2015-03-18,3662.61500000,510.95820831,278.22945658,558.43866667,0,156.31043478,142.71935814,180.28905630,207.80587440,482.34174559,1.40647642
2015-03-19,3960.00000000,611.26917544,159.40781356,804.84247857,0,116.47717568,147.41100110,108.86951844,199.01911279,89.27003311,1.42312388
2015-03-20,591.30041250,533.45247004,395.17777529,831.81670139,0,140.21052000,151.01232910,110.76087868,227.16665678,64.64109145,1.24884241
2015-03-21,3960.00000000,805.81975148,346.40648137,394.50264326,0,102.91923438,177.12386675,83.85343348,242.76103755,51.21432422,1.25212169
2015-03-22,2672.75800000,783.04229446,399.43534381,269.21737291,0,85.30708125,165.53184039,87.29157939,255.54002901,62.63468155,1.42044445
2015-03-23,3168.00000000,560.27887356,315.57509322,377.01308515,0,254.26106087,143.73555674,108.70521318,255.34170180,78.84361167,1.13712008
2015-03-24,1284.47000000,603.01118727,516.09993913,1756.47841918,0,312.90540000,143.69794438,84.52824664,269.52690178,203.32106897,1.50360274
2015-03-25,1940.38417500,644.72370558,606.57657349,1449.85967753,0,429.86073333,77.41506418,94.44295720,158.90648661,238.50627419,1.46695451
2015-03-26,916.28571429,819.62726541,2396.86449565,384.39113912,0,0.04890000,117.01394870,58.07332658,219.08963003,140.99808333,1.34325910
2015-03-27,2809.35466000,685.88035192,714.00638657,346.87698698,0,0.05512000,268.95920688,55.24504238,242.29774219,29.04288933,1.51321272
2015-03-28,2660.20000000,861.95160648,1990.37037222,651.14555833,0,0.33330000,125.11942987,86.48124336,115.12440007,32.71570654,1.36077342
2015-03-29,965.92835000,826.78717705,798.34089362,5784.77856176,0,951.90741111,111.35633765,77.29738562,246.93130085,75.63560118,1.41172656
2015-03-30,2800.47167500,413.80736087,1071.40411852,1346.45650382,0,960.18080909,131.80921317,259.37905319,198.81207266,266.83749875,1.44515657
2015-03-31,2994.93332500,171.35236069,449.15468286,3908.50927609,0,564.57000313,152.80285649,69.73168843,181.39682119,160.01956042,0.96620504
2015-04-01,2319.38665000,705.57287536,473.54110000,772.03555627,0,513.27619429,126.26888092,46.18361536,161.76703495,27.99755862,1.41103522
2015-04-02,0,450.72927717,757.58098889,1316.69439286,0,365.95137353,144.87166851,100.60202257,264.55100879,119.24261193,1.47255327
2015-04-03,0,520.42132505,1250.70809672,499.61485047,0,0.05156000,121.52051595,119.27881571,33.32240033,82.24031810,1.41168201
2015-04-04,0,820.08333579,981.88089888,205.02562844,0,0.04000000,144.13770288,76.78035994,18.93154598,105.68355680,1.39987096
2015-04-05,0,681.48900248,3285.37892917,799.25823707,0,0.05334000,246.39465796,74.14670909,279.75428311,74.35105873,1.46294438
2015-04-06,0,530.07719887,704.24212278,169.50931032,0,0.04593333,135.66025319,85.58964330,329.68660727,133.69499016,1.43615217
2015-04-07,0,409.64132231,1302.69793714,580.87291600,0,0.05688000,181.68034974,48.50387916,232.56586385,26.24875306,1.59227328
2015-04-08,0,512.20428346,389.23851061,534.62011346,0,0.05334000,130.69661956,71.23383656,240.65307407,73.43548889,1.97864852
2015-04-09,0,642.54649206,409.09207526,919.97149674,0,0.00890000,145.41059761,54.14058203,313.07238836,49.21449565,1.17455197
2015-04-10,0,640.15936834,562.20041667,1960.75608214,0,0.04190000,141.99297002,122.79919457,175.86879155,26.86373000,1.31592995
2015-04-11,0,643.80307812,578.30349462,655.54414807,0,0.04445000,155.59087208,72.88085698,379.24644316,148.54865455,1.53412868
2015-04-12,0,1001.82729006,838.60343289,4583.39075800,0,0.04148333,263.03397955,54.24179477,326.35360182,1421.04630000,1.59819666
2015-04-13,0,589.81709295,934.92791481,938.07210159,0,0.04593333,147.41011387,40.05145503,97.22495011,194.27287417,1.50835974
2015-04-14,0,632.47835725,918.03639213,258.94297572,0,0.04296667,180.01355116,204.60885078,145.24721510,30.50162632,1.64935497
2015-04-15,0,730.35406073,1550.69709701,96.03867963,0,0.02667500,222.53505487,113.71467933,121.89448540,41.16850103,1.49333687
2015-04-16,0,383.03991367,623.81584259,2719.02733939,0,0.04593333,131.83159985,137.47449945,150.94661160,31.94955625,1.57063982
2015-04-17,0,484.90221734,1253.49854426,2825.93280000,0,0.16445000,229.41679314,114.97390128,181.62847689,86.83250426,3.47944924
2015-04-18,0,664.95099180,1394.71647544,0,0,0,232.24296396,117.03565545,212.35008740,113.44444557,4.18014459
2015-04-19,3.78332500,773.50188172,1276.58163065,0,0,0,187.93001781,75.99898487,171.46955141,41.81974043,1.44981019
2015-04-20,0,394.18871335,548.58080000,2404.22621379,0,0.00890000,132.44700896,95.90385229,148.57615506,48.61119118,1.65132619
2015-04-21,0,165.22630486,903.49136091,1812.69078525,0,0.02062857,153.40196584,118.21470522,254.75445693,38.16666344,2.17319238
2015-04-22,0,1030.23666977,692.32086783,909.80583857,0,0.07110000,159.24846191,98.34549422,215.57357694,89.45400000,1.78690529
2015-04-23,0,338.57863915,708.75048077,944.64940694,0,0.06890000,132.05569787,96.66223942,76.04019301,131.71537679,2.03636567
2015-04-24,0,334.40447381,984.24661299,1641.37542045,0,0.06445000,133.08203096,80.65025842,101.42576449,104.79118095,2.60588796
2015-04-25,0,612.68007847,2340.40251429,1915.79120719,0,0.06667500,204.08517875,248.01075116,104.81888168,79.95172529,2.14567389
2015-04-26,0,509.20855352,2462.11199318,587.97644988,0,0.06667500,167.14395192,918.65600000,64.77802971,67.87746250,1.90057599
2015-04-27,0,230.98048066,1896.10870377,104.27815055,0,0.06667500,105.72902465,170.45363558,193.63468455,130.93900737,1.68791714
2015-04-28,0,106.72519354,1508.18796333,221.30791907,0,0.05777500,134.60896724,136.21265238,121.90014495,112.08214757,1.39075068
2015-04-29,0,518.56713318,2740.49747500,86.61655515,0,0.08222500,168.73484489,243.37723197,62.93402929,182.90306207,1.09755235
2015-04-30,0,431.71412194,1984.10645000,78.92831952,0,0.06445000,198.41934346,163.41063068,48.73863546,111.41296410,0.84902051
2015-05-01,0,459.53815950,1799.03422045,4507.33987547,0,5.53926667,199.33414169,111.29819228,0,78.24567778,0.35205858
2015-05-02,0.86670000,905.69303574,1394.04140000,1275.38720992,0,0.06445000,205.75420039,136.64897992,0,147.57870556,0.73384285
2015-05-03,0,713.91269468,1616.19783171,212.62746131,0,0.06222500,134.25744661,127.48715043,0,151.50865882,1.52320123
2015-05-04,0.99170000,428.31935948,615.32527800,110.09438067,0,0.04000000,189.09244652,99.00303713,0,203.74063333,1.02208540
2015-05-05,6.00000000,406.11701751,1195.98933710,64.28429151,0,0.05036667,175.09998730,112.58428073,0,227.44471111,2.55406372
2015-05-06,0,423.23275445,1205.43691222,139.21262510,0,0.06222500,186.33864678,136.53786377,0,249.52037333,1.54331325
2015-05-07,0.91776667,433.98350345,1691.35420857,113.70730469,0,1.75290000,216.98527028,100.37695443,0,37.53061275,0.96893875
2015-05-08,0,400.49246408,1576.33815952,107.24935250,0,1.43481667,145.75948014,157.26056121,0,16.62780000,1.19688202
2015-05-09,0,367.15886832,2479.40410435,2768.72687976,0,0.05926667,257.70719455,375.77104063,0,0,1.26764386
2015-05-10,0,522.09488260,522.08946748,142.93851579,0,0.00890000,160.65854756,534.28783158,0,93.81016596,1.29722710
2015-05-11,0,326.24122185,1195.21696757,5083.71137059,643.24000000,0,41.96181831,272.02648225,0,86.85839321,1.24775457
2015-05-12,0,382.42930006,521.65380000,144.67767713,1152.00000000,0,73.81840748,532.77680345,0,117.74918033,1.17611576
2015-05-13,0,407.61573191,729.33052412,662.31638438,1035.07906138,0,95.81295249,285.92032886,0,174.17697667,0.65830998
2015-05-14,0,412.39911565,972.22858072,122.47684324,413.52835559,0,151.93113311,225.01244951,0,224.48858919,0.63187947
2015-05-15,0,271.15575055,1121.81351753,207.47984048,367.03027620,0,287.10338332,219.23584883,0,391.97968906,0.73834215
2015-05-16,0,247.32363374,718.67286667,867.25763563,531.04108203,0,412.36820612,463.19697766,0,697.54216071,0.92226095
2015-05-17,0,877.53947314,2241.81996563,98.13551807,513.77389856,0,372.36937329,493.92555288,0,298.47083125,0.94666898
2015-05-18,0,480.53082588,865.70417949,96.38205240,365.04503726,0,177.39986480,490.07721717,0,147.77491129,0.97760229
2015-05-19,0,444.01909909,1675.07231311,80.76207252,377.06696118,0,234.32147926,218.06562678,0,216.54943924,1.58974078
2015-05-20,0,496.82533602,458.30975610,183.22455365,334.00062350,0,221.80288411,317.42478929,0,284.79481209,0.42023461
2015-05-21,0,454.22044105,572.58398477,101.49782727,674.45247312,0,167.40388706,376.96328060,0,164.14638780,0.65461597
2015-05-22,0,507.60764188,867.03988739,224.77274534,672.70346748,0,154.29183185,250.59510455,0,170.33526522,1.29172757
2015-05-23,0,943.57190646,575.53500000,4405.97164615,862.74327372,0,216.98369676,177.53425551,0,250.46851569,1.68005868
2015-05-24,0,973.37874867,644.26969773,287.42092084,739.69240135,0,141.63533863,329.52398160,0,167.58601379,1.34264019
2015-05-25,0,426.05659099,2768.35468947,69.93123957,631.02111645,0,196.17143869,722.40583438,0,130.17470308,1.30224158
2015-05-26,0,426.46891196,431.16778358,178.08879286,546.88863364,0,195.37328993,210.28964180,0,146.97687703,1.15966957
2015-05-27,0,465.93609323,542.20566689,86.43282422,516.38625313,0,182.60677018,276.88357362,0,131.52457115,0.88078657
2015-05-28,0,424.40321509,587.00453121,100.64525302,400.38111754,0,162.83882547,251.26997442,0,88.66126762,0.57259868
2015-05-29,0,435.02186065,609.86515888,41.64006670,404.56141888,0,138.03281304,325.21567368,0,130.33237910,0.99031366
2015-05-30,0,795.85947653,637.20200672,48.59621163,502.62435641,0,266.94427777,522.45955750,0,637.48313393,1.17553214
2015-05-31,0,683.13201447,390.29885045,131.38533550,334.88458834,0,227.61515421,463.61287436,0,1102.28302973,0.86507533
2015-06-01,0,416.73986772,812.09158938,36.88263844,306.50217636,0,265.05857533,295.45882598,0,115.89242121,0.93464987
2015-06-02,0,112.61133906,554.40611077,82.92467887,303.47011186,0,246.97940871,372.96692061,0,126.53142188,0.66638915
2015-06-03,0,371.00943065,373.18751899,66.10485489,304.26058847,0,175.29054005,149.48535110,0,73.93819774,0.64353120
2015-06-04,0,409.64568350,813.33825133,161.90500000,369.62830067,0,156.46685369,154.11348951,0,37.10943946,0.60088454
2015-06-05,0,424.91724143,428.22097333,85.37492957,338.48573184,0,170.07818891,170.76997185,0,25.38317366,0.74905308
2015-06-06,0,757.81495884,1053.54919420,78.39114609,513.91170633,0,74.53363835,137.23931443,0,35.28470078,0.66224162
2015-06-07,0,774.69265444,609.26157361,179.63375192,484.03523194,0,67.60714062,403.30081754,0,168.13607816,0.38115791
2015-06-08,0,609.99265602,611.78681642,495.50069531,397.21883072,0,102.23250460,226.79435060,0,160.47357479,0.58768876
2015-06-09,0,599.41870435,899.39640246,1724.91201650,575.06990959,0,162.86982575,247.31148487,0,119.38041583,0.48148648
2015-06-10,0,498.34683308,1491.82233895,2373.50498378,472.46027799,0,177.42670502,381.59606688,0,239.27875686,0.60368698
2015-06-11,0,622.73812733,823.74984173,447.92802356,369.12428159,0,204.50220557,344.83422988,0,82.02187435,0.52427615
2015-06-12,0,538.37041544,2174.04682571,4341.75723679,537.48136237,0,183.77563921,239.91743122,0,136.52285984,0.69500443
2015-06-13,0,873.59489729,722.73512434,4406.95372842,645.40845942,0,240.08255966,249.92364393,0,197.96561757,0.71107923
2015-06-14,0,758.24271661,776.07956420,2139.40651976,487.04635952,0,193.63527256,205.40218852,0,212.36583881,0.88349542
2015-06-15,0,628.06056941,410.28478242,4651.23641325,297.76189297,0,85.40389497,281.49511354,0,195.47564767,0.68328858
2015-06-16,0,657.86442183,638.56265376,5914.20302533,459.11022980,0,268.54304563,339.35739796,0,104.65470854,0.51343863
2015-06-17,0,625.37553322,547.70464177,2629.44223626,560.19507322,0,238.56828510,184.64780928,0,261.25718706,0.63137877
2015-06-18,0,687.52603725,1130.33300000,2865.20583881,597.17130893,0,145.03337680,213.79540826,0,230.48874000,0.97416488
2015-06-19,0,616.26949295,331.57871262,3804.63758972,576.70181639,0,139.22939995,448.44961138,0,172.81453830,0.91974782
2015-06-20,0,674.67692871,136.18857181,2328.99690815,621.93347056,0,211.90858957,628.33469184,0,115.68484143,1.10455792
2015-06-21,0,725.95831027,382.21293947,7313.42867419,525.86941607,0,204.13274647,549.56335946,0,161.42055583,1.08975828
2015-06-22,0,740.65942923,832.67398000,1968.97901731,523.42960753,0,221.67849624,239.83121916,0,46.13669355,0.63631007
2015-06-23,0,679.19067101,606.22920000,775.22752375,512.86079824,0,204.20586656,422.65166015,0,108.33016944,1.05974527
2015-06-24,0,521.39946653,199.59388472,921.79956301,445.87315898,0,197.18557107,301.99242912,0,83.34948454,0.71350937
2015-06-25,0,693.93269450,243.58519500,435.91685933,541.06492272,0,250.60525055,128.07468506,0,152.96998659,0.66759452
2015-06-26,0,830.32459877,384.43898466,1435.54932181,251.70554931,0,210.20318037,124.45513647,0,37.08146612,0.73764115
2015-06-27,0,824.89270444,150.25687482,3652.14033148,416.57661878,0,278.93981492,232.89620319,0,26.73074361,0.82166689
2015-06-28,0,737.14056460,258.66148433,1613.08113255,149.10289613,0,219.09127575,201.71035317,0,31.11290952,0.76602440
2015-06-29,0,696.63064121,121.10471925,1751.97616763,143.35917227,0,205.32966545,142.97185720,0,147.78085059,0.40538996
2015-06-30,0,592.90501541,351.90761008,1443.14910824,386.07383514,0,162.24184102,258.75005705,0,72.79044191,0.26250352
2015-07-01,0,616.78682200,242.74663516,1589.22236211,56.83139579,0,168.84503174,176.40052688,0,108.69271597,0.47574773
2015-07-02,0,566.71632445,199.73940800,975.64698354,115.04274254,0,233.85924149,195.91260274,0,176.43342308,0.58251995
2015-07-03,0,593.13934725,328.70578631,789.18236201,537.88758570,0,237.46062967,158.21096583,0,153.26151951,0.37031886
2015-07-04,0,841.29857008,357.44156800,643.81852303,531.24678034,0,311.11300103,141.05350787,0,98.01643750,0.50419620
2015-07-05,0,852.14944177,201.58068690,488.30494035,169.11419666,0,355.51745756,255.73083820,0,128.61527857,0.47263745
2015-07-06,0,673.92963121,384.83513984,1036.20594019,39.78941405,0,263.78761368,611.06238519,0,148.67602051,0.52491158
2015-07-07,0,662.92810344,339.73876623,2625.93447151,63.46916349,0,246.01834646,210.97124815,0,191.03244198,0.80923656
2015-07-08,0,694.15308301,521.83965389,2656.38117041,167.88184515,0,217.94226443,244.08871467,0,150.20923776,2.04622853
2015-07-09,0,678.82195959,291.12574660,1648.75239397,386.75728606,0,223.77390092,265.25854478,0,140.37273953,2.00070133
2015-07-10,0,521.13950020,295.19563729,2420.13620564,353.18400154,0,242.04673377,783.01529322,0,144.47391078,2.14822904
2015-07-11,0,655.36167700,493.68055161,2322.57905455,405.16969044,0,350.50145974,388.12215567,0,116.27971628,1.99855629
2015-07-12,0,677.61313431,831.12974839,1287.00271536,340.33776383,0,287.76372872,134.68981528,0,101.22601429,1.90734368
2015-07-13,0,416.48349462,205.84984537,1222.12770759,123.87722556,0,229.93926239,69.55917007,0,131.96470735,1.86718966
2015-07-14,8.41556667,289.65090243,271.75034688,1322.24424890,173.98910048,0,212.78575309,171.98226804,0,129.48632857,1.92044290
2015-07-15,0,604.92572924,128.05734974,3250.74590368,239.88277235,0,241.69849388,174.75987772,0,120.87947612,1.98683462
2015-07-16,0,653.46114228,53.19989909,2096.14075127,306.04926175,0,303.08105215,247.58189800,0,66.16715783,1.52170096
2015-07-17,0,763.39868993,55.25897679,1519.96911338,363.36230693,0,263.35093422,338.95833821,0,87.05638507,1.40924412
2015-07-18,0,886.31230231,315.04567778,1994.24493394,482.13692850,0,300.08862532,280.80420538,0,185.77135000,0.86516052
2015-07-19,0,1007.58264804,175.28025538,2276.41066650,625.01685649,0,286.46697743,282.49939351,0,224.31453830,0.95229106
2015-07-20,0,588.64218611,225.36135191,1212.21834282,243.85367888,0,297.39893353,220.55979408,0,228.50907215,0.90450323
2015-07-21,0,616.64961389,203.54779241,1266.76418369,150.07386137,0,269.78227457,316.46075169,0,150.60687622,0.88427052
2015-07-22,0,641.50699434,463.06752418,1497.02708328,89.74593290,0,254.98634190,74.28258157,0,263.20345437,0.70806690
2015-07-23,0,681.96783677,254.00327474,1502.12178708,62.66766794,0,311.01921700,124.36406592,0,217.86436724,1.02027328
2015-07-24,0,628.37217914,239.75025315,1417.86640033,248.16459408,0,264.14815051,228.30262295,0,357.86565455,0.81957910
2015-07-25,4.16835000,858.74732170,477.99689200,3645.98924597,337.99194977,0,359.25140024,562.31096500,0,112.72656098,0.76913546
2015-07-26,0,865.25738157,1154.98174921,1764.48339247,321.19831047,0,451.99952128,311.74292927,0,621.67777727,0.47708213
2015-07-27,0,643.13903002,213.02621472,814.90132480,402.49168393,0,356.21656031,92.31943755,0,336.58656512,0.46283168
2015-07-28,0,583.00198281,118.19222564,664.01923170,299.28905610,0,335.58022868,313.39999872,0,133.87265827,0.55311534
2015-07-29,0,579.12841168,327.91851106,882.79103973,283.80323053,0,313.34941276,358.13435060,0,129.39757381,1.39234589
2015-07-30,0.41000000,640.87826159,440.80314948,613.68244456,305.23110033,0,334.46655589,215.09032396,0,67.25973310,3.23988099
2015-07-31,0,769.09249501,541.93038125,940.78123447,238.21662600,0,325.51457857,510.62679041,0,57.64430043,4.95600311
