title
"Number of Jobs Started: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2014-08-01,2015-01-31
---------
Day,"[1] Number of Jobs Started","[2] Number of Jobs Started","[4] Number of Jobs Started","[8] Number of Jobs Started","[32] Number of Jobs Started","[16] Number of Jobs Started","[3] Number of Jobs Started","[6] Number of Jobs Started","[12] Number of Jobs Started","[9] Number of Jobs Started","[10] Number of Jobs Started","[24] Number of Jobs Started","[5] Number of Jobs Started","[20] Number of Jobs Started","[31] Number of Jobs Started","[22] Number of Jobs Started","[11] Number of Jobs Started","[18] Number of Jobs Started","[7] Number of Jobs Started","[17] Number of Jobs Started","[15] Number of Jobs Started","[30] Number of Jobs Started","[14] Number of Jobs Started","[25] Number of Jobs Started","[28] Number of Jobs Started","[13] Number of Jobs Started","[26] Number of Jobs Started"
2014-08-25,264,171,8,5,1,3,0,0,2,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-08-26,475,214,7,5,1,8,8,1,2,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2014-08-27,521,123,53,4,1,4,8,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-08-28,432,151,5,4,3,7,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-29,289,119,12,6,3,0,3,0,2,5,2,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-08-30,559,48,22,3,126,3,3,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2014-08-31,241,43,10,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,409,87,13,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2014-09-02,488,151,15,4,1,1,6,1,0,0,0,3,0,1,0,4,0,1,0,0,1,2,0,0,1,0,1
2014-09-03,590,208,62,6,0,2,9,0,8,16,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-09-04,685,116,4,4,3,1,7,0,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-05,471,138,18,3,0,1,0,0,4,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-06,368,89,19,6,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-07,416,76,13,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-08,653,168,79,5,1,2,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-09,577,109,20,5,3,0,1,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-10,462,188,12,5,0,0,0,0,3,2,6,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-09-11,597,218,8,9,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-12,711,139,22,8,0,1,3,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-13,480,179,24,8,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-09-14,217,96,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-15,112,150,5,3,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-16,633,103,15,2,0,0,4,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-17,1628,292,5,1,0,0,3,1,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-18,320,221,12,6,0,0,0,4,4,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-19,498,194,18,14,0,1,12,0,5,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-20,273,79,0,2,0,1,10,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-21,536,130,6,6,0,0,6,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-22,530,168,15,1,0,2,5,1,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-23,417,220,35,7,0,2,6,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-24,334,148,17,8,0,5,1,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-25,470,188,12,3,0,14,2,7,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-26,556,201,6,9,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-27,159,152,4,4,2,3,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-28,421,205,7,11,4,4,0,0,1,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-29,679,245,18,11,0,1,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-30,961,247,15,4,1,2,3,3,7,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,851,160,10,11,0,5,33,1,7,14,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-02,1648,157,10,6,1,9,5,6,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-03,523,199,33,19,4,6,8,19,19,28,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-04,849,47,6,2,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-05,482,98,9,3,8,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-06,527,121,20,15,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-07,461,138,14,3,3,7,3,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-08,591,161,30,5,6,3,5,14,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-09,244,151,22,16,0,2,4,31,1,0,7,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0
2014-10-10,283,118,32,15,1,0,9,8,0,1,1,0,6,5,0,0,0,0,2,1,0,2,0,0,0,0,0
2014-10-11,132,86,40,15,0,1,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-12,214,66,32,8,0,0,14,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-13,1072,156,7,11,0,2,5,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-10-14,1035,202,14,8,0,0,12,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-15,599,184,20,9,1,0,4,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-10-16,2686,128,18,11,3,0,3,1,5,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2014-10-17,712,111,23,8,9,0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-18,444,52,10,2,6,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2014-10-19,287,66,15,0,20,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-20,659,158,41,13,1,4,5,0,37,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-21,364,224,11,15,11,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-22,562,189,18,2,2,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-23,653,196,20,10,0,0,3,17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-24,609,160,14,4,1,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-25,230,63,19,4,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-26,225,56,17,6,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-27,654,143,10,14,8,0,9,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-28,1282,344,10,34,12,4,0,4,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-29,446,218,24,22,4,3,0,0,0,0,0,0,6,0,4,0,0,0,1,0,0,0,0,0,0,0,0
2014-10-30,831,202,25,10,10,0,0,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-31,656,136,94,17,4,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,116,65,38,20,1,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-02,1773,20,4,2,0,0,0,2,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-03,575,238,50,5,2,1,9,2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-04,2270,256,22,16,3,0,0,2,7,0,9,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2014-11-05,1189,182,15,17,14,0,1,1,1,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-06,649,166,22,13,4,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
2014-11-07,449,170,8,23,3,0,5,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-08,226,53,36,7,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-09,281,84,37,1,1,40,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-10,324,201,61,9,2,1,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-11-11,395,184,8,12,1,0,3,4,0,0,0,0,0,6,1,0,0,10,0,0,0,0,0,0,0,0,0
2014-11-12,558,211,16,18,0,0,2,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-13,1304,341,10,11,3,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-14,302,126,9,58,9,0,3,1,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0
2014-11-15,259,48,32,8,4,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-16,174,94,4,2,5,0,1,0,0,0,25,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
2014-11-17,741,149,24,10,0,0,0,7,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
2014-11-18,626,237,10,26,4,0,0,9,0,3,3,0,0,1,1,0,0,5,2,0,0,0,0,0,0,0,0
2014-11-19,915,235,14,23,5,0,5,4,0,2,0,0,0,18,0,0,0,6,1,0,0,0,0,0,0,0,0
2014-11-20,1434,221,6,12,0,0,14,8,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-21,1287,183,2,19,4,0,4,0,0,0,3,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-22,703,59,13,309,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-23,473,55,1,5,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-24,1441,149,23,28,2,1,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-25,2256,82,9,4,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-26,734,259,14,5,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-27,590,127,13,7,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-28,760,120,7,2,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-29,396,49,8,33,0,1,3,0,0,0,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-30,177,109,20,5,41,1,2,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-12-01,671,80,13,83,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-02,1902,103,4,27,3,7,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-03,3734,365,7,18,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-04,613,206,4,33,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-05,2608,235,14,17,2,5,5,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-06,3232,151,3,1,4,2,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,2722,189,12,6,1,3,2,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-08,1877,259,18,14,0,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-09,2721,246,17,25,5,6,2,5,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,3150,283,26,11,2,1,1,3,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-12-11,2959,279,23,96,4,2,3,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-12,399,314,19,13,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-13,103,187,48,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-14,149,138,7,4,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-15,2127,263,8,8,3,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-16,2749,317,310,5,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-17,1029,236,19,14,1,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-18,575,200,20,25,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-19,1436,146,27,10,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-20,2004,64,21,13,0,2,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-21,1162,47,39,5,3,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-22,4235,126,62,9,0,2,4,0,0,0,0,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-23,2566,152,20,9,4,1,5,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-24,1159,118,25,27,0,25,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-25,669,77,11,11,12,8,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-26,102,75,7,13,6,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-27,297,81,8,7,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-28,190,92,2,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-29,522,160,6,9,0,3,15,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-30,84,135,4,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-31,62,35,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,73,46,5,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,521,64,7,1,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-03,624,58,6,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-04,130,100,5,10,4,5,5,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
2015-01-05,1664,244,120,102,97,95,3,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
2015-01-06,293,167,77,43,32,33,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,347,211,109,75,68,67,5,4,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-01-08,545,200,616,22,0,0,8,1,1,0,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
2015-01-09,106,154,21,19,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,166,60,43,8,0,0,4,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
2015-01-11,104,91,23,17,15,15,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,181,242,82,53,45,43,2,0,0,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,475,236,301,51,41,42,8,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,374,285,108,16,14,10,16,1,0,0,6,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,1176,201,36,13,5,1,5,1,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,281,142,25,28,19,18,6,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,405,112,38,35,34,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,418,86,40,39,35,36,2,1,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0
2015-01-19,398,145,11,4,0,0,7,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,891,199,12,23,1,0,3,0,5,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,2556,176,16,23,1,0,5,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,595,207,17,19,0,0,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,1141,105,3,18,0,0,29,0,1,0,2,0,1,0,0,3,1,0,0,0,0,0,2,0,0,0,0
2015-01-24,208,52,1,221,0,0,20,0,0,0,0,0,0,0,4,6,9,0,0,0,0,0,1,0,0,0,0
2015-01-25,282,38,13,15,0,0,20,0,1,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2015-01-26,381,107,2,7,0,1,9,2,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0
2015-01-27,463,207,7,3,0,2,4,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,536,242,6,11,1,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0
2015-01-29,806,236,8,5,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015-01-30,821,225,8,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-01-31,295,78,4,4,2,2,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
---------
