Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[8] Number of Jobs Started,[3] Number of Jobs Started,[32] Number of Jobs Started,[10] Number of Jobs Started,[16] Number of Jobs Started,[24] Number of Jobs Started,[5] Number of Jobs Started,[6] Number of Jobs Started,[9] Number of Jobs Started,[12] Number of Jobs Started,[7] Number of Jobs Started,[20] Number of Jobs Started,[21] Number of Jobs Started,[13] Number of Jobs Started,[11] Number of Jobs Started,[14] Number of Jobs Started,[17] Number of Jobs Started,[18] Number of Jobs Started,[19] Number of Jobs Started,[15] Number of Jobs Started,[22] Number of Jobs Started,[28] Number of Jobs Started
2014-02-13,1757,150,30,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,703,213,24,12,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-15,734,80,18,6,1,0,2,1,0,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0
2014-02-16,976,56,19,2,7,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-17,956,166,15,26,2,2,0,1,0,2,0,1,2,0,3,1,0,1,1,0,0,3,0,0,0
2014-02-18,1273,188,9,8,4,0,0,2,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0
2014-02-19,1531,176,16,8,2,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-20,1797,166,13,6,1,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-02-21,960,118,16,6,0,0,3,2,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0
2014-02-22,546,78,1,3,3,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0
2014-02-23,2365,64,6,5,2,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-24,3984,194,6,10,1,1,2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-25,1412,134,4,5,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2014-02-26,1513,175,7,16,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-27,1460,102,7,5,4,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2014-02-28,1061,166,2,9,8,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2014-03-01,776,90,4,1,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-02,1727,65,3,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-03,1186,151,7,8,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-04,1043,225,6,96,6,2,0,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-05,544,141,8,3,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-06,561,185,5,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-07,814,146,2,18,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-08,178,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-09,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-11,336,123,7,8,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-03-12,619,291,19,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-13,1405,186,8,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-14,950,134,21,13,3,13,0,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-15,611,148,27,11,0,24,0,8,8,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-03-16,357,108,19,17,0,13,0,4,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-17,612,196,53,8,6,3,0,1,8,0,6,0,7,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-18,1060,199,5,14,4,70,0,12,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-19,1310,175,3,4,0,36,0,13,14,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-20,1300,196,25,15,5,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-21,1380,177,25,8,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-22,1592,72,21,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-23,760,106,19,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-24,1347,240,8,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-25,1431,215,3,8,1,9,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2014-03-26,4132,195,10,3,0,2,1,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0
2014-03-27,1881,307,9,6,0,6,0,1,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-03-28,1179,246,7,5,5,9,0,1,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-03-29,2525,139,15,3,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-30,513,139,9,6,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-31,808,184,76,16,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,1623,188,63,28,3,7,0,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-02,1379,263,19,15,2,4,0,10,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-03,1575,230,10,5,21,0,0,2,2,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2014-04-04,1155,138,14,16,3,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2014-04-05,110,4,3,4,8,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-04-06,1336,41,13,22,10,0,0,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-07,2463,154,8,21,21,2,1,1,0,5,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-08,1611,194,8,9,7,2,0,5,1,18,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-09,889,120,7,6,10,2,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-10,327,177,17,18,3,13,0,19,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-11,466,162,24,43,3,43,0,43,28,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-04-12,752,53,12,12,1,47,0,15,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-13,405,61,6,4,7,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-14,844,145,17,7,11,2,1,2,0,5,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0
2014-04-15,480,126,10,5,4,1,0,1,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
2014-04-16,329,159,13,9,3,3,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-17,457,174,20,18,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-18,287,175,9,13,2,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-19,218,80,2,4,0,2,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0
2014-04-20,197,84,7,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-21,498,207,47,55,7,0,1,0,0,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2014-04-22,456,235,27,36,1,1,6,3,0,3,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0
2014-04-23,485,204,34,121,2,0,0,2,0,1,0,1,0,2,1,0,1,0,3,0,0,0,0,0,0
2014-04-24,800,196,25,71,4,2,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-25,266,191,54,72,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-26,177,86,8,9,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-27,224,83,14,5,5,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2014-04-28,1152,224,16,23,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-29,643,202,17,25,4,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-04-30,1272,235,17,13,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,2966,193,31,30,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-02,3546,173,15,12,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-03,620,83,22,8,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-04,177,75,7,13,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-05,977,158,42,13,0,4,3,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-06,543,202,9,26,2,1,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-07,2399,224,13,35,1,6,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-08,4033,164,25,22,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2014-05-09,638,171,20,14,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-10,394,98,11,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-11,591,114,20,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-12,1018,288,37,15,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-13,793,212,33,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-14,904,283,26,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-05-15,1237,297,10,9,1,3,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-16,254,218,17,54,0,1,0,0,0,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-17,165,55,12,10,0,0,1,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-18,372,128,11,5,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-19,452,231,14,25,14,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-20,1320,180,7,14,3,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-21,682,186,25,13,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-22,1844,192,14,14,7,0,1,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-23,1812,203,80,45,3,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-24,219,150,53,26,20,0,1,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-25,213,77,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-26,892,226,6,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-27,1103,186,51,4,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-28,427,220,21,6,1,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
2014-05-29,1048,201,32,18,24,0,1,0,0,0,1,0,10,3,0,0,0,0,0,0,0,0,0,0,0
2014-05-30,1038,167,30,8,15,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-31,183,77,25,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,178,61,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-02,481,217,22,13,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-03,665,174,25,31,22,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-04,3350,252,24,38,7,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-06-05,729,168,29,12,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2014-06-06,2149,136,26,17,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-07,1072,98,12,9,0,10,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-08,220,93,24,7,2,4,0,4,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2014-06-09,3142,160,16,3,15,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-10,6219,204,25,15,6,8,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-11,2613,164,15,2,6,9,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-12,1462,207,32,16,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-13,2406,189,13,17,0,0,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-14,1946,99,7,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-15,1932,55,15,15,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-16,2917,139,10,14,13,0,3,0,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-17,4219,79,26,25,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-18,8269,205,20,11,14,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-06-19,4403,168,23,13,12,1,0,0,9,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-20,990,143,12,15,2,10,1,1,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-21,1505,54,12,10,4,14,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2014-06-22,180,53,22,6,1,0,3,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-23,422,229,21,4,12,1,4,1,5,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-06-24,950,319,31,15,10,2,3,3,4,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0
2014-06-25,1217,303,48,12,4,1,7,4,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-26,297,117,30,34,8,3,18,11,8,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0
2014-06-27,1501,171,36,10,6,1,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-28,1440,69,15,7,4,0,0,1,11,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0
2014-06-29,1626,59,17,3,8,18,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-30,486,129,18,7,5,5,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,504,146,26,4,8,5,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-02,441,131,10,5,5,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-03,537,152,7,3,1,3,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-04,296,140,22,22,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-05,146,60,9,6,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-06,552,76,6,5,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-07,1504,228,36,38,1,2,28,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-07-08,735,254,11,18,5,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-09,641,205,6,6,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-10,1180,199,5,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-11,1620,111,4,3,3,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-12,523,73,6,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-13,688,58,8,5,8,2,31,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-14,913,183,20,6,6,5,41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-15,873,162,15,11,2,5,0,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-16,920,130,19,8,4,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-17,966,149,11,7,1,0,19,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2014-07-18,733,156,17,4,4,1,23,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-19,681,107,7,4,2,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-20,624,69,3,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-21,802,145,10,8,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-22,794,162,18,7,1,6,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2014-07-23,772,177,19,4,2,3,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2014-07-24,820,192,43,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-25,641,219,10,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-26,929,144,15,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-27,490,141,17,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-07-28,479,164,12,2,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
2014-07-29,627,199,12,4,1,0,1,1,0,0,0,1,1,0,2,0,0,1,1,1,1,1,0,0,0
2014-07-30,809,184,25,12,3,2,1,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2014-07-31,797,206,19,3,0,1,2,1,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
