title
"Number of Jobs Started: by Node Count"
parameters
"Resource =  SDSC-COMET"
start,end
2016-02-01,2016-07-31
---------
Day,"[1] Number of Jobs Started","[2] Number of Jobs Started","[10] Number of Jobs Started","[4] Number of Jobs Started","[8] Number of Jobs Started","[3] Number of Jobs Started","[6] Number of Jobs Started","[12] Number of Jobs Started","[16] Number of Jobs Started","[5] Number of Jobs Started","[22] Number of Jobs Started","[64] Number of Jobs Started","[24] Number of Jobs Started","[20] Number of Jobs Started","[32] Number of Jobs Started","[9] Number of Jobs Started","[60] Number of Jobs Started","[25] Number of Jobs Started","[15] Number of Jobs Started","[7] Number of Jobs Started","[18] Number of Jobs Started","[72] Number of Jobs Started","[30] Number of Jobs Started","[11] Number of Jobs Started","[40] Number of Jobs Started","[48] Number of Jobs Started","[36] Number of Jobs Started","[50] Number of Jobs Started","[43] Number of Jobs Started","[14] Number of Jobs Started","[13] Number of Jobs Started","[17] Number of Jobs Started","[42] Number of Jobs Started","[70] Number of Jobs Started","[21] Number of Jobs Started","[62] Number of Jobs Started","[34] Number of Jobs Started","[35] Number of Jobs Started","[45] Number of Jobs Started","[26] Number of Jobs Started","[54] Number of Jobs Started","[28] Number of Jobs Started","[38] Number of Jobs Started","[56] Number of Jobs Started","[46] Number of Jobs Started","[33] Number of Jobs Started","[27] Number of Jobs Started","[19] Number of Jobs Started","[31] Number of Jobs Started","[65] Number of Jobs Started","[23] Number of Jobs Started","[41] Number of Jobs Started","[63] Number of Jobs Started","[44] Number of Jobs Started","[52] Number of Jobs Started","[53] Number of Jobs Started","[49] Number of Jobs Started","[55] Number of Jobs Started","[37] Number of Jobs Started","[39] Number of Jobs Started","[61] Number of Jobs Started","[29] Number of Jobs Started","[47] Number of Jobs Started","[67] Number of Jobs Started","[68] Number of Jobs Started","[66] Number of Jobs Started","[57] Number of Jobs Started","[58] Number of Jobs Started","[59] Number of Jobs Started"
2016-03-08,1920,298,35,39,92,39,2,82,26,12,9,4,3,9,2,11,11,9,3,0,1,3,2,1,1,3,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2016-03-09,5283,336,1,84,30,216,32,83,44,5,11,1,5,6,6,6,0,13,10,0,8,11,1,2,13,6,8,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-10,2131,611,10,21,70,81,3,17,13,15,14,1,3,18,12,17,2,9,3,0,3,5,0,0,4,4,7,0,0,1,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-11,2266,182,2,32,45,26,1,41,16,19,7,0,1,19,0,39,0,4,2,0,0,5,3,0,1,2,11,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-03-12,758,216,0,52,115,89,2,29,7,5,2,0,0,0,0,3,0,11,2,0,0,0,2,1,2,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-13,392,35,0,11,9,7,0,0,4,1,5,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-14,5358,302,28,62,11,57,6,17,36,10,19,0,4,0,9,0,2,0,29,0,6,2,2,3,3,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-15,7975,480,16,104,35,29,7,17,17,4,7,0,5,11,5,4,1,9,4,2,9,2,2,1,1,1,0,1,0,1,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-16,15748,558,27,43,28,121,5,62,22,1,15,3,6,3,5,6,2,10,8,2,6,2,4,1,6,0,11,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-17,10306,428,18,35,34,103,11,78,20,7,8,10,1,17,16,10,12,0,18,1,3,8,7,4,5,1,3,5,2,0,0,0,0,5,2,0,0,0,2,11,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-18,2218,891,8,24,11,226,3,28,19,9,1,0,6,7,12,12,2,0,16,5,6,4,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-19,1381,647,1,29,17,184,2,5,17,26,1,0,2,0,0,5,0,0,16,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-20,2257,238,3,8,6,289,2,2,23,22,0,0,7,8,0,4,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-21,10856,351,7,88,14,588,7,16,23,9,1,5,8,4,2,5,1,13,5,1,2,1,1,0,0,0,0,0,2,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-22,8512,447,12,728,27,73,13,18,41,31,2,4,13,14,5,1,2,2,7,12,0,2,0,5,4,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-23,5121,488,3,102,26,382,6,13,34,3,0,1,2,2,3,2,10,7,1,12,0,0,1,1,0,1,0,3,1,0,0,0,0,1,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-24,5276,318,13,2116,19,357,5,10,25,24,0,2,1,3,4,3,13,3,10,0,0,5,0,1,6,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-25,13042,309,11,5107,28,36,3,6,33,7,0,0,5,1,9,6,1,2,5,2,3,0,1,0,8,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-26,22144,209,4,1128,9,16,0,17,9,2,0,1,0,2,12,6,1,1,2,7,4,1,0,0,11,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-27,9419,272,0,72,26,72,1,6,6,6,0,0,0,0,16,5,0,0,0,10,0,0,1,0,6,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-28,10287,360,6,1100,50,67,10,10,24,15,3,3,3,2,26,3,7,1,3,1,6,0,1,1,5,9,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-29,13537,416,9,75,36,192,18,13,15,15,2,0,3,4,24,2,2,0,1,2,12,2,0,0,9,3,0,0,4,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-30,22918,385,12,75,12,210,22,6,23,21,0,0,9,11,4,1,2,0,7,4,36,0,0,1,11,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,9932,359,25,104,69,73,27,10,18,21,0,0,8,4,2,10,17,0,14,11,22,4,0,7,4,0,0,0,1,8,7,5,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,16199,312,7,174,23,62,14,35,13,3,0,0,7,4,11,1,15,0,4,20,3,4,4,0,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-02,22244,181,7,103,20,36,3,5,11,14,0,0,3,6,1,0,7,4,10,0,27,2,3,0,6,1,1,2,1,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-04-03,8148,202,4,18,17,19,2,6,7,3,1,0,0,6,1,1,3,0,7,5,19,0,1,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-04,6172,309,10,36,34,52,25,37,24,39,9,7,10,9,14,11,32,0,8,7,18,0,3,9,1,0,0,3,0,8,7,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-05,5730,418,7,56,31,127,37,36,32,11,4,6,0,2,4,3,19,10,5,3,35,1,2,1,4,7,0,0,4,2,2,2,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-04-06,7484,492,5,53,36,40,10,79,17,7,7,15,0,1,4,1,19,14,7,0,9,5,1,0,3,3,0,0,1,0,0,5,19,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
2016-04-07,20668,628,8,47,19,33,19,11,9,8,2,25,3,8,3,4,4,0,6,4,32,1,1,2,0,3,0,0,1,0,2,1,11,3,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-04-08,25985,477,7,74,155,158,18,7,11,7,10,16,1,2,2,6,2,1,6,14,16,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-09,14667,247,14,62,92,35,7,5,9,7,15,22,0,2,3,125,4,0,9,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-10,14812,300,2,79,42,40,7,10,13,4,3,21,10,1,3,12,8,1,7,0,2,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-11,19560,386,14,74,41,126,5,11,26,2,6,17,5,3,14,14,25,1,6,8,1,7,0,1,4,0,0,1,0,0,0,0,11,6,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-12,11367,421,19,86,42,28,10,9,14,17,2,11,6,2,6,11,5,1,6,1,2,8,0,5,1,0,4,0,3,3,0,0,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-13,6776,462,57,63,31,115,3,63,26,17,2,8,2,6,13,22,5,2,3,3,9,7,0,3,0,0,11,0,1,11,0,0,4,4,3,0,0,0,2,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-14,9379,338,32,107,23,26,31,43,24,9,6,11,6,3,3,6,10,0,0,7,39,1,0,1,1,0,13,0,1,1,0,0,4,0,2,0,0,0,1,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-15,5515,274,35,104,25,37,21,23,19,13,2,6,6,8,8,3,20,2,11,3,65,5,0,2,3,0,6,1,0,3,0,0,3,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-16,5295,169,2,48,21,12,16,27,4,15,0,0,1,8,9,19,2,0,41,2,104,0,1,0,1,0,1,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-17,22275,269,25,318,34,20,13,136,5,0,4,0,0,3,5,82,2,0,27,10,1,0,1,0,1,0,6,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-18,13197,569,25,95,63,31,24,31,11,8,1,2,2,2,6,0,9,7,20,0,0,3,0,1,2,1,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-19,7824,714,22,50,18,21,30,142,13,25,0,5,2,16,13,5,2,9,5,1,5,1,2,0,0,0,4,0,2,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-20,7893,899,51,89,77,18,24,182,9,22,1,1,7,9,3,4,4,8,1,7,11,3,0,2,4,2,9,0,3,0,0,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-21,15214,677,24,94,68,107,18,21,19,32,0,3,5,4,5,3,3,0,0,3,8,8,1,0,0,2,11,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-22,19926,588,22,96,45,28,18,17,33,16,6,1,8,3,6,11,4,1,0,10,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
