title
"Number of Jobs Started: by Node Count"
parameters
"Resource =  SDSC-TRESTLES"
start,end
2015-02-01,2015-07-31
---------
Day,"[1] Number of Jobs Started","[2] Number of Jobs Started","[8] Number of Jobs Started","[3] Number of Jobs Started","[4] Number of Jobs Started","[5] Number of Jobs Started","[10] Number of Jobs Started","[32] Number of Jobs Started","[6] Number of Jobs Started","[16] Number of Jobs Started","[20] Number of Jobs Started","[24] Number of Jobs Started","[12] Number of Jobs Started","[9] Number of Jobs Started","[7] Number of Jobs Started","[22] Number of Jobs Started","[11] Number of Jobs Started","[14] Number of Jobs Started","[28] Number of Jobs Started","[31] Number of Jobs Started","[13] Number of Jobs Started","[15] Number of Jobs Started","[18] Number of Jobs Started","[25] Number of Jobs Started"
2015-02-24,2355,245,2,4,9,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015-02-25,2062,203,1,5,3,1,0,11,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2015-02-26,3542,233,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-27,888,156,3,4,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-02-28,497,132,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,388,130,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,1247,179,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2015-03-03,1263,281,188,7,10,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-04,381,189,8,9,5,0,10,3,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-05,166,172,11,4,3,3,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-06,628,177,2,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-07,138,81,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,24,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-09,300,203,11,2,5,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,464,181,14,6,5,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-11,457,178,6,2,3,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-12,331,161,6,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2015-03-13,444,157,10,3,1,0,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2015-03-14,402,75,0,3,2,0,0,0,4,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
2015-03-15,651,125,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-16,511,173,10,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,525,160,15,1,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03-18,470,205,9,7,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
2015-03-19,485,149,4,33,3,3,1,0,4,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0
2015-03-20,509,161,6,18,3,8,6,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-21,406,92,3,24,20,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-22,312,65,0,13,17,4,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-23,295,246,4,13,17,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,308,157,2,17,4,3,4,0,7,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
2015-03-25,538,259,19,22,8,5,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-26,258,199,3,16,9,2,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-27,440,162,9,20,4,2,5,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-28,983,82,13,21,12,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,137,119,24,29,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,334,231,5,23,5,6,5,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,277,238,4,7,2,1,3,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,512,196,1,1,16,3,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-02,169,185,2,16,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-03,4141,157,8,6,7,9,6,0,2,1,0,0,4,2,0,0,1,0,0,0,0,0,0,0
2015-04-04,6354,102,7,12,10,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,316,85,4,9,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-06,219,206,2,16,12,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,240,202,7,26,12,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,313,159,1,55,4,0,3,16,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-04-09,274,159,3,11,5,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2015-04-10,535,239,16,36,8,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,241,88,1,8,7,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,304,93,3,3,13,0,0,8,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2015-04-13,1469,196,3,14,8,0,0,1,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2015-04-14,576,178,22,23,16,0,1,3,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-04-15,539,205,7,8,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-16,391,178,8,20,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,331,162,14,3,14,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,228,92,4,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,138,90,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,160,266,11,3,2,0,0,2,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2015-04-21,199,231,17,0,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-22,232,195,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23,548,346,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-24,728,294,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-25,618,199,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-26,458,121,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,169,235,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-28,25,241,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-29,77,206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-30,16,213,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
---------
