Day,[1] Number of Jobs Started,[2] Number of Jobs Started,[4] Number of Jobs Started,[3] Number of Jobs Started,[8] Number of Jobs Started,[16] Number of Jobs Started,[6] Number of Jobs Started,[64] Number of Jobs Started,[19] Number of Jobs Started,[32] Number of Jobs Started,[5] Number of Jobs Started,[20] Number of Jobs Started,[10] Number of Jobs Started,[25] Number of Jobs Started,[18] Number of Jobs Started,[7] Number of Jobs Started,[12] Number of Jobs Started,[40] Number of Jobs Started,[9] Number of Jobs Started,[11] Number of Jobs Started,[17] Number of Jobs Started,[13] Number of Jobs Started,[50] Number of Jobs Started,[30] Number of Jobs Started,[60] Number of Jobs Started,[35] Number of Jobs Started,[45] Number of Jobs Started,[24] Number of Jobs Started,[21] Number of Jobs Started,[28] Number of Jobs Started,[15] Number of Jobs Started,[100] Number of Jobs Started,[48] Number of Jobs Started,[128] Number of Jobs Started,[14] Number of Jobs Started,[34] Number of Jobs Started,[33] Number of Jobs Started,[22] Number of Jobs Started,[63] Number of Jobs Started,[53] Number of Jobs Started,[36] Number of Jobs Started,[42] Number of Jobs Started,[93] Number of Jobs Started,[43] Number of Jobs Started,[54] Number of Jobs Started,[55] Number of Jobs Started,[96] Number of Jobs Started,[113] Number of Jobs Started,[23] Number of Jobs Started,[26] Number of Jobs Started,[31] Number of Jobs Started,[41] Number of Jobs Started,[68] Number of Jobs Started,[27] Number of Jobs Started,[37] Number of Jobs Started,[44] Number of Jobs Started,[29] Number of Jobs Started,[69] Number of Jobs Started,[88] Number of Jobs Started,[38] Number of Jobs Started,[46] Number of Jobs Started,[51] Number of Jobs Started,[52] Number of Jobs Started,[59] Number of Jobs Started,[61] Number of Jobs Started,[65] Number of Jobs Started,[70] Number of Jobs Started,[74] Number of Jobs Started,[79] Number of Jobs Started,[80] Number of Jobs Started,[81] Number of Jobs Started,[85] Number of Jobs Started,[87] Number of Jobs Started,[90] Number of Jobs Started,[118] Number of Jobs Started
2015-03-26,1474,78,66,8,34,2,21,0,0,9,15,5,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-27,616,62,42,2,29,3,10,0,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-28,1372,57,34,2,28,5,16,0,0,22,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,1369,73,29,3,34,5,0,0,0,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,1131,197,24,1,30,6,4,2,1,9,3,5,3,0,3,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,736,446,46,6,61,12,1,3,0,0,13,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,1126,111,109,10,59,2,1,1,0,0,12,6,1,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-02,1238,61,82,1,41,5,0,1,0,6,3,7,0,0,1,0,0,1,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-03,1580,54,85,1,42,5,1,1,0,6,4,3,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-04,1137,44,25,5,20,3,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,436,42,56,7,27,4,1,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-06,1032,58,107,7,50,2,1,0,0,0,4,5,3,0,0,0,0,3,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,974,62,81,7,34,2,1,0,0,0,7,4,1,0,0,2,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,1554,112,117,15,33,3,6,0,0,5,1,10,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-09,1240,184,213,6,39,2,3,0,0,0,3,5,1,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-10,1349,113,80,3,8,0,2,0,0,1,15,4,5,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,803,130,91,5,12,4,0,0,0,0,3,5,3,0,0,6,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,526,93,25,10,11,0,2,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-13,1089,103,79,2,43,4,5,0,0,0,2,0,2,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-14,1014,83,80,8,41,2,3,0,0,0,0,6,2,0,0,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-15,762,62,42,4,31,6,4,0,0,0,4,8,5,0,0,4,1,1,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-16,1027,294,67,2,81,12,6,0,0,0,1,6,1,0,0,0,5,1,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,684,80,54,80,22,0,4,0,0,0,8,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
